place_id,name,address,latitude,longitude,open_now
"ChIJx4vU5Ey9QDcRbdHpy_vN5dw","Abani Filling Station Bharat Petroleum","FV5M+6FP, AT Rd, Dibrugarh","27.4580958","94.8837102","true"
"ChIJh7OnceShQDcRenGGJ-P0HKE","IndianOil","Ground Floor, AT Road, Lahowal","27.4542202","94.99048839999999","true"
"ChIJgyjK8wKYQDcRPTAyDuRQ3Jg","Hindustan Petroleum Corporation Limited","Ground Floor, near Amolapatty, TRP Road, Chariali, Amolapatty, Dibrugarh","27.4731347","94.8951111","true"
"ChIJBbSewgKYQDcRrD9Nv4NnLD8","IndianOil","Ground Floor, Amolapatty, Dibrugarh","27.474335","94.894795","true"
"ChIJ2wrcdOWiQDcRU5L-c6ZOAdA","IndianOil","Ground Floor, Khanikar,Bairagimath, Dibrugarh","27.426239","94.92217199999999","true"
"ChIJq50HycmjQDcR9TqQcLT3C_Q","MS PRIYA FILLING STATION","Khanikar, Dibrugarh","27.4273856","94.9222666","true"
"ChIJpZf3IDSjQDcRHNxlndUrjk4","IndianOil","Ground Floor Bairagimath, Sesa,Khanikar, Dibrugarh","27.4290942","94.91662869999999","true"
"ChIJZfu4GI2jQDcRO9AyRlh1grg","IndianOil","Ground Floor, Mancotta, Tepor Gaon,Bairagimath, Dibrugarh","27.4382689","94.9196059","true"
"ChIJhWsXshKiQDcRpXFI033Sv3Y","IndianOil","Dag No 176, Pp No 127, Khanikar Road, Kuchia Khana Gaon","27.4491217","94.9559808","true"
"ChIJM124b-u9QDcR7bbbNjst2Gk","IndianOil","Ground Floor, NH 37, Barbaruah, Bamunbari","27.406046","94.88396399999999","true"
"ChIJw05vxIa9QDcRF6Hagfy6uzY","SWAPNALI FUEL STATION","Barbaruah","27.4062526","94.88324109999999",""
"ChIJzxZzZXujQDcROFKOjZW7tAg","NAYARA Petrol Pump","FW67+HWG, Lane B, West Milan Nagar, Dibrugarh","27.4615492","94.9150863","true"
"ChIJYZ3VgyajQDcRRoBZAnt5dGA","HEMANTI FUEL SERVICE","near Sarat Daily Bazar, Mancotta Road, West Milan Nagar, Dibrugarh","27.4624468","94.9179405",""
"ChIJYeDDCVK9QDcRoTEpv0Z5uF0","Reliance Petroleum","Ground Floor, Nh 37, near Dibrugarh, Tekela Chiring Gaon, Imniversity, Dowrah Chowk, Tekela","27.4524002","94.8892911","true"
"ChIJqW9tIqG9QDcRBOvnUnA5l-s","GKNEWS24","Assam Trunk Road, Nagakhalia Gaon","27.4530612","94.8883635",""
"ChIJq_kzs6qZQDcR4-DLXMgM9F0","IndianOil","Dag No 13, PP No 148, Mancotta Road, Chowkidinghee, Dibrugarh","27.470701","94.93276999999999","true"
"ChIJ87qkmH2YQDcR9xIc99rhfus","IndianOil","Ground Floor, Boiragimoth, Dibrugarh","27.470851","94.93378899999999","true"
"ChIJ8cG-FqiYQDcRpdfkkLYcDAc","IndianOil","Ground Floor, Bokul, Chaulkhowa Grant Gaon","27.462386","94.96713899999999","true"
"ChIJIzbwIh2lQDcRZNZQ-HEGWbM","IndianOil","Ground Floor, Thekerani, Dihing Khamtighat, Dihing Khamtighat Gaon","27.351961","94.94661599999999","true"
"ChIJYQeJ8QyYQDcRWF3O4G3V2L0","IndianOil","Ground, Chowkidinghee Tennis Court, Mancotta Road, Chowkidingee, Dibrugarh","27.470962","94.912202","true"
"ChIJbTV4FL6ZQDcRyWpAjZL9b4w","Bharat Petroleum, Petrol Pump -Khaund Service Station","TR Phukan Road, Chowkidingee, Dibrugarh","27.4692262","94.90598489999999","true"
"ChIJ6ZFiXwejQDcRVdzXnM-Mq1A","IndianOil","Ground Floor, Bongal Gaon","27.4729729","94.9451132","true"
"ChIJQ4gTrQiYQDcR9cVH3VOF9-M","NRL Petrol Pump","opp. NRL petrol pump, 55, Chowkidingee, Dibrugarh","27.4692943","94.90450659999999","true"
"ChIJS5NejpmZQDcR-u2SbkX63eE","IndianOil","DAG No 15, Patta No 353, Chiring Chapori, Dibrugarh","27.4700701","94.897804","true"
"ChIJg8qMheiZQDcRRxlRNCFd-fo","IndianOil","Ground Floor A, T Road, Dibrugarh","27.4685506","94.8916056","true"
"ChIJfcUUMmKYQDcRq7Hu2AECCko","IndianOil","Ground Floor, Jalan Nagar Colony, Dibrugarh","27.4791531","94.9327903","true"
"ChIJf5RAymi9QDcRS9ijrrzAkRQ","Shell Fuel Station","NH 15 Mouza-Jamira, Patra Gaon","27.38988","94.85933899999999","true"
"ChIJB8N55TugQDcR_gAwPOgGfWU","IndianOil","Ground Floor, Lahoal - Duliajan Road, Melengial, Bokul Maj Gaon","27.442223","95.03318200000001","true"
"ChIJNxP2dCuhQDcRSPaXoWWk_D8","Nayara","C2FX+36, Tamulbari T.E.","27.422626","95.048119",""
"ChIJha-RG9ehQDcRv8zwZoVvI_0","IndianOil","Ground Floor NH 37, Lahowal,Bokul Near, Dibrugarh","27.455799","95.01003399999999","true"
"ChIJPUmGicFfPzcRqj4ykmyoScs","Petrol pump","215, National Highway, Melengial Gaon","27.4322511","95.06121879999999",""
"ChIJDXtvj9-fQDcR3vkSiGDbjDI","Mohanbari PB Fuel Station","Mohanbari Hindu Gaon","27.4656523","95.0256282","true"
"ChIJI6kKaxFfPzcRBOXmOTmd0wg","IndianOil","Ground Floor, Dikom, Phukanar Khat","27.4652941","95.0822996","true"
"ChIJC_kZ2m6fQDcRJLgOiv8CX74","Nayara Petrol Pump , soru pathar","F3C5+F7, Sani Potia","27.47132509999999","95.0585211","true"
"ChIJ-2FnhFyYQDcRAlMJM9tNMI8","IndianOil","Ground Floor, Paltan Bazar, Jyoti Nagar, Dibrugarh","27.491573","94.926903","true"
"ChIJ-8V3Dc2ZQDcRhLIIcBi_ANg","H B Servicing Centre","Naliapool, Dibrugarh","27.4842834","94.92264709999999",""
"ChIJK-B1OjmZQDcR9UparRBdjUM","M/S TELAM GEJERA FILLING STATION","SHOP NO.78, near BRAHMAPUTRA HOSPITAL, AMC Road, Dibrugarh","27.49142429999999","94.9270114",""
"ChIJ08rV6Q2ZQDcR9oBM7EKjZYE","R.R & Company P Ltd","Shop Number 61, near Road, RNC Path, Dibrugarh Thana Charali","27.4822507","94.90726839999999",""
"ChIJo2bgwhaYQDcRpGOUH-vcPqM","IndianOil","Ground Floor, Bamunbari, Dibrugarh","27.48242","94.906961","true"
"ChIJCbDfBTeZQDcR4SM1LGPnQN0","SURAKSHA APPARATUS","opposite of HOTEL NATRAJ, (lady fashion, HS Road, Dibrugarh","27.4815091","94.90424800000001","true"
"ChIJoT3SB2yXQDcRu-_rKUCBT9g","C M UDDIPAK FILLING STATION","UDDIPAK FILLING STATION, C M, MOHONAGHAT ROAD, Dibrugarh","27.4750179","94.89037379999999",""
"ChIJPZ0_48hhPzcRfBRzkQ7NFXY","MS Neog Filling Station - Bharat petroleum","Dist, P.O, Hatiali, P.S, Chabua","27.485123","95.1424225","true"
