place_id,name,address,latitude,longitude,open_now
"ChIJ9aSJU7HqRjcRfHWxk74nD1U","Nayara Energy Station","Assam Trunk Road, Rowmarikhuti","26.7210612","94.0749836","true"
"ChIJteOa4YHCRjcRDHasMu6vKaE","IndianOil","Ground Floor, opposite Nabagraha Temple, Jail Road, Kamarbandha Ali, Barbheta, Jorhat","26.7351","94.1966","true"
"ChIJx3TLmJnpRjcR-R60u-8_woQ","IndianOil","Ground Floor Chutiakari, Gaon, Gatanga, Charaibahi Gaon","26.698088","94.167874","true"
"ChIJld89LQTrRjcRXWMgC4plsnA","Reliance Petroleum","Ground Floor Khangia, Charingia Gaon, Jorhat","26.7274357","94.1408668","true"
"ChIJwTKwy5jpRjcRUV7eUFrnt4M","ROWRIAH Fuel Station","Chotikari Rangai Habi, Jorhat","26.7110198","94.1737248","true"
"ChIJwZoJciHpRjcRzag5ZqGD-Y0","BARUAH PETROL PUMP","Out Post, near Rowriah Police, Kamarbandha Road, Rowriah, Jorhat","26.7118225","94.17377839999999",""
"ChIJqz30owHqRjcRbCB3nf8M6io","Bharat Petroleum Petol Pump, Dhapkata","Assam Trunk Road, Dhapkota, Sarucharai Chah Bagisha","26.7322609","94.14920029999999",""
"ChIJmywBRQDpRjcRB_l-L0vNBMQ","INDIAN OIL PETROL PUMP Dhekiajuli KSK","Na Ali, Choudang Gaon No.2","26.6818017","94.202055","true"
"ChIJl9aOAvroRjcRCIC9WjWXXM0","Petrol Pump Maj Gaon Tiniali","Choudang Gaon No.2","26.6818125","94.2020625","true"
"ChIJ9ar6IkvDRjcRzhudwy1ACw0","Hindustan Petroleum Corporation Limited","Ground Floor, near Urban Water Filtration Plant, Sonari Gaon, Charaibahi","26.7366667","94.1916667","true"
"ChIJE2UznSLoRjcRcZPCebzRk9s","Hindustan Petroleum Corporation Limited","P6F7+W8H, Ground Floor Cinnamara, Barbheta, near Na Ali, Chapori, Lichubari, Jorhat","26.7247167","94.2126833","true"
"ChIJ-6VbJAboRjcRTGfPOXgNsvg","IndianOil","Ground Floor, Cinnamara, Jorhat","26.722698","94.22999700000001","true"
"ChIJwxwT1LvCRjcReQbzc2LNAg8","IndianOil","Box No 72, Bhogdaimukh, Jorhat","26.7515665","94.220342","true"
"ChIJ6ezTdIrCRjcRl4fZRBSuFAs","Nayara Oil Pump - Kalita Filling Station","Q53V+M2R, Assam Trunk Road, Tarajan, Jorhat","26.7542364","94.1925062",""
"ChIJMZTaLhPnRjcRBSwatJge1xM","Petrol Pump","Gar Ali Karanga","26.6884355","94.23648639999999","true"
"ChIJ3amiMp3pRjcRjHmxtE5ZnbM","DEBANISHA SERVICE STATION","Tiniali Essar Oil, Tiniali, Cinnamara, Jorhat","26.7077199","94.233009","true"
"ChIJEet_z4nnRjcRLi2hVnTP9u8","IndianOil","Ground Floor, Cinnamora Titabor Rd, Moran 1, Titabor","26.65758709999999","94.22978309999999","true"
"ChIJP2NzLAzpRjcRKzD1HCEARes","M/S Bordoloi Service","near Carmel School, Gar Ali Road, Sadar, Maz Gaon, Jorhat","26.7234419","94.229641",""
"ChIJLU1t1uTnRjcRJGLkV_aU17s","Cinamora fuel station","M7X5+JWM, Gar Ali Road, Cinnamara, Jorhat CD Block Part","26.6990904","94.2597971",""
"ChIJt40pFrrnRjcRdpGQmqqZ8ys","Bharat Petroleum","India","26.69922339999999","94.2597972",""
"ChIJsb1WdDbDRjcRFDTy4ZeeA8w","IndianOil","near Bangal pukhuri, Ground Floor Bhogdaimukh, Bhogdaimukh, near Bangal pukhuri, Jorhat","26.7414039","94.2132141","true"
"ChIJgzOnxcXDRjcRMERh1UG93EQ","IndianOil","Ground Floor, Rajabari, Jorhat","26.7428572","94.2246914","true"
"ChIJHYh-B5jCRjcR0se-v-Cnfug","Baruah Petrol Pump","P6W7+94W, Barbheta, Jorhat","26.7459805","94.2128331",""
"ChIJEYiNnYLnRjcR1bLfn--vcBQ","IndianOil","Ground Floor Kathkatia, Mariani","26.688846","94.27583100000001","true"
"ChIJ-0UJPwDDRjcR8UiYLKTWSow","Isbt petrol pump","Q623+9F7, Jorhat","26.75092069999999","94.2036696",""
"ChIJPw0Et83DRjcRowYnRjf2OlM","Hindustan Petroleum Corporation Limited","Ground Floor Jail Road, Kamarbandha Road, Jorhat","26.751481","94.203846","true"
"ChIJlZVXZbnCRjcRY8h4N-OnfGs","Hindustan Petroleum Corporation Limited","Ground Floor, Gar Ali Road, Jorhat","26.7525831","94.21968","true"
"ChIJ_7NUqgjDRjcR5KuA_oSs1W0","IndianOil","Ground Floor, Bhogdaimukh, Tarajan, Jorhat","26.751203","94.183883","true"
"ChIJJYgfuWXCRjcRx25iD104MYA","Hindustan Petroleum Corporation Limited","Ground Floor, AT Road, Jorhat","26.7517017","94.1846771","true"
"ChIJZT51aYDDRjcRINRC-c0085Q","Bharat Petroleum Petrol Pump, NES JORHAT ASTC","ASTC JORHATASTC, Jorhat","26.7526971","94.1879823","true"
"ChIJcykGvcbDRjcRMFzDzg6VXIA","Baikuntha Filling Station","1, AT Road, Sonari Gaon, Tarajan, Jorhat","26.7520322","94.18520529999999",""
"ChIJn0CZK2HdRjcR23YMyxCKozI","ETERNAL FUEL AGENCIES","JEC Road, Garmur, Jorhat","26.7488126","94.2435271","true"
"ChIJCWKSQbPdRjcRyXVKtu0rAq8","IndianOil","Patta No 1168, Dag No 2149 & 2150, Garmur, Jorhat","26.7488267","94.2437922","true"
"ChIJvU2Cv3HDRjcRe9grekrUi2w","IndianOil","Ground Floor, Bhogdaimukh, near Bypass, Tarajan, Jorhat","26.755488","94.183038","true"
"ChIJ988het7mRjcR3eXof8wdSbk","Hindustan Petroleum Corporation Limited","Ground Floor, Pukhuriagaon, Mariani","26.6793786","94.2968961","true"
"ChIJyd2JGW_hRjcRsQulgLoqL3s","IndianOil","Ground Floor, Sukapha Gaon, Mariani","26.6422885","94.29718880000001","true"
"ChIJzwalE0zhRjcR6nKVSAdotwA","IndianOil","Ground Floor, Mariani","26.65385999999999","94.319552","true"
"ChIJv-uMHuvCRjcRv2Zqh0PFbqA","Assam Oil Petrol Pump","Q656+W2G, Babupatty, Jorhat","26.7598154","94.21008549999999","true"
"ChIJozgQCgDBRjcRvuLnzqT6c2o","Nyara Petrol Pump","Q46G+2J, Malow Khat","26.7600109","94.126598",""
"ChIJU9dyuT_BRjcRBlwihD6-nVI","Bharat Petroleum","India","26.8092345","94.1291791",""
"ChIJe0p888DBRjcRTTOpOE9fHC4","Alengmora Petrol Pump","R45H+QFP, Deka Satra Bhakei","26.8094528","94.12870989999999","true"
"ChIJnfOvn_jCRjcRkFRWZH4fLio","NRL Petrol Pump jorhat","Q5FR+QVG, By Pass Road, Dhekorgorah, Jorhat","26.774438","94.1922149","true"
"ChIJg3yn8gjDRjcRE49yJ2hp1ec","Bharat Petroleum, Petrol Pump -Nes Jorhat Bypass","Jorhat MG Road, Gar-Ali, Jorhat","26.776095","94.19531339999999","true"
"ChIJb_UfFfHCRjcRsVzz1TIa6Kg","Hindustan Petroleum Corporation Limited","Ground Floor, Malow Ali, Jorhat","26.7661414","94.1987674","true"
"ChIJQWlgsOLCRjcRAZ-n7QXR6lc","IndianOil","Ground Floor, AT Road, Bypass, Jorhat","26.781169","94.2032804","true"
"ChIJuXZtSirDRjcRkuaIDBZk5g0","Shasidhar Behera","RBC SAGARMALL SONS, AT Road, Jorhat","26.759822","94.21008309999999",""
"ChIJdWK7Ay7dRjcRapUtsedC1HQ","IndianOil","Ground Floor, Bhogdaimukh, Kenduguri","26.769171","94.23867","true"
"ChIJ40RZJtHcRjcRoo5o7o_H91s","IndianOil","Ground Floor, Charigaon, Bahona","26.787407","94.240916","true"
"ChIJ5w2rl57dRjcRSYKxyBSU4eE","PRAGATI FILLING STATION","near Seuj Nagar Namghar, Shop No 1, AT Road, Kotohaboria Gaon, Podumoni Bypass, near Seuj Nagar Namghar, AT Road, Jorhat","26.77126149999999","94.2607168",""
"ChIJtTJp0qbdRjcRMXuhhm7pDoQ","Petrol Pump - Essar Oil","Q7G5+9W8, Jorhat","26.77590279999999","94.25981910000002","true"
"ChIJ_7q3EjjdRjcR5RVtWFWHl9Q","Jyoti Bora","Charigaon Na Bora Road, Baghmoria Gaon","26.794343","94.25033490000001",""
"ChIJ3e80GJzeRjcRmuXbRejPDio","IndianOil","Ground Floor, Lahoty Bhawan, Bhogdaimukh, Lahdoigarh","26.795308","94.319423","true"
"ChIJz1nJF-vCRjcRKUpyDZQ8H-8","IndianOil","Ground Floor, Bhogdaimukh, Jorhat","26.7841959","94.28569379999999","true"
"ChIJw3fOPWfdRjcRVrTiowY_r7w","Kohinoor Energy Station","Shop1, T Rd, Kopadhara A, Meleng Hudamua Gaon","26.7868018","94.2945033",""
"ChIJh36PEILdRjcRcWDCmBm3NcM","Reliance Petroleum","Ground Floor, near Jorhat Science College, Nh 37, Melegh Kopardhara, Hatigarh","26.789711","94.300012","true"
"ChIJI6uxvqzdRjcRwyNp9VSiYNw","Kohinoor Energy Station","Shop 2 Meleng, At Road, Kopora Dhora Gaon","26.7902957","94.30212639999999",""
"ChIJhexcFADfRjcRYE4rcXesiPs","Bharat Petroleum, Deha","Q9M2+C54, Lahdoigarh Road, Badulipukhuri Maja Gaon","26.7841254","94.3499449",""
"ChIJQ4LvyubfRjcRcDZU2FOrqjE","Bonpithaguri Filling Station","Bonpithaguri Filling Station, Lahdoigarh","26.7842143","94.3500596",""
