place_id,name,address,latitude,longitude,open_now
"ChIJT6F23tnoRDcRxGM1KZlfQ8M","Shell","715, Mouza, Mahabhairab, Tezpur","26.622629","92.847509","true"
"ChIJVVVVVUXoRDcRGzbVMPM7rQo","Shell","JR85+94Q, PS, Tezpur","26.6159653","92.807864",""
"ChIJ9RBk9jboRDcR80Oog5PJSa8","IndianOil","Ground Floor, Tezpur","26.620167","92.7953201","true"
"ChIJM5kNNTXoRDcRhYaxSXIa7sg","Hindustan Petroleum Corporation Limited","Ground Floor, Hospital Road, Tezpur","26.627806","92.796578","true"
"ChIJHyN1nybpRDcRq8BOcSpx5uk","Dridha Agri Nayara Energy Limited","Civil Hospital Hatipilkhana Link Road, Mahabhairab, Tezpur","26.6276276","92.7906319","true"
"ChIJ3WkVBADnRDcR_fk2sZNzd70","Adani CNG Station, Aambagan","GR7Q+FJR, SH 3, Pub Larimukh","26.51372019999999","92.8390314",""
"ChIJUTasGSHnRDcRZul4IXZTgBQ","Bharat Petroleum: Petrol Pump","GR7Q+CH8, Ambagan Loakhowa Main Road, near Tinimani, Ambagan","26.513531","92.8389515",""
"ChIJL09_4ifkRDcRcSRPkpLVXMA","Hindustan Petroleum Corporation Limited","Ground Floor Borbogia, Kulidonga, Kaliabor, Ambagan, Nagaon","26.5223369","92.8600556","true"
"ChIJEYsnfUvlRDcR9xnEwRrj2_w","IndianOil","Ground Floor Kaliabor, Ambagan, Bhari Dhowa","26.5205314","92.8585041","true"
"ChIJhZ7_EgDnRDcRzqItVJ87OQA","Jayshri Mandal (Dipali)","GV94+CVV, Ambagan, Dakhin Bhomoraguri","26.5186229","92.85715909999999",""
"ChIJvbkr5KPlRDcRrRIgATB02b0","Indian Oil Petrol Pump Naltoli","Dhanekhowa","26.5503534","92.89267249999999","true"
"ChIJkwDENADlRDcROWwO6NjGpe0","Bharat Petroleum petrol station","GWV8+G42, Ouguri","26.5437519","92.91525610000001",""
"ChIJhfgZfADlRDcRb92ereuX9aQ","Adani CNG Station, Kaliabor Tiniali","GWV8+G42, Ouguri","26.5436499","92.91520009999999",""
"ChIJSzGELUrlRDcRFoChRn3qJ8s","Kaliabor energy station (BPCL)","Kaliabor, National Highway 715, Nagaon","26.54394019999999","92.9160414",""
"ChIJxaSVeQDvRDcRnfkaMNlbUlo","D E F . Diesel EXHAIDT Bhomoraguri","JVH6+V38, Bhomoraguri","26.62965590000001","92.8602042",""
"ChIJ1YuOS9b7RDcRuOo_Ye8h9H4","IndianOil","Ground Floor, NH 37, Kathterongaon, Kuwaritol","26.560489","92.9434","true"
"ChIJWwqxIgDpRDcRhIjlXjxAkkc","NJ FILLING STATION","NJ FILLING STATION, Bhojkhowa Gaon, Bhomoraguri","26.6344541","92.8401011","true"
"ChIJAUqEl_HBRDcR5lcyivmqoFY","Bharat Petroleum Petrol Pump","MQP7+4MM, Dekachuburi, Tezpur","26.6853279","92.7641639","true"
"ChIJ7TD2RprDRDcRL3FceNC9D9g","Reliance Petroleum","A.B. Filling Station, Dag No 290(Old)/390(New),Khatian No PattaNo124(Old)/340(Ne Chatrachal","26.6619443","92.71748009999999","true"
"ChIJPzsNdijCRDcRzfUbaZMaV5s","IndianOil","Ground Floor, Haleswar, Balipara, Dihingia,Dekargaon, Beseria","26.674271","92.74804700000001","true"
"ChIJr4MM3nTCRDcR9jvJnGNUwwk","NRL Petrol Pump","Tezpur Main Road, Ketekibari, Tezpur","26.6505308","92.7752605","true"
"ChIJVwbfYdbDRDcRMfQxow_h-eU","Nayara Petrol Pump - Anudiv Energy Station","HS SChool, near Bihaguri, Borakata Pathar","26.6764119","92.707771","true"
"ChIJweJlIwXCRDcRGQEH_0ntMSs","H.P petrol pump","MS/HSD HIMATSINGKA AUTO ENTERPRISE, Base Hospital Road, Baruachuburi, Ketekibari, Tezpur","26.665723","92.7682761",""
"ChIJ71oJ3eXDRDcRhAmBUl6DdvQ","Hindustan Petroleum Corporation Limited","Ground Floor, Dekargaon, Tezpur","26.666409","92.76888699999999","true"
"ChIJRwqIQnjpRDcRyXlrzzSwg0Y","IndianOil","Ground Floor, Gabhoru, Behali, Tezpur","26.6440569","92.78143759999999","true"
"ChIJr48RS9fpRDcRQSpWz-Rkh1s","IndianOil","Ground Floor, Dadara, Behali, Tezpur","26.638984","92.782322","true"
"ChIJ3V2RgMXDRDcRWqPBj8wIKHQ","Amar Stor","Dekargaon, Beseria, Tezpur","26.6746305","92.76734410000002",""
"ChIJaYkFJADpRDcRGhD0fvzvX8Q","Indian Oil Petrol Pump","JQWQ+CG4, Kharati, Majgaon, Tezpur","26.6460203","92.7888376",""
"ChIJybrbdwDpRDcRNFUdNQQDcwk","Fuel Stop HQ IOCL Pump","JQWQ+CG4, Kharati, Majgaon, Tezpur","26.6460949","92.7888473",""
"ChIJ9b4OXerpRDcRtiCZNlqnD1E","IndianOil","NH 37A, Paruwa Chariali, Tezpur","26.6529265","92.7943378","true"
"ChIJD51eaurpRDcRP6MlCyqDccg","Lahkar indian oil Petrol Pump","37A, National Highway, Lokhra, Majgaon, Tezpur","26.65317","92.79523809999999",""
"ChIJz9cAf3DBRDcRG2Im_4al51w","Reliance Petroleum","PATTA NO:24,185,DAG NO: 681,682, VILL:KARARA,MOUZA:PANDURI, P.S:RANGIA Dolegaon Assam IN 783154, Gar Bhitar","26.6933557","92.7592379","true"
"ChIJS3_pY7jpRDcRFCAa5dYuC2c","Dhanua Nagar Petrol Pump","GNB Road, Mahabhairab, Tezpur","26.6423667","92.7987778","true"
"ChIJgde5PwDrRDcRq2cvX0c_JZg","95 SBPO","MQWH+F8, Tezpur","26.6961252","92.7783391",""
"ChIJAQAAACzpRDcRM_22jTj0GPA","shell petrol pump. Roys & Rais service station","Batamari, Tezpur","26.644554","92.8317656","true"
"ChIJWe7SuFjpRDcR7bdkxIdu0Iw","Gas station","JRV9+P72, Dolabari Kalibari Road, Dolabari, Tezpur","26.64425109999999","92.8181444",""
"ChIJpzdjVwDpRDcRNIkHXPvTHt4","Reliance jio petrol pump","Near, Dolabari flyover, Dolabari, No.1 Dolabari","26.652666","92.82351","true"
"ChIJLR5hLt3pRDcRaqRduJbEx04","Hindustan Petroleum Corporation Limited","Ground Floor, No.1, Teen Mile, Dolabari, Tezpur","26.6547222","92.825001","true"
"ChIJ60GlEgDpRDcReBnJXmEfcb0","Jio petrol pump","MR97+H45, Dolabari, Tezpur","26.6688861","92.81284629999999",""
"ChIJQ8wLfADrRDcRvqyhCREqb7A","Dhanraj Singh servo station","MRH8+QF4, Tezpur University Road, Napaam, Tezpur","26.6793846","92.81620009999999","true"
"ChIJTSMkkAbrRDcR5esQXEZEqBw","Nayara petrol pump Amolapam","Tezpur University Road, University, Tezpur","26.6961228","92.84013589999999","true"
