place_id,name,address,latitude,longitude,open_now
"ChIJW71o1h01kzkRf4I-QG5YQiI","IndianOil","National Highway 28A, Rajendra Nagar, Motihari","26.6614006","84.9139819","true"
"ChIJoXlyR9E0kzkR6EV1QS2QHMI","Bharat Petroleum","MW3M+3G6, SH-54, Khartari Tola, Chhatauni Badhai Tola, Motihari","26.6526649","84.9337718","true"
"ChIJ20UtgQk1kzkRhFQiwAG3tRE","IndianOil","Ground Floor, Lakhaura Road Motihari, Sihilia, Ajgarhimath, Motihari","26.6861517","84.93784699999999","true"
"ChIJG2eanHS17DkReLgW3SSGtgQ","IndianOil","Ground Floor, Lakhauda, Karmaula","26.73758299999999","84.977401","true"
"ChIJD9z5MS217DkRno3XulY4BO0","Hindustan Petroleum Corporation Limited","Ground Floor, Lakhaura","26.7392916","84.9773398","true"
"ChIJ_TvKTBe17DkRouFmVLRt-yU","मे. हमारा पम्प लखौरा ,मोतिहारी","PXQH+R5C, Sarsaula","26.7395613","84.97787679999999","true"
"ChIJ_Wa0yTs1kzkReatMRo6E8J4","Ramchandra Singh Filling Station","Bajrang Chowk, Road, Ajgari","26.6897699","84.89967759999999","true"
"ChIJR1ZuP6i17DkRnvfyHQmvhp0","IndianOil","Ground Floor, Motihari - Chauradano Road, Lakhaura","26.7638878","84.9772045","true"
"ChIJwZJgGnM1kzkRtYdXqZAXu0k","Mahesh Sah","Motihari","26.66566719999999","84.91493369999999",""
"ChIJJ_9h6x_L7DkRKi-h9DrZn44","IndianOil","Ground Floor Motihari Dhaka Rd, Basatpur, Motihari","26.659321","84.96187599999999","true"
"ChIJ8ZLzRaM1kzkRyi6oy-RmeXk","Dr Zaheer Petrol pump","Dr Zaheer clinic, Jaanpul Station Road, Arya Nagar, Motihari","26.66274169999999","84.90697829999999",""
"ChIJXcWBeNmn8jkRamv99FFu_rM","IndianOil","Ground Floor, Tarkulwa, Banjariya, Ajgari","26.6627575","84.9063994","true"
"ChIJwe0IiSM1kzkRNXFi9ozLCqI","Pintu Petrol","Chailha N/H727, Rode, Bettiah","26.6752156","84.88714430000002",""
"ChIJ3wpvDdo0kzkRS81vAycrr7Q","Hindustan Petroleum Corporation Limited","Ground Floor, NH 28, Chhatauni Badhai Tola, Motihari","26.652385","84.92936499999999","true"
"ChIJg15ZYBw1kzkRgt6A2B1S1TI","Bajrang Bairing Hause","near Sharma Hotel, Chatauni, near Sharma Hotel, Main Road, MW2H 3FC, Rajendra Nagar, Bettiah","26.6501757","84.9286357",""
"ChIJY9rdVgA1kzkR70OBqPYRPjs","Aditya petroleum","MV8Q+GX8, Ratanpur","26.6662949","84.8899637","true"
"ChIJjXSVEjU1kzkRy2ZK4PPwBvo","Nikhil Fuels Service","Near Shankar Dhaba, Chailaha, Thana, Banjaria","26.6828078","84.87453839999999","true"
"ChIJD0v-hNo0kzkRR8DyI57GUpg","Sharma Clutch Plate","Sharma Clutch Plate Chhatauni Nh 28, Motihari","26.6485189","84.9297938","true"
"ChIJET91ns81kzkRxQw2y03mplM","Maa Vaishno petrolium","JWWM+VPJ, Motihari - Madubanighat - Pakridayal Road, Refugee Colony, Motihari","26.6472115","84.9342684","true"
"ChIJJdwVF8I1kzkRMac3Sq_NON4","Lala Petroleum","Ward No-6, NH-28, Motihari","26.6729552","84.8804267",""
"ChIJG7oIECHL7DkRI9xS0WQWwDg","Om jai ma jugdumbey","Suga Pipar, Motihari","26.6467584","84.9427968",""
"ChIJn1EKZ-Y1kzkRt4kCTaSVfXg","IndianOil","Ground Floor, Motihari Bypass NH 28A, Chatauni Chowk, Ajgarimath, Motihari","26.6475101","84.9280201","true"
"ChIJBT47GQDJ7DkRcvpNWZyHct0","Indion oil","M2QV+JQ8, State Highway 54, Mishrauliya","26.6893109","85.04500300000001",""
"ChIJbYHrZV7J7DkRez-wA-qt3i4","M. Maa yugeshwari petroleum","SH 54 Dhaka to Motihari, Road, Ghorasahan - Chiraiya Road, Mishrauliya","26.6919858","85.0603829","true"
"ChIJEbQlcsvJ7DkROOoN463LR3c","Hindustan Petroleum Corporation Limited","Ground Floor, Sikarganj - Chiraiya Road, Mishrauliya","26.6919346","85.0617743","true"
"ChIJ_TVGUYjL7DkR3pYmLnDV_MU","ISHAAN RUDRA PETROLEUM","M28C+MC, Lalbeghiya bandh","26.6666187","85.02135659999999","true"
"ChIJLyOosZjJ7DkRiFkl5uMzu-s","Shree Hari Sanskar petroleum","M3V9+525, Mishrauliya","26.6928979","85.0675971",""
"ChIJ81T_NwDJ7DkREsxFNjKrerY","Pathar petroleum","M3WC+7C8, Chiraiya Bazaar","26.6956585","85.0710737",""
"ChIJwcXhtrfJ7DkRMh-4nFNJLH4","IndianOil","Ground Floor, SH 54, Ghorasahan - Chiraiya Road, Baidhnathpur","26.69220129999999","85.07129920000001","true"
