place_id,name,address,latitude,longitude,open_now
"ChIJ6cg9JXu87TkRN482JPxBGVM","Hindustan Petroleum Corporation Limited","Ground Floor, Samastipur Darbhanga Road, Hanuman Nagar, Poaria","26.0645401","85.8148101","true"
"ChIJV3ZiDAC77TkRzuqQ-BIDDSE","RRP PETROLIUM (BPCL)","3RMM+WFP, Dihlahi","26.0848392","85.83371029999999","true"
"ChIJIWSRHwC77TkR2xFZM-ee1fg","Bharat Petroleum","3RMM+WGF, Dihlahi","26.0848211","85.8337844","true"
"ChIJmwG_Sd277TkRQtqxk-bxvW0","IndianOil","Ground Floor, Darbhnaga Samstipur Road, DMC, Darbhanga","26.09427","85.83892","true"
"ChIJ5XHp21m77TkRe5cwO91bxBU","R.J. Bhawani HP Gas godam","4R3W+338, State Highway 50, Dihlahi","26.1026642","85.84521199999999",""
"ChIJly_J6hy97TkRa4w2IlePrr4","IndianOil","Ground Floor Bishunpur, Hanuman Nagar","26.0610449","85.8125025","true"
"ChIJb0ukBaO97TkRaEN__RcHY1A","IndianOil","Ground Floor Patrory, Basant","26.0621261","85.80004629999999","true"
"ChIJB-TSSXO97TkRzD1ef8SQD3A","Maa Kalli Hp Gas","2RQ7+CJP, Ughra","26.0385985","85.8140626",""
"ChIJhysPxyC67TkR0yDcLQdlPS8","Bharat Petroleum","India","26.1421901","85.84693589999999",""
"ChIJSRFlK8Ol7TkRsAkqAkCL0lY","Hindustan Petroleum Corporation Limited","Ground Floor, Moro, Bishanpur Aterbel Road, Araila","26.0900798","85.76436679999999","true"
"ChIJRZamzv247TkRtFOKHf_N288","IndianOil","Ground Floor, Laheriasarai, Sundarpur","26.1183058","85.88931099999999","true"
"ChIJH5hkbAC57TkRtybjEsphfrM","Petrol pump","4W22+PWX, Kabipur, Laheriasarai, Darbhanga","26.1018729","85.9023605","true"
"ChIJM1DUp7K57TkRebA9Ec0t9mk","Shanti Niketan Dabakhena","Shanti Niketan Davakhana, Leaheryasarai.Near Jantadarbar, Laheriasarai","26.1186833","85.90008329999999",""
"ChIJ21kPAjS97TkR_s75NZ_ckPo","राजू भारत ग्रामीण वितरक","2R96+X4P, State Highway 50, Gorina","26.0199699","85.8103311",""
"ChIJLSsAlj6_7TkRNuXb2wWkFB4","IndianOil","Ground Floor, Kharsand East, Simaria Bhindi","26.018507","85.850899","true"
"ChIJfywsVam57TkRo33fLeQLZRk","R R P PETROLEUM","Dihlahi","26.1308634","85.89466929999999","true"
"ChIJsQUnv1a47TkRG-b1Rxc6CNk","IndianOil","Ground Floor, Laheriasarai, Darbhanga","26.1297343","85.8957458","true"
"ChIJSS1siO3A7TkR2wVSzIL2Ej4","Hindustan Petroleum Corporation Limited","near Ashok Paper Mills Road, Ground Floor Anand Pur, near Ashok Paper Mills Road, Horalpatti","26.06753089999999","85.9291825","true"
"ChIJGabtwGu47TkR9HExjhE0IRc","Hindustan Petroleum Corporation Limited","Ground Floor, Sonki Road, Bheluchak, Donar, Kabir Chak","26.144567","85.9136364","true"
