place_id,name,address,latitude,longitude,open_now
"ChIJwagkVP4PKToRQDVKH-awnUs","Bharat Petroleum","Maharajpur, Bemetara, SH-7, Durg Bemetara Highway, Dhamda, Dhamdha","21.44414","81.336888","true"
"ChIJveYQSvEPKToR7KBCiLrPL4c","IndianOil","Ground Floor, SH 7, Durg - Dhamdha Road, Barhapur","21.457604","81.33454100000002","true"
"ChIJIw9nONsPKToRpFsOb5DVjaQ","Bharat Petroleum, Petrol Pump -Omkar Fuels","Birjapur","21.4724361","81.3160935",""
"ChIJI-p0k_kPKToRNw63z47lnQg","Nayara Petrol Pump","F82P+J56","21.4515371","81.335392","true"
"ChIJI2wbOQAbKToRSwE2sUu1UD8","BPCL BHARAT PETROLIUM","C994+CQM, Dhamdha","21.4185849","81.35691369999999",""
"ChIJf_bil5ccKToR4d2i-6wq7k0","Hindustan Petroleum Corporation Limited","Khasara No 1061/62, Ahiwara Berla, Road, Dhamdha, Semaria","21.420806","81.4397801","true"
"ChIJsROV88cdKToRNd0Brcj5HwM","IndianOil","Ground Floor, Dhamdha, Berla","21.4292971","81.44158209999999","true"
"ChIJdVU3VwAdKToR9kPFoEtJ1W4","B R L. Hp petrol pump","CCCR+F2F, Pendritarai","21.421182","81.4400404",""
"ChIJd805WigDKToRHBBvUyrkrGQ","Yadav Petrol pump","FFXQ+H5, Boriya","21.4989093","81.48788730000001",""
"ChIJ7YVJxZYDKToRCvBnFqUTMyI","Hindustan Petroleum Corporation Limited","Khasra No 222/6, Bahera","21.498569","81.488314","true"
"ChIJs6JYvpAHKToR-2UouheoSSs","Bharat Petroleum Petrol Pump , SHRI SAI PRAGYA FUELS","KODWA ROAD, VILLEGE SINWAR, THANA B","21.549664","81.413496",""
"ChIJMeuQfjYCKToRtaCZeCl-ouc","IndianOil","Ground Floor, near Civic Centre, Berla","21.52250339999999","81.4777112","true"
"ChIJ56iA-rMCKToRq_4J5Qgbefs","Om Sai Petrol Pump Sankara","Sonkra","21.4549375","81.49981249999999","true"
"ChIJqZhpezkCKToRSDr37becIWY","Hindustan Petroleum Corporation Limited","Ground Floor, Berla","21.5255597","81.48615629999999","true"
"ChIJr62IWYz9KDoRvQ2-p5EVnAE","Hindustan Petroleum Corporation Limited","Khasra No 351, 1 & 351/2, Berla, Kusmi","21.529593","81.531904","true"
"ChIJSdnaPSr9KDoRPGOiWoNDX3g","JAI TULSI FUELS KSK","Village -kusmi (Sorla chowk), tehsil-berla, Bemetara","21.53021339999999","81.53222219999999","true"
"ChIJB0sAmT8JKToRRZQ3m8j7zxQ","Bharat Petroleum Petrol Pump , AADYA FUELS","DEOKARFROM DHAMDA TO DEOKAR ON LHS","21.551313","81.32248899999999","true"
"ChIJzyxZ6RkJKToR1ZjcVuMXQzw","Hindustan Petroleum Corporation Limited","Khasra No 1762/3, SH 7, Saja, Deokar","21.556074","81.321384","true"
"ChIJG4gj4OoJKToRNZTvbJiw3Ow","IndianOil","Ground Floor, Deoker, Saja Bemetara, Barhapur","21.5727965","81.31969889999999","true"
"ChIJ6a2WawEHKToRd2MwE6ZuxNo","Hindustan Petroleum Corporation Limited","Khasra No 535/2 & 535/3 Saja, Rakhi","21.59520299999999","81.356017","true"
"ChIJeSNGMO79KDoRYq5vyQlG8NM","Hindustan Petroleum Corporation Limited","Khasra No 2192, 1 & 2192/2, Kharra Road, Berla, Durg","21.541552","81.555936","true"
"ChIJszMb_-7_KDoR9-sNDPGs7tw","Hindustan Petroleum Corporation Limited","Khasra No 1719/8, Berla","21.571381","81.557441","true"
"ChIJSz1Y0F_-KDoRdkZyJZomKmY","Dau Pooran Singh Petrol Pump Sarda","Bhatgaon","21.5713672","81.5574683",""
"ChIJUapWePunKToRkbeZgxf_boI","IndianOil","Ground Floor, Saja Road, Bargada","21.6393473","81.3338115","true"
"ChIJgdAjsoUHKToRc1i4I-4PiW0","IndianOil","Ground Floor, Kodwa Road, Berla","21.6245022","81.37549469999999","true"
"ChIJyeUVUYQHKToRzDw_JgfGOEM","Hindustan Petroleum Corporation Limited","Ground Floor, Durg - Bemetara Road, Kodwa","21.624193","81.376347","true"
"ChIJ8cVRJ12nKToRKXchPWoOj5E","IndianOil","Ground Floor, Saja, Bargada","21.65148899999999","81.318681","true"
"ChIJlYP9vySnKToR1UTEEi75Des","Hindustan Petroleum Corporation Limited","Ground Floor, Durg Road, Saja","21.6553465","81.316785","true"
"ChIJfzyKUjepKToRLon5BZ-7o-w","Hindustan Petroleum Corporation Limited","Khasra No 453, 6 & 453/11, Deorbeeja","21.649795","81.396862","true"
"ChIJT3IRDZapKToRFDqq3MCJqHA","Fuel pump","Bemetara","21.6644766","81.4071766",""
"ChIJbYKFlS6pKToRQiD_hhXvR8g","IndianOil","Ground Floor Dewarbija, Berla, Bargada","21.665133","81.40673799999999","true"
"ChIJnaaUtiaqKToRvIeDANp4oyc","Jio bp","India","21.6656142","81.4322562",""
"ChIJo-rs8xmrKToRrJlq9DmxNuk","ARIHANT FUELS JIO","Bemetara Road, Deorbeeja","21.6676969","81.4349372",""
"ChIJY_92aQCrKToRTjV0lhVChtM","Devarbeeja road","MCGJ+M65, Berla","21.6766432","81.4306148",""
"ChIJX2G5D2__KDoRw-P5441Mb3A","Jai Maa Mahamaya Petrol Pump,Sarda","Andu","21.6018117","81.5599834","true"
