place_id,name,address,latitude,longitude,open_now
"ChIJ7_pF1qdzKDoRGKD4Kc2QI9E","IndianOil","Rahangi","21.9976099","82.09528859999999","true"
"ChIJW5IYJA5zKDoRpUT96F7izV4","Panchdevi petroleum","Chakarbhatha","22.0117142","82.09888749999999","true"
"ChIJJ1HlTBRzKDoR0aRrJRGKFcU","Petrol Pump","24C2+9XW, Bodri","22.0209949","82.10245479999999","true"
"ChIJLTZ_mrNyKDoRgSKfkvvTWAw","Petrol Pump","Bilaspur","22.0420205","82.05620669999999",""
"ChIJLxUsdONtKDoRTS9nMI7usVw","Hindustan Petroleum Corporation Limited","Ground Floor, Raipur - Bilaspur Expressway, Dhaurabha","21.9544309","82.02734120000001","true"
"ChIJr8WAY2tzKDoRzlgoxlZvngo","IndianOil","Ground Floor Pendridih Chowk, Sakri, Bypass Rd, Bahtarai","22.0057118","82.0562994","true"
"ChIJlSaIn_ZzKDoRNIxorU85EjA","Neel Mangal Fuels","Sakri bypass, pendridih, Borsara","22.0054193","82.05625239999999",""
"ChIJ718nkgNzKDoRAP5-QqVJ2uM","IndianOil","near Hirri, Ground Floor NH 200, Hirri, near Hirri, Mines, Anda","22.0077352","82.0889143","true"
"ChIJIScbLThzKDoRfJQWuRB2rbI","Maa kaveri fuels","238Q+J2X, Chhatauna Main Road, Amsena","22.0166114","82.0876205","true"
"ChIJD9YrkltyKDoRgMAJT7QzK8A","HP PETROL PUMP - SHRI SIDDHI VINAYAK FUELS","Ground Floor, Hardi","21.9910269","82.0687827","true"
"ChIJBwf3lSxzKDoRS1_mMVcqg5g","Hindustan Petroleum Corporation Limited","Ground Floor, opposite Pratap Chowk, Rahangi","22.011038","82.092259","true"
"ChIJN6pNBF1yKDoRSv8UBqhKELs","Bharat Petroleum- Antulal & Sons","X3Q7+MWH, Belan Road, Pendridih, Jhalpha","21.9891953","82.06486459999999","true"
"ChIJZzhdIF1yKDoR7ebzIWpkfmU","IndianOil","Ground Floor Pendridih, Anda","21.98838799999999","82.0652272","true"
"ChIJndN1uURyKDoRfDTjUp-q-7w","BHARAT GAS","India","21.9860192","82.0690386",""
"ChIJ6Xcp1KRyKDoRrLH1Okf782A","IndianOil","Ground Floor, Takhatpur, Camp, Chakarbhatha, Amsena","22.0303001","82.0515001","true"
"ChIJWe5BTlxzKDoRUbzhOFnvC_g","IndianOil","near New High Court, Ground Floor, Bodari NH 200, near New High Court, Bilaspur Road, Camp, Chakarbhatha","22.01713489999999","82.09990359999999","true"
