place_id,name,address,latitude,longitude,open_now
"ChIJX9wF-ynzJzoR1FoEit8Zq2c","Petrol Pump","Sarai Singar","22.3065418","82.5559258",""
"ChIJqwMgqA-MJzoRzjYJJ5-wr40","Bharat Gas Godown Adarsnagar","8JXP+757, Adarsh Nagar, Kusmunda","22.3481656","82.63542919999999",""
"ChIJm0ikP6aNJzoRtSKn9eYv3XI","Bharat Petroleum, Petrol Pump -Tarun Fuels","BANKI MONGRA, Korba","22.3036187","82.6117584","true"
"ChIJS1Sy5BqNJzoRheBtbOOm4Mw","Dawarka Fuels KSK","On gevra pantora, road, Birda","22.2701132","82.6441318","true"
"ChIJT1-QYTKNJzoR4VJ-JvbtlYQ","IndianOil","Ground Floor, Katghora","22.268893","82.64376639999999","true"
"ChIJL8LzSQDzJzoRlUJzfGTi8c0","RANI FUELS","7HV3+X3J, Pravesh Baloda Marg, Sarai Singar","22.2952577","82.55292779999999","true"
"ChIJ0_spCU3zJzoRNtZm8XA0xnw","HP Bhumi Fuels","Sarai Singar, Hardi Bazar","22.299145","82.5529049","true"
"ChIJvetc42eNJzoR5LAt330tock","IndianOil","Gevra Road, Kusmunda","22.3469379","82.6529774","true"
"ChIJxdN-2lyNJzoRS0mANucN6nc","Hindustan Petroleum Corporation Limited","Ground Floor Bhairotal, Korba - Banki Mongra Road, Kusmunda","22.354979","82.63831499999999","true"
"ChIJ-Y-19pWNJzoRz5KUhPTNm_w","IndianOil","HN 1137/1 Premnagar, Colliery, Kusmunda","22.355313","82.637653","true"
"ChIJpVRnQwCRJzoRke4HVeagsgY","Hindustan Petroleum Corporation Limited","Ground Floor, Karma","22.241034","82.65207600000001","true"
"ChIJQdZk7JORJzoRFlUdwAcFUj0","Bharat Petroleum, Petrol Pump -Akash Fuels","KANKI, DIST-KORBA, Korba","22.2417896","82.6579534",""
"ChIJr5h0K2vzJzoRLVAaU2iKVus","IndianOil","Ground Floor Baloda Road, Dhatura, Birda, Hardi Bazar","22.265552","82.546656","true"
"ChIJTdevAUaSJzoRO1CuozzTOuM","IndianOil","Ground Floor, Hardi Bazar, Birda","22.226131","82.6214991","true"
