place_id,name,address,latitude,longitude,open_now
"ChIJwwvbYonHvzsR2Ovh4ZdeBds","IndianOil","Ground Floor, NH 17, Mormugao","15.397872","73.837931","true"
"ChIJzZdJK5bHvzsRWvrzuI_TMVE","Hindustan Petroleum Corporation Limited","Chalta No 45, Pt Sheet No 91 Vasco Chicalim Road, Mormugao, Mundvel, Vasco Da Gama","15.398982","73.818939","true"
"ChIJXXE-i7rHvzsRsxMyRf368wc","Hindustan Petroleum Corporation Limited","Ground Floor, opposite Max Showroom, FL Gomes Road, Mormugao","15.397701","73.809111","true"
"ChIJrbgr-7zHvzsRKJ7rx4z9Kl8","Bharat Petroleum","9RX7+QXC, Vaddem, Vasco Da Gama","15.3994423","73.8149037",""
"ChIJPxYEfvDHvzsRlxoHikQaNk8","Indian Oil Coporation Limited","Aviation Fuel Station, inside Ins Hans, Adabolim, Dabolim","15.380556","73.833056",""
"ChIJTaHt1D25vzsRt9XrLpcSLrY","IOAGPL CGS, South Goa","9VGG+C9R, Sancoale","15.3761031","73.8759041",""
"ChIJ2YpbXiy4vzsR-W4c8OX5dbo","IndianOil","Ground Floor, Zuarinagar, Sancoale","15.376395","73.881045","true"
"ChIJYew0Ioi3vzsRLR_EOE5d0_4","Bharat Petroleum, Petrol Pump -Friends Auto Service","9VFM+PG4, Zuarinagar, Sancoale","15.3743904","73.8839347","true"
"ChIJiZ6CLQC5vzsRRdddeeUZYJw","HPCL petrol pump","9VPG+HCH, Sancoale","15.3864399","73.8761033",""
"ChIJXWVvro_HvzsRXrwnkfO9alU","Jio-bp pulse","Ground Floor, opposite The HQ, Swatantra Path, Vaddem, Vasco Da Gama","15.3971572","73.8128686","true"
"ChIJK1F3uM7HvzsR9mFK8iVtAZY","Roy's Auto Boutique","Swatantra Path, New Vaddem","15.398961","73.81853439999999","true"
"ChIJ-WXZLJbHvzsRRTsPMx-bqBQ","Bharat Petroleum Roy's Auto Boutique petrol pump","366, National Highway, Vasco Da Gama","15.3990289","73.8186987","true"
"ChIJhRszzpDHvzsRtnEPTBBG0BE","IndianOil","Ground Floor, near Kadamba Bus Stand, Mangor Hill Road, Vaddem, Vasco Da Gama","15.400083","73.822833","true"
"ChIJl7GB_063vzsRuXAtl31HZMU","Hindustan Petroleum Corporation Limited","Survey No 46/1, National Highway 66, Verna, Mumbai","15.361322","73.927551","true"
"ChIJWdr36Ni5vzsRjZ0P4OGIgGU","BPCL Petrol Bunk","","15.3763652","73.9047689","true"
"ChIJBcuLKt-5vzsR8Vc15ynp96U","Hindustan Petroleum Corporation Limited","Survey No 64/3 Airport Road, National Highway 566, Mormugao","15.3770905","73.9067604","true"
"ChIJg9IDHv25vzsRauR7feIYmsY","BP Petrol Pump","Kesarval, National Highway Road 17, Cortalim","15.37855","73.926264","true"
"ChIJW27Ww1e3vzsRGx_7qffCDvA","IndianOil","Ground Floor, NH 17, Madgaon Panaji Road, Verna","15.3745526","73.9258076","true"
"ChIJXXRCyuS5vzsRmgZ6jr-O12o","IndianOil","Ground Floor, National Highway 66, Kesarval, Cortalim","15.3829155","73.92409839999999","true"
"ChIJESjTsZqzvzsR87Rf2ABTcno","IndianOil","Survey No 44, 2A, Colva Beach Road, Seraulim","15.27925","73.937629","true"
"ChIJTeAHdlOxvzsR9mLrhaTinQw","Hindustan Petroleum Corporation Limited","Survey No 163, Rmc Plant, near Adwalpalkar Strongest, 1/A, Salcete, Loutolim","15.347739","73.96823599999999","true"
"ChIJ2e1e2Om4vzsRT723nKSTVZ0","IndianOil","near Football Ground, Survey No 183/13 Bambolim,Batim, near Football Ground, Agaçaim","15.439803","73.873283","true"
"ChIJ29cl2NHAvzsREW6y0VCw5w0","Indian Oil Petrol Pump","Miramar, Panaji","15.4655658","73.8066056","true"
"ChIJfVQmtfjBvzsR1i3Df8qIwF4","IndianOil","Ground Floor, Dando, Caranzalem, Panaji","15.465588","73.8065522","true"
"ChIJd0OqtQy5vzsRqU-uvPURLBA","Petrol pump","CW55+5FV, near Ferry Point, Quelossim","15.4079779","73.90866",""
"ChIJmUTP_YzAvzsRIc7i-X0Wcvc","Bharat Petroleum Petrol Pump","FRWC+8C9, near Don Bosco High School, Mahatma Gandhi Road, Santa Inez, Panaji","15.49578109999999","73.82110569999999","true"
"ChIJTXQTr47AvzsRBOchqhLwDzs","Vernekar Marketing","Suyash Complex, near Old Passport Office, Swami Vivekanand Road, Ozari, Panaji","15.4957373","73.82536019999999","false"
"ChIJd9vbxprAvzsReKpdik33wiQ","BPCL Petrol Pump","GR2G+957, Altinho, Panaji","15.5009118","73.8254371",""
"ChIJW4uDPJrAvzsRA-3fJSb1-uk","Hindustan Petroleum Corporation Limited","No PB 138, Rua de Ourém, Tiswadi, Panaji","15.488901","73.83196099999999","true"
"ChIJvyaUPmLAvzsRwRWIdQBM940","Bharat Petroleum","GR4G+G53, Alto- Betim Porvorim, Bardez","15.506267","73.825435","true"
"ChIJwz2ctVbAvzsRRxunJ7ReAwo","Hindustan Petroleum Corporation Limited","near Shantadurga Temple, Survey No 84/6, Nerul Coco Beach Road Reis Magos, near Shantadurga Temple, Bardez, Nerul","15.5082991","73.8021022","true"
"ChIJz_fibYnAvzsR_KNfAZpd2Gc","G M S Contoco & Bros","GR2G+94X, opposite Ferry Point, Dayanand Bandodkar Marg, Ozari, Panaji","15.500985","73.825373",""
"ChIJudjExprAvzsRUHGghChQouU","Bharat Petrol Pump","FRVJ+4P9, Rua de Ourém, Altinho, Panaji","15.4927803","73.8318438","true"
"ChIJMwYeF4bAvzsR-KQPfhahvZ0","HP PETROL PUMP - MANGUIRISH S CENT. PANJIM","Road Panaji GOA, Avenida Dom João de Castro, Vasco Da Gama","15.5005081","73.8308253","true"
"ChIJATHHJ4PAvzsRtVgHTKawgE4","IndianOil","opposite Kadamba Bus Terminus, Neugi Nagar","15.4951585","73.8391086","true"
"ChIJAQAAAJTAvzsR0Gb7YooTNVA","Bharat Petroleum Corporation Limited","Plot No 32, E D C Complex, Patto, Post Baug No 228, Panaji","15.4969111","73.83466419999999",""
"ChIJRQuNcobAvzsRXA40JRrh-bM","Agências Bharat Petroleum","GR2J+2PG, Mahatma Gandhi Road, Campal, Patto Colony, Panaji","15.5000658","73.8318211","true"
"ChIJa-RhcobAvzsR5wjX4UJW-L0","Hindustan Petroleum Corporation Limited","Chalta No 40, PTS 35, near Panaji Residency Hotel, Dayanand Bandodkar Marg, Panaji","15.5004299","73.8310961","true"
"ChIJu_cJ-Om-vzsRMyZY8I7IBJ4","Bharat Petroleum, Petrol Pump Cng station-West Coast Petroleum","BAINGUINIM,RIBANDER BYPASS, NORTH GOA","15.487715","73.9055534","true"
"ChIJXRxDMx_BvzsRqsJ44fDCXtA","Goa Natural Gas Pvt Ltd CNG Station","Neugi Nagar","15.4953416","73.8391015","true"
"ChIJsXScgYbAvzsR9SsSPD6o_a8","Hindustan Petroleum Corporation Limited","Survey No 2850 & 2851, No, PB/138, Dayanand Bandodkar Marg, Near Head Post Office, Tiswadi Nearr, Panaji","15.4996653","73.83339","true"
"ChIJVVVVVWTAvzsROxEuyK4kRms","Bharat Petroleum Petrol Pump.","NH-17, Alto near Teen Building Alto- Betim Porvorim, Porvorim","15.5193846","73.8291097","true"
"ChIJpcQMgQq9vzsR9DVGnO5PYWk","IndianOil","Survey No 25/1, Tiswadi, Baingini","15.4875656","73.9033819","true"
"ChIJyy4zt5u-vzsRJcgDhUbfIOI","IndianOil","National Highway 748, Taluka, Ilhas, Corlim","15.4969985","73.92803049999999","true"
