place_id,name,address,latitude,longitude,open_now
"ChIJRzCQgGlRXzkRuIxUiSYqMkY","IndianOil","Ground Floor Vartej, Gujarat State Highway 25, Bhikhda, Bhavnagar","21.741899","72.06454","true"
"ChIJY21E42pRXzkRp2uNkwuTBCg","Hindustan Petroleum Corporation Limited","S No 111, Plot No 34, Bhavnagar Rajkot Highway, Vartej","21.742291","72.068271","true"
"ChIJNYjsm2ZRXzkR99B97lSWomQ","Jio-bp","Survey No 18 Sh 25, Bhavnagar, Highway, Rajkot","21.7434967","72.05467180000001","true"
"ChIJ2WkER_tQXzkRPB7JDV4yxM4","Bharat Petroleum CNG Gas Station","Q442+9JR, Bhavnagar - Rajkot Road, Chitra, Bhavnagar","21.7559845","72.10151379999999","true"
"ChIJuWQOE51XXzkR84gfGlc5Zps","Ambika petro company","Sidsar to, Road, Sidsar, Valukad","21.7025929","72.1119514","true"
"ChIJN4SqZj9RXzkRfy6VUXZECSU","IndianOil","Survey No 191/Paiki 2, Bhikhda,Sidsar, Shampara","21.7253107","72.1021513","true"
"ChIJr3VP3zpXXzkRKIqGNIeYXck","Shivshakti petroleum","Road, Sidsar, Valukad","21.6852407","72.1136867","true"
"ChIJt79rtTZXXzkRD-TblibprUI","Hindustan Petroleum Corporation Limited","Survey No 164 & 165P1 SH 36, Vartej, Bhavnagar - Sidsar Road, Budhel","21.7144638","72.1123159","true"
"ChIJ0aiduEFRXzkRhLYoO2-1REE","Bharat Petroleum, Petrol Pump - Shah Petroleum (Vartej)","Vartej","21.7405438","72.0630984",""
"ChIJz_vDEABXXzkRn30uQiSl5vU","H. V. S. Farm","M4C4+GWM, Valukad","21.6713419","72.107295",""
"ChIJU4E1bQBRXzkRubfrdw3n2vo","CNG gas","P3R9+VPC, opp. INDIANOIL, NR SIDSAR ROAD, CHOWKDI, Vartej","21.7421831","72.06926709999999",""
"ChIJT68PrgZRXzkRX_pkajwmCTw","IndianOil","Ground Floor, SH 25, Vartej","21.7422838","72.0694097","true"
"ChIJ-ROprGtRXzkRCUz65CFtVqc","R.K.Petroleum","P3R8+XW8, Vartej","21.74241469999999","72.0673216",""
"ChIJDUKMZcRlujsRSuTsTrofUSo","IndianOil","Survey No 404 Paiki 1, Chavdigate, Vartej","21.7406071","72.0449308","true"
"ChIJPaxOYxBRXzkRiI1ANNIJk4c","IndianOil","Lock No 21016/2 A Site, Vartej, Bhavnagar Chavdigate, Bhavnagar","21.750097","72.0817048","true"
