place_id,name,address,latitude,longitude,open_now
"ChIJXy7mHcvLWTkRTSOrmkhii0s","Bharat Petroleum","Kalawad Road, Vrindavan Society, Nana Mava, Rajkot","22.2782735","70.762579","true"
"ChIJb0QJMcvLWTkRvf_rP_G61Oo","Shell","Kalawad Road, Vrindavan Society, Rajkot","22.2793346","70.763922","true"
"ChIJSXShczPKWTkRhS0gAuHCciA","IndianOil","Ground Floor, Kalawad Road, Rajkot","22.282818","70.766853","true"
"ChIJlRNKhdLLWTkRZ9STGOtge9M","HP Petrol Pump","University Road, Panchayat Nagar, Rajkot","22.2875813","70.7621502",""
"ChIJX_Jko2nKWTkRuIH-AIqwhXA","Suryavandana transport Bharat Petrol pump","Street No.1, Mavdi Main Road, Mavadi Industrial Area, Chandreshnagar, Rajkot","22.2713284","70.79057019999999","true"
"ChIJh1dZPorLWTkRzXH_2IwAigo","BPCL Fuel Station","Rajkot","22.2384126","70.7596664","true"
"ChIJbeoe4CbLWTkR3cGj-pYE8bs","Hindustan Petroleum Corporation Limited","Ground Floor, Lodhika Road, Pal","22.222151","70.761641","true"
"ChIJNwt1UZbLWTkREzuZnljpbPA","TILALA CNG ONLINE","Pal","22.228282","70.7647405","true"
"ChIJG4EcLwDLWTkR6oQ244JylbE","TILALA PETROLEUM","2nd Ring Road, Pal","22.2263592","70.7658902","true"
"ChIJozmNb9LLWTkRWbinrGaiDV4","I KHODAL PETROLEUM","Village Pal Mavdi Ravki, Road, Rajkot","22.2098496","70.7557601","true"
"ChIJyXVp80jLWTkRXBZbrXxBWaw","Balaji Petro Club","2, near Balaji Petro Club, C/O, Mavdi Main Road, Rajkot","22.2369425","70.7672679","true"
"ChIJWRLwZqVJxzsR6ll6LJcA9rM","IndianOil","Survey No 138, Mota Mava, Rajkot","22.2604638","70.7535497","true"
"ChIJ8Q1rtpw1WDkRU1JsyIsCGtg","Shree radhe petroleum","6P2M+4R5, Mavdi Main Road, Ravki","22.2003125","70.7338125","true"
"ChIJ5St2j_jLWTkRmcZk8vPlDy4","Bharat Petroleum, Petrol Pump -BP-Rajkot","KALAWAD ROAD RAJKOT NR RAN, Rajkot","22.2671562","70.7240518","true"
"ChIJE30fEADLWTkRH7amH5Mf9M8","Bharat Petrolium","7Q37+H65, Rajkot","22.2538769","70.7631099",""
"ChIJ2ciYSHDMWTkRJXD62J1iA1Y","IndianOil","Ground Floor, Vajdi Virda, SH 23, Kalawad Road, Kankot, Rajkot","22.2588356","70.7043115","true"
"ChIJN2QqwTvLWTkRGTKbyrAzmt4","Centria Fuels","near Saraza, Kalawad Road, Rajkot","22.2699434","70.741686","true"
"ChIJ-UIvhoXLWTkRfQeycvDjtc4","Nayara Petrol Pump - L and D Energy","S. No. 27, Survey No. 343/1 Paiki, Plot No. 85 to 90, T.P, F.P. No. 16 O.P. No. 16, Mavdi, Rajkot","22.2470264","70.7704778","true"
"ChIJrcTGfQDLWTkRZiBdvmVAToM","Gujarat Gas CNG Station","Mavdi Plaza, near Sarvodaya School, 203, 80 Feet Road, Mavdi, Rajkot","22.2459052","70.7720176",""
"ChIJx2wHiv_LWTkRy3YMwNLJg2A","Hindustan Petroleum Corporation Limited","Plot No 52, Pal Road, Mavdi, Rajkot","22.2464498","70.7724662","true"
"ChIJ-zV2qZbLWTkRt1FjMiTq7jY","JK Energy","near Jay Khodiyar Farm, 2nd Ring Road, Lodhika, Pal","22.2152666","70.7700029","true"
"ChIJcU2Nm_7LWTkRd3lp8RzckH8","B & H FUELS AND LOGISTICS","Oppo Kathiyavadi Jalsa, Kalawad Road, Nana Mava, Rajkot","22.2736457","70.75185119999999","true"
"ChIJ56HfVqVA_xMRrnG0PDnlr4s","Hindustan Petroleum Corporation Limited","Ground Floor, SH 23, Rajkot Jamnagar Highway, Vajdi","22.2497201","70.6835901","true"
"ChIJb_CfhI3LWTkRQMA030CEAjU","MAA petrochem","202, Nana Mava Road, Satyam Park, Shastri Nagar, Rajkot","22.2708211","70.766424","true"
"ChIJIcwDw1DMWTkRe5GLWGEjs0I","Gohil Raj Petroleum","VAJDI, NR GIDC, Metoda, Rajkot","22.24926409999999","70.67909259999999","true"
"ChIJhZ0Pw1vKWTkR-dqoz5fi7hk","EAGLE MOTORS","India","22.261282","70.7805408",""
"ChIJj-RdDUHLWTkROVqIS7XFDF0","Nayara Petrol Pump - Narendra Petroleum","Nana Mava Road, Rajkot","22.2719228","70.77126799999999","true"
"ChIJWXY_5NfLWTkRCcy4BORlr1w","Vavdi Fuels","opposite Tapan Hights, 80 Feet Road, Rajkot","22.2414043","70.7893251","true"
"ChIJa-XF4gbLWTkR8BnODxfgHrk","IndianOil","Ground Floor, near Rani Tower, Kalawad Road, Rajkot","22.2790185","70.76364319999999","true"
"ChIJwwJeXU3LWTkReIXiS-A4nhM","Hindustan Petroleum Corporation Limited","No 54/P/2, Survey, Vavdi, Rajkot","22.2405316","70.78982959999999","true"
"ChIJP3xi-Do1WDkRfPe_tM4NuMA","Hindustan Petroleum Corporation Limited","Rs No 13 Kansiyali, Road, Dholra","22.1996238","70.7776232","true"
"ChIJ5w8gR0XNWTkRFxxIYYHSXTQ","Reliance Gas (Prabhu Gas Agency)","opp. Sahyog complex, 20, Kalawad Road, GIDC, Lodhika, Metoda, Rajkot","22.2443218","70.6743295",""
"ChIJjZJjlkTKWTkRHSz3ugL1ZsE","GS Caltex","India","22.267813","70.7812118",""
"ChIJNZtccQDLWTkRH_hwNTA-MJU","Pumping","7PRJ+7Q7, Rajkot","22.2906717","70.7319117",""
"ChIJDS0t-yjLWTkRH6GMqfewH1s","Nayara Petrol Pump- Amrut Petroleum","150 Feet Road, Umiya Chowk, Shastri Nagar, Dharam Nagar, Rajkot","22.261785","70.7862908","true"
"ChIJld5Ox6HLWTkRYtx_fXxAPFY","Shell Petrol Station","opp. Hotel Fortune Park, 150 Feet Ring Road, Mavdi, Rajkot","22.2578647","70.78885249999999","true"
"ChIJISxM_MTLWTkRyY0TEWEycRw","Siyansh Petrolium","B 1, Corner, Sadhu Vasvani Road, Rajkot","22.2838185","70.7639014",""
"ChIJy68C0I7LWTkR4ms1imfIxZs","IndianOil","150 Feet Ring Road, Nana Mava, Rajkot","22.2723","70.78009999999999","true"
"ChIJnUxvt_PLWTkRT4RDs5fbzU4","MSHSD HP Auto Centre RMC2 Petrol Pump - HP Petrol Pump","Circle, 150 Feet Ring Road, Nana Mava, Rajkot","22.2771703","70.7778206","true"
"ChIJfUImzdjLWTkRnoISamst8Mw","Hindustan Petroleum Corporation Limited","Plot No 4, 150 Feet Ring Road, Rajkot","22.277249","70.7778817","true"
"ChIJw5O60fzLWTkRw2XoVzEDn4c","Radhe fuel (nayra petrol pump)","6Q7V+CVW, near RADHE FUEL (NYARA PETROL PUMP, Punit Nagar Road, Punit Nagar, Mavdi, Rajkot","22.2136182","70.7947025","true"
"ChIJXaBt1j7LWTkRIE3HlqD7Ks4","Shiv Petrochem","On 150 FT Ring Road, Opp. BRTS bus stand, Gondal Chowkdi, Rajkot","22.2434639","70.7990037","true"
"ChIJZUTk8v7JWTkRKJmjTlhxtUk","SATADHAR PETROLEUM-BPCL. CNG PUMP ONLINE","new 150ft ring road","22.2964576","70.7282602","true"
"ChIJTealXIQ1WDkRCtLBoX3zC5k","POOJA PETROLEUM","nr. Pooja Pan, Virva Dholra, nr. Pooja Pan, opp. Khodal Hotel, Main Road, Virva","22.17213839999999","70.7439216","true"
"ChIJw1ukFlg1WDkR7ecTXDkgBQg","Ram petroleum","2nd Ring Road, Dholra","22.1937227","70.78422069999999","true"
"ChIJUfhpR3HLWTkRQ6rajtU8bmY","Bharat Petroleum, Petrol Pump -Suryavandana Transport","MAVDI ROAD,RAJKOT NEAR FIR, Rajkot","22.247475","70.79969109999999","true"
"ChIJB437iY_KWTkRxpKAmr2z0yw","IndianOil","Gondal Road, Kotharia","22.2471791","70.7998033","true"
"ChIJzwZbn5rKWTkR9hBLSpIDB5Q","Pride","India","22.2442248","70.8004148",""
"ChIJpbm7IKXKWTkRzf1UfGUWBDw","Amin","6RG2+7GJ, Maruti Steel Road, Vavdi, Rajkot","22.22571360000001","70.80127929999999",""
"ChIJs8DLUKVA_xMRwpVqEUWPhT8","Amco Diesel Service","6RX2+V5F, Outside Octroi Naka, Gondal Road, Rajkot","22.249688","70.800414",""
"ChIJFeExxEHKWTkRrG9y43wPpRY","Ravi Mandap Service","India","22.2746075","70.7871426",""
"ChIJVySRK-TLWTkRLKCMi5x5WYY","Tripada petroleum & CNG Pump","Gondal Road, Rajkot","22.2537451","70.7998872","true"
"ChIJ9VifsUXLWTkRh2fHs1kaFWs","Guru Nanak fuel station","Laxmi Co Operative Housing Society, Chandreshnagar, Rajkot","22.2775974","70.7855819","true"
"ChIJlQo-YNrLWTkRiz2pyyYpjBg","Khodal Petroleum","Ganga Hall Chowk, Surya Park, opp. Chandan Super Market, Amin Marg, Rajkot","22.2848692","70.7775049","true"
"ChIJL6b4rKjKWTkRUIFwIbovD6Q","Aerodyne pump industries","PLOT NO 1 B , VARDHMAN INDUSTRIAL AREA , B/H KOTHARIYA SOLVANT, Chandreshnagar, Rajkot","22.2724594","70.7904126","true"
"ChIJu7nYM4TKWTkRlS8ImbbHOVI","FI STAR SUBMERSIBLE PUMP","India","22.2493864","70.8025637",""
"ChIJE0PmKBs1WDkRDHxzmviT09k","IndianOil","S No 36, Paiki 1, Survey No 167, Old, Kangsiyali Road, Lodhika, Khokhdadad","22.2106603","70.800697","true"
"ChIJ7wT71jE1WDkR2VeU4FyRD0k","YUVRAJ FUELS (BPCL RO)","ON NH-27, Rajkot - Gondal Highway, Rajkot","22.2103493","70.80057339999999",""
"ChIJN3c6k6jLWTkRkl9fgXZQwZQ","RMC 5 HP Petrol Pump & Gas Station","Plot No 515, Gopal Chowk, Rajkot","22.2960146","70.7618914","true"
"ChIJYfeiTVzLWTkRU8ryLzNCiI4","AMUL PETROLEUM","Gondal Road, Panchsheel Park, Samrat Industrial Area, Rajkot","22.260075","70.7999652","true"
