place_id,name,address,latitude,longitude,open_now
"ChIJh9BJCab2BDkRzWyx48fbytw","Bharat Petrol Pump","X467+WXP, Akhara, Kullu","31.9623264","77.1149472",""
"ChIJmSrNVDL1BDkRkk7jhr0NQOM","IndianOil","Ground Floor, Babeli, Biasar","32.0121598","77.1275462","true"
"ChIJn66IJVT1BDkRC_9LMCAdFpY","IndianOil","Ground Floor, Shangri Bag, Bazar, Ramshilla, Akhara, Kullu","31.970247","77.1225008","true"
"ChIJb1VVVa72BDkRjp4PQjsxR_8","Parvati Service Centre","Shamshi Distt Kullu, Shamshi","31.959027","77.111121","true"
"ChIJue9IISj3BDkRVeKnRSowAls","IndianOil","Ground Floor, Bazar, Akhara, Dobhi","31.9581499","77.11625459999999","true"
"ChIJzcbzw8n2BDkRAA7v6LvPiy0","IndianOil","Ground Floor Gandhi Nagarnagar, Akhara Bazar, Bhunter","31.9439993","77.1100319","true"
"ChIJ3yPZAmBfBDkRk9iQQaOF5Po","IndianOil","Ground Floor SH 13, Jari, Manikaran Road, Barshaini","31.985096","77.225045","true"
"ChIJkw06CNVfBDkRIhYpnnyKJWs","Hindustan Petroleum Corporation Limited","Ground Floor Manikaran, Kasol Road, Kullu","32.003139","77.255361","true"
"ChIJR9_zrxSLBDkRFlDYAbYd1qM","Bharat Petrol Pump","Dobhi","32.0855098","77.12629729999999",""
"ChIJQ4-smLOLBDkRh5DHy6dsA9I","IndianOil","Ground Floor NH21, Katrain Patlikuhal, Baragaon","32.096015","77.132323","true"
"ChIJ1avI9wqLBDkRP0NEPMUZGt8","Hindustan Petroleum Corporation Limited","Ground Floor, National Highway 3, Katrain","32.101845","77.134294","true"
"ChIJuVTpoa6LBDkRie-BXSP92nQ","Shree laxmi narayan filling station","Larankelo","32.0918096","77.1463404",""
"ChIJARm7tqyLBDkR9rxx3u0KV7o","JioBp (Reliance petrol pump)","444R+WQP, National Highway 21, Patlikuhal","32.1073435","77.1419377","true"
"ChIJC8l7liGJBDkRR3N7B2H1UWM","Reliance Petroleum","Ms 292, Nh 21, Katrain","32.1074534","77.1424067","true"
"ChIJk3Ss18iLBDkR2O3aQxl79PE","Sidharth Filling Station","Kharkibehad, NH 03, PO, Katrain","32.1296996","77.1240512","true"
"ChIJCaQ4c9CLBDkRbSh94xwhgVs","IndianOil","Ground Floor, Kothi, Naggar","32.1025925","77.1569576","true"
"ChIJ1Zx6jg6LBDkRUvC1cFkP4O4","IndianOil","Ground Floor, Manali, Patlikuhal","32.11850400000001","77.1484382","true"
"ChIJz75ePlqKBDkR0YVLAqnAoOk","Hindustan Petroleum Corporation Limited","Ground Floor, Naggar","32.113434","77.161861","true"
"ChIJqcvMPgCLBDkRhWJ1engXpdc","IndianOil","Ground Floor, Manali","32.1342963","77.15416170000002","true"
"ChIJ-8qxEsiJBDkRTs_eWb7d46Q","IndianOil","Ground Floor, Barshai, Manali, Haripur","32.1547001","77.1845","true"
"ChIJ5b7ZZwCJBDkRD2pXr2NrMf4","IndianOil","Ground Floor, NH 21, Kullu Manali Road, Bran","32.2208001","77.191901","true"
"ChIJkVkKLyCIBDkRg5qf8lXsj9s","Harisons CNG Filling Station","NH21, Rangri, Manali","32.2210174","77.1919831",""
"ChIJ_2LBcR-IBDkRDl1YXoLcsno","Hindustan Petroleum Corporation Limited","Ground Floor, New NH 3, Simsa, Manali","32.2222325","77.190919","true"
