place_id,name,address,latitude,longitude,open_now
"ChIJEamyMQObHjkR-AYli_iqZfI","IndianOil","Ground Floor, near Miran Sahib, Devian, Khour","32.6537001","74.831001","true"
"ChIJzWw3VGKPHjkRGyD4GDwdgJU","Amar filling station","Alora r, 54 Mandal Phallian Road, Jammu","32.69413109999999","74.7642074",""
"ChIJX8GZ7u-PHjkR-EpCgIYoC9o","IndianOil","Ground Floor, Alora","32.6931782","74.76174759999999","true"
"ChIJiYxShz6PHjkRLH1BwDgMzUs","AMAR FILLING STATION","Dei Chack Sohanjna Road, Jammu","32.6967783","74.7440053",""
"ChIJcwyNxFuFHjkRGQY6mxpmL60","Hindustan Petroleum Corporation Limited","Ground Floor, Phliyan Road, Jammu","32.6969541","74.7874435","true"
"ChIJH1-QinSPHjkRa1niAk7A_XU","HP PETROL PUMP - SHRI RAM FILLING STATION","Ghou Manhasan Road Bhadrore Near to Hanuman Mandir, Jammu","32.7265004","74.7589911","true"
"ChIJ8y1OawCPHjkRsHDSXXVt1eE","Sai Ram filling station","PPFR+6PC, Ghou Manhasan","32.72347","74.7424333","false"
"ChIJuSL4B86FHjkR1LUdqlsyyRk","Bharat Petroleum, Petrol Pump -Rahat Filling Station","JAMMU CITY, Jammu","32.6871202","74.815994",""
"ChIJFYbgfwCFHjkRgNGvUXSgMLY","Hindustan Petroleum Corporation Limited","Ground Floor, Manhas Road, Jammu","32.7306438","74.81381929999999","true"
"ChIJj_oFNQaPHjkRTJl8prY6_8I","Hindustan Petroleum Corporation Limited","Ground Floorsk NH 244A, Marh Ring Road, Marh, Karloop","32.743641","74.723091","true"
"ChIJfQFP9ruFHjkRE-CIbmQuGDc","Hindustan Petroleum Corporation Limited","near Tawi Bridge, No 4 Satwari Road, Jammu","32.700975","74.832559","true"
"ChIJA0IF4H6bHjkRXKQ4Ox2BvTo","Yahowa filling station","Yahowa Filling Station, Jammu","32.64682189999999","74.8016401",""
"ChIJWYiBmCabHjkR9Qd3kfqowkg","AMAR SERVICE STATION","","32.6723729","74.83264129999999",""
