place_id,name,address,latitude,longitude,open_now
"ChIJqfDbwXE_9DkRXshlxHKjZlI","Petrol Pump","Bahadurpur","23.6521616","85.9442028",""
"ChIJe4w-TaZr9DkRVP0jANoTGzk","IndianOil","Khata No 37, Plot No 591, Khetko","23.7518895","85.9063504","true"
"ChIJ6y5F14Nr9DkR0sERiQopwyc","IndianOil","Khata No 24, Plot No 959, Petarwar, Tenughat, Champi","23.7400975","85.8762665","true"
"ChIJcXALiq5B9DkRuOC7RTZJ08k","Indian Oil, Nageshwar Fuel Centre","Bokaro, Sonpura, Dantu, Kasmar","23.6672151","85.9074651","true"
"ChIJMwtFAKJB9DkRi2F7_RMoPSM","General Store","Chando","23.6573211","85.9255036",""
"ChIJEVfpSOBr9DkR3PJf73og2G4","IndianOil","Ground Floor Jaridih, Argamo, Bermo, Ghandinagar","23.770859","85.92761999999999","true"
"ChIJ5xhwKp5p9DkR88p_JhON_KM","IndianOil","PR7V+CX, Ulgara","23.7137965","85.8448823","true"
"ChIJ6a3Bkc8U9DkR363M7-oL-AY","Hindustan Petroleum Corporation Limited","Ground Floor, Bermo","23.7715864","85.9399674","true"
"ChIJlSRMsFI_9DkRmstHa5AnUK8","Hindustan Petroleum Corporation Limited","Ground Floor, Kasmar Bahadurpur Road, Ponda","23.651779","85.939061","true"
"ChIJnwvRxXo_9DkRzzpKf99ymL8","Bhavna Fuel Station","MW2Q+MJM, near Sadar Patel Public School, Ramghar - Bokaro Highway, Kamlapur","23.6517051","85.9390488","true"
"ChIJH2Y_fs5r9DkRlH_qmm0wdwY","IndianOil","Ground Floor, Kathara","23.7754","85.88668299999999","true"
"ChIJUU8P56Br9DkR3fWU2UvMPO8","Hindustan Petroleum Corporation Limited","Ground Floor Bermo, Kathara","23.7758037","85.88745589999999","true"
"ChIJIVEv2fY_9DkRaAfTdVMOaWI","Gola bokaro Jharkhand","MX56+2J, Bakaspura","23.6576123","85.9616097",""
"ChIJUVRHBgY_9DkRrXPVKLwhhp4","IndianOil","Ground Floor, Jaina More, Jaridih, Bahadurpur","23.6577412","85.9618974","true"
"ChIJP0ORfIAW9DkREuFdqaFXQmA","Hindustan Petroleum Corporation Limited","Ground Floor, Phusro","23.7602327","86.0141783","true"
"ChIJs-qo5kMW9DkRtDVjHMhEsrk","HP PETROL PUMP - KAILASH MISHRA FUELS","HP Retail Outlet AT & PO Tantri PS- Jaridih, ON Tantri Tupkadih Road, Ranchi","23.742843","86.036692","true"
"ChIJP9AH4LQ99DkRI2MgpRrKmzE","Essar Petrol Pump","National Highway 23, Jena, Tanrmohanpur","23.6666603","86.0351506",""
"ChIJ5bntb4899DkRpCfcygHetWc","Hindustan Petroleum Corporation Limited","Ground Floor, Phusro Road, Jaridih, Jena, Jaina","23.6797387","86.0221177","true"
"ChIJ923gLlM99DkRJZuYrPcK-us","IndianOil","Plot No 1306, Khata No 26 Khutri, Jenamore Road, Lakrakhanda, Phusro","23.7026281","86.0361672","true"
"ChIJUT3hSZM_9DkRBgIZ4FWO3rw","Bharat Petroleum, Petrol Pump -Tripathi Petrol Supply & Ser. Stati","Dumri - Bermo - Jain Road, Jena, Bokaro Steel City","23.6632557","85.9829304","true"
