place_id,name,address,latitude,longitude,open_now
"ChIJHd4_it1Y9DkRvjQzHtPaF2s","IndianOil","near CMPF, Ground Floor Nh 23, Peterbar Road, Ramgarh, Chotkipona, near CMPF, Dhanbad","23.583323","85.63688189999999","true"
"ChIJ1fp1c21Z9DkR-hM_ejAKSRg","NATIONAL AUTO CENTRE - BHARAT PETROLEUM PETROL PUMP","HMF8+CWC, Chitarpur Main Road, Rajrappa","23.5734977","85.6658939","true"
"ChIJ5ef7cjNZ9DkR50DP5L3bakc","Pankaj","Lari Lari, Biklang More, Ramgarh Cantonment","23.5904726","85.6183303",""
"ChIJ2xuVZo5Z9DkRMRCl6FW0TFs","Food Marchent","Chitarpur Kali Chowk, Chitarpur","23.5754432","85.65918030000002",""
"ChIJVww5eZRf9DkRPZ2gIYavZZw","Neelam Kisan Seva Kendra (Indian oil)","Honhe - Kander Road, Kander","23.6635058","85.6295039","true"
"ChIJtXmABi1a9DkRjr2z3lZU1kI","Fuel Pump Chitarpur","HM5V+83R, Gola Main Road, Marang Marcha","23.5583594","85.69263550000001","true"
"ChIJ0WdTVBpZ9DkRQhlVXUH2If8","Hindustan Petroleum Corporation Limited","Ground Floor, NH 23, near Chitarpur, Marang Marcha","23.5582601","85.69266569999999","true"
"ChIJ-ROSANVb9DkRsDDVUL3VzU0","Hindustan Petroleum Corporation Limited","Khata No 50, Plot No 318, Heramdaga Road, Gola","23.5622223","85.73521799999999","true"
"ChIJZ81d3z9b9DkRGOJzPOX-Lpc","Danish kumar","Nayara petrol pump, Hematpur","23.5456721","85.7419214",""
"ChIJBw8M-0lb9DkRbW0TXaNXLug","Reliance Petroleum","Plot No 780 & 782 Nh 23, Hematpur, Gola, Hazaribagh","23.544668","85.739989","true"
"ChIJ6cvmkvRD9DkRCvX_nuMNETY","Hindustan Petroleum Corporation Limited","Bokaro, Ground Floor NH 23, Lepo, Peterwar","23.6154816","85.8236316","true"
"ChIJAfVtZKlF9DkRIRq_KZxOuks","IndianOil","KHATA 29, NH23, PLOT 231, Chopadaru","23.5841195","85.80336489999999","true"
"ChIJM-XlHv9D9DkRFisOokZ_jgw","IndianOil","Ground Floor, Peterbar","23.6153461","85.8451104","true"
"ChIJmaGEguRD9DkR7EQO0yvhr7A","Hindustan Petroleum Corporation Limited","Ground Floor, Tebu Road, Peterbar","23.6268879","85.84333409999999","true"
"ChIJuZ6LtWlF9DkRlnA3vGo5Q-E","Umar Raza","Uper Mohallah, Betul Kalan","23.5458249","85.7953326",""
"ChIJT56VeWJf9DkRCk-gzkB8Zf4","Surendra Kisan Seva Kendra","near panchayat sachiwalaya, Mahuatand","23.6965747","85.66869299999999","true"
"ChIJaTJY5cRd9DkRNb7kUabCfs0","Adarsh fuel center barki punnu","road, Barki Punu","23.688574","85.7094731","true"
"ChIJK3A6339h9DkRuxFimzfcC2I","Vivek Shop","Basti PCC Road, Badgaon","23.7304092","85.6068938",""
"ChIJA-TmS56L9DkREVD0m3yUu4k","IndianOil","Ground Floor Barbanda, Chainpur","23.727252","85.592801","true"
"ChIJm3EULU5n9DkRhnvhQA3CUCM","Ashish Kumar","B26, Ambedkar Chawk, Lalpania","23.7459551","85.74621259999999",""
"ChIJ5xhwKp5p9DkR88p_JhON_KM","IndianOil","PR7V+CX, Ulgara","23.7137965","85.8448823","true"
"ChIJy53rN9Jn9DkR5zZYmmgnr6g","Hindustan Petroleum Corporation Limited","Ground Floor, near Lalpunia, Tenughat, Kodwatanralias Bhitugarha","23.748388","85.75844599999999","true"
"ChIJw5XibU9n9DkRRlErdlNeRGc","Sasmita Swain","0 Point, Lalpania","23.7515524","85.75432699999999",""
"ChIJR03bDdVp9DkRG6oSZBoGuY0","Laxmi Indian Oil","632, Lalpania Road, Lalpania","23.7804513","85.76938460000001",""
"ChIJkY7tm61p9DkRgJAw-ggYxW0","Aaksh Pumps And Oil","near Khelachandi Temple, Lalpania Road, Hosir","23.7686677","85.78572489999999",""
"ChIJ5fBMt6tp9DkRkTBXQO5Lo7g","Chandan Fuel Centre","Near Lalpania Rd Dhendhe, Lalpania Road, Birsa","23.78335049999999","85.7815043","true"
"ChIJ_9t5FMZu9DkRSUIP6QWkb0Y","Petrol Pump,VINAY YADUVANSHI","RR8F+4HH, IEL Colony, Gumia","23.8153095","85.823999","true"
"ChIJV5U5jhdp9DkRPv9hRyBgUCo","IndianOil","Ground Floor, Tenughat, Saram","23.775846","85.81911","true"
"ChIJc1isCQBp9DkRy2Gqj3ibass","S K HP FUELS Gomia","Gumia","23.8009725","85.8249888","true"
"ChIJU3CQduRr9DkRP0rP5hcvOfw","Hazarimore Pump","QVP4+CCF, Gumia","23.7860721","85.8560485","true"
"ChIJ5bX4MuRr9DkRaBN1Xga6CcQ","Bharat Petroleum","India","23.7861303","85.85614559999999",""
