place_id,name,address,latitude,longitude,open_now
"ChIJaWPzxSv79TkRX6Hj3RqAENM","IndianOil","Ground Floor, Ichagarh, Jaikan, Rola, Rola","22.72182699999999","86.115158","true"
"ChIJrzqiqI_l9TkRWwUTsZXqfNY","IndianOil","Ground Floor, Adityapur, Jamshedpur","22.7907933","86.14773819999999","true"
"ChIJPRUa9urk9TkRWN8Qbl_P0ic","Hindustan Petroleum Corporation Limited","Ground Floor, Adityapur, Jamshedpur","22.7900307","86.1523758","true"
"ChIJtRmLuj399TkRSkRAkUd8_ts","Hindustan Petroleum Corporation Limited","P, 1276/P, Khasra No 525, PN 1275, 1371/P, Shiv Nagar, Harharguttu","22.7620734","86.1810732","true"
"ChIJzc2wEIL99TkR037j81Bmwr0","Petrol Pump - Shiv Shiva","48-b, Harharguttu, Jugsalai, Jamshedpur","22.7621727","86.18113620000001","true"
"ChIJbd5ZKVHl9TkRromLaJkcA18","IndianOil","Ground Floor, Adityapur - Kandra Highway, Gamharia, Jamshedpur","22.799118","86.13029499999999","true"
"ChIJIzCTuDXj9TkRVS-fefytHxo","IndianOil","Ground Floor, Jugsalai, Jamshedpur","22.7698413","86.1972262","true"
"ChIJ_Z5bPu389TkR2yy4hJYFhos","IndianOil","Ground Floor, Rola, Sunder Nagar, Purihasa","22.73149","86.1967232","true"
"ChIJyQevry_j9TkRX9C2jhevjXQ","Bharat Petroleum","near Masjid, Burma Mines Road, Jamshedpur","22.775222","86.20772","true"
"ChIJ0wpzE2Xj9TkRBnOAo2R3Lv8","Hindustan Petroleum Corporation Limited","Ground Floor, Bistupur, Jamshedpur","22.7989519","86.1839411","true"
"ChIJTfwopNH99TkRdMWbAM4fAno","Shaw Small Emergency Fule","Uparkulitola, Haludbani, Parsudih, Jamshedpur","22.7412898","86.20727529999999",""
"ChIJT4tlgsb89TkRjCpdtWKouek","Sunder Fuels (B.P) Petrol Pump","Tata - Hata Main Road, Golpahari, Parsudih, Jamshedpur","22.75016149999999","86.20051989999999","true"
"ChIJHep1u1v89TkRU3vKd5tRb6c","Bharat Petroleum","India","22.7099785","86.2022528",""
