place_id,name,address,latitude,longitude,open_now
"ChIJgahgGACx9jkRoPx3fxpiW0o","Prabhaditya Fuel Centre","XCVR+82, Rengha","23.993266","86.44005399999999","true"
"ChIJTT99C5ex9jkRu9MaaueMkIA","Hindustan Petroleum Corporation Limited","Ground Floor, SH 13, Tundi","23.9873452","86.44761760000002","true"
"ChIJWfuAjy-x9jkRIrDe9o3hQIo","Bharat Petroleum","India","23.9709384","86.49003239999999",""
"ChIJ83wpLn-t9jkRUrJ5XoaUeyg","IndianOil","Plot No 115P & 117P, Khata No 6, No 578, Motieda, Bhandaridih","24.056139","86.413063","true"
"ChIJK16q7i2x9jkRu5GQFDXl5gs","IndianOil","Ground Floor Lodhariya, Tundi","23.9722606","86.49553680000001","true"
"ChIJGc89tRuz9jkRouwAsCqJsDE","Fuel Pump","Banki Kala","24.0639221","86.49033589999999",""
"ChIJv6AFI2W39jkRGlv2BsopDSs","Bharat Petroleum, Petrol Pump -Maa Kalyaneshwari Filling Station","UDAIPUR ,DISTRICT DHANBAD, DHANBAD","23.9815478","86.57435919999999","true"
"ChIJGR58w5K39jkR-7mq10beUjU","Dey Cosmetics Center","Tundi Road, Kamardi","23.9266664","86.5108662",""
"ChIJcU-FeFPL9jkRFKyGB7zXMeo","IndianOil","Ground Floor, Narayanpur, Amdiha","24.041","86.6223","true"
"ChIJx6kokxPL9jkRCTS5YwqU_uE","Aayan Service Station","2JRF+94C, Thekbahiar","24.0409331","86.6227612","true"
"ChIJnU_-LAC19jkRsvIFXkwZdVE","Indian Oil petrol pump YADUVANSHI FUELS","3H7G+89M, Ramnagar","24.0633282","86.5759349",""
"ChIJl5ABhybJ9jkR1A3fSITjHFM","Fuel Junction","MAIRANAWATAND, SHANKARDIH","23.9377808","86.60969","true"
"ChIJC-km79u19jkR5H61taBMHKU","BPCL PETROL PUMP SHREE SHYAM FUELS","PANDAYDIH MORE, NARAYANPUR, Ramnagar","24.0656043","86.57890499999999","true"
"ChIJKQrqcADJ9jkRa6GS4xKwqv0","Barharwa sa ranchi wala road","WJP5+XXG, Ghosaldi","23.9374296","86.60995129999999",""
"ChIJgS3n3zCt9jkRHt4rD6aMGNI","Shiv Fuel","01pandri Main Road, Giridih","24.0747451","86.38975970000001",""
"ChIJcaYeXgCt9jkR-w42NL4G-SU","Hindustan Petroleum Corporation Limited","Ground Floor, SH 13, Pandri","24.0817656","86.3808188","true"
"ChIJIdDdHABN8TkRc2dHGbFoDSA","Maa Usha Filling Station","4F4Q+X45, Vil Post, Gandey Road, Ahilapur","24.1073918","86.48785079999999","true"
"ChIJvcXV6lhN8TkRe1XISC5mtHk","IndianOil","Ground Floor Barkitand, Ahilyapur, Gandey","24.1040518","86.4929034","true"
"ChIJLY2Pc2i19jkR6dxlhN3p8OE","Hindustan Petroleum Corporation Limited","Ground Floor, Pandeydih Road, Murlipahari","24.08309100000001","86.577118","true"
"ChIJqSWeUx5L8TkROlVTBajGNos","BPCL PETROL PUMP SHRI SHYAM AUTOMOBILES","4H95+96P, Deoghar - Sarwan Road","24.118452","86.5580653","true"
"ChIJ01D25aBT8TkRoieCmFJWnw8","Indian Oil petrol pump","jamtara, YADUVANSHI FUELS Ramnagar pandeydih Narayanpur","24.1358551","86.39974529999999","true"
"ChIJ19bTDQBN8TkRclUNEGjFQMQ","Chandan petrol mart","5CHQ+RH9, Dasdih","24.1795306","86.4389904",""
"ChIJiWBht2NN8TkRcrZk0fRW9sg","Bharat Petroleum Petrol Pump , BABA FUEL SERVICE","VILL AND PO GANDEY, Giridih","24.1882631","86.4356687","true"
"ChIJb4vUBDFN8TkRXxqN-3-P-cg","shiv shakti fuel (Bharat petrolium)","Rukotanr","24.1801643","86.4661048","true"
"ChIJPcIIWDdM8TkR-eTKvTor9cE","IndianOil","Ground Floor Ahardih, Gandey,Dhobia, More","24.1799","86.4692","true"
"ChIJBzHhMI9N8TkRl4mFehBqeAk","IndianOil","Khata No 8 & 9, Plot No 140 & 141, Barkitand, Mahjori","24.1951078","86.4257866","true"
"ChIJGTrvLpBT8TkRe4WH4H4Wx98","IndianOil","Ground Floor Mohanpur, Giridih Tundi, Road, Karharbari","24.133651","86.354541","true"
"ChIJ281eCgBT8TkRp-VHQhGGElw","Reliance Jio Petrol Pump","5924+F53, Udnabad","24.151134","86.355418",""
"ChIJfwNIEwBL8TkR6kkB1smtUjs","Hindustan Petroleum Corporation Limited","Ground Floor, Margomunda - Giridih Road, Jeruwa, Pandedih","24.1604316","86.5205221","true"
"ChIJ0Z7l6JpL8TkRB8mlxSdLA-U","Maa tara fuels station","Jeruwa, Kushmaha","24.1610339","86.5203974",""
"ChIJByrAV2Y18TkRagxOnASK_C4","Rah filling station, Pipra","Madhupur - Margomunda Road, Patojori","24.1913668","86.6083283","true"
"ChIJMReFGAA18TkRbSqIF1xesl8","Hindustan Petroleum Corporation Limited","Ground Floor, Madhupur - Margomunda Road, Pattajori, Deoghar","24.197001","86.61142099999999","true"
