place_id,name,address,latitude,longitude,open_now
"ChIJE5MF6ZJlvzsR6guCi3_fkQw","IndianOil","Gp No 2883, Sy No 601/A, 601/D, Machhe, Belagavi","15.793501","74.474256","true"
"ChIJHd9zY9plvzsREMbIIaR4_5M","IndianOil","NH 4A, Khanapur Road, Udyambag, Belagavi","15.814641","74.491112","true"
"ChIJNaFbO4VkvzsRPbQWYNAuBK8","IndianOil","No 90/2 Sulaga, Uchagaon","15.85984","74.44196","true"
"ChIJcd1iKtdlvzsRAY5wGy0WrHo","Desai Petrol Pump","Panjim - Belagavi Main Road, kalameshwar Housing Colony, Udyambag, Belagavi","15.8186028","74.4940008","true"
"ChIJ1duOIgBvvzsRx7mdTK1_nA4","Bharath Petroleum","rankundye cros, road, chorla Goa road, Jamboti","15.7724108","74.4400318","true"
"ChIJ2XXfz8tkvzsR1mkonqoL8Aw","IndianOil","No 208, Kalmeshwar Galli, Belgundi","15.8406717","74.4107092","true"
"ChIJCZ3nZ_JlvzsRiIGNn2ZGN0U","SHRI DANESHWARI PETROLEUM","Chougule Nagar, Ram Nagar, Machhe, Belagavi","15.7853729","74.48309189999999","true"
"ChIJQ7oXb4plvzsRUtTDmuMyLq8","M/s V R AMBALE PETROLPUMP","State Highway 54, Brahma Nagar, Belagavi","15.806111","74.4861198","true"
"ChIJL85RFU9vvzsRbU1VOmnpvMk","Bharat Petroleum, Goral Petrol Pump","DESUR ON NH-4, Desur","15.7694494","74.4888456","true"
"ChIJ6SaOTcdlvzsRtPf8m2SV_lI","Hindustan Petroleum Corporation Limited","Ground Floor, NH 4, Khanapur Road, Udyambag, Belagavi","15.8212005","74.49413659999999","true"
"ChIJZwUBslNvvzsRcwKvqb39WnI","Bharat petroleum, Mahalasa Filling Station","QF6Q+HP9, Khanapur Road, Zadshahapur","15.7614232","74.48935689999999",""
"ChIJ45tVeF96vzsRgGGs9Z0UcBs","petrol pump tudiye","Kolhapur","15.7974848","74.3581932","true"
"ChIJEXyasNVlvzsR9luu_6EYtyk","Hindustan Petroleum Corporation Limited","No 740/1/3, S, Khanapur Road, Belagavi","15.823501","74.497101","true"
"ChIJs_B7CqRmvzsRute8Jyj7Vp4","IndianOil","Ground Floor, Murlidhar Vyas Colony, Belagavi","15.856703","74.50651599999999","true"
"ChIJSUck575mvzsRDhvu4M4kVbM","Bharat Petroleum Altrade","1040, Fort Road, Belagavi","15.8565726","74.5178724",""
"ChIJ44-i7w5kvzsR37a7CY1GaQs","Hindustan Petroleum Corporation Limited","Ground Floor, Ganeshpur Road, Belagavi","15.8643091","74.4838697","true"
"ChIJ99avb0KSyzsR_dFKhF2TG8U","IndianOil","Survey No 452/6, RHS Going Towards Pune, Khade Bazar, Shivaji Nagar, Belagavi","15.8648743","74.5217947","true"
"ChIJtYbnZgFUozsR42VERo7nfa8","IndianOil","Survey No 784, Yellur","15.7949347","74.5184616","true"
"ChIJ94kSz-JnvzsRbDmUha8usQE","Bharat Petroleum, Petrol Pump -Shri Mangesh Petrol Stores","BELGAUM, NR 3RD GATE,BELGA, Khanapur Main Road, Tilakwadi, Belagavi","15.82816","74.50034219999999","true"
"ChIJVQdEHoBmvzsRWLERmT382_8","IndianOil","Plot No 20, CTS No, 571/B, Congress Road, Tilakwadi, Belagavi","15.830481","74.499641","true"
"ChIJeYmTiZpnvzsRvO_W6HHbfZ4","IndianOil","Cross Vaccine Depot Road, No 775, Khanapur Main Road, Angol, Belagavi","15.8326911","74.5027102","true"
"ChIJZ4rd9YRmvzsRT6yJyax41Z0","Reliance Petroleum","Cts No 1049, B3, Khanapur Main Road, Tilakwadi, Belagavi","15.8367405","74.5070953","true"
"ChIJVaJu8IRmvzsRM54X7Sla4q0","Bharat Petroleum, Petrol Pump -Gogte Petroleum","BELGAUM, NR GOAVES CIRCLE, Belagavi","15.8372734","74.50744999999999","true"
"ChIJ6TjsQwBnvzsRDmwLtxzC3jk","Patil petrol pump","RGP9+3PJ, Datta Galli, Adarsh nagar, Vadagoan, Belagavi","15.8352018","74.5192723","true"
"ChIJW_KAV7FnvzsRItk-4FOejoA","Sai Shobha petroleum","Cts 30, Khanapur Main Road, Somvar peth, Tilakwadi, Belagavi","15.8388066","74.50801",""
