place_id,name,address,latitude,longitude,open_now
"ChIJNwUr23cTtzsRdx2nbZyykHs","Hindustan Petroleum Corporation Limited","near Toll Gate, No 26/1, Bellary Bypass Road, Aladahalli","15.1275302","76.87136660000002","true"
"ChIJKz23MXITtzsR2HIjm302Snc","Trishala Petroleum","Aladahalli, Bellary, NH-63, Bellary Hubli Road, Bellary, Ballari","15.131683","76.862944","true"
"ChIJHZOnWAsVtzsRjv5PjBkb91U","IndianOil","Anantapuram, Madenahalli","15.0461734","76.8663342","true"
"ChIJjQH7rQwVtzsRwnCXYypVbHo","Hindustan Petroleum Corporation Limited","Survey No 90B, Bellary Bangalore Road, Obulapuram","15.0454352","76.8656457","true"
"ChIJ28SzR3MVtzsROq8xcQFqkTE","Short Petroleum","India","15.0442404","76.8650499",""
"ChIJpTI4Cr8VtzsRb0D9aW1h1Ck","Sri shivaParvathi Petroleum CNG BPCL","3V6G+J3, Bobbukunta","15.0615625","76.8751875","true"
"ChIJpQb_s1gVtzsRw9EkAH4Ub-g","Hindustan Petroleum Corporation Limited","Survey No 244, Bellary Bangalore Rd, D.Hirehal","15.03628","76.85746999999999","true"
"ChIJUaooyFMUtzsR3faSu1ThSgY","NAYARA","India","15.0731075","76.8802561",""
"ChIJbSfxrFsVtzsRl6wPH3LiwX4","Subramanya Swamy Mini Filling Station","Bangalore, Road, Halakundhi","15.0928573","76.8892037",""
"ChIJJ00aEgATtzsRaiPmUKSbg0M","Sri Basava Filling Station","4V79+XX, Aladahalli","15.1149375","76.86993749999999","true"
"ChIJdfZq300RtzsRVEDydfIOXow","IndianOil","Sy No 189A, Belegal Road, Ballari","15.1273513","76.8359377","true"
"ChIJsRd0Az4VtzsRSKhf0tZFcOU","IndianOil","Survey No 24A/3, Mundragi, Ballari","15.1055877","76.89839429999999","true"
"ChIJP3rg4i8_tzsR3dex9Jsp6VY","IndianOil","Ground Floor, Herial, Madenahalli","14.9953778","76.86877199999999","true"
"ChIJtwfEAb8WtzsR9hsOaUMwQ10","IndianOil","Survey No 50/2, L 278 Bellary, Kanekal Road, Andralu","15.098248","76.938507","true"
"ChIJ31XbBAYUtzsRcsJndw_R_jM","IndianOil","L No 272, Survey No 127, 1/C, Bellary Ring Road, Ballari","15.1113917","76.90697500000002","true"
"ChIJx3dtXgAXtzsR0bl4OcIe-4M","Well pool","4W7G+WJ, Ibrahimpura, UHTC Ranithota, Ballari","15.114676","76.925412",""
"ChIJB9zP_F4RtzsRy_PBjvKKSvw","Sri Devi Mini Station","Durgamma Temple, Moka Road, Ballari","15.1182764","76.92001499999999",""
"ChIJJ2zJLX49tzsRzb5aUNIbBt0","Hindustan Petroleum Corporation Limited","Ground Floor, Yetthina Budihal","15.027524","76.967389","true"
"ChIJSenFZHARtzsRNu4sWwTx_Cw","M.R. Petroleum","4WFH+5P5, Kanekal Road, Ibrahimpura, UHTC Ranithota, Ballari","15.1228911","76.9293673",""
"ChIJ_9BHKnM9tzsRbvNszU6J1Tc","Shri Veeranjaneya Petroleums","Sy.no.416/2, Nemkal circle, Kanekal road, Yetthina Budihal","15.0263566","76.9679981","true"
"ChIJ3wGtQbQ9tzsRCsnx5p0uenU","NAYARA PETROL BUNK","SY.NO:: 416/1, NEMAKAL GATE BOMMANAHAL-BALLARI MAIN ROAD, YETHINA BUDEHAL, VILLAGE, Ballari","15.0258096","76.96831","true"
"ChIJBzgDUrwTtzsRGOVhIsRNePQ","Bharat Petrol Pampa","APMC, Ballari","15.1271941","76.92253199999999",""
"ChIJT3WCtOITtzsRdGwx87lGMnA","IndianOil","L No, near Apmc, 303, Bangalore Road, Cowl Bazaar, Ballari","15.128392","76.917114","true"
"ChIJBWwOKgARtzsRTPfwAKoJzMg","Hindustan Petroleum Corporation Limited","568/2A, 569, 570 & 571, No 568/2B, TG Oil Mill Road, Ballari","15.132416","76.92057900000002","true"
"ChIJSZFUEXI9tzsRYJlois7Yu-Q","IndianOil","Ground Floor, Bommanahal","15.0102739","76.9746363","true"
"ChIJSxhmweE9tzsRkV0nBHV_VIw","Hindustan Petroleum Corporation Limited","Survey No 90, Kanekal Bellary Road, Bommanahal, Anantapur","15.0008831","76.9776928","true"
"ChIJE6wxzrARtzsRc-AaFcgpeb8","Bharat Petroleum Parvathi Filling Station","New, By Pass Road, Kakkabevinahalli","15.125547","76.99997499999999","true"
"ChIJDWxcQAAZtzsRARIYN7L501g","A1 Filling Station.Rupanagudi","23X5+RQ, Rupanagundi","15.049521","77.059452","true"
"ChIJqXMUpKwTtzsRwnqPuT1f_CA","Bharat Petroleum Fuel Station","NH 63, Hospet Road, Vinayaka Nagar, Ballari","15.1591914","76.87859859999999","true"
"ChIJu5mnqU0StzsRQQUeSP0Ky-c","HP PETROL PUMP - BASAVA PETROLEUM","Hpcl Dealer S NO. 605/A5 Kolagal Road Bellary","15.163904","76.886022","true"
"ChIJv6Z9aVoStzsRkTOBKqmCYf0","Hindustan Petroleum Corporation Limited","Ground Floor, Kolagallu Road, Ballari","15.1732592","76.8797634","true"
"ChIJlY2yrMgTtzsRt0tbGxNJ4mw","IndianOil","L No 275, Sudha Cross, Cantonment, Ballari","15.150547","76.900925","true"
"ChIJq0PsXd0TtzsRHj7Bu5IOf6g","Bharat Petroleum Fuel Station","4WQ5+R6M, Jawans Road, Radio Park Cowl Bazar, Cowl Bazaar, Ballari","15.1395972","76.908053","true"
"ChIJiXGB-9wTtzsR7VY2mLmAYGU","Hindustan Petroleum Corporation Limited","Ground Floor, Hospet Road, Ballari","15.142261","76.909241","true"
"ChIJhffrwigTtzsR0w8pkbWPSRA","HP PETROL PUMP - SRI SRINIVASA ENTERPRISES","Hpcl Dealers 26/1, Haladalli Village Bellary RD, Near Toll Gate, Bypass Track","15.153479","76.835449","true"
"ChIJYWT1cdcStzsR79CTCML7ShY","IndianOil","Sy No 270, L No 291, Ring Road, Belagal","15.1612026","76.8367233","true"
"ChIJ99E5EysTtzsR1KoDdSrkLWk","Hindustan Petroleum Corporation Limited","Ward No 25 & 30, CMC, Survey No 640/9/F1, F2 & F3, Vadde Nagappa Colony, Ballari","15.154322","76.88833199999999","true"
"ChIJTZZhngQTtzsR2moYAnXplb8","Hindustan Petroleum Corporation Limited","Ground Floor, Cowl Bazaar, Ballari","15.135261","76.89706699999999","true"
"ChIJ2T40HHpttzsRqowSRfv-cVE","IndianOil","Survey No 236/2, Veniveerapura","15.182694","76.81609999999999","true"
"ChIJ3Z_zmw1ttzsRspMlRHlgQmM","Hindustan Petroleum Corporation Limited","Ground Floor, Veniveerapura","15.1828049","76.8162188","true"
"ChIJy6RBDIETtzsRfudqJnasPnY","U SANTHOSH","New Building, Bellary Main Road, Kolagal","15.1880612","76.8690842",""
"ChIJnS-q4QRttzsRvicEfAhN-cg","Reddy mallamma petrol bunk","Ballari - Hubballi Road, Veniveerapura","15.18333","76.81409959999999","true"
"ChIJF0BVNpYTtzsR8hf9Fa-OuVc","IndianOil","L No 270, Hospet Road, Ballari","15.142666","76.909088","true"
"ChIJ96T-h6MTtzsRa5Lu96EGORY","S B ENTERPRISES (Bellary)","12/7, C-2, WARD, NO-31, Infantry Road, Sanjay Gandhi Nagar, Ballari","15.154032","76.908378","true"
"ChIJI9WkTVkRtzsR8CnbXiPZH0s","Havinal Basanna Enterpries Petrole bunk & CNG filling station","Sanjay Gandhi Nagar, Ballari","15.1542554","76.9105348","true"
"ChIJj33iTNgTtzsRapZ-6JUwomA","Sai Gokula Agencies","5, 65, Hospet Road, Narayanappa Compound, Fort Area, Ballari","15.1412873","76.91553569999999","true"
"ChIJMRMNXAATtzsRE4CVQPllerw","SRI KRISHNA FILLING POINT CNG","5W58+866, Siruguppa Road, Bhuvanagiri Colony, Havambhavi, Ballari","15.1582808","76.91550219999999","true"
"ChIJzyL-GQATtzsRiAyyR6B6hd8","Bharat Petroleum","5W77+FH, Ballari","15.1637154","76.91390419999999",""
"ChIJszPPMnARtzsRD5wPNL_FAlY","IndianOil","L No 269 Ward, opposite Park, 18, 3rd Cross Road, Gandhi Nagar, Ballari","15.153104","76.93264099999999","true"
