place_id,name,address,latitude,longitude,open_now
"ChIJ4frMSwBduTsRUpZK5HZBAcU","Veerabhadreshwara Petroleum","P72X+3R, Guddad Mattihalli","14.70018750000001","75.2995625","true"
"ChIJnX60sANnuTsRNGoBepOOu40","Kaginale petroleum's","near kanak das bhavan, Kaginelli","14.692045","75.3639281","true"
"ChIJkePFdXRnuTsRJ6pfFq4KFy8","Hindustan Petroleum Corporation Limited","Ground Floor, Haveri Kaginele Road, Byadagi","14.692009","75.363985","true"
"ChIJYdyDQ1dDuTsR4m2UMvmbmqc","Bharat Petrol station","Q8C8+MR4, Haveri","14.7716299","75.31708630000001",""
"ChIJJ67ydEVpuTsRQ64oQWWvTkQ","IndianOil","Survey No 20, 2B/2, Kulenur","14.7723935","75.31708019999999","true"
"ChIJHxsLnORDuTsRYCf5hS69SeU","Bharat Petroleum Petrol Pump , S D ATAWALAGI","SURVEY NO-19/1, PLOT NO-3,SH-2","14.7765317","75.3023046","true"
"ChIJX_o-8IxfuTsRzDnMVII77lY","Hindustan Petroleum Corporation Limited","No 518, Byadgi - Tilavalli Road, Chikkabasur","14.648951","75.305581","true"
"ChIJ2-iLP3leuTsRAEyHsTtfY9k","IndianOil","Survey No 197, 1K, Byadgi - Tilavalli Road, Chikkabasur","14.6483016","75.30174939999999","true"
"ChIJESPkte1ouTsRQX8Mkw6Nv8M","Veerabhadreshwar Petroleum Services","Sy111/1, NH-4, By-Pass, Haveri","14.7767673","75.3978932","true"
"ChIJQ3E3xpZnuTsRw3j99ufN1Ic","Hindustan Petroleum Corporation Limited","Ground Floor, Ingalagondi","14.666727","75.374442","true"
"ChIJP-U5RwBnuTsRPHzlF8CCO28","SHRI VIGNESHWARA PETROLEUMS , IOCL PUMP","M96G+W4H, State Highway 62, Ingalagondi","14.6621609","75.3759748",""
"ChIJufiuIFBouTsR6DZgavjkFbE","Nimba city Petroleum","Q9MG+HGX, State Highway 2","14.7839927","75.3763499","true"
"ChIJvYhHZ6ZluTsRjujGh9krAXk","Hindustan Petroleum Corporation Limited","Ground Floor, NH 4, Motebennur","14.725001","75.473091","true"
"ChIJfay2EgBluTsRLXMqUD1QOfo","Nayara Petrol Bunk C R Ballary Petroleum","Motebennur","14.7086371","75.48419919999999","true"
"ChIJFX3Vcp1luTsR5Vc_WFsRyXw","Hindustan Petroleum Corporation Limited","Ground Floor, Kammanahalli Cross, NH 48, Byadgi","14.747423","75.45306400000001","true"
"ChIJAdGa1kVluTsRsKBr0xxnVbQ","Barki Petroleum","road, Mallur","14.6831414","75.47682379999999","true"
"ChIJu-VYZpEF0TsRaOwfMl6Gh08","IndianOil","Byadgi, Survey No 328/1A, Motebennur","14.71774799999999","75.49324","true"
"ChIJO448d2JkuTsR_za99yiaF00","NAYARA Petrol Bunk Sri Parvathi Petroleums","India","14.6790172","75.4807866",""
"ChIJzfXgcwJluTsRqBNSpgXv5Qg","Bharat Petroleum, Petrol Pump -Netravathi Service Station","Byadagi","14.687593","75.4904043","true"
"ChIJ7xgo0vJkuTsRybCqecpNTsY","Nethravathi Service Station","MFJP+HQ6, Station Road, Byadagi","14.6814129","75.4869033",""
