place_id,name,address,latitude,longitude,open_now
"ChIJbY3xFeLTuTsRBfTQAEC8K3Q","IndianOil","Lock No 317, near Abheraj Baldota Road, NH 50, Ballari - Hubballi Road","15.267182","76.347533","true"
"ChIJx6VuDsXTuTsRfykq_2LLtrI","Hindustan Petroleum Corporation Limited","Ground Floor, NH 50, Munirabad","15.278385","76.33106099999999","true"
"ChIJOeiOVfjZuTsRwBj7y50TgWM","BPCL Petrol Pump","Danapuram","15.1668605","76.3663819","true"
"ChIJb-1uypbRuTsRkKSpyaExlfc","P BALASUBBA SETTY AGENCIES","DOOR NO, 226, Hospet - Harihar Road, Hosapete","15.2449118","76.3612157","true"
"ChIJ08cecCPRuTsR1MQ4GWI-xvg","petrol bunk","7926+33V, National Highway 50, Hosapete","15.2502295","76.36016459999999",""
"ChIJ8ZkbGmDRuTsRFUZzFhLclDg","SRI AYYAPPA PETROLEUMS","NH 50 LHS TOWARDS, TO, Chitradurga - Hospet Road, Hosapete","15.2587175","76.3515094",""
"ChIJ03qOnrHRuTsRwEwkkaJtlxs","SADDHARMA CNG GAS STATION","National Highway 50, Hosapete","15.2507726","76.36089609999999","true"
"ChIJ-e_9LQDZuTsRkbkI6OSMuoY","SRI KANAKA PETROLEUMS","3, Shimoga - Harihar - Hospet Road, Mariyammanahalli","15.169158","76.366107",""
"ChIJCxkKaADZuTsRnsyorLEdRuo","CNG","5988+PGF, Danapuram","15.1668146","76.3663071",""
"ChIJI9rhPrHWuTsRwjJ4REj82fY","IndianOil","Lock No 313, Veerupakshanayaka Circle, Sy No 129/A, opposite New Traffic Police Station, NCC, Hosapete","15.2616629","76.3725474","true"
"ChIJvaCFymLWuTsRIPLMjbt5CS0","IndianOil","Survey no.124/10, Sanklapur, Ananthashayanagudi, opposite Karnataka Oil Factory, Hosapete","15.2581347","76.4115106","true"
"ChIJLeyXqZ3WuTsRi_M8-mHJlJY","IndianOil","Lock No 319, Bellary Road, Hosapete","15.2665309","76.3954519","true"
"ChIJpdDGCKDWuTsRJtMozheu2wE","Hindustan Petroleum Corporation Limited","Ground Floor, Hosapete Bypass Road, near Galemma Temple, Abheraj Baldota Road, Hosapete","15.2679551","76.3860401","true"
"ChIJWYgJgwLUuTsRMAbUiG-vHW4","Total Gas Filling Station","Rajeev Nagar, Arvind Nagar, Patel Nagar, Hosapete","15.2676608","76.3729","true"
"ChIJPQl5Bv_XuTsRGd_vhBsk3tw","Hindustan Petroleum Corporation Limited","Ground Floor, NH 67, Chitradurga - Hospet Road, Hosapete","15.2474844","76.384269","true"
"ChIJM7I2uL_WuTsRi_DDSYLA79U","IndianOil","Lock No 322, Ananthashayanagudi, No, 61/C, Sandur Road, Jambunathahalli, Hosapete","15.2474854","76.3854119","true"
"ChIJT-PbbZTWuTsRb7ei6A19-XY","IndianOil","Ground Floor, Jambunath, Halli, Ananthashayanagudi, Chitradurga - Hospet Road, Hosapete","15.2491258","76.38899289999999","true"
"ChIJZ8RFvUrXuTsRGpYFVGlYJCY","Ganga Agencies","near Jambunathanahall, Hosapete","15.2494859","76.3917996","true"
"ChIJLwCK7K_WuTsROXGG_qSpoMM","Hindustan Petroleum Corporation Limited","Ground Floor, Harihar Road, Hosapete","15.257281","76.374391","true"
"ChIJ_Uo_3EnXuTsRciF1fLSGd0A","Bharat Petroleum, Petrol Pump -Sneha Petroleum","HOSPET, BELLARY","15.2607758","76.3789311","true"
"ChIJCyXC9VHXuTsRakg5yBo9tGQ","Go gas auto lgp station,hosapete","796F+6H, Hosapete","15.2607764","76.3743008",""
"ChIJeYKoIF_XuTsRGOHqXlRq85g","Reliance Petroleum","S No 215/E/1, 216/A4, Dam Road, Hosapete","15.2614453","76.37976549999999","true"
"ChIJfYPcGP3XuTsRHVgIcJ_HvOU","Bharat Petroleum, Petrol Pump -Venkateshwara Petroleum","HOSPET (TB DAM ROAD), BELLARY","15.261314","76.3739988","true"
"ChIJM7I6OWfXuTsR79-4GtK9q3A","Vijaykumar T","13C/1A T S S E PETROLIUM, P K Halli Ballari Hospet Road Hospet Vijayanagar District, Hosapete","15.2633186","76.3828875",""
