place_id,name,address,latitude,longitude,open_now
"ChIJqQwXF4b6rTsRzIjHM8FPm6A","Hindustan Petroleum Corporation Limited","Ground Floor, NH 75, Bengaluru - Tirupati Highway, Medarahalli, Kolar","13.1193313","78.084876","true"
"ChIJ2aQNOgDlrTsRHZHN7o7ab60","Hindustan Petroleum Corporation Limited","Ground Floor, Vakkaleri Hobli, SH 99, Vakkaleri, Kolar","13.055927","78.08531500000001","true"
"ChIJv5EHDADlrTsRREzzM-DFPJQ","Sri CHOWDESHWARI WEIGHERS","333P+8M, Muduvathi","13.0532563","78.0866284",""
"ChIJYQIOVQ3lrTsRq0RhFGHwbYM","Bharat Petroleum, Petrol Pump -S L N Filling Station","VOKKALERI, Kolar","13.076669","78.04104699999999","true"
"ChIJs5sGTEflrTsREyl66DKilP0","BADAR SS fuel station","Chowdnednahalli Village, Vokkaleri","13.0716493","78.03808819999999","true"
"ChIJ_yOi0WHlrTsRUR9LzU78iQw","IndianOil","Sy No 11/1, Vokkaleri","13.0689288","78.035168","true"
"ChIJi8RcG7rkrTsRN4zk6-e-ACM","Hindustan Petroleum Corporation Limited","Survey No 9 Malur, Main Road, Vokkaleri","13.068509","78.033885","true"
"ChIJU81F8S3lrTsRNN6N75CCbv8","IndianOil","Survey No 209/5 Bangarpet, Road, Hobli, Sulikunte, Vokkaleri","13.0412191","78.105746","true"
"ChIJaT6RGwD7rTsRF16N1NYnW_k","Sy no.14/1, arabikothanur village, kolar taluk, kolar district","428M+4GM, Arabikothanur","13.1153463","78.03380779999999",""
"ChIJm4GlI737rTsRXb8FYpBjykQ","Nayara Fuel Station / RV Fuel Station","439P+G75, Bettani","13.1187563","78.08574260000002","true"
"ChIJUx7F2f_6rTsR-uEAkuV7gBE","IndianOil","Survey No 13, Siddanahalli, Arabikothanur","13.1231447","78.0654349","true"
"ChIJmXr2FS3krTsRLfN0hGaNa8o","Bharat Petroleum","0/21, State Highway 95, Tekal","12.998952","78.0637582",""
"ChIJOYjoU3HlrTsRD9zpx1gE8Tw","Petroleum bunker","X3X7+9Q5, Kempanahalli","12.998423","78.063783",""
"ChIJBVCUgX_7rTsR-gOHE2fzRCw","Hindustan Petroleum Corporation Limited","Ground Floor, NH 75, Vakkaleri Hobli, Kolar","13.12042","78.095016","true"
