place_id,name,address,latitude,longitude,open_now
"ChIJ6ztjCPdbozsRnT4AfBTVUd0","IndianOil","Ground Floor, Permannur","12.824248","74.8603845","true"
"ChIJC29XFatbozsR08B6IuG0dSk","IndianOil","South Wharf, Bunder, Mangaluru","12.8551519","74.8332003","true"
"ChIJl4a8GQBdozsR9ZyGA4OGKFc","MRPL","3-35/1, Azad Nagar, Mangaluru","12.8155116","74.8512932",""
"ChIJ-dkhWAtcozsRoETHHMTO9p8","MANJESHRAJ FUEL SERVICES","RV82+4HW, Ullal Main Road, Azad Nagar, Ullal","12.8153549","74.85145849999999",""
"ChIJpdILOFldozsR1t45N7jN1Sc","JILU AUTO GAS","QVX5+422, Panvel - Kochi - Kanyakumari Highway, Ajjinadka","12.7977508","74.8575169","true"
"ChIJt9AyFIRdozsRsopJxE0uk2A","M.A.Krishna Nayak & Co.BPCL petrol pump Ullal","QVR5+P63, Someshwar Village, Ullal","12.7917987","74.8580346",""
"ChIJQdQNK9ZdozsRvpFMoCby0SA","HP Petrol Pump","NH66, Kumpala Road, Ullal","12.8051315","74.8579574","true"
"ChIJuV3eC99dozsRXZvSd9mZAUw","Hindustan Petroleum Corporation Limited","Ground Floor, Kotekar","12.805314","74.858364","true"
"ChIJWaUrTaJbozsRLVR-s-0CS-4","HP Petrol Pump","Bunder, Mangaluru","12.8534939","74.83359759999999",""
"ChIJ_7-UKUddozsRTuR6ldr8TFc","KALANDER ZAKARIYA","Thalapady JHC","12.7767823","74.8632772","true"
"ChIJqVatSYFdozsR35IWukGyovY","BPCL Petrol Pump, Someshwara Fuels & Energy","Bus Stand, Uchil, Kalavarnika, Someshwara","12.7774446","74.8648112","true"
"ChIJyZxHo0ldozsRS-h774hcwLI","Jio-bp","VILLAGE:SY.NO 95, 6AP1 -P4, NH-17, Someshwar Village, DISTRICT :","12.776088","74.86523559999999","true"
"ChIJNXwG4flbozsRpr5OTvr2sok","Hindustan Petroleum Corporation Limited","Ground Floor, South Wharf, Road, Bunder, Mangaluru","12.8582894","74.83268509999999","true"
"ChIJGShxU6lbozsR1K-s10XsVfI","Hindustan Petroleum Corporation Limited","Ground Floor, South Wharf, Bunder, Mangaluru","12.8585145","74.8330107","true"
"ChIJAeKSQ2JbozsRiCPApQFqQ3U","IndianOil","South, Wharf Road, Mangalore Old Port, Mangaluru","12.858817","74.832909","true"
"ChIJR4mALABdozsR1XXXXBKiS_M","AAN FUELS( Totalenergies Auto LPG gas station)","RV98+JJ5","12.8190211","74.8666103",""
"ChIJ5aItnrleozsRXcdO0e6pVuA","IndianOil","Survey No 91, 9CI, Belma","12.8092976","74.892977","true"
"ChIJV-vpAcFeozsR5bX4SHlm3dM","Hindustan Petroleum Corporation Limited","Ground Floor, University Road, Deralakatte","12.804421","74.900481","true"
"ChIJDUR26LhbozsR8CnQdT8fGfU","IndianOil","Ground Floor, near Mangaladevi Temple Road, Mangala Nagar, Mangaluru","12.8500955","74.84841999999999","true"
"ChIJeT_f2CxaozsRQjBmpELGdjc","IndianOil","Ground Floor, near Pumpwell Circle, Pumpwell, Mangaluru","12.8673871","74.8654918","true"
"ChIJ88gbfX9ZozsRbgFi1yEZahI","Bharat Petroleum Corporation Limited","Railway Consumer Depot, Junction, Mangaluru","12.866989","74.87764",""
"ChIJU0ftSKJfozsRNEgCjyPP8pA","Hindustan Petroleum Corporation Limited","Ground Floor, Kuttara Padavu","12.8137792","74.880558","true"
"ChIJa_G7YbRdozsRY_LyQnKtRU4","MRPL HiQ- R V FUELS","D No : 8-1-105, Block, Uchila","12.7721531","74.8665354",""
"ChIJteB2o6teozsRtHb0i7SgZew","IndianOil","Ground Floor, Kuthar Padavu, Mangalore","12.8189739","74.878289","true"
"ChIJjRJz5nldozsR48yNJZlMwJQ","Hindustan Petroleum Corporation Limited","S No 115, 2A2, National Highway 66, Talapady","12.766782","74.87082699999999","true"
