place_id,name,address,latitude,longitude,open_now
"ChIJg0ZAgkIpsDsR0VqU1BByZyE","IndianOil","Survey No 115/1, Hobli, Ariyur, Gulur","13.2813009","77.0884293","true"
"ChIJZWnvE0MpsDsR-FgjV6UXXig","Bharat Petroleum Petrol Bunk","Gulur Amanikere","13.2852468","77.08912149999999","true"
"ChIJR6nPe70psDsRVsfHjWdlBXo","SLV BPCL","63F6+FCJ, State Highway 33, Pannasandra","13.2237202","77.06101369999999","true"
"ChIJKUUzBvopsDsREXaC_1b4568","Hindustan Petroleum Corporation Limited","AK Kaval, Survey No 228/6, Kunigal-Tumkur Road, Naraganahalli","13.246784","77.082245","true"
"ChIJlQ-pGAApsDsRxAeYHfKK17Q","Hindustan Petroleum Corporation Limited","Survey No 80, SH 33, Tumkur Road, Kunigal, Doddahosur","13.268897","77.08787199999999","true"
"ChIJ1Wkm4CoosDsRt-I2XPu7Rm8","Hindustan Petroleum Corporation Limited","Survey No 14/2, Khata No 5, Hebbur SH 33, Kunigal-Tumkur Road, Nagavalli","13.2145825","77.0549449","true"
"ChIJQbxwCFqGsDsR-0L4FB5yRyM","IndianOil","Survey No 134, Bhaktharahalli, 2A, Hobli, Sirivara","13.2150859","77.001206","true"
"ChIJKU3wNwAlsDsRf1zGXfkjbAk","Nayara Shivashakthi Fuels","Sy No. 41/3B, NH 206 Near Tumkur Co-operative Milk Producers Societies Union Office, Mallasandra","13.3330122","77.0032612","true"
"ChIJC81oCgAvsDsRy6Zio6OmHIE","Bharat petroleum Bank","833R+VJ, Maralur Amanikere","13.3047062","77.09150939999999",""
"ChIJuzPXW3wssDsRMz3a3V-AAjw","Hindustan Petroleum Corporation Limited","Ground Floor, Siddaganga Mata Road, Math, Kyathasandra","13.3150517","77.14487240000001","true"
"ChIJf5oq75susDsRDzvIMYa590Y","Bharat Petrol Bunk apoorva service station","83MW+96X, Tumkur Main Road, Sadashivanagar, Tumakuru","13.333492","77.09561169999999","true"
"ChIJ4___70MssDsR6wAzr4RyUu4","BG SHIVAPRAKASH MIRJI PETROL BUNK BHARAT PETROLEUM","NH 206, Batawadi, Tumakuru","13.328381","77.1307186","true"
"ChIJW7BRopEusDsRyVYgBCxHjU4","Bharat Petroleum - Rajnish Fuel Station","83PP+5PG, Bypass Rd, Ring Road, Veersagar, Near Dhanah Palace, Sadashivanagar, Tumakuru","13.3354346","77.0868131","true"
"ChIJnUiM1JktsDsRltp9IgcTMHw","KS FUEL STATION (MRPL)","Outer Ring Road, Bypass Road, Gedalahalli, Bangalore","13.3144261","77.10405639999999","true"
"ChIJbyCqgKktsDsRJU8_RoPy8UM","Hindustan Petroleum Corporation Limited","Ground Floor, near Jayanagar Extension, Outer Ring Road, Jayanagar West, Tumakuru","13.313253","77.115871","true"
"ChIJh70CvpEusDsRAbeBqLH7D_4","Aegis Autogas - Sri Someshwara Autogas","8479+432, Bypass Road, Danah Nagar, Jayanagar West, Tumakuru","13.3127698","77.1176517","true"
"ChIJ6_kumxUvsDsRLxIYfzTx7cU","Hindustan Petroleum Corporation Limited","Khata No 9663 Ward, No 29, Maralur, Tumakuru","13.316727","77.089591","true"
"ChIJ4SSTRmUtsDsRu_NNhRkFuc8","Jai Bhajarangi fuel station","Shettihalli Main Road, Jayanagar East, Tumakuru","13.3133207","77.1215763","true"
"ChIJ9Sp3vXQssDsR_SEekbsekk8","IndianOil","Ground Floor, Ring Road, Shetty Halli, Tumakuru","13.31055","77.1268734","true"
"ChIJn6tOB8gtsDsR0b9-SVhZrAI","Hindustan Petroleum Corporation Limited","Survey No 31/4, Upparahalli Main Road, Geddalahalli, Tumakuru","13.317564","77.108781","true"
"ChIJ_c9oEwAtsDsRsL97WDObCJk","Hindustan Petroleum Corporation Limited","Survey No 75, 1A/12 & 13, Baddi Halli Main Road, Kasaba Hobli, Shetty Halli, Tumakuru","13.311561","77.12806200000001","true"
"ChIJ847Ke4UtsDsRmLa8rl9b_34","Byraveshwara fuels","Ring Road, Tumakuru","13.3108753","77.1314025","true"
"ChIJw_DVVh0tsDsRQDnyAgmTwps","SRJ Indian petroleum","Bangalore-Shimoga Bypass Road, Gokula Extension, Tumakuru","13.3097135","77.1345048","true"
"ChIJ3XhCSu0tsDsRSPWNXoGe-SM","Sri Balaji Fuel Zone","Shettihalli Main Road, Jayanagar West, Tumakuru","13.3192248","77.1207431","true"
"ChIJT3Ho7-YtsDsRwY4gKRxm05E","BP TUMKUR CITY COCO Bharat Petroleum corporation Ltd","near BPCL Petrol Bunk, Upparalli Geddalahalli, near BPCL Petrol Bunk, Ring Road, Tumakuru","13.3246578","77.1097843","true"
"ChIJEeYozcYtsDsRz4Sq7EluK3Y","IndianOil","Survey No 31, 5 & 33/2, Circle, Batawadi, Agalagurki","13.3190973","77.12747089999999","true"
"ChIJlZ6KdgAtsDsR8IpqSTdcAVA","SHIVSHAKTIPETROLEUMS","849H+R38, 80 Feet Road, TUDA Layout, Tumakuru","13.3195321","77.1276977",""
"ChIJhYxZGc0vsDsRgqCe34SZsrg","Hindustan Petroleum Corporation Limited","Survey No 49/1, Plot No 3, Kunigal-Tumkur Road, Maralur, Tumakuru","13.326359","77.09362100000001","true"
"ChIJcb_ykyotsDsRHv5j1_JRavA","Hindustan Petroleum Corporation Limited","Survey No 98/6, Outer, Ring Road, Kyathasandra","13.307924","77.147819","true"
"ChIJuy5-qIrVrzsR-Kcc33TCBQ4","IndianOil","Survey No 25, Gulur","13.2150998","77.1261064","true"
"ChIJQ1rcVY_VrzsRKWdP-FI7vNQ","S G R Fuels bhartiya petroleum ltd","647G+WMR, Arehalli","13.2148611","77.1266405",""
"ChIJxXCh_DQtsDsRB4kExEuD-Yk","Hindustan Petroleum Corporation Limited","Ground Floor, Kasaba, Tumakuru","13.3286208","77.1220158","true"
"ChIJr88oiJstsDsR5HYh0GFpKZk","KK1 TM ENTERPRISES","847X+322, Indira Nagar, Kyathasandra","13.3126355","77.1475243",""
"ChIJX576eT0rsDsRSbPWdBwqJTk","Bharat Petroleum, Petrol Pump -Siddalinga Petrol & Diesel Bunk","Kyathasandra","13.3137918","77.14670749999999","true"
"ChIJkRFCn84tsDsRUnAged0EnJg","Go gas","84FM+MV8, Chandana Complex, Tumakuru","13.323877","77.13478409999999",""
"ChIJxWhpsQ4tsDsRhOZJm9Nn7JU","Nayara Ramjay Petroleum","near Ramjay Orthopedic centre, Kunigal-Tumkur Road, banashankari nagar, Tumakuru","13.3340499","77.0962783","true"
"ChIJP5h3lpstsDsRYp6Iu_EvlUQ","SHIVDEV PETROLEUMS","SS Puram Main Road, Entrance, Tumakuru","13.3338142","77.10955659999999","true"
"ChIJ327a92MvsDsRKcrqhIqTbSY","Aegis Autogas LPG Station - Vijetha Fuels","No.29, Veerasagara Ring Road, Tumkur, Tumakura, Tumakuru","13.3360172","77.0868845","true"
"ChIJNWPR5OQtsDsR4egjT_OXbBg","SIPANI_TotalEnergies - Tumkur","84Q4+9CG, Ward No. 18, Tumkur, Tumakuru","13.338444","77.10606539999999","true"
"ChIJS6_QJyYssDsRpcTkBfv3abQ","IndianOil","Ground Floor, Kariappa Road, KR Extn, Barline, Tumkur, Tumakuru","13.3387044","77.1037786","true"
"ChIJw9hZFY4usDsRn8SKvhH-49E","IndianOil","Survey No 31, 1 Veerasagra, Ring Road, Tumakuru","13.3390294","77.086801","true"
"ChIJSbqPmoMusDsRytbLHa8WS9A","C. M. P. Swamy Traders","beside Veerashiva Samaja Building, beside TMCC BANK, 1st, Vinayakanagar Road, Ward No. 18, Tumakuru","13.3415693","77.0979809","true"
"ChIJ91JWURLVsTsRn_MuW05V-B4","Hindustan Petroleum Corporation Limited","Sy No 14 Nelamangala, Sompura, Nijagal","13.2466009","77.2261631","true"
"ChIJDyk1jIvvzjsRhuBipwlk0jM","IndianOil","Survey No 128, 2 Gandhinagar, Railway Station, opposite Hirehalli, Tumakuru","13.2800209","77.1872144","true"
"ChIJFaTCBAArsDsROEzNKXQpSuk","𝗧𝗶𝘄𝗮𝗿𝗶 𝗛𝗶𝗴𝗵𝘄𝗮𝘆 𝗙𝘂𝗲𝗹𝘀 , indian oil","75GV+39X, Tumakuru","13.2752301","77.193499","true"
"ChIJjaPzR_TVsTsRIG5kkhVB4SA","AJITH FUELS","7674+7C9, Hale Nijagal","13.2631606","77.2060977","true"
"ChIJU-2omDMtmTkRniVw60p1vD8","IndianOil","Survey No 59/2A4 & 59/2A5 Nandihalli, hubli, Urdigere","13.2631097","77.2064572","true"
"ChIJLetPlx_VsTsRDkYyEkC-JJo","Bharat Petroleum S R S H Fuels Station","30/6,30/7,Halenijagal Dabbaspete NH4 Tumkur Road, Rural, Bengaluru","13.2620794","77.20738349999999","true"
"ChIJIweVKgDVsTsRyqLE3NG_exA","Good will fuel station Indian oil","7665+FF6, Hale Nijagal","13.2611589","77.2086485","true"
"ChIJ1dgWZwDVsTsRSbeMiIuxUpQ","SLN FUELS, Nelamangala","Hale Nijagal","13.2598125","77.2093125","true"
"ChIJm_v8dyPVsTsR9Bk53orkqUg","Indian Oil Petrol Bunk","Hale Nijagal","13.256471","77.2125276","true"
"ChIJGSjMa0vVsTsRiorPIFo8mgs","Bharat Petroleum, Petrol Pump -Sannidhi Service Station","Hale Nijagal","13.2564764","77.2138916","true"
"ChIJK9L7XwDVsTsRo70mlGZtTkQ","Reliance Petrol Pump Parking","66XF+JCW, Nijagal","13.2496249","77.2240162",""
"ChIJo6jZdwzVsTsRFKk8QLbb-RE","IndianOil","Old NH 4 Bangalore Pune, Highway, Dobbaspet","13.2448857","77.2301545","true"
"ChIJt1FeOA3VsTsRZUjAKcWsZIM","IndianOil","Sy No 6, Nijagal, Tumkur Road, Bangalore","13.2441437","77.230367","true"
