place_id,name,address,latitude,longitude,open_now
"ChIJ7ZzG488ipDsR9Q1iqzuSV5A","IndianOil","Ground Floor, Mappila Bay, Ayikkara","11.859216","75.37606699999999","true"
"ChIJXThVn3ckpDsRbH42umFjl1w","IndianOil","Ground Floor Etakkad, Muzhappilangad","11.815689","75.437161","true"
"ChIJbdsOyhI9pDsRz31cd7Yutcc","Bharat Petroleum, Petrol Pump -Ramla Enterprises","Old Muncipal Bus Station, Ayikkara Government Hospital Road, Thavakkara, Kannur","11.8590206","75.3756277","true"
"ChIJf0NgrcAjpDsRxSEfTYTfyuU","IndianOil","Ground Floor, Mappila Bay, Ayikkara","11.859132","75.378518","true"
"ChIJIVcOgkgjpDsRzWUEHEgg0Lw","IndianOil","Ground Floor, Bypass Road, Thazhe Chovva, Chelora","11.860126","75.414509","true"
"ChIJRQxcLzYjpDsRf12y54m5Vis","Hindustan Petroleum Corporation Limited","Ground Floor, Thazhe Chovva, Kizhuthally, Bypass Road, Kannur","11.863381","75.410731","true"
"ChIJzbm50E8mpDsRq_cG2DOVpOk","N. Sadananda Pai & Co - Bharat Petroleum","QF2V+C7Q, TC Road, Vadikkal, Thalassery","11.7510976","75.4932462","true"
"ChIJA9AMdAAnpDsRg4xPw4h5jRU","Dharmadam Fuels IOCL Dealer","QFF9+8V2, Dharmadam - Melur Road, Edapuzha, Dharmadom","11.7736788","75.469512","true"
"ChIJSzgxggElpDsR0roReBe9vGs","MRPL Petrol pump","RCQR+WQQ, Koothuparamba – Chovva Bypass Road, Kadachira","11.8399743","75.44193","true"
"ChIJNVFgvMclpDsRHkbT90MidNc","Hindustan Petroleum Corporation Limited","Ground Floor, Thalassery - Irikkur Road, Pinarayi","11.8071272","75.494721","true"
"ChIJl1cZaWIlpDsR89C5FA_ubJI","IBP AUTO SERVICE.KOTTAM.MAMBARAM","Vll/02, Mambaram","11.828644","75.494531","true"
"ChIJ-yhdSnklpDsRmEk3nMkQSfw","IndianOil","Ground Floor, Kannur - Kuthuparamba Road, Mambaram","11.828644","75.494531","true"
"ChIJJ5FSkzU9pDsRmVOFmeBx2P0","Hindustan Petroleum Corporation Limited","Ground Floor, Kannur Railway Station Road, Kannur","11.872832","75.3655885","true"
"ChIJaZ3-ZZ09pDsRBqEwJq7KbnU","Hindustan Petroleum Corporation Limited","Ground Floor, Alavil - Azhikode Road, Chalad, Kannur","11.877791","75.35736100000001","true"
"ChIJK-Ls4Kw9pDsRqlNXGYkXtIQ","Megha bharath gas godown","W932+9WW, Chirakkal","11.9034803","75.3523158",""
"ChIJtWvXXC8WpDsRjQV9BuH_9T4","IndianOil","Ground Floor, Azhikode","11.921863","75.334116","true"
"ChIJ857bs1U9pDsRsegpbdf4_nc","Bharat Petroleum, Petrol Pump -Alinkeelkannan & Co.","MK Road, KNR, Kannur","11.8730754","75.3653597","true"
"ChIJIb5oXtY9pDsRTcSVZAJGaAs","GG FUELS COUNTER 2","156 Gg Fuels Building, Kannur","11.8727036","75.36541500000001",""
"ChIJV8cFXXA9pDsR6dOBs6WU8uA","GG FUELS COUNTER 1","Gg Fuel Building, 123, Kannur","11.8727961","75.3655595","true"
"ChIJrewFrHEXpDsRelqc5lIrN2c","Hindustan Petroleum Corporation Limited","RS No 181/125 & 182/124, Azhikode North","11.9318534","75.3274911","true"
