place_id,name,address,latitude,longitude,open_now
"ChIJq8a14nWBpDsR25BGYAIPBhg","IndianOil","Tin 32130543609C Kanhangad, Kalanad Road, Chemnad","12.456026","75.015125","true"
"ChIJl0IZfQ6BpDsR7gMVX--62Uk","Hindustan Petroleum Corporation Limited","Ground Floor, Udma","12.444861","75.023301","true"
"ChIJy52N55KBpDsRA8ut11HufYU","Bharat Petroleum, Petrol Pump -Rockland Fuels","UDUMA KSGD, KASARGOD","12.4181147","75.02196769999999","true"
"ChIJn6N8y_OApDsRipJ_Kv03S7s","Bharat Petroleum, Petrol Pump -Shivapriya Fuels","Kasaragod - Kannur Road, Kottikkulam, Bekal","12.4109113","75.02293879999999","true"
"ChIJhdHVq4GDpDsRakY8V6h392I","MRPL Petrol Pump - M.I.K Fuel Station","opposite Jama-ath Higher Secondary School, Chemnad","12.491879","75.0027577","true"
"ChIJdydPC1OBpDsRDpSMbrn-ppk","IndianOil","Tin No 32130296752C, NH 17, Poinachi","12.468351","75.058449","true"
"ChIJb_64vhGBpDsR1O7JtT-Pwv4","Hindustan Petroleum Corporation Limited","Ground Floor, Unnamed Road, Thekkal, Poinachi","12.4581101","75.0591401","true"
"ChIJo0USUACBpDsRmQTjaxi9hQg","Biogas Plant","92QR+4GM, Pallikere","12.387827","75.041292",""
"ChIJR5ujLaeApDsRWeh6EfHsIqQ","IndianOil","Ground Floor, Pallikere - Periye Road, Kanhangad","12.387702","75.04357399999999","true"
"ChIJ-2LSo5SHpDsRigfReZqrysg","Hindustan Petroleum Corporation Limited","Ground Floor, Navodaya Nagar, Hosdurg, Periye","12.4155282","75.0905811","true"
"ChIJsQ1tUXOHpDsR4cjUZ_tp0nQ","Bharat Petroleum, Petrol Pump and CNG Station -Safari Agencies","National Highway 66, Vadakkekara, Periye","12.4122558","75.0926236","true"
"ChIJFbJ7Pm6HpDsRvH0rW1dVCFE","IndianOil","Tin No 32130663759C, Road Chittari, Alakkode","12.403508","75.095726","true"
"ChIJo63uumaCpDsRwYbBjGJG4Hw","IndianOil","Ground Floor, Karanthakad, Adkathbail, near Fire Station, Kasaragod","12.50947","74.98601","true"
"ChIJrxRG6UKCpDsRZOoTu3J6bUQ","C T Moideen Kunhi And Brothers","Petrol Pump, Kasaragod","12.5033616","74.9928786","true"
"ChIJKdRDuomDpDsRpnkNK0qoRFM","Jilu auto gas","Bus Stop, Karndakkad, Edappally - Panvel Highway, Siraj Nagar, Kasaragod","12.5087831","74.98589079999999",""
"ChIJnTVFRQCDpDsRzfWYktwsoNc","Jio bp","opp. Thalipadup maidan, Kasaragod","12.5133134","74.9823818",""
"ChIJZ4MVpYODpDsRKV17s6zy9n0","Hindustan Petroleum Corporation Limited","Ground Floor, MG Road, Kasaragod","12.503391","74.99291099999999","true"
"ChIJg7k8E1yCpDsRALSxIAbvBSo","IndianOil","Ground Floor, MG Road, Choori, Kasaragod","12.509399","74.996033","true"
"ChIJ-UCREFmCpDsRChkR2040p5o","Indian Oil Corporation IOC Fuel station","SH 31, Kasaragod","12.5130463","74.99881719999999",""
"ChIJD8bb652CpDsRzEwIo_01KEw","Chowki Bharat Petroleum BPCL Petrol Pump","PO, Kavugoli, Kudlu","12.5305576","74.96889829999999","true"
"ChIJF80XLQ-DpDsRf2_WeWzVUcw","Bharat Petroleum, Petrol Pump -K.V. Kamat & Co.","NH17 VIDYANAGAR KSGD","12.5152521","75.0078856","true"
"ChIJ2U0VBQCDpDsRGNR2o-V-epc","Hindustan Petroleum Corporation Limited","Ground Floor, Vidyanagar - Uliyathadka Road, Kasaragod","12.517921","75.014941","true"
"ChIJowXudcOCpDsRAPmCFywBSGs","Hindustan Petroleum Corporation Limited","Ground Floor, Kasargod Madhur Road, Uliyathadka, Madhur","12.543463","74.9998586","true"
"ChIJe8I95QuDpDsRAIIAS5j7bdU","AK SONS PETROLEUM","Kasaragod – Madhur Road Uliyathadukka-madhur, road, Chowki -Uliyathadukka, Kasaragod","12.5438228","75.00006320000001","true"
"ChIJ7SsKPgCDpDsRl9V8XmP_PE0","Jio-bp","opposite Toto Mall, No CGPW/20/245A, Naimarmoola - Perumbala Kadavu Road, Chengala","12.513701","75.02551009999999","true"
"ChIJDzZOQIWDpDsRfOhNyoMnI0M","BPCL PETROL PUMP (M. A. AGENCIES)","near GHSS, NH 66, 5th Mile, CENTRAL, Cherkala","12.5098361","75.05080989999999","true"
"ChIJCxMA2UKEpDsRMDZShylgkDU","Hindustan Petroleum Corporation Limited","Ground Floor, Cherkala","12.509021","75.05787099999999","true"
"ChIJY9nmQZiEpDsRBDExbgfYVAc","Hindustan Petroleum Corporation Limited","Ground Floor Edneer, Chengala","12.5415674","75.0710498","true"
"ChIJmQDGab2FpDsRvGy1ob4Duys","POVVAL FUELS","PO, Povval, MULIYAR","12.5073031","75.0815557",""
"ChIJB0vBCQCFpDsRDzGt9ZvFH6M","Indian oil","G35M+MCQ, Povval, Muliya","12.5098262","75.0824547",""
"ChIJA1BwEgiFpDsRX6uv2mLNO38","United Agencies Adhoc Bharat petrol station bovikanam","G34V+P83, Cherkala - Jalsoor Road, Bovikanam","12.5067637","75.0932972","true"
"ChIJPTBhXG-FpDsRafxXTe_2zOk","IndianOil","208/2A2, Guru Nagar, Nellikatte","12.5474003","75.0705242","true"
"ChIJGTq7JbxiozsR3E1nhTabeFE","IndianOil","National Highway 66, Perwad, Mogral","12.5772174","74.95056","true"
"ChIJuYG1Z75iozsR_rrtfj37LNM","Hindustan Petroleum Corporation Limited","Ground Floor, Rajeev Nagar, Perwad, Kumbla (Kumble)","12.5785129","74.9488135","true"
"ChIJh26tsZFiozsR9RiJupvRKn4","Bharat Fuel Agencies Petrol Pump","Kumbla–Badiadka Road, Kumbla (Kumble)","12.5901062","74.95252339999999","true"
"ChIJPeo4qUliozsR3b5aWiGxumM","Hindustan Petroleum Corporation Limited","Ground Floor, NH 17, Bandiyod, Shiriya","12.6217245","74.92918240000002","true"
"ChIJUUQxKbxiozsRwrRR1O22MXI","Formula-1 Service Station","Nh66, Perwad, Kumbla","12.5775341","74.9504422",""
"ChIJ48ykc1BjozsR-BUbVvRYJPQ","InSquare Petroleum (MRPL)","JWPF+GRQ, Bandiyod, Mangalpady","12.6367479","74.92529259999999","true"
"ChIJeScvQQCdpDsR8q9V2D40RMU","HP Petrol Pump","Seethangoli","12.5947452","75.00509319999999","true"
"ChIJfYc6Hh-dpDsR5XXhcm5P7so","IndianOil","Tin 32130539379 C Bela, Seethangoli","12.5869701","75.0102101","true"
"ChIJn0veniydpDsRcBETsuCcUIc","Hindustan Petroleum Corporation Limited","No 211/2PT, Seethangoli, Edanad","12.609851","75.0083241","true"
"ChIJxSbN3k-bpDsRSNvEnJkFOvA","IndianOil","Ground Floor Ariyapady, Neerchal","12.574781","75.072942","true"
"ChIJAVQmfWibpDsRZ-IumCnvtA8","Hindustan Petroleum Corporation Limited","Ground Floor, Perdala, Badiyadka","12.590421","75.073471","true"
"ChIJYRkEGwCbpDsR4aw51NsWHdo","Fuelex services","H3HF+98H, Badiyadka","12.5784268","75.07335859999999",""
"ChIJ44peyuqbpDsRk_kdWCmZqfI","Bharat Petroleum Petrol Pump , FUELEX ಭಾರತ್ ಪೆಟ್ರೋಲಿಯಂ ಪೆಟ್ರೋಲ್ ಬಂಕ್ SERVICES","Badiyadka","12.5784114","75.0733735","true"
