place_id,name,address,latitude,longitude,open_now
"ChIJRdAxCWiEeTkRbS1bfRw5px0","IndianOil","Ground Floor, Mungaoli, Achalgarh, Ashok Nagar, Mungaoli","24.544555","78.053389","true"
"ChIJa8DKT0iDeTkRV28E3XxC1vA","K K and Sons Nayara","G432+RR6, Dhimcholi","24.5045351","78.10203059999999",""
"ChIJSdaf-cWYeTkRfUJQEXqdF8g","JPC Jakhlaun Pump Canal","H727+7MF, Bandarguda, Jakhlaun","24.5506802","78.2641661","true"
"ChIJDafg4ziieTkRKEQKEGhE0HI","IndianOil","Ground Floor, Jakhlaun","24.563957","78.32341799999999","true"
"ChIJQ-eYRwCjeTkRVdVDkZjldro","मेहर बाबा फिलिंग स्टेशन (पेट्रोल पंप जाखलौन)","H82H+7GP, Jakhalon","24.5507145","78.3288338","true"
"ChIJ8fsQAkmPeTkRaawQbCOVOaY","Hindustan Petroleum Corporation Limited","Ground Floor, Patwari Halka, Chanderi","24.700454","78.097464","true"
"ChIJESGPG_OReTkRGaTA35Qceho","IndianOil","Ground Floor, Chanderi","24.7069001","78.13180009999999","true"
"ChIJOSaik3yTeTkRSa7a12c4bt8","Bharat Petroleum, Petrol Pump -Pragati Fuel Point","CHANDERI TOWN, ASHOKNAGAR","24.7211148","78.1378331","true"
"ChIJqUT8p6iVeTkReFJcQhS_JKM","BPCL , Petrol Pump,Rajghat,Lalitpur,Uttar Pradesh","Rajghat bypass, Lalitpur","24.7663398","78.2589106","true"
"ChIJfcIZt_iUeTkRDrnT8XV8zBg","IndianOil","Ground Floor, Rajghat, Deori","24.772017","78.2414998","true"
"ChIJc4gmRFeVeTkRhZRAi3EDN7E","Hindustan Petroleum Corporation Limited","Gata No 23, 5 Shivpura, near Rajghat Dam, Lalitpur","24.774249","78.2426907","true"
