place_id,name,address,latitude,longitude,open_now
"ChIJL5WrRnTWeDkRT6zT8fgdNy0","Bharat Petroleum, Satyapal singh thakur & Co","Lahdara, Sagar, NH-86, Sagar Rahatgarh Road, Sagar, Sagar","23.8247","78.6835","true"
"ChIJS-LQf73WeDkR95LDlcYxu2c","IndianOil","Ground Floor Bhopal Road, Near Rtkm 32 Kms, NH 86, Baheriya Sahni","23.838332","78.724974","true"
"ChIJGZ2TY_TTeDkR6fY1nUNjOzc","Diamond HP Petrol Pump","RQ42+6W4, Tilli, Sagar","23.805522","78.752326","true"
"ChIJDXvxPHTWeDkRACOs5kcZOvQ","IndianOil","Ground Floor Lahdara, Baheriya Sahni","23.8258795","78.68544779999999","true"
"ChIJn-QLvYnWeDkRNsixrrl-uWw","Hindustan Petroleum Corporation Limited","Gr Floor, Bhopal Bina, Jhansi Bypass Rd, Bamhori Renguwan","23.8382361","78.7042362","true"
"ChIJ43WBX77VeDkRYFlsmpJ1Ers","Shivaditya Petroleum","Sagar","23.8167376","78.7339497","true"
"ChIJO5HSzzzVeDkRLro5g3EHSXk","Bharat Petroleum Petrol Pump , SHARDAJI PETROLEUM","WARD NO. 47, BAGHRAJ WARDKANERA DEV, Sagar","23.812786","78.740748","true"
"ChIJZVFBxPXWeDkRXHR_DEv0RH4","Balaji Petroleum","VP23+6MC, near Jyotishi Automobiles, Amaoni","23.8505551","78.704149","true"
"ChIJ_7Pjd73WeDkRE-gHtIxvE_c","Hindustan Petroleum Corporation Limited","Ground Floor, Bhopal Road, Sagar","23.8384953","78.7256165","true"
"ChIJtzjaYA_UeDkRc09Z7ytaHfg","Hindustan Petroleum Corporation Limited","Ground Floor, Kanera Dev, near Somnath Puram, Sagar","23.810164","78.74328799999999","true"
"ChIJ1RFZPHLXeDkRGgWzF0i6z-M","SilverLeaf Petrol Pump","Kali Tigadda, Purviyau Tori, Kakaganj, Sagar","23.83221","78.736699","true"
"ChIJJYHAv_fWeDkRcal9VWVj13M","Jyotishi Automobiles","Khurai Rd, Near New Galla Mandi, Jyotishi Petrol Pump Square","23.8558475","78.70377239999999","true"
"ChIJLa0OPHjTeDkRCoiOlMAwakQ","Hindustan Petroleum Corporation Limited","Ground Floor, Rajghat Road, Tilli, Sagar","23.804801","78.75190099999999","true"
"ChIJ8QU5YADXeDkRdVn5LW_6deg","Bharat Petroleum","VP54+HR, Gadoli Khurd","23.85901819999999","78.70664579999999",""
"ChIJ_RDaAADTeDkRD0VcrwaF8Iw","Sagar Megha CNG","RQF3+93W, Sagar","23.8234918","78.7526908",""
"ChIJZTd0QkvXeDkRZ5haLFulRpU","Bharat Petroleum, Petrol Pump -Rudraksha Petroleum","Infront of District hospital, Tili Road, Sagar","23.8233455","78.7528214","true"
"ChIJvak_e_7TeDkROT4hn8SdMgc","Indian Petrol Pump","RQF3+84W, Tili Road, Balak Complex, Sagar","23.823359","78.752827",""
"ChIJi1aFpE3ReDkRzOyw6k3Zex0","servashrestha gas seva sagar bharat gas","Sagar Road, Gopal Ganj, Sagar","23.8404261","78.7510582",""
