place_id,name,address,latitude,longitude,open_now
"ChIJw8QZQWWw1jsRe_e7Gc8yXO0","Hindustan Petroleum Corporation Limited","Ground Floor, Badnera Road, Pala, Amravati","20.826201","77.709701","true"
"ChIJczFWlViw1jsR3qePdAfwud4","Shreyanshi PUC BHARAT PETROL PUMP","Kolkata - Mumbai Highway, Morgaon","20.80747689999999","77.700466","true"
"ChIJL-qLYQC71jsRGGUMhMgkC2E","Arhant Automotive Indian Oil Petrol Pump","RPXF+33Q, Akola - Amravati Road, new town, Badnera, Amravati","20.8477242","77.72273440000001","true"
"ChIJEVQ7xMm71jsRAFFvaLJ81vg","Mamarde Auto LPG Gas Pump","Vilage Sy. No. 8/5, Lontek Batkuli Road SH.No. 200, Amravati","20.9060916","77.69427739999999","true"
"ChIJLxIZg3i71jsR3cAotruOovM","Bharat Petroleum, Petrol Pump -Kasturi Fuels","BADNERA, AMRAVATI RD, AMRA, Amravati","20.864809","77.7315443","true"
"ChIJG4DJ5uC71jsR-dHo4VkM0Zk","Hindustan Petroleum Corporation Limited","Ground Floor, Pandhri, Bhatkuli, Amravati","20.907404","77.657647","true"
"ChIJzcIfPI271jsRFu8sSFI2PfA","Indian Auto Gas","VP9P+H6X, Maharashtra Major State Highway 6, Juni Basti, Amravati","20.8689887","77.7356026","true"
"ChIJc4r258m61jsRPJFs5wFvmBo","IndianOil","Ground Floor, Badnera, Amravati","20.865305","77.738205","true"
"ChIJD4WFfwC71jsRW4_3BiBj9Cw","Parimal Servo Petroleum Indian Oil","WP2C+RMC, Ring Road, Navsaari, Amravati","20.9020692","77.7216335","true"
"ChIJ0WPknliw1jsR6msW9Z9QNZ4","IndianOil","Ground Floor Belora, Nagziri Phata, NH 6, Belora, Shivaji Nagar, Amravati","20.807418","77.699446","true"
"ChIJKX51XgCx1jsR4_sBJPoGLqA","NILANJAY SERVICE Bharat petrol Pump","Ground Floor Belora, Nagziri Phata, NH 6, Belora, Shivaji Nagar, Amravati","20.8076418","77.70081040000001","true"
"ChIJI1KgJ_iw1jsRCvc7zC6atz0","LPG GAS STATION CAR","RM3W+4XW, Nagpur - Chhatrapati Sambhaji Nagar Highway, Morgaon","20.8028678","77.6974419",""
"ChIJI6nfheql1jsRl6x3VAY1Cw8","Bharat Petroleum, Petrol Pump -Amravati Highway Petrocarbon","AMRAVATI BYPASS ROAD ,AMRA, Amravati","20.8697566","77.7486033","true"
"ChIJsyp7D2-l1jsRKzp2LK6y2TQ","Hindustan Petroleum Corporation Limited","Survey No 13, Plot No 9/10A/B, MIDC Road, Badnera, Amravati","20.872677","77.74986799999999","true"
"ChIJY0G3Ucql1jsR_Ol2jaZs0ls","Bharat Petroleum Petrol Pump , JAIKA MOTORS","Badnera Road, Amravati","20.892672","77.74713899999999","true"
"ChIJm69ONXyl1jsRaxTMbRW94-E","Purti gass pump","Badnera Road, Guruchhaya Colony, Gopal Nagar, Amravati","20.8936166","77.7474235",""
"ChIJB1IDPwC51jsRfl_unq9FH8k","Mauli Indian Oil Petrol Pump","WJ49+5G, Kaliche Khede","20.9054371","77.6188657",""
"ChIJl-EpZaKx1jsRekPc1ZaKgZA","Bharta tyre service","R p bhagwat petroleum, NH...6, Loni","20.79219","77.680097",""
"ChIJ-4-G7lml1jsRoaY7gNLFctk","Hindustan Petroleum Corporation Limited","Ground Floor, NH 53, Amravati Bypass, Badnera, Amravati","20.867459","77.756198","true"
"ChIJnzuv_Tml1jsRhtZzX01F-zw","IndianOil","G No 14/2&10/1Aa, Amravati Bypass, Mouza, Amravati","20.8711435","77.75713809999999","true"
"ChIJ3cV_Xsmk1jsRvIoKjds03cg","Hindustan Petroleum Corporation Limited","Mouje Peth, Ground Floor, Old Bypass Road, SH 46, Badnera Road, Amravati","20.907781","77.75128099999999","true"
"ChIJ04Kfxuqk1jsRjXYElqJ3msI","Hindustan Petroleum Corporation Limited","Ground Floor, MIDC Road, Yashoda Nagar, Dastur Nagar, Amravati","20.913881","77.770541","true"
"ChIJ7zRJ_KKk1jsRk8zGnfIrqIs","Hindustan Petroleum Corporation Limited","Sheet No 40C, opposite Bus Stand, Plot No 2/9, Road, Rukmini Nagar, Amravati","20.927551","77.76556099999999","true"
"ChIJAaGaKaak1jsRfnZdGGCKemA","M/S S D ASORIYA ADHOC, Bharat Petroleum Petrol Pump","Amravati","20.9327975","77.7567002","true"
"ChIJGWZGy56k1jsRz-dqUurxWN8","Police Kalyan Petrol Pump","WQJC+JR6, Maltekdi, Amravati","20.9315419","77.7720183","true"
"ChIJRcXu81ml1jsRodJUD5pi6fg","Lad Petroleum- Essar Oil Limited Nayara oil limited","Mhasala","20.847921","77.757784","true"
"ChIJ1_nJptyk1jsR6A1r_PVzRyA","IndianOil","Jewadparagne, Dastur Nagar, Amravati","20.900299","77.762703","true"
"ChIJdYCUzM2k1jsR6blmmIa-vbk","IndianOil","Badnera Road, Saturna, Amravati","20.903503","77.749977","true"
"ChIJveLT2r2l1jsRmwEfwKvRqEQ","Bharat Petroleum station","WP7X+6J7, Krishnarpan Colony, Kanwar Nagar, Guruchhaya Colony, Sharda Vihar, Amravati","20.9130456","77.7490566",""
"ChIJyVK1Hrel1jsRx-zI50XmBkM","IndianOil","Pharsi Stop, Bapu Colony, Amravati","20.9140156","77.7600563","true"
"ChIJSXZTbUGl1jsRQfkyMtFuyrU","Yash Shop","Shop, Road Number 1, Ravi Nagar, Sharda Vihar, Amravati","20.9151593","77.74824660000002",""
"ChIJtcfDFgCl1jsREpe6QImxdIA","Samruddhi Puc Center","WQ79+2X2, MIDC Road, Yashoda Nagar, Dastur Nagar, Amravati","20.9125146","77.76989189999999","true"
