place_id,name,address,latitude,longitude,open_now
"ChIJXd2VuyNRxDsRYO2HWckidyg","SHRADDHA PETROLEUM","NH 548C, KURDUWADI BARSHI ROAD, Tal, Ridhore","18.1374861","75.5502546",""
"ChIJ5y03LjdRxDsRIvaBCztjwfQ","Hindustan Petroleum Corporation Limited","Ground Floor, NH 548C, Barshi - Pandharpur Road, Madha, Kurduvadi","18.141719","75.558261","true"
"ChIJka3RP1hRxDsRfJB1ghPPeqo","Hindustan Petroleum Corporation Limited","Survey No 293/2 NH 548C, Barshi Kurduwadi Road, Barshi - Tembhurni Road, Shendri","18.144499","75.56356699999999","true"
"ChIJAYzibgBXxDsRW9_IU35YFxQ","Harsh petrolium /cng","6HQ4+MV, Wakadi","18.2392064","75.5571547",""
"ChIJI1jBiodRxDsRepGDgcLgEd0","Nayara Petrol Pump BHORE PETROLEUM","National Highway 548C, Wangarwadi","18.163067","75.5966897","true"
"ChIJRZRVZrdXxDsRCyeQRIM6Sg8","Bharat Petroleum Petrol Pump , PARSHURAM PETROLEUM","WARADWADI PHATA, AT POST- ASUWARADWADI PHATA, AT POST, Asu","18.235602","75.56830400000001","true"
"ChIJzzLt2FxaxDsRKS6Mceyfy3Y","Hindustan Petroleum Corporation Limited","Gat No 669/A, NH 548, Barshi - Tembhurni Road, Madha, Mhaisgaon","18.119511","75.49787599999999","true"
"ChIJAW78Mk5UxDsRL54f3omyS-M","Hindustan Petroleum Corporation Limited","Gat No 38, 1/1, Kurduwadi Road, Barshi","18.2056583","75.6551171","true"
"ChIJjzsUSUNVxDsRkQy2ItDZe-g","Hindustan Petroleum Corporation Limited","Gut No 152P NH 548C, Barshi Kurduwadi Road, Barshi - Pandharpur Road, Khandavi","18.1923249","75.63822600000002","true"
"ChIJ7QfxiWNXxDsRbzXjPJEhTws","SAUDAGAR PETROL PUMP","Shop No 01, Main Road, Barshi - Paranda Road, Uplai Varadvadi, Barshi","18.2409804","75.5964149","true"
"ChIJo20nr_dXxDsRekoBnPjMR4c","SANJARI NAYARA Petrol Pump (MOHSEEN ALLAN)","6HQH+76Q, Barshi - Paranda Road, वाकडी","18.2383967","75.5772565","true"
"ChIJay6U71NUxDsRu90cTiIKpdA","IndianOil","Kurdwadi, Gat No 21/ B/2A/P Barshi, Road, K V Nagar, Alipur","18.2097989","75.66073639999999","true"
"ChIJwa-vFlNUxDsRgp5QbgouQdE","Bharatgas","India","18.2129396","75.6596837",""
"ChIJa3lkHP5VxDsRaMgFvrt-9Fg","Shree Mahalaxmi petroleum BPCL PUMP","near Lakshyavhiwadi, bypass, Barshi - Paranda Road, बार्शी","18.23841","75.6340359","true"
"ChIJmdWosE2rxTsRsPHzEBN8OCI","IndianOil","Ground Floor, Soundare","18.1865363","75.7178563","true"
"ChIJYbe_fj1VxDsRpMzbiLKMxSU","Bharat Petroleum, R T Kadam Petroleum","735/2, T K ESTATE, Chinch Road, Dhage Mala, Barshi","18.231241","75.69099489999999","true"
"ChIJszaLeqBVxDsR5toATpHtlgI","HP PETROL PUMP & CNG STATION BARSHI","HP Petrol Pump, Barshi, Barshi - Paranda Road, Sholapur","18.2366596","75.6654496","true"
"ChIJc9SNEjxVxDsRbpZPFK9CdSc","Hindustan Petroleum Corporation Limited","Ground Floor, Sambhaji Nagar, Barshi","18.2344196","75.6964563","true"
"ChIJTef8vDhVxDsRhk_KRBQQw-s","Hindustan Petroleum Corporation Limited","S No 2551 Yedeshi, Solapur Road, Barshi","18.2399101","75.6977501","true"
"ChIJ8WuxW-tUxDsRG6LVLeM--wI","ESSAR","5MVP+Q47, Kasarwadi Road, Kavhe","18.1944192","75.68529149999999",""
"ChIJ2SVHPwdVxDsRTWXLpftySlY","IndianOil","Gut No, 1524, Solapur Road, Barshi","18.206725","75.707664","true"
"ChIJnT6NJnmrxTsRSsvwy3HChDU","Hindustan Petroleum Corporation Limited","Survey No 455, near Yamuna Mangal Karyalay, 5/A, Barshi - Solapur Road, Soundare","18.1865732","75.7177708","true"
"ChIJQRYX6PdVxDsRz_Ko-pYumuI","Essar petrol pump","6MHH+MR6, Alipur Road, Chatrapati Colony, Barshi","18.2291693","75.6795252","true"
"ChIJDYrSkUxVxDsREF7I2-63nh4","M S KOKATE PETROLIUM","1337, Alipur Road, Chatrapati Colony, Barshi","18.2292345","75.67945859999999",""
"ChIJ5YpdtThVxDsR9RtxzXSCffc","Nayara Petrol Pump R N Dhage Petroleum","NH 548C,wangarwadi, Barshi","18.2307824","75.6892183","true"
"ChIJqZf7-rZVxDsR8-Fx9hZP91I","BHAGWAT AND BROS BARSHI","37136, Station Road, Barshi","18.2289413","75.6972357",""
"ChIJo7VjWN5VxDsRB--vTkJvp2k","Hindustan Petroleum Corporation Limited","Gut No 949/2/2, NH 150E, Barshi - Paranda Road, Barshi","18.2365276","75.6654118","true"
