place_id,name,address,latitude,longitude,open_now
"ChIJnyB27WgQ2TsR5T4cuEUR3NY","IndianOil","Audyogik Vasahat, Opposit M/S Jain Irrigation, Bambhori Pr. Chandsar","21.0168647","75.49436589999999","true"
"ChIJo1mXrxgN2TsRTcWkURdRIj8","Nayara Energy Petrol Pump","WGHP+384, Shirsoli P.B.","20.928656","75.535626",""
"ChIJ2RK70u8N2TsRTcaYyJMYGic","Hindustan Petroleum Corporation Limited","Ground Floor, Pachora - Jalgaon Road, Shirsoli, Jalgaon","20.93299099999999","75.539991","true"
"ChIJXYuFTFIP2TsRBGOs6z_kXQY","Devika PETROLEUM Nayara","XH42+4XH, Mohadi","20.9553048","75.5524796","true"
"ChIJy8mxSBoP2TsRzr-XOV_m5u4","Hindustan Petroleum Corporation Limited","P No 7, C/l, Sy No 406/1P, 410/1P, 406/2/1, beside Golden Bricks Meharun, 406/2/2, Mohadi Road, Jalgaon","20.9806101","75.555956","true"
"ChIJj9qEN64P2TsRcUC10rRqxYM","BPCL Godavari","XHP4+XHC, Mahabal Road, Nutan Varsha Colony, Ganapati Nagar, Jalgaon","20.9874272","75.5564031",""
"ChIJZY2MCqQP2TsR3RcK9FlySb0","Hindustan Petroleum Corporation Limited","Ground Floor, Dhule Highway, Bambhori Pr. Chandsar","21.016261","75.500091","true"
"ChIJW6epW4oQ2TsR2B-SPk6JilI","IndianOil","Plot No 21 & 22, Jamner Road, Bazar","21.015515","75.479064","true"
"ChIJ-3dXGyIR2TsRpMbAzPHZyUw","Bharat Petroleum, Petrol Pump -Paras Petroleum","PALDHI, JALGAON - SURAT R, Jalgaon","21.0132729","75.469809","true"
"ChIJKcDYj1EO2TsR0_zG-oOCrrY","Kadri Petrol Pump","XHQ7+VVX, State Highway 184, Ganapati Nagar, Jalgaon","20.9897445","75.5647256","true"
"ChIJB_vQqbWAXjkRb89-qlV_DTI","IndianOil","Survey No 2670/S/125, Plot No 13 & 14, Mehrun, Jalgaon","21.0012108","75.56011749999999","true"
"ChIJj2xJc_sL2TsRI1u7S-sVJ9A","Samar Steel Ind","samar ind 118/1 shivar 425003, Chincholi","20.9479549","75.62997670000001","true"
"ChIJvwf0u6gP2TsR2pvSvZ4R-3g","IndianOil","Ground Floor, Neri Naka, Asoda","21.0093365","75.57158869999999","true"
"ChIJxW0QYaYP2TsRpYulWgnHscs","Gandhi Petrol Pump - Bharat Petroleum","2H69+9VP, Shastri Tower - Ajanta Chowk Road, SH186, Joshi Peth, Jalgaon","21.0109663","75.5697041","true"
"ChIJN08x4rgP2TsRRsb4B867BCk","IndianOil","Survey No 7169, Gut No 247, A/3, Bazar, Jalgaon","21.0108207","75.55365739999999","true"
"ChIJ0_9v57gP2TsRcWMFQXEn2O8","HP PETROL PUMP - SHANKARLAL RAMRATAN","HP Petrol Pump Khwaja Miyan Jalgaon","21.0111503","75.553347","true"
"ChIJT6vsos8P2TsRjxpGRQn9v_8","Jalgaon gas agency","XHJP+GWF, Unnamed Road, MIDC, Jalgaon","20.9813116","75.587291","true"
"ChIJ347R7o4P2TsRMeQiD6CosFU","DEF UREA PUMP","near by Suparim colony, above Dhandai Mata Mandir, Jalgaon","20.9769496","75.5949766","true"
"ChIJK0avdz0P2TsR-N-x4ytrL_k","HP PETROL PUMP PUSHPA PETROLEUM","Midc pushpa petroleum, h11/1, MIDC, Jalgaon","20.97895","75.5941644","true"
"ChIJ6-IO2OkP2TsRGPSJp-0ZiPg","Bharat Petroleum, Petrol Pump -Kadri Transport Company","ADARSH NAGAR, JALGAON, Jalgaon","20.9897141","75.5647335",""
"ChIJQwbTHp8P2TsRMAB6BQ_b29M","Vishal Petroleum, Bharat Petroleum corporation limited","GUT NO. 527/1, NH6, Mehrun, Jalgaon","20.9951942","75.5703099","true"
"ChIJTeDk3BcP2TsRGpaz_gJgozI","Reliance Petroleum","Shop No 38-39, New BGM Market, near Red Cross Blood Bank, New Joshi Colony, Mehrun, Tambapura, Jalgaon","20.9959323","75.57207180000002",""
"ChIJyY3_LlUO2TsR3U-P1bADfZg","Bhalaji Auto Gas Station AEGIS","XHWC+GQ2, Mumbai - Nagpur Highway, New Joshi Colony, Mehrun, Jalgaon","20.9962713","75.5718796",""
"ChIJf9W4hj8P2TsROM8i7gxyKNA","Bharat Petroleum, Petrol Pump -Motel Cozy Cottage","AKS, OMKARESHWAR TEMPLE R","20.9968097","75.5602232","true"
"ChIJ5RIiHfwP2TsR18WYGVy5GfY","IndianOil","Ground Floor, Mehroon Shivar, Audyogik Vasahat, Ajanta Road, Jalgaon","20.9971543","75.5800355","true"
"ChIJHVveRwAP2TsRjqRyqq6f3lI","Sarvodaya Service Station","Industrial Estate, Plot No P1, Ajanta Road, MIDC, Jalgaon","20.99718499999999","75.5802113",""
"ChIJvwN9k3oJ2TsR23qf6SsMBCA","Bharat Petroleum Petrol Pump , HAKIMI PETROLEUM","XJ4C+8P, VILLAGE CHINCHOLIJALGAON-AURANGABAD, Maharashtra State Highway 186, Jalgaon","20.9561415","75.6219342","true"
"ChIJ6-2kZgAP2TsRjBRvTBfvKCg","Hindustan Petroleum Corporation Limited","Ajanta Chowk, Survey No I5/2B/2, Plot No 1 NH 6, Mehrun, Chaufuli, Jalgaon","20.99941609999999","75.5752875","true"
"ChIJSYRtTL0P2TsR-IqqM1aKQlE","Krishna Arjun service center","2, Archana, Jai Nagar, Jilha Peth, Jalgaon","21.0005371","75.5658215",""
"ChIJz89AOLIP2TsR_d19UIu4c64","Hindustan Petroleum Corporation Limited","Ground Floor, akashwani chowk, Jalgaon","21.0002829","75.56056339999999","true"
"ChIJJae9XLsP2TsRJPf4qb5ojOM","Zyada Gas Auto LPG Pump","Ajintha chaufuli, Mumbai nagpur road, Mehrun, Jalgaon","21.0010996","75.575813","true"
"ChIJXfiTsK4P2TsRzFrZ7CSLQqQ","IndianOil","Gut No 84/4, 1/2, Mouza Mehrun, Rahuri","21.0026801","75.5677801","true"
"ChIJmTkC5PsL2TsRZeaO15sxFa0","IndianOil","Ground Floor, Chincholi","20.948127","75.6270401","true"
"ChIJxwYqmLEP2TsRQpWOBN4fZ1k","Police Petrol Pump","2H36+55W, Bhaskar Market Road, Pratap Nagar, Jalgaon","21.00299069999999","75.56044349999999","true"
"ChIJZTS9Bo4P2TsR9IlWUuFnoSI","IndianOil","No 587 B/1 Tukaramwadi, Saraf Bazar Road, Jilha Peth, Rd, Jalgaon","21.007156","75.569695","true"
"ChIJc6yyUAAP2TsRHuvrC8bNBqg","Jalgaon","2H57+329, Jalgaon","21.0076578","75.5626039",""
"ChIJGaxAd6gP2TsREQ4JzYItcok","Hindustan Petroleum Corporation Limited","Ground Floor, Old Neri Naka, near Panjarapole, Jalgaon","21.0081427","75.57218999999999","true"
"ChIJk1j-JQYP2TsR4JLBGWei8m8","Hindustan Petroleum Corporation Limited","CTS No 3505, SN 158, Kolhe School, near Kashibai Ukhaji, Jalgaon Road, Old, Bhusawal","21.0087008","75.5781914","true"
"ChIJC_HPCVoP2TsRJPfE3kykMdk","Hindustan Petroleum Corporation Limited","Ground Floor, Joshi Peth, Jalgaon","21.0095447","75.5712454","true"
"ChIJS5QOsGwP2TsRv54X13DOJsI","Nayara Energy Hinglaj Petroleum","Shiv colony Stop, Jalgaon","21.00722769999999","75.54691059999999","true"
"ChIJ99D1WfEP2TsRUr6AX1n2UBQ","Jio-bp","Sy No 156/31, S No 2/3/2/4A/D/4C/2, near Millat High School, NH 53, Mumbai - Nagpur Highway, Jalgaon","21.0100347","75.5720774","true"
"ChIJCeLhbxkP2TsRZbUBaxX1HLs","LAXMI SATHE AND SONS IOCL PETROL PUMP","Nh no 6 Khedi bk jalgaon bhusawal road jalgaon, Jalgaon","21.00659199999999","75.59250899999999","true"
"ChIJ5RIFiOcP2TsRLUBkff38yhM","Shree online services","opposite Jalgaon, Shop No 26 Lewa board Complex Stadium Complex, opposite Jalgaon","21.0081001","75.5437324","true"
