place_id,name,address,latitude,longitude,open_now
"ChIJkeFBLtKDzzsRWexgh27Mp4I","Hindustan Petroleum Corporation Limited","Survey No 24B, Ausa Road, NH 361, Rajiv Gandhi Chowk, Kanheri","18.3791051","76.5582063","true"
"ChIJuWe_Kv1_zzsRfRcXmq4T21s","IndianOil","Gut No 52, Budhada, Harsala Circle U, Ardhapur, Budhada","18.3195946","76.5422552","true"
"ChIJI_TOUeCBzzsRaL9ZRmvtwas","Hindustan Petroleum Corporation Limited","Gut No 78 NH 361, Tuljapur, Solapur - Latur Road, Peth","18.3275901","76.54466099999999","true"
"ChIJC-pi5v6BzzsRUu8M2KXAM8s","IndianOil","Ground Floor, Peth","18.331145","76.547113","true"
"ChIJv5R2PTV_zzsRqH_lVfGoEBM","Hake Petroleum (BPCL ,CNG)","7GXM+FJ8, Budhada","18.2986875","76.53406249999999","true"
"ChIJPWIyXH1_zzsR2RviDyq6vaA","Chandrashekhar Petroleum","At, Post, Almala","18.3045088","76.47962799999999",""
"ChIJGYxU4BKDzzsR4Kpi9tLpuOs","Bharat Petroleum, Petrol Pump -Shubhada Petroleum","LATUR AUSA ROAD LHS, DIST-, Latur","18.3525424","76.55240669999999","true"
"ChIJaz8JWQB_zzsRRFK_Jwed5IY","Indian Oil","7GMG+8VQ, Wagjewadi","18.2833472","76.52723259999999",""
"ChIJ3RT9zSyCzzsR1wBdfx-AXgo","Thormote Petroleum","Lord Mahadev Temple, New, Sona Nagar, Latur","18.3732752","76.5566648","true"
"ChIJTcWVwVh_zzsRNpAlMpOeEOo","Shri ramchandra bio petrolium","National Highway 361, Wagjewadi","18.269192","76.52173700000002",""
"ChIJdzK8XzmBzzsRe_bLg0PO0h0","Hindustan Petroleum Corporation Limited","Plot No P/60 SH 77, Barshi Road, MIDC, Latur","18.3893671","76.491286","true"
"ChIJP7XIfwCBzzsRwu5wpIc4hQU","Indian Oil CNG","9FQQ+FM9, Additional Latur MIDC, Patil Nagar","18.3885004","76.48867849999999",""
"ChIJIcmIoDODzzsRvIWKNAL41EQ","ASHOKA CNG PUMP (S M BIDVE ENTERPRISES)","OPP BIDVE LAWNS WASANGOAN, Ausa Road, Latur","18.3768311","76.55828609999999","true"
"ChIJP3KjEy6F5zsRoiY5bz_d9r8","Jio-bp","near Rajiv Gandhi Chowk, Survey No 12, Gate 14 Ausa Road, Mojewasangaon, near Rajiv Gandhi Chowk, Latur","18.37755","76.5584133","true"
"ChIJqbO7nwWDzzsR4XR0QMx5hHc","Ashoka CNG Gas ,CNG Station","9HP2+99P, Ram Nagar, Latur","18.3859624","76.5509582","true"
"ChIJHwALIMV_zzsRFCld6igv7AE","Salunke Petroleum, Nayara Energy,Petrol pump","Gut No 104/B, Village Ausa District","18.2631884","76.518957","true"
"ChIJCy5lbQB_zzsRq1j-cS03_lU","Hindustan Petroleum Corporation Limited","Gut No 115, NH 361, Tuljapur Butibori Highway, Ausa","18.25901099999999","76.518281","true"
"ChIJA3S9kZWDzzsR0C7DcfeIEiw","H N Kamdar Bharat Petrol Pump","MG Road (SH-145), Sawe Wadi, Latur","18.39915","76.5758216","true"
"ChIJ0xgZNreDzzsR-9viW0jb6Mg","Mankari Petrol Pump","Patel Nagar, Latur","18.3824883","76.5796371","true"
"ChIJewiqtzCDzzsRQg7Ge0_-Dn0","Khubba Petroleum (Aegis Autogas)","9HMP+JMX, Latur","18.3841177","76.5867385","true"
"ChIJGwH7bbeDzzsR1Iuszbti-fc","Bharat Petroleum, Petrol Pump -Kamdar Petroleum","KANEHRI, LATUR, 5, Ring Road, kanheri chowk, Latur","18.3854488","76.57566709999999","true"
"ChIJI2knCLCDzzsRLwGu-9vD8zk","Hindustan Petroleum Corporation Limited","Survey No 149, B5 Nanded Bypass Road, Basweshwar Chowk, Latur","18.3869957","76.5827324","true"
"ChIJBfw-00l3zzsRNCarLqc0L3g","अमर गॅस एजन्सी","Gondri","18.3147684","76.64510330000002","true"
"ChIJe2mAAwCDzzsRnR4PyPVZKkg","RK_CNG/&सांज पेट्रोलियम बाभूळगावं","kazi petrol pump, Latur - Babhalgaon Road, हुडको अंद सिडको, लातूर","18.3906845","76.6133322",""
"ChIJ_x8ElJ6DzzsRL46bGOHUAIw","Islam Dagdusab Shaikh","1, Latur","18.3972638","76.58577919999999",""
"ChIJBbf-1i2DzzsRpZT2x_j6Z78","Zyada Gas Auto LPG Pump","Samrat Chowk, Nanded Road, Ganj Golai, Latur","18.3973041","76.5856761","true"
"ChIJg9iCOBeDzzsRwudANyPtnIs","Saanj Petroleum","Latur - Babhalgaon Road, DIST, Latur","18.3911249","76.6133107","true"
"ChIJxTYudHmDzzsRXvPxSPeoHBE","Keshav Kathar","Shop No 02, Samrat Chowk, near Jyada Lpg Gas Pump, Latur","18.3975476","76.5856833",""
"ChIJ56CELACDzzsRv94XTb-lj_Q","सेलू","9JHJ+VQR, Babhalgaon","18.3797466","76.631885",""
"ChIJi5rDUReDzzsRVE2BxVV-i2Y","Hindustan Petroleum Corporation Limited","Gut No 458, Plot No 1, Latur Nilanga Road, Babhalgaon","18.38983869999999","76.6176816","true"
"ChIJNeaDZaKDzzsRqJu6MCS4jJ0","Kawale Petroleum","Samrat Chowk, Nanded Road, Latur","18.3981523","76.58708539999999","false"
"ChIJDbE09L2DzzsRMj9KbHwUq1o","Hindustan Petroleum Corporation Limited","CTS 6228/H/31/4, Gandhi Chowk, Latur","18.3982201","76.5788601","true"
"ChIJM3dneQCDzzsR8zicCYtPWZU","INDIAN AUTO GAS","9JR9+632, Police Quarters, HUDCO and CIDCO, Latur","18.3903943","76.617465",""
"ChIJFYpPBet3zzsRPyy3lDyKXZc","IndianOil","Gut No 27, Hatte Road, Lodga","18.3132979","76.6725213","true"
"ChIJrf3yA6adzzsR8RxDFIVtF_A","Padile Petrol Pump","Gut No 384, Tilak Nagar, Bori","18.3718456","76.69296709999999","true"
"ChIJVYFtsgqEzzsRee1OD-tfZKI","IndianOil","Survey No 267, 1, Ambajogai Road, Sawe Wadi, Latur","18.422041","76.571804","true"
