place_id,name,address,latitude,longitude,open_now
"ChIJs8zQtpKUTTcR2MoaHfNtEJc","IndianOil","Ground Floor Bungkawn, Ngaizel Road, Kulikawn, Aizawl","23.7048959","92.7177263","true"
"ChIJLTGJai-XTTcR3FXnGZZSjyg","IndianOil","Ground Floor, Chawlhhmun, Melriat","23.6421214","92.72567939999999","true"
"ChIJ0fHvPg-VTTcRKw6vYG3V4Rc","IndianOil","Ground Floor, Melthum, Aizawl","23.6830674","92.7223473","true"
"ChIJvRvTZgCVTTcRLcpvA53as3g","Hindustan Petroleum Corporation Limited","Ground Floor, Ngaizel Road, Kulikawn, Aizawl","23.698731","92.72049100000001","true"
"ChIJa0r2OeyUTTcRT7I8yNiGWTY","Aizawl Bypass Filling Station — IOCL, Kulikawn (World Bank Road)","PP5C+2W7, World Bank Road, Kulikawn, Aizawl","23.7075333","92.722308","true"
"ChIJ5ZpKAfuVTTcRJsA_0PgOPBc","IndianOil","Ground Floor, Kulikawn Road, Tlangnuam, Aizawl","23.708223","92.72200199999999","true"
"ChIJzy-ijMeUTTcRqGwIHHs_QAo","IndianOil","Ground Floor, Treasury Square, Venghlui, Aizawl","23.726096","92.71865799999999","true"
"ChIJIb4BfFCTTTcRQPLW5dQMuu8","Hindustan Petroleum Corporation Limited","Ground Floor, Tuivamit, Aizawl","23.737221","92.679531","true"
"ChIJwdZ3EQLtTTcR8kSgYfvphDg","IndianOil","Ground Floor, Zonuam, Chawlhhmun, Aizawl","23.7339022","92.696569","true"
"ChIJxZ9XdlbrTTcRyGBTbcs-TME","Hindustan Petroleum Corporation Limited","Ground Floor, NH 54, Sairang Road, Vaivakawn, Aizawl","23.745941","92.7000618","true"
"ChIJ7domEwCVTTcRRJG3pp7Dw8c","IndianOil","New Capital Complex Road, Khatla, Chawlhhmun, Aizawl","23.727946","92.707331","true"
"ChIJu3YzgRSVTTcRw9lPwdErNwg","MIZORAM STATE COOPERATIVE MARKETING AND CONSUMERS FEDERATION LIMITED","near P and E Office, New Capital Complex Road, Aizawl","23.7339029","92.70910549999999",""
