place_id,name,address,latitude,longitude,open_now
"ChIJi8335QcZIDoRmBf1_dLPWVI","Bharat Petroleum, Petrol Pump -Rourkela Fuels","National Highway 23, Deogaon","22.214806","84.81605739999999","true"
"ChIJbbl2oegZIDoR-wxr0xXL-fo","Bharat Petrol Pump","State Highway 10, Vedvyas, Rourkela","22.2312225","84.7840409","true"
"ChIJ4VpjN1gXIDoR8DEO_h7p2Kg","Bharat Petroleum, Petrol Pump -D.B.Service Center","VEDVYAS CHOWK, SUNDERGARH, SUNDERGARH","22.2367144","84.77131539999999","true"
"ChIJ76CM1XQZIDoRrZdLoWl8nzc","Hindustan Petroleum Corporation Limited","Ground Floor, near Raghunathpali, Civil Township, Rourkela","22.2277887","84.8177159","true"
"ChIJBQvDVwsZIDoR_Qf_EgIjbZI","IndianOil","Civil Township, Panposh Road, Brahmani Tarang, Rourkela","22.2272933","84.82027049999999","true"
"ChIJfb90ujcXIDoRRRLtdELwgVc","IndianOil","Ground Floor, Beldehi, Balanda","22.2397667","84.75113499999999","true"
"ChIJG4R7UzAXIDoRxAks95WMnu8","Hindustan Petroleum Corporation Limited","Ground Floor, SH 10, Beldihi","22.24040099999999","84.7442501","true"
"ChIJo9K9kB4aIDoRAOvDs2cfQLg","IndianOil","Plot No 198/199, Kuarmunda","22.2547212","84.78990259999999","true"
"ChIJEQ89cwAZIDoRQC6evIbaETQ","Satyabadi fuels KSK","5RW6+8FW, Garjan Village Road, Raghunathpali, Rourkela","22.1958546","84.811216",""
"ChIJGd0TIkEZIDoRqMIPpzwB2gw","Star Fuels","Bus Stop, T.C.I, National Highway, Dandiapali, Rourkela","22.2273291","84.78991049999999","true"
"ChIJJQVTh6MZIDoRtUf_DwcCAuI","Hindustan Petroleum Corporation Limited","No 7/8, NH 23, Panposh, Rourkela","22.2211412","84.8072957","true"
"ChIJv1iDMqEZIDoRcPIwMOci9lw","IndianOil","Ground Floor, Civil Township, near Chamber Of Commerce, Road","22.221739","84.811859","true"
"ChIJ-yAfQYIiIDoRH4kxmaEL2mo","IndianOil","Brahmini Tarang, No 32, Lathikata, Khairbani","22.1527093","84.8079497","true"
"ChIJ2aCvdgAZIDoRYxnUk7RNHEw","Bharat Petroleum, Petrol Pump -Bhimsen Filling Station","VEDVYAS CHOWK, SUNDERGARH, SUNDERGARH","22.235013","84.777981","true"
"ChIJp7koRp4ZIDoRKO8bzQ5JtRU","IndianOil","Ground Floor, Bisra Raod,Deogaon Chowk, Kudarbahal","22.205665","84.8321083","true"
"ChIJMypEuVkXIDoR6gZsk6dHsA0","IndianOil","Ground Floor, Vedvyas, Rourkela","22.2363184","84.76960919999999","true"
