place_id,name,address,latitude,longitude,open_now
"ChIJXcOgmfGfVDoReXnjGAucbFI","IndianOil","Ground Floor, Karikalampakkam, Nettapakkam","11.8687799","79.7489203","true"
"ChIJab6aUWugVDoRWNCuwE8jgU8","IndianOil","RS No 213, 14, Madukarai - Thavalakuppam Main Road, Bahour, Embalam","11.8660058","79.7173679","true"
"ChIJK2djwhFgUzoRSCPrMZA9eRc","BPCL Petrol Pump","Bahour Road, Villianur","11.9003282","79.75240869999999",""
"ChIJKzgdXidgUzoRyr4cHX-mBnw","IndianOil","Tin No 34810014907, Keezha Agraharam Abhishekapakkam Main Road, Arumbarthapuram, Puducherry","11.885674","79.76946099999999","true"
"ChIJ7e86t2OgVDoR7G2zr32WPRg","IndianOil","Ground Floor, Madukkarai Main Road, Manakuppam","11.86752","79.698494","true"
"ChIJww3HT0meVDoR50C3pdO75t0","HP PETROL PUMP -MS HSD ARUN AGENCY","No 309 PONDY, Cuddalore Main Road, Thavalakuppam","11.8586752","79.79137","true"
"ChIJAYT8fh6fVDoR97kWhlcXKfA","ANANDA AGENCIES Adhoc Bharat Petroleum","National Highway 32, Pudicherry","11.8237569","79.7822489",""
"ChIJLT8W-TpeUzoRyVj0NA-Bboo","IndianOil","Lock No 05398, Villupuram Road, Pathukannu","11.9423502","79.7262264","true"
"ChIJibW3JgCfVDoRVzGWHVvSh7M","Bharat Petroleum - PONDY COOP CON.FED,LTD(CONFEDII)","VP8R+545, Chellancheri","11.86531","79.74036799999999",""
"ChIJw4GWDe2fVDoR5Rn8Bt375so","Hindustan Petroleum Corporation Limited","RS No 52, 15, Madukkarai Main Road, Karikalampakkam","11.8644695","79.7528171","true"
"ChIJO9LIMQBfUzoRiuq9tWE8qHo","Arimaa Agency IOCL Petrol pump","VPRM+9X4, Embalam - Mangalam Road, Mangalam","11.8908847","79.7349457",""
