place_id,name,address,latitude,longitude,open_now
"ChIJ3eniYzF6GTkRxFA3-e6xxv4","Nayara Petrol Pump","GRX9+8V5, Amritsar","31.5482567","74.8197199","true"
"ChIJf8492ul5GTkR0YZWb1By-GM","IndianOil","Jhabal Mannan","31.5076798","74.79597799999999","true"
"ChIJa6rjTkhlGTkRBOWjKQ8gfqk","Hindustan Petroleum Corporation Limited","Ground Floor, Grand Trunk Road, Chheharta, Amritsar","31.628301","74.80200099999999","true"
"ChIJk0m1UGZ7GTkRebHEIKjeoY0","IndianOil","Ground Floor, Grain Market, Bhagtanwala, Mule Chak","31.6015333","74.8650799","true"
"ChIJ95LQFjdlGTkRqt035tHhRaA","Bharat Petroleum Petrol Pump","JRH5+Q5H, G.T. Rd, Near Khandwala, Modren Colony, Chheharta, Amritsar","31.62942799999999","74.8079829","true"
"ChIJERjLBlR7GTkR31HWS9jUxjs","Bharat Petroleum Petrol Pump , RANDHHWA FILLING STATION","BOHRUBOHRU, Amritsar","31.55756899999999","74.826149","true"
"ChIJIbmi7617GTkRa_IAApV_8HM","Hindustan Petroleum Corporation Limited","Ground Floor, Ibban Kalan","31.568144","74.8321174","true"
"ChIJFyVIHHdwGTkR7uxxkvbpAQY","IndianOil","Ground Floor, Chehratta Baba Budha Road, Chheherta, Basarke, Amritsar","31.58548699999999","74.776787","true"
"ChIJLS8vRwB7GTkRXXsoGsd8ksw","Dr Parminder Singh Dhillon","HQWW+VPQ, Khapar Kheri","31.596971","74.796796",""
"ChIJ06wk7mlxGTkRYcbXJklPLsI","IndianOil","GF, Chheharta Baba Budha Ji Sahib Road, Chheherta, Dhand","31.549366","74.758934","true"
"ChIJIy-7YeBxGTkRO5x2NwuNhX4","Raju Kisan Sewa Kandar","Asr, Dhand","31.546888","74.7589548",""
"ChIJP4Cb96V6GTkRDtSlPGB0Qzc","IndianOil","Ground Floor Basarke Chirata, Chabal Road, Chheharta, Amritsar","31.606417","74.787453","true"
"ChIJsUReYxR7GTkRt-xniK13d9k","IndianOil","Ground Floor, Bus Stand, Chabbal Rd, Bharariwal, Amritsar","31.597883","74.847602","true"
"ChIJVbQV9hR7GTkRrHjigR9PwKk","Hindustan Petroleum Corporation Limited","Ground Floor, SH 21, Amritsar - Khem Karan Road, Mule Chak","31.59904279999999","74.8477801","true"
"ChIJ9V0PfrN6GTkR6BNlG2r8QEQ","Hindustan Petroleum Corporation Limited","near Gurudwara, Ground Floor Chheharta, near Gurudwara, Guru Ki Wadali, Amritsar","31.6165027","74.7980231","true"
"ChIJM6-HY616GTkRp7MT_US8MdI","HP Computer","India","31.616338","74.7918637",""
"ChIJzQ5koE53GTkR7nNFNzso8W8","IndianOil","GQC7+2PJ, Chettaha Road, Mianpur","31.520087","74.7642704",""
"ChIJt4pLPT97GTkRbOf3CKORh7w","Hindustan Petroleum Corporation Limited","Ground Floor, Dam Gunj, Bharariwal, Amritsar","31.6070312","74.84871179999999","true"
"ChIJAT2Uvkt7GTkR8D8v1Xl9jlY","JAMMU FUELS ,New Essar Petrol Pump","Road, Hakima Gate, Bharariwal, Amritsar","31.6061309","74.8572192","true"
"ChIJH2dolpp7GTkRBEM0DuA8Jw0","Hindustan Petroleum Corporation Limited","Khasra No 631Min, Chabal Road, Khazana Wala Gate, Amritsar","31.6124467","74.851317","true"
"ChIJ6UwuJgB7GTkRFcO4I9u0qbg","S.R Filling Station","JV72+4GC, Chabbal Road, Indra Colony, Amritsar","31.6128112","74.8512774",""
"ChIJV3luV957GTkRNmMjKYZaOEg","Hindustan Petroleum Corporation Limited","Ground Floor, Dhapai Road, Dhapai, Amritsar","31.6144799","74.8493202","true"
"ChIJf1rqpfhvGTkR5CCtFuzB7ZA","Nayara Energy - VJ Filling Station","near Krishna Mandir, Grand Trunk Road, Naraingarh, Chheharta, Amritsar","31.6270239","74.78538759999999","true"
"ChIJd3lAxFdlGTkRjx2UJOYEhAA","IndianOil","143105, Shri Guru Amar Dass Nagar, Chheharta, Amritsar","31.6262652","74.7815166","true"
"ChIJnTKbFjdlGTkR8keErESOlLM","Shri Guru Hargobind FILLING STATION","India","31.6295543","74.8080789",""
"ChIJP_9lHRFlGTkRdMnJLbPe9Ko","Hindustan Petroleum Corporation Limited","Ground Floor, Kot Khalsa Road, Amritsar","31.625796","74.8294204","true"
"ChIJWX5Xnl55GTkR9AUPB2Gd8VA","IndianOil","Aim, Ground Floor Amritsar, Road, A Kalan, Chabal Kalan","31.498634","74.790858","true"
"ChIJI8VdDG9lGTkRb4he4d3Vu1g","IndianOil","Ground Floor, opposite OCM Mills, Khandwala, Amritsar","31.62989249999999","74.81170039999999","true"
"ChIJ19QqegBlGTkRKOfPknM_-w8","Petrol Pump","shri guru hargobind filling station, gt road, chowk, Khandwala, Amritsar","31.63005369999999","74.816075",""
