place_id,name,address,latitude,longitude,open_now
"ChIJk6nJxBnmPzkR1uJoFJt1uXo","HP PETROL PUMP - SHARMA TRAVELS CNG PUMP","W7PQ+J23, Udai Ramsar Bikaner, National Highway 89, Jodhpur","27.93651","73.28756","true"
"ChIJk-YOb7XnPzkRCBnz334Ig_w","IndianOil","Ground Floor, Vinayak Nagar, Bikaner","27.96660099999999","73.301102","true"
"ChIJtUX2VKvCPzkRbkERzXuzhd0","IOC Petrol Pump","behind Siyag Petrol-Pump, C-131, Murlidhar Vyas Colony, Bikaner","28.0125893","73.27635939999999","true"
"ChIJa0xCV5HnPzkRz68EDRvFfeg","IndianOil","Ground Floor, Gangashahar Road, Bikaner","27.9945691","73.3063523","true"
"ChIJ2wiXDQDnPzkRuvboz9umaxI","Bharat petroleum MAHAVIR AUTO STORES DIESAL 120158","89, Udairamsar Road, Udairamsar","27.9386504","73.3015721",""
"ChIJHbY-FwDpPzkRXuK_KPYq5xw","Madan lal jat","272G+72M, Karmisar, Bikaner","28.0007168","73.2750377",""
"ChIJPQ5GbgDrPzkRNiHzBHgDnQA","Siree Chamunda Petrol Pump","Kolasar, Bikaner","27.939817","73.1707018",""
"ChIJGw8Aes_rPzkRsOng7G9Y0dk","M.s K C Kukna Petroleoum","Unnamed Road, Kolasar","27.9373621","73.16704059999999",""
"ChIJ_SbpTzfvPzkRksQyS9SPdJs","Bharat Petroleum, Petrol Pump -Lekh Ram Bhadoo","UDAIRAMSAR NEAR JAIPUR BYP","27.8794552","73.27556870000001","true"
"ChIJQTsQE4DnPzkRQCV9oWeks60","IndianOil","Ground Floor, Hospital Road, Shardul Colony, Bikaner","28.011701","73.322304","true"
"ChIJkws9n33dPzkRy0tEQUvb_co","IndianOil","Ground Floor, Gangashahar Road, Bikaner","28.012501","73.314796","true"
"ChIJ0U6MoX3dPzkRjSVZOcqBmYM","Bharat Petroleum, Banshidhar Jaidev","near Vishal Mega Mart, Gangashahar Road, Dhobi Talai, Bikaner","28.0134243","73.31523469999999","true"
"ChIJ3V-L_nnnPzkR9g0wZzQ9jhg","HULASH FILLING STATION (BPCL PETROL PUMP)","5, Industrial Area Road, Rani Bazar, Bikaner","27.9946845","73.3235985","true"
"ChIJt-D_9XXnPzkR6DHDWLEjoiE","Bharat Petroleum","X8VF+XF8, RIICO Industrial Area Road Number 5, Industrial Area, Bikaner","27.9949117","73.3237134",""
"ChIJzYJDRe7nPzkRhM_mN4qZ5pU","Hindustan Petroleum Corporation Limited","Patta Misal No 131, Goga Gate, Ambedkar Circle Road, Bikaner","28.0058439","73.3135508","true"
"ChIJM-4_rkznPzkR9HJe6OXaBOo","R D SARAN HP Petrol Pump","2847+9C5, Rani Bazar, Bikaner","28.0058927","73.3136174","false"
"ChIJk4RYnlbrPzkRAT_89oh8wrg","IndianOil","Khasra No 575, 18 Kolasar, Hadla Road, Karmisar, Bikaner","28.00991389999999","73.3161023","true"
"ChIJhfLAIvbnPzkRDSu1As_CvnM","Bharat Petroleum","India","28.0085357","73.2926541",""
"ChIJ21BdTwDnPzkRKtRuIdUFqko","Neelkanth Petroleum","near Govind Palace, Nathusar Gate Road, Nehru Nagar, Bikaner","28.0085264","73.29260719999999",""
"ChIJm0MSGzDnPzkR8mr1Ck7863U","Bharat Petroleum, Petrol Pump -Mahavir Auto Stores","Ambedkar Circle, Shardul Colony, Bikaner","28.0120132","73.32215900000001","true"
"ChIJobvVYCHhPzkRk_0a7GAJzpo","Shiv Shakti Petrol Pump","Shivbari Rural","27.9924081","73.3910087",""
"ChIJcySR_8PgPzkR-s_jxYGRLNk","IndianOil","Ground Floor, Bypass, Shivbari, Pawan Puri, Bikaner","27.992701","73.388601","true"
"ChIJkbca18PgPzkRfDZQGN9oLYs","Bharat Petroleum","India","27.9927078","73.3909063",""
"ChIJs__ZSBpJFTkRs7QrUidq_vI","Mohd Hussain petroleum","Ridmalsar Sipahiyan","28.009234","73.4047664","true"
"ChIJkYNxbgDhPzkRjBaNShlT0AM","Hindustan Petroleum Corporation Limited","Khasra No 248, 40 SH 20/B, Napasar Road, Sharkajani, Bikaner","28.011991","73.395562","true"
"ChIJEZ4aELfCPzkR2IWVnRi9rbc","Hindustan Petroleum Corporation Limited","Khasra No 50, Ganganagar Road, Nathusar, Antyodaya Nagar, Bikaner","28.025101","73.26690099999999","true"
"ChIJOxhH3zDDPzkRcw192TDgSsI","Hindustan Petroleum Corporation Limited","Ground Floor, Hanumat Dhora, near Bikaner, Shobasar Road, Shobhasar, Bikaner","28.0674198","73.2674041","true"
"ChIJOSsOUzfDPzkRmMjMCOcULDI","IndianOil","Ground Floor, Pugal Road, Bangalanagar","28.0683435","73.26513709999999","true"
"ChIJkzePA3fdPzkR_ra7WyFRwqQ","IndianOil","Ground Floor, near Nagar Nigam, Stadium Road, Bikaner","28.0265482","73.320497","true"
"ChIJF19abbTCPzkRtKMEgrPf78w","Bharat Petroleum Petrol Pump","27F9+XVG, Sri Ganganagar Road, Bikaner","28.0249429","73.26971259999999",""
"ChIJzyGFcrTCPzkRSl0k6RSQRrA","Kalla Petrol Pump","KALA PANTROL PUMP, GAJNER ROAD, बीकानेर","28.0243178","73.27220400000002","true"
"ChIJT0ZM2nXdPzkRZ3AYY6jG7vg","Bharat Petroleum, Petrol Pump","near RAILWAY CROSSING, NAL, near RAILWAY CROSSING, Bikaner","28.0395814","73.21015009999999","true"
"ChIJQ6RCU47dPzkR1oi6232QnBk","Dudi Petrol Pump","Bikaner - Kolayat Road, Bikaner","28.0241879","73.29076859999999",""
"ChIJp-TQsEXdPzkRTsbMXP0D3gw","IndianOil","Ground Floor, Jaisalmer Road, Bikaner","28.024099","73.290802","true"
"ChIJpV1MgWLdPzkRf_V0I3IVxFs","India Ptrol Pump","Shop No 01, Main Market, Bikanet Dudi Patrol Pump, Bikaner","28.023872","73.291314",""
"ChIJCd3Nd3rdPzkR5xkrc7Hw2IU","Mr Sonu Sonu","Shop Number 56, near Indian Oil Pump, near Mandi, Pugal Road, Bikaner","28.0385596","73.2865267",""
"ChIJEQu77DDdPzkRdJvel_HCBTE","IndianOil","Ground Floor, Pugal Road, Bikaner","28.038601","73.286903","true"
"ChIJPy2J82ndPzkRnCt_oyyvd7s","Hindustan Petroleum Corporation Limited","near Bikaner Bus Stand, Plot No 121, Old Gajner Road, Bikaner","28.0270086","73.3014216","true"
"ChIJ09jB0mfdPzkRtAx4un9zkYE","Hindustan Petroleum Corporation Limited","Ground Floor, opposite Satellite Hospital, Vaidya Mangaram Colony, Bikaner","28.0212176","73.3029809","true"
"ChIJcUXKawDdPzkRxZKlEZP3pno","ASHU AUTO STORE INDIAN OIL PETROL PUMP","28C6+W99, Bikaner Ganganagar, Bikaner","28.0222874","73.3109947",""
"ChIJ3bui31vdPzkRlNB2OkG_sxc","Feeling Station","Bos Felling Station, near Inox Star City Mall, Bikaner","28.0229339","73.3119124",""
"ChIJe5SZY7bdPzkRVJfjPgz_Afk","Prashant Ravindranath Petrol Pump","Bikaner","28.0605144","73.2942276",""
"ChIJtZlRtXvdPzkR1SFQS4gqgKY","Hindustan Petroleum Corporation Limited","Khasra No 393, opposite GPO, Bikaner Fort, Bikaner","28.0206623","73.3164204","true"
"ChIJCz6Gf3PdPzkR5LbBu2mxXl8","IndianOil","near Bikaji Food Products, Pugal Road, Karni Industrial Area, Bikaner","28.0606111","73.3027888","true"
"ChIJD2TGXzbdPzkRqcArw32QNx8","Vaibhav Filling Station","Unnamed Road, Preeti Enclave, Karni Industrial Area, Bikaner","28.06356229999999","73.3012315",""
"ChIJJ4EGpJndPzkRHREh74GtIfM","Hp Petrol Pump","Neha Markete, 202, Bikaner","28.0748984","73.2886047",""
"ChIJaX4XprvdPzkRXW2ymv7T53A","Naman Fuel Centre","Transport Nagar, Hanuman Hatha, Bikaner","28.0284449","73.3247605",""
"ChIJZXU6QQDdPzkRHBhfib3HTNE","Gasonet CNG Station","F-636, Preeti Enclave, Karni Industrial Area, Bikaner","28.0639","73.30816600000001","true"
"ChIJ6889NaDdPzkRMJtZwNlySVs","IndianOil","Ground Floor, opposite Rsrtc Bus Stand, Samta Nagar, Bikaner","28.037399","73.326698","true"
"ChIJ9TTrOADePzkRLV_MP-FbY1w","IndianOil","Ground Floor, near Radio Station, NH 11, Jaipur Road, Bikaner","28.0201917","73.3729237","true"
"ChIJYYFScQDePzkRixAcdti17PE","FLAME CARE SERVICE","opposite Bharat Petrol Pump, National Highway 11, Tilak Nagar, Bikaner","28.0202752","73.3714328","true"
"ChIJEWQq_qbdPzkR3aRUiL8lSgg","Hindustan Petroleum Corporation Limited","Khasra No, C/5 & C/7, Sri Ganganagar Road, Bikaner","28.04446879999999","73.326774","true"
"ChIJmcNJqEjdPzkRJDzExlJ0MYM","INDIAN OIL","Shop Number 56, Jai Narayan Vyas Colony, Bikaner","28.0209796","73.3704382",""
"ChIJSQpzMADdPzkRFJk-oyRNoeE","Dudi petrol pump","386M+X2F, Bichhwal Industrial Area, Bichhwal, Bikaner","28.0624422","73.3325516",""
"ChIJA2XjNwDfPzkRQ-PkNOrR7yE","CNG pump","near AKASHWANI, BIKANER-DUNGARGARH ROAD, Bikaner","28.0208174","73.3712633",""
"ChIJ_ZAtuBzfPzkRb5UHN7IMshA","BHARAT PETROLEUM","Shop Number 11, Jaipur Road, Bikaner","28.0207993","73.3714799",""
"ChIJ2wLeNADfPzkRxgVkkCNzEoM","SUBESH PETROL PUMP","29CC+6V5, Jaipur Road, Tilak Nagar, Bikaner","28.0205233","73.37221970000002",""
"ChIJN_jAHkzcPzkRXwXB-V8PuHo","CHANDRA SERVICE STATION,BIKANER","Ground Floor, Sri Ganganagar Road, Bikaner","28.0658555","73.3402225","true"
"ChIJ1acWs07cPzkRPdxwwZlN1IQ","IndianOil","Ground Floor, Sri Ganganagar Road, Bikaner","28.0670698","73.3414805","true"
"ChIJQ2WZTEncPzkRz6zO86SyFQM","nOil","KM6, Bichhwal, Beechhwal Rural","28.0673176","73.3413812","true"
"ChIJQfeqjHfdPzkRmQizdWdRvHo","Bharat Petroleum - Karan service station , Petrol Pump","Bichhwal, Bikaner","28.0806649","73.3497363","true"
"ChIJ30X_YyLePzkRVM1NByU1hfQ","HP Petrol Pump - Bikaner Filling Station","Khasra No 327/2, Jaipur - Bikaner Road, Sikar","28.0301114","73.3955326","true"
"ChIJXylE7zlhFTkRvTjgJategqA","IndianOil","Ground Floor, Jaipur Road, Gangashahar, Bikaner","28.0326001","73.407001","true"
