place_id,name,address,latitude,longitude,open_now
"ChIJV06XZEXkqzsR2KC8lAPW_iE","IndianOil","NH 544 Service Road, Chinnasiragapadi","11.5808781","78.0534148","true"
"ChIJv2hmOGrkqzsRrR39U33Gd6Y","IndianOil","SF No 9/3A1, Kadathur Agraharam","11.5752873","78.04056489999999","true"
"ChIJuTqtnq_vqzsRAYIeolT7980","IndianOil","Dasanaickenpatti","11.6066327","78.1462433","true"
"ChIJk97zJoXmqzsRZS1fLDOyoDI","IndianOil","Lock No 22013, Tiruchengode - Salem Main Road, Attayampatti","11.5408163","78.0545745","true"
"ChIJVzy37OXvqzsRodx0fu9w0oc","IndianOil","No 98A, Lock, 13017, Sankari Main Road, Kondalampatti, Salem","11.631617","78.12662499999999","true"
"ChIJe1IvquTvqzsRIchJpaH2Ahc","Indian Oil Corporation Limited and CNG Station","1st Sdloa Building 234 Bangalore, Bypass Road, Kondalampatti, Salem","11.6360244","78.1222812","true"
"ChIJqcoUp-TvqzsRJw8jFg3L4wU","Hindustan Petroleum Corporation Limited","near Bangalore Bypass Road, Ground Floor Ottal Karar Thottam, near Bangalore Bypass Road, Kondalampatti, Salem","11.6359958","78.1231976","true"
"ChIJF2O4EknvqzsR_Q_FyxQbOyE","Jio-bp","No 2/350, near Shanmuga Weigh Bridge, Sankari Main Road, Salem","11.6342983","78.1287033","true"
"ChIJP9TUtzbmqzsRVuHEFzv9pEI","IndianOil","S No 111/1A2 111/2B Vennanthur, Rasipuram","11.5133024","78.0929974","true"
"ChIJ-2BQu9DuqzsRe55_AwqS7uM","IndianOil","Ground Floor Adikarai, Rasipuram Road, Panamarathupatti","11.5641953","78.1631077","true"
"ChIJv_46xdDuqzsRUE_0T-8LSt0","Bharat Petroleum Petrol Pump , SREE SAKTHI VINAAYAGA AGENCIES","SANDHAI PETTAIPANAMATHUPATTI, Salem","11.5630785","78.1628368",""
"ChIJyVy8H8_vqzsR_JicnqAEIyY","Bharat Petroleum, Petrol Pump - Sowdambiga Fuels","R.R. Complex, 3/53, Trichy Main Road, P M Nagar, Seelanaickenpatti, Salem","11.6274048","78.1477903","true"
"ChIJeUlY-s7vqzsR18MuFll0nMs","Total Gas Bunk E","1, 9, Trichy Main Road, R.S.P Thottam, M G R Nagar, Seelanaickenpatti, Salem","11.628234","78.1484753",""
"ChIJ2XRkQwDlqzsRLkZnB1j1uYA","நாச்சி","H36R+P22, Sevanthampatti","11.5619275","78.09008539999999",""
"ChIJIYNsU0DlqzsRPfL0P9f8b5U","RVC Fuels - HP Petrol Bunk","Ground Floor, opposite VSA College, Salem South, Salem","11.5978901","78.087841","true"
"ChIJ7UqnQQDlqzsR1v_aSzGlQ6Q","Hp petrol pump","NH544, Salem to, Kochi","11.5991647","78.0886189",""
"ChIJh8mDWkjlqzsR33oC76hYAYY","Hindustan Petroleum Corporation Limited","No 182/3B, Veerapandi","11.5882527","78.076264","true"
"ChIJnSCHwWblqzsRvdWdUZ91HpQ","IndianOil","S No 140, 1140/3, Veerapandi","11.5790926","78.0742332","true"
"ChIJNZ-bXgDlqzsR4RmY6iaCeDs","SARASWATHI FUELS","3/349, Uthamasolapuram Main Road, Salem","11.6052645","78.09857889999999","true"
"ChIJTWvFPCjlqzsRrF08h3UVgKI","KR Fuels - Auto LPG Station - Uthamasolapuram","NTR Motors SF.No. 62-1C1(Part Uthamasolapuram, Kondalampatty Salem South Taluk, Salem","11.6065722","78.09692969999999","true"
"ChIJB5HfHXDlqzsRX-3_N8eMDws","Inn Oil","India","11.6070069","78.09835509999999",""
"ChIJZeJSaevlqzsRc4mgF3btFo0","Bharat Petrol pump","4/190, Road, Poolavari, Neykkarapatti, Salem","11.6081306","78.10625979999999","true"
"ChIJd0gRsFLlqzsRyQwiMMHd_6k","Bharat Petroleum, Petrol Pump -Sri Anjaneya Fuels","NH-47, SIDCO,SALEM, Salem","11.5879006","78.06593649999999","true"
"ChIJNbWbyWDlqzsRwj7u2DnHvX8","NAYARA energy","1A Neikarappati, 54/2K, Salem","11.6170392","78.10554200000001","true"
"ChIJoelVJF7lqzsR6-Hth00SqSY","Bharat Petroleum","India","11.6191611","78.10706669999999",""
"ChIJjW-MSPXvqzsREBLqhjUtDw4","KPN Fuels Highway Star","KPN Plaza Inn, NH 47, Neikarapatti Road, Kondalampatti, Salem","11.6191492","78.107282","true"
"ChIJM1hbSPXvqzsRDgbtFPzjRXE","KPN Fuel Service","J496+QRP, National Highway 544, Sandaipet, Kondalampatti, Salem","11.6194735","78.1120682","true"
"ChIJJZxxjjrvqzsRuR15jfmOc-Y","Hindustan Petroleum Corporation Limited","S No 66/2A Ammapalayam, Santhiyur","11.5711128","78.1420559","true"
"ChIJZWlb633vqzsR3Vgx6G7z5XQ","Bharat Petroleum COCO Company outlet - Mallur","281, Sandiyur Attayampatti","11.5763279","78.1441309","true"
"ChIJ3Sg2xhnvqzsRmdQshl3diTc","BPCL - RRK Hitech Petroleum Dealer","ATTAYAMPATTY, Santhiyur","11.5786621","78.14615169999999","true"
"ChIJu1IbzATvqzsR_rBILo7a4zA","NAYARA PETROL PUMP","panamarathupatty junction, Salem","11.587166","78.148916","true"
"ChIJuVKHoahhqTsR4FM7Pcx2luc","Hindustan Petroleum Corporation Limited","near Combined Court Premises, 102A, Sankari Main Road, Seetharamapalayam, Namakkal","11.6260324","78.1208049","true"
"ChIJw6IrjxzvqzsRdHkvp_jK2MU","IndianOil","Survey No 109, 4B, Gajjalnaickenpatti, Dasanaickenpatti","11.5848728","78.1515988","true"
"ChIJLaWJlVfnqzsRa36MgH4EkEM","IndianOil","S Y No 56/2A1, Ponparappipatti","11.5305038","78.11894749999999","true"
"ChIJS-jtz6jvqzsRdr0mwgyauFg","IndianOil","Lock No 1301522004, Nilavarapatti, Trichy Rd, Dasanaickenpatti","11.6027944","78.1474997","true"
"ChIJC5INb0bpqzsRvuKJQbmujF4","Bharat Petroleum, Sri Maruti Fuel","MALLUR, Salem","11.5483992","78.1442327","true"
"ChIJ8VfCheXvqzsR1gw4x3inmw4","Hindustan Petroleum Corporation Limited","Ground Floor, Kondalampatti, Salem","11.631001","78.12570099999999","true"
"ChIJw5S3HubvqzsR2pWI14FcHJQ","ESSAR","India","11.6310468","78.12908829999999",""
"ChIJp2_pvVnvqzsRDAoTGW1rFKU","Hindustan Petroleum Corporation Limited","S No 37, 10C4B2 & 37, near Dhivyam Cinemax, 10C3, Amanikondalampatty, Salem","11.6276469","78.13466609999999","true"
"ChIJ7yvylsPnqzsRB0b4kxOR6H8","Bharat Petroleum, Petrol Pump -Sri Ganapathi Agencies","near KOLANDAGOUNDER TH, NAMAKKAL","11.5213973","78.0802812","true"
"ChIJU9VSSQDlqzsREmK-xmvrVtc","KPL FUELS","H2MM+5W, Salem","11.5830242","78.03407930000002","true"
"ChIJU7Xc8MToqzsROqKir5joCvY","IndianOil","No 3, Lock No, 12010, E Pethampatti, Komarapalayam","11.5380479","78.1425972","true"
"ChIJj4k6quTvqzsRwqH8JDu37Vw","IndianOil","SF No 131/2A1, No 5/1948, 2A2, Bangalore Bypass Road, Salem","11.6362887","78.1221024","true"
"ChIJjZRMVMLvqzsRP2CgIa-UDYw","IndianOil","SF No 44, KanagavallI, Amani Kondalampatti, 4A, Bypass Road, Salem","11.628011","78.136253","true"
"ChIJ5yIenlTvqzsRhO07TGYNfSM","KR Fuels - Auto LPG Station - Salem – Bangalore Bypass Road","No. 46 / 2B, 2C, 47 / 2B1 (Part, Bangalore Bypass Road, Amanikondalampatty, Salem","11.6271162","78.1383062","true"
"ChIJP9IoAe_vqzsRua055sVL3Cw","MS SREE ARASU AGENCY","24/9, Pachiamman Kovil Street, Thammanaickenpatty","11.6258792","78.14131119999999",""
"ChIJKwSehqnvqzsRBrVOkOLvTsk","Hindustan Petroleum Corporation Limited","Ground Floor, Trichy Main Road, Seelanaickenpatti, Salem","11.621801","78.146501","true"
"ChIJK7_EbUbnqzsRrxe7mzmbDMU","IndianOil","Lock No 13009, Tiruchengode - Salem Main Road, Attayampatti","11.5298374","78.04688519999999","true"
"ChIJtV1aXQPwqzsRInZBsdZDPpk","Salem LOA Bunk","National Highway 44, Konerikarai, Kandhampatty","11.6464538","78.12090529999999","true"
"ChIJC3oFjsvvqzsRH7xiiPuJVy0","Hindustan Petroleum Corporation Limited","SF No 129/7A1, Bypass Road, Attur, M G R Nagar, Seelanaickenpatti, Dadagapatty","11.6253169","78.15246069999999","true"
"ChIJN308pGTxqzsRgYn5OngIpQE","K.M.BROTHERS FUEL & OIL","100, Salem - Kochi Highway, Konerikarai, Kandhampatty","11.6473276","78.1200544",""
"ChIJKcH4nATwqzsRy6ANiBIYYCI","Bharat Petroleum","J4WC+W4J, Service Road, Salem","11.6473436","78.120267",""
