place_id,name,address,latitude,longitude,open_now
"ChIJEQ2IlklgqjsR_F7A5Tx2LHI","IndianOil","No 3, Panjapur Nagamangalam, NH 45B Velan Thottam K Kallikudi, Craw Ford Col, Manikandam","10.7327671","78.6323027","true"
"ChIJkZmacB1gqjsRljjaPCTPxM4","Bharat Petroleum","Panjappur, Tiruchirappalli, NH-45B, Trichy Madurai Highway, Trichy, Tiruchirapalli","10.75785","78.656143","true"
"ChIJ--G-ESthqjsR8zShAAr97VY","IndianOil","Lock No 631, Manikandam","10.729701","78.632627","true"
"ChIJtU3qDLVhqjsRgFfLdsggzwA","Bharat Petroleum, Petrol Pump -R. Venugoap Reddiar","Pottapatti-Nagamangalam Road, Indira Nagar, Surappatti","10.7034016","78.624743","true"
"ChIJY9tZcTdhqjsRVvlX_Ba82k0","GO GAS","QM32+39J, Panjappur","10.7527017","78.65088430000002",""
"ChIJyf-iUSVhqjsRo-87LaVElg0","Nayara Energy Limited,fueling station (Arumai Ammal Agencies)","94/4A, 5A, Trichy-Maduri NH, Alundur Village, Tiruchirappalli","10.6842489","78.60972679999999","true"
"ChIJPS0tjIhhqjsRNgz14rF2AtM","Bharat Petroleum, Petrol Pump -Ramalingam Agencies","Trichy-Dindigul Road, Bharathiyar Salai, Sangillyandapuram, Tiruchirappalli","10.769018","78.619847","true"
"ChIJATo0tohfqjsRsFPed2fkjCc","Nayara Petrol Pump Natchatra Fuels.Trichy","K Kallikudi Road, Tiruchirappalli","10.7720962","78.6260655",""
"ChIJ7Vz5JQCLqjsRWRZC1tl9EjE","Bharth Petroleum - Ananth Agenciess","PMCQ+F6R, Trichy Bypass, Balan Nagar, Tiruchirappalli","10.7213992","78.688565","true"
"ChIJGSEzVACLqjsRYZLDU6w5p-c","LRS Fuels HP","78, Ramachandra Nagar, E.pudhur, Tiruchirappalli","10.7705883","78.6646717",""
"ChIJI_UWGgCLqjsR88xe057sbwg","Indian oil Petrol Pump","PM7V+8X2, Outer ring road, Tiruchirappalli","10.7132729","78.694884",""
"ChIJQxzYo2-LqjsRC-Aj-wObM3U","Hindustan Petroleum Corporation Limited","Ground Floor, Olaiyur Main Road, Udayanpatti, Tiruchirappalli","10.740271","78.6919116","true"
"ChIJ2e_B5yOLqjsRblXw8fUTyH4","Hindustan petroleum K T S Agency","Olaiyur Main Road, Tiruchirappalli","10.7401119","78.6921364","true"
"ChIJu1BGallfqjsRkVVbMjwvgP4","Bharat Petroleum Petrol Pump , BP-CHOLAN NAGAR","ROADOPP TO DHINAKARAN OFFICE, TRICHY-DINDIGUL, Tiruchirappalli","10.7805632","78.63952119999999","true"
"ChIJfUejJIGLqjsRLKFN2cGAZ7o","Golden fuels bharat petroleum","K.K.NAGAR, TRICHY, Tiruchirappalli","10.7525025","78.69261379999999","true"
"ChIJBRrk2elZqjsRDWfmHbOAMJ4","IndianOil","behind Shivan Temple, No 454, 3rd Street, Thiruppainjili, Manachanallur","10.7662588","78.68586669999999","true"
"ChIJW5rHmcuKqjsRIgQp6k_osV8","IndianOil","No 32/12 Ward, AG, Block, New SF, 13, K, Sathanur Main Road, Tiruchirappalli","10.769612","78.684319","true"
"ChIJi53r1Uj1qjsRCwxTeemQku8","IndianOil","No 41 Anbil Dharmalingam Ngr, Edamalaipatti Pudur","10.780202","78.67417100000002","true"
"ChIJjxJJTdP1qjsR39L-Zf_FDDo","SVR Agencies Nayara Fuel Station","near Regional Transport Office Tiruchirappalli, 16/1A, TRICHY - DINDIGUL MAIN ROAD, near Regional Transport Office Tiruchirappalli, Pirattiyur","10.7909826","78.6483406","true"
"ChIJewPWJw-LqjsRtjW3sXTwfoQ","Hindustan Petroleum Corporation Limited","Ground Floor, Ramanathapuram Road, Sembattu, Tiruchirappalli","10.741727","78.7154255","true"
"ChIJW1veQCT1qjsRV-i9miUR4Uo","TVS Bharat Petroleum Pump","No.1,Chennai Highway, Service Road, TVS Tolgate, Tiruchirappalli","10.7875506","78.6951636","true"
"ChIJC2cfpiD1qjsRTLHi7Ijf0hM","Hindustan Petroleum Corporation Limited","Ground Floor, Bypass Road, Subramaniyapuram, Chennai","10.790301","78.702001","true"
"ChIJDTG5qNKLqjsRUNl1dp6_i2o","Perumal Agencies","Airport Near, Gundur","10.7291735","78.7192589",""
"ChIJs1MLsHKLqjsRRqUTa9IJsi0","IndianOil","Ground Floor, Tiruchirappalli","10.735995","78.7164006","true"
"ChIJ37uxmMyLqjsR1OG0H0odxGY","AMY FUELS","IOCL Coco, Gundur","10.7360128","78.7163832","true"
"ChIJuWoWMq2LqjsRxo1j7TuNKpM","IndianOil","No 282/9 T, S No 15/12 Ward Aw, Block 1, Kottapattu, Gundur","10.740408","78.71567399999999","true"
"ChIJTQSZIt-LqjsR0LGWG03bHD0","SREE KRISHNA AGENICES, HP Petrol pump + CNG Bunk","National Highway 336, Mathur","10.6946986","78.734693",""
"ChIJD2aXcNmLqjsR9p-uIZf5HFs","Bharat Petroleum, Petrol Pump -Roshan Enterprises","MATHUR( TRICHY- PUDUKOTTAI, PUDUKKOTTAI","10.686106","78.73616609999999","true"
"ChIJFasYFs-NqjsRbHLr6Avbnxs","IndianOil","Sy No 310/1 Navalpattu, Tiruverumbur, Anna Nagar, Tiruchirappalli","10.734521","78.755026","true"
"ChIJ4T5p6Sj1qjsRp1jsnfLeNOE","Bharat Petroleum, Petrol Pump -Raja Agencies","GANESHAN NAGAR TRICHY, Tiruchirappalli","10.7753026","78.6848143","true"
"ChIJN3QPItb0qjsRFcY2txocmpI","Indian Oil","India","10.7799324","78.702671",""
"ChIJGRquM_31qjsR3xh8Ve5vhcg","Bharat Petroleum - Samy Agency","4/634, Ponmalaipatti Road, Thendral Nagar, Tiruchirappalli","10.7742275","78.73257869999999","true"
"ChIJQyCoBZ71qjsR_MQZoybhrYY","SAMY Agency","QPFM+M43, Ponmalaipatti Road, Thirunagar, Tiruchirappalli","10.7741329","78.73278619999999","true"
"ChIJ2TLpRZCNqjsR_mvsa5C3Fvo","Jeyam Fuels","AIADMK, 299, SEZ Trichy, near ELCOT, Silambarasan A, IT Park Road, Police Colony, Police Colony, Tiruchirappalli","10.7374707","78.7648608",""
"ChIJ96B46L-NqjsR-7Lt8OwVHdk","HP Gas","QQ26+Q8C, Sholamadevi","10.7519293","78.7607685",""
"ChIJlQRuBACJqjsRnCgVVw8h6jk","Hindustan Petroleum Corporation Limited","Ground Floor, Mathur, Illupur Road, Amburpatti","10.661478","78.676671","true"
"ChIJwVz0TCX1qjsRKuaYFkO63rQ","AGMI Petrol Pump","Trichy - Madurai Highway, Kaja Nagar, Edamalaipatti Pudur","10.7845861","78.6910312","true"
"ChIJdRPpxTr1qjsRI2UXRZ9g9Ak","IndianOil","Lock No 13002, Chennai - Theni Highway, Mannarpuram, Tiruchirappalli","10.785367","78.690094","true"
"ChIJ93nARAD1qjsRkKw7mWJYSYc","IndianOil","Lock No, 601 Tollgate, No 5, Sangillyandapuram, Chennai","10.7892055","78.6960434","true"
"ChIJM1RjGwD1qjsRyiNAQd58M5s","LPG TRICHY","Tiruchirappalli","10.78971","78.69892469999999",""
"ChIJSbnyeC-NqjsR6RM7Vv1hiL8","IndianOil","No 653 B3, Sidco Development Plot, Thuvkudimalai, Tiruchirappalli","10.7659276","78.80141569999999","true"
"ChIJrSxqzi6NqjsRTog5aZshDfs","IndianOil","Ground Floor Bhel Township, Thuvkudimalai, Tiruchirappalli","10.7689709","78.79916519999999","true"
"ChIJ5VQ_qzHzqjsRnT71BSNeWD4","IndianOil - SWAGAT","Ground Floor, NH-67, Thiruverumbur","10.7841998","78.77909439999999","true"
"ChIJ8dVCgjjzqjsR3ztA5mwLRaw","Alm Enterprises Bpcl Petrol Pump","49/7, Thanjavur Road, Thiruverumbur","10.7899566","78.7704191","true"
"ChIJS0Li9_iMqjsRI6mVH7xjXuE","OFT petrol bunk","PQMM+7H2, OFT to HAPP Road, Thuppaki Nagar, Navalpattu","10.7331317","78.7838794","false"
"ChIJw0DwDz6NqjsRCyCeTBAipTM","Hindustan Petroleum Corporation Limited","S No 100/4, Thiruverumbur","10.7567967","78.77329569999999","true"
"ChIJO1H6sMGMqjsRV_gariXvv-U","HP PETROL PUMP - SALAM FUELS","HPC Dealer S NO.100/4, Navalpattu Village Thiruverumbur, Tiruchirappalli","10.7568062","78.7733952",""
"ChIJ09d83S-NqjsRAVh6iPkjxG8","Hindustan Petroleum Corporation Limited","Survey No 702/2, Plot No D/C/2, Thiruverumbur, Thuvakudi","10.762159","78.80536359999999","true"
"ChIJvWpbVz-NqjsR-H8bY1TIM90","Sai shanthi agency BPCL petrol bunk","555/2 ganapathi nivas, Ayyampatti","10.7744927","78.80920739999999","true"
"ChIJ1YV9cDONqjsRW16pvmHxV6c","Bharat Petroleum","QRF5+RMP, Jeevanantham Street","10.7745982","78.80920809999999",""
"ChIJ800CffVfqjsRj-qy9uUjeH4","ARK Fuels- Indian Oil Petrol Bunk","No.5, Trichy, to, Dindigul Main Road, Pirattiyur","10.7912963","78.65672839999999","true"
"ChIJD40H3gVfqjsREqw2j0l1sAY","IndianOil","Sy No 126, 4, Vayalur Road, Kumaravayalur","10.820192","78.621437","true"
"ChIJycwJ8nj1qjsR8vphmzJltZY","IndianOil","Vayalur Road, Puthur, Thillai Nagar, Tiruchirappalli","10.814411","78.664703","true"
"ChIJ__9PrHL1qjsRgfl_-E5wpw0","KR Fuels - Auto LPG Station - Cantonment","KR Fuels, No:20, Lawsons Road, Cantonment, Tiruchirappalli","10.8058674","78.6793326","true"
"ChIJ-yf6Aw31qjsR06YMy3Z3wtk","Bharath Petrol Bunk.","100, 1, Bharathidasan Salai, Cantonment, Tiruchirappalli","10.8049515","78.6859301","true"
"ChIJ9QVG05n1qjsRFOqGtTQV3Ms","Sri Hari Computers","RMGG+XPG, Woraiyur, Tiruchirappalli","10.8274338","78.6768359",""
"ChIJpUH-rhD1qjsRKco-Xz-NdOI","Hp petrol bunk","Bharathiar Salai, Bharathiyar Salai, Sangillyandapuram, Tiruchirappalli","10.8008063","78.6894353",""
"ChIJ4aMEzK_1qjsRLR8H_ipQ1lo","IndianOil","Ground floor, near Maingaurd Gate, Theppakulam","10.8271667","78.6934034","true"
"ChIJ85G9hJ9fqjsRJRt88nNDpGQ","IndianOil","No 1/103A, Main Road, Somarasempettai, Tiruchirappalli","10.812219","78.63478099999999","true"
"ChIJh4Kf6udfqjsR0iEndW70woE","Bharat Petroleum, Petrol Pump -Sundaram Agencies","Rajiv Gandhi Nagar, Somarasampettai","10.8125205","78.6387549","true"
"ChIJ6V2QIbpfqjsR1rbWpCGjvk8","Hindustan Petroleum Corporation Limited","Ground Floor, Somarasempettai - Thogaimalai Road, Chunabukarenpatti","10.7990044","78.61261209999999","true"
"ChIJn4DMyYpfqjsR9dK-mJf6_QU","Sri Annadurai Fuels Bharat Petroleum","Tiruchirappalli","10.8154432","78.6286696","true"
"ChIJS60VBQZfqjsRM35ZwhnmT6c","Hindustan Petroleum Corporation Limited","Survey No 61, 4 & 61/5, Vayalur Road, Srirangam, Malliampathu","10.8150124","78.64904179999999","true"
"ChIJ9fyFBYJfqjsRyXnl0BoH4AA","Go Gas","RM72+X6M, Ram Nagar Street, Ram Nagar, MM Nagar, Tiruchirappalli","10.8149719","78.65053499999999",""
"ChIJ--qBSs71qjsR9wz_iknO2RU","MRC ENTERPRISES,INDIAN OIL PETROL STATION.MUTHAPUDAIYANPATTY., MANAPARAI","No20/4671,NH-45Trichy-Dindigul main road, muthapudaiyanpatty, Tiruchirappalli","10.7933747","78.67876989999999","false"
"ChIJR1D5G371qjsRk7SM4XLmocU","Bharat Petroleum, Petrol Pump -Ramanathan Agencies","Vayallur Road, Bhima Nagar, Sangillyandapuram, Tiruchirappalli","10.8142622","78.6720912","true"
"ChIJjZF9-z_1qjsR9ozeBBZtBsE","IndianOil","Lock No 583, No 2, Trichy-Dindigul Road, Tiruchirappalli","10.7940031","78.68039519999999","true"
"ChIJtbGeaxX1qjsREikOCI6Qi_E","Bharat Petroleum - YESODHAI PETROL BUNK","Reliance Apartments, Voc Road, Cantonment, Tiruchirappalli","10.796241","78.681082","true"
"ChIJpb6rFwBfqjsRo91dgDICoHQ","வாடாவூர் 10th cross","RMM4+GPG, Thillai Nagar, Tiruchirappalli","10.833811","78.6568149",""
"ChIJTeu3ngb1qjsRgZQZmXzv57M","IndianOil","No. 19B, 34, Warners Road, Cantonment, Tiruchirappalli","10.804556","78.68225110000002",""
