place_id,name,address,latitude,longitude,open_now
"ChIJpWJdCMKXyzsREBEMHoWwnls","Hindustan Petroleum Corporation Limited","opposite Zoo Park, H No 19/2/212, Bahadurpura, Hyderabad","17.3502303","78.4524804","true"
"ChIJK1tBcaO9yzsRsl-n77arfzw","IOCL - Moula Service Station","S No 62, Gaganpahad, Rajendranagar mandal, Budwel","17.3027599","78.42048419999999","true"
"ChIJW8ZCriuWyzsRe8Q1XEBX_f4","IOC Petrol Pump","8CMG+VC9, Inner Ring Road, Vivekananda Nagar, Shivarampally Jagir","17.3346614","78.42612059999999","true"
"ChIJr1xuJrC9yzsRJfEXBGEe4kY","Hindustan Petroleum Corporation Limited","Survey No 218, National Highway 44, Gaganpahad","17.29455","78.41816","true"
"ChIJxes_MdiXyzsRovT5HcYEkC8","Hindustan Petroleum Corporation Limited","Ground Floor, Bangalore Road, Hasan Nagar, Hyderabad","17.3346545","78.4421272","true"
"ChIJ1SkAnEyWyzsRTjs42ak0kZE","IndianOil","Ground Floor, Upperpally","17.3570049","78.4231226","true"
"ChIJ618GsDq8yzsR_TaPRAfObxk","IndianOil","Sy.No: 148, 713, Shamsabad, Pashambanda, Hyderabad","17.3365137","78.38447219999999","true"
"ChIJza8ysDWWyzsRLmNROtJ4rfM","SUPERGAS Auto LPG Station - Go Green Enterprises","4-11-93/1/A, Chintalmet, Beside Patel Dairy Farm, Hyderabad","17.3521889","78.4261238","true"
"ChIJg-FrMdiXyzsRELWxphFRJvo","IndianOil","Bahadurpura - Aramghar Road, Meersagar, Tad Bun, Hyderabad","17.3405954","78.4503019","true"
"ChIJIxvAu0a9yzsRyaO_bRrowow","IndianOil","Sy No 83, Rajendra Nagar, Mailardevpally, Hyderabad","17.3148473","78.45905599999999","true"
"ChIJr7f9mLOjyzsRvwnFh-ANqLY","IndianOil","S No 187, 2, Bandlaguda Road, Vattepally, Mailardevpally","17.3155929","78.4652083","true"
"ChIJocuqZ02WyzsRtANuRo1JB_4","Bharat Petroleum Corporation ltd","Survey No 400, opposite Pillar Number 137, Attapur, Hyderabad","17.3657827","78.42819229999999","true"
"ChIJFUEWOrGXyzsRP1WV3ntwQ0w","SUPERGAS Auto LPG Station","No: 19-5-128/1, NM Guda, Hyderabad","17.3617501","78.43731009999999","true"
"ChIJu4y7BbmXyzsRBIKK43uVpUY","IndianOil","No 19, 5/28/12/2/A, Kishan Bagh, Hyderabad","17.3594019","78.4444055","true"
"ChIJh-IBjnaWyzsRs9VUvVUP7G8","Hindustan Petroleum Corporation Limited","Survey No 19, Bandlaguda Jagir Road, Rajendranagar, Gandamguda","17.3592266","78.3875321","true"
"ChIJ9azGy_2XyzsRVXfIZuTAX_s","IndianOil","MCH No 18/2/578/2, Falaknuma, Hyderabad","17.3364998","78.4683045","true"
"ChIJPRVKw1W9yzsRJILhNLC-23Q","Hindustan Petroleum Corporation Limited","opposite Falaknuma Palace, D No 18/2/474/3, Nagarkarnool, Jangammet, Hyderabad","17.3321894","78.4701503","true"
"ChIJRzKz516WyzsRCXz5jbNluhU","Bharat Petroleum Corporation ltd","No 9/1/364/A/1/3, Survey No 243 to, 247, Gandipet Main Road, Langar Houz, Hyderabad","17.3733105","78.4111495","true"
"ChIJUW_x0syiyzsREUXotU_v9WQ","IndianOil","S No 104, Chandrayangutta, Hyderabad","17.302799","78.47540300000001","true"
"ChIJxRzzwKyiyzsRZkV0PNVkJDY","PrimeFuel Auto Gas","Chandrayangutta Flyover, Indira Nagar, Falaknuma, Hyderabad","17.3272984","78.476367","true"
