place_id,name,address,latitude,longitude,open_now
"ChIJ63bjjEckyjsRiCqmepfq8FA","Bharath Petrol Bunk","Boothpur, Potulamadugu, Mahbubnagar","16.691522","78.0427541","true"
"ChIJy3B7VgEhyjsRoOulpcatqJQ","Hindustan Petroleum Corporation Limited","Survey No 480 Addakkal, Hyderabad BNG Hwy, Janampeta","16.61380699999999","77.97866669999999","true"
"ChIJcaKUnk0hyjsRn2xtSPEyjOw","Bharat Petroleum","India","16.6533922","78.006863",""
"ChIJCY7rm00hyjsRjd6QOVI8wt0","Sri Ala Sai fuel filling station CNG filling station","Hyderabad - Bangalore Highway, Annasagar","16.6531101","78.00696210000001","true"
"ChIJV-uBTxkkyjsRFfMFKfCxpe8","IndianOil","Sy No 102/A, NH 7, Addakal","16.675452","78.02645799999999","true"
"ChIJBSLlE1clyjsRwbQUsHCbv64","SUPER PURE FUELS","S No -133/U, National Highway 44, Pothulamadugu","16.6915111","78.0429845",""
"ChIJGxRhr84lyjsR7oOxarTSzwQ","SUPER PURE FUELS","U NH 44, Plot N0 133, Pothulamadugu","16.6924492","78.04242119999999",""
"ChIJ5X_FESclyjsRw5OLTo0blhM","Bharat Petrol Bunk","P27J+G7M, Bhoothpur Road, Amistapur","16.7138483","78.03066369999999",""
"ChIJQdsw8lEkyjsRnzTd6Izwmxw","Ashirwaad fuels (BPCL)","near Bharath Petrol Pump, 1-2, Ngkl Road, Bhuthpur","16.6990679","78.0549143",""
"ChIJwY1GXWYlyjsR8VW_xSM7oeA","IndianOil","Sy No 364, 1C, Addakal, Bhuthpur","16.695601","78.058801","true"
"ChIJCeSMMdUlyjsRL1Neb0AC0j0","Hindustan Petroleum Corporation Limited","Survey No 260, beside Sai Baba Temple, Bhoothpur Road, Palakonda (R)","16.7163498","78.027203","true"
"ChIJU43IdwAlyjsRAu-_gqKnlxY","Shakthi Fuels","Bypass, Palkonda Rd, Mahbubnagar","16.728674","78.02122",""
"ChIJaRqci6YnyjsRYDFMiSHcxbw","SRI SAI BALAJI FILLING STATION","Telangana, Raichur - Mahabubnagar Road, Perkiveed Thanda, Mahbubnagar","16.70440379999999","77.9592955","true"
"ChIJqxSZ3sUnyjsRXe_p2NrfQAg","Hindustan Petroleum Corporation Limited","Survey No 619, Raichur Road, Bandameedipally, Mahbubnagar","16.7216171","77.9777988","true"
"ChIJSYy6gsknyjsRrJHNjjRFScQ","Hindustan Petroleum Corporation Limited","Ground Floor, Christianpally, Mahbubnagar","16.7310193","78.00309829999999","true"
"ChIJU1pmQHojyjsRuFNP_exgULE","Hindustan Petroleum Corporation Limited","Sy No 273AA, Yelkicharla","16.6433614","78.09353879999999","true"
"ChIJ0dVgKwAjyjsRnVjSw3da3ro","SRINIVASA FILLING STATION (Hindustan petroleum)","Nagarkurnool road, Yelkicharla","16.6361488","78.104595","true"
"ChIJ3bq6B5I9yjsRn9-3AbzD5B4","PSR FUEL STATION (Bharath petro pump)","J4C8+RJ6, Yelkicharla","16.622422","78.1177876",""
"ChIJ99md7jIlyjsR9zCepZq0GmE","Sri Balaji Petroleum","Hyderabad - Bangalore Highway, Sherpally","16.7206073","78.0714484",""
"ChIJMQ0fKA8lyjsRvn0-jxCZx3A","IndianOil","Sy No 197/B, Addakal","16.720593","78.070543","true"
"ChIJswBH3_k7yjsRPmpGc5vtQVk","Bharat Petroleum, Petrol Pump -Dkr Vijaya Laxmi Filling Station","Timmajipet - Avancha Road","16.6709317","78.190727","true"
"ChIJUUmBoQQ9yjsR0hWnNK_o1kA","IndianOil","Ground Floor Thimmajipet, Nagarkurnool, Madigatla","16.6604729","78.19319060000001","true"
"ChIJ5buajGQ9yjsRPEoWF40GcpI","Indian Oil Corporation","M53W+R2H, State Highway 21, Gummakonda","16.654573","78.195103","true"
"ChIJ0aL8An0-yjsRupELF8ql_EA","IndianOil","Sy No128, E Bijinepally, Vattem","16.6190788","78.2107179","true"
"ChIJSWqtuiYmyjsRpX68lLpPY-c","Hindustan Petroleum Corporation Limited","Survey No 3 Main Road","16.74431","77.99069999999999","true"
"ChIJg7OGFAAnyjsR9AV-R3OJqiY","Bharat Petroleum - SLNS Filling Station","P2R3+G4V, near NP Subb Reddy School, Bhageeratha Colony Road, Sheshadri Nagar, Shah Saheb Gutta, Mahbubnagar","16.7420372","78.0027952","true"
"ChIJZcoKs4wpyjsRncvYgZjHtkU","IndianOil","Ground Floor, Ravindranagar, Mahbubnagar","16.7531","78.01809999999999","true"
"ChIJ-ZNZMgAnyjsRSOXCObDlVzU","Indian Oil petrol pump","PXPR+PHR, Shiva Shakthi Nagar, Ramaiah Bowli, Mahbubnagar","16.7362753","77.9915645",""
"ChIJ3zAoNFQvyjsRh_5WX0kLSrE","Hindustan Petroleum Corporation Limited","DNo 7/5/235, Survey No 267/AA2, Lakshmi Nagar, Yenugonda","16.75329","78.024012","true"
"ChIJMwb1DI4vyjsRxCv46QTfppc","Kailas Auto Supplies","opp. Rural Police Station, Srinivasa Colony, Mahbubnagar","16.7539557","78.02396660000001",""
"ChIJlzChHAAvyjsRSgZGv7GCi2I","IndianOil","Survey No 166A & B, 167A & B, Advi, Venkatapur","16.752901","78.026501","true"
