place_id,name,address,latitude,longitude,open_now
"ChIJs83kVCWKyzsRsRs9ehWzTwQ","Bharat petrol pump","Shapur Nagar, Bonthapalle","17.6662505","78.372978","false"
"ChIJd_FayDqKyzsRZoiixpQly3Q","Hindustan Petroleum Corporation Limited","Survey No 195, Medak - Hyderabad Road, Bonthapalle","17.6675253","78.37236539999999","true"
"ChIJL7HrFWuJyzsRzTnqUH2wb3c","Indian Oil","JCP4+R5Q, Dundigal","17.6370861","78.4054737",""
"ChIJb13SIXCLyzsRWs_tW86i0J4","IndianOil","Survey No 1029, Jinnaram","17.6309701","78.32543799999999","true"
"ChIJw4BxYFiJyzsRUsEPAQBUvok","Nayara Petrol Pump","India","17.6229671","78.38561039999999",""
"ChIJFys66y2KyzsR4-ATyoKikx0","IndianOil","Sy No 17, 18 & 20 Domadugu, Jinnaram, Medak","17.658596","78.37379399999999","true"
"ChIJMWDYlC2KyzsRMx_pflrDCZ0","Amarjyothi Filling Station","M95F+GJ4, Domadugu","17.658762","78.374085","true"
"ChIJjQP3Ay6KyzsRk_SoE9i_Gpw","Srinivasa Traders","opposite Hanuman Temple Road, 557, Bonthapally Kaman, opposite Hanuman Temple Road, Hyderabad","17.6606772","78.37314359999999","true"
"ChIJCUo3T6GJyzsR6pIP9gu1GXU","BHARAT PETROLEUM-GARUDA FILLING STATION","2-24/9, Church, Gagillapur, Dundigal, Hyderabad","17.616216","78.3879168","true"
"ChIJNRQ04LGOyzsR79_VZQAEmx8","Hindustan Petroleum Corporation Limited","Survey No 166, Qutubullapur, Gagillapur, Hyderabad","17.6021127","78.3956271","true"
"ChIJJVI0UrCOyzsRk5kXjReTSTA","IndianOil","Sy No 145, Near Airforce Academy, Gagillapur, Hyderabad","17.6001292","78.39784039999999","true"
"ChIJ5W6QTQCLyzsRfCQCaghyP04","Lakshmi Ganesh auto works","M9M9+VCP, Gummadidala","17.6847171","78.3685788",""
"ChIJ08WUEluLyzsRRFCGQeZ7WsU","IndianOil","Survey No 194/A Jinnaram, Annaram","17.684603","78.37039899999999","true"
"ChIJD1LySQCJyzsRMMiW6pOUYZo","IOCL DUNIGAL AFS","JCP5+4J8, Dundigal","17.635281","78.4090921",""
"ChIJ825UtLmOyzsRg6lvlsSRSoA","IndianOil","Survey No 579, Near Airforce Academy, Dundigal","17.595983","78.403609","true"
"ChIJW487qI2PyzsRtR-Zx6d-g0Q","BPC Petrol Bunk Ambati Pushpalatha Channaiah Filling Station","Medak - Hyderabad Road, Gandi Maisamma, Gundlapochampally","17.5909866","78.4092419","true"
"ChIJpYq2lzKMyzsRgpoEaHgDSEI","NAYARA","India","17.562656","78.3719842",""
"ChIJUR20oiCNyzsR8nbBU5UvdUU","Petrol pump","H97C+2QR, Bachupally, Hyderabad","17.5626074","78.37190480000001","true"
"ChIJj1T_KD6PyzsRHF2o5C4o00A","IndianOil","482/A/E, 485, A/E, Survey No 481, Hyderabad","17.5890658","78.4493839","true"
"ChIJG4Lch82ZyzsRyZpl9IdmODE","IndianOil","Sy No 59, SSH 7, near Gandi Maisamma, 10th Road, Bahadurpally, Hyderabad","17.57299","78.423752","true"
"ChIJGQ2_6weGyzsROvEZgvPnoFc","IndianOil","Ground Floor, near Check Post, Medchal, Secunderabad","17.6155755","78.485507","true"
"ChIJe_0Bj8OIyzsRpY7qNsHRuKc","Hindustan Petroleum Corporation Limited","Survey No 6, Gowdavalli Road, Medchal, Railapur","17.6300838","78.4448207","true"
"ChIJ9zOzF8WJyzsRlBGe3FGHdHI","PARNIKA PETRO MART","S Y, No 6, Medchal, Railapur","17.6297352","78.4449872","true"
"ChIJiX0aWQ-PyzsR3knfc7F2J-M","Petrol pump","HCQ8+X62, Gundlapochampally","17.5898881","78.4155033",""
"ChIJFcAbGuSPyzsR2MFZP9rDfpc","Ujjayini Essar fuel station","78/A, Hyderabad - Narsapur Road, Gandi Maisamma, Domara Pocham Pally","17.5859061","78.415719",""
"ChIJn5sYTOiOyzsRTGDIGrwZfSA","Hindustan Petroleum Corporation Limited","SH 6, Plot No 6, Medak - Hyderabad Road, Domara Pocham Pally","17.5850827","78.4157812","true"
"ChIJdzOvkOiOyzsR0reBsHHwN3M","Indian Oil Petrol Pump","2, Medak, To, Nehru Outer Ring Road, Gandi Maisamma, Hyderabad","17.5834585","78.4177186",""
"ChIJw0htreqPyzsRZepVz3jZRuM","Shanti filling station","Plot no 4&5, main road, Gandi Maisamma, Hyderabad","17.5812102","78.4186935","true"
"ChIJp_MPiOGOyzsR4BVZlpjzx2M","Indian Oil","India","17.5819106","78.4276261",""
