place_id,name,address,latitude,longitude,open_now
"ChIJqztw-jK4yzsRyZb2_i-OGuc","IndianOil","Survey No 37, E Maheshwaram, Chegur","17.153582","78.336255","true"
"ChIJ9yGi8PXHyzsRHjsvamAic8w","IndianOil","Mahabubnagar, Ground Floor, Thimmapur, Rangareddy Inmulnarva","17.1557034","78.2924201","true"
"ChIJ_6JFXwrIyzsRTJogEoybrfQ","Hindustan Petroleum Corporation Limited","Survey No 1950, Ayyappa Nagar, Kothur","17.134629","78.27292969999999","true"
"ChIJpYOSBVe3yzsRQvBKvhMcj1I","Hindustan Petroleum Corporation Limited","Survey No 15/P, Pendyal","17.1387719","78.37497019999999","true"
"ChIJu8czlQu3yzsRVJFAio307Vg","MD.KHAYYUM GAS","486C+6Q6, Penjerla","17.1105533","78.3218876",""
"ChIJiV7iFAC3yzsRlYob1DtRfmI","Hindustan Petroleum Corporation Limited","Survey No 26, U Maheshwaram, Kollapadakal","17.0899444","78.36660599999999","true"
"ChIJOXStXya5yzsRQNjU5O0OC6E","Sri Venkateswara filling station","5866+JC8, Peddatupra","17.1615351","78.3110761","true"
"ChIJT-i3hdu5yzsRHrBzrAXqAW8","BHARATH PETROL PUMP","Penjarla Road, Kothur","17.1392932","78.295377","true"
"ChIJ1zhhUdi3yzsRRVa6b2sI0ZA","Nayara energy Sri Sai filling station","Mekaguda","17.1051228","78.29564309999999","true"
"ChIJX09T8VTJyzsRZggoks0R-OQ","Hindustan Petroleum Corporation Limited","Survey No 192/E, JP Dargah Road, Nandigama","17.1271896","78.28899679999999","true"
"ChIJZbboYUC3yzsRNFJttXgsWO8","Bharat Petrol Pump","472W+MCX, Unnamed Road, Mekaguda","17.1017302","78.2961186",""
"ChIJ0xf7UQDHyzsR23Z6XDUMFIM","Hindustan Petroleum Corporation Limited","Kothur By- Pass National Highway 44, Kothur","17.139619","78.288553","true"
"ChIJ9VyB5lC5yzsRYLfq7MEdO44","Hindustan Petroleum Corporation Limited","Survey No 88, NH 44, Thimmapur","17.1640998","78.2965461","true"
"ChIJmbBoD9O5yzsRVXJKBtCKZyE","Hindustan Petroleum Corporation Limited","No 68, A1/2, Madanpalle","17.1879402","78.32827689999999","true"
"ChIJJfEYMADJyzsRxGT1vir9zl0","Bharat petroleum","47JJ+8PP, Siddapur","17.130851","78.28137199999999",""
"ChIJl4UewoLJyzsRLiXMbT1zGOE","Essar Petrol Pump","National Highway 44","17.1303645","78.2809008","true"
"ChIJYUaqZy-6yzsRkBtMtMRTyKQ","IndianOil","Survey No 54, Maheshwaram, Attapur, Kukatpally, Hyderabad","17.178583","78.391574","true"
"ChIJrWqyEJC5yzsRcaiR8jmqfdo","Hindustan Petroleum Corporation Limited","Survey No 109/AA, Kothur","17.1744579","78.2937905","true"
"ChIJyeM5AeLHyzsRw3eN9vmWlAg","Bharat Petroleum, Petrol Pump - KVLS FUELS","Thimmapur","17.1365643","78.2763724","true"
"ChIJrRdyw4u3yzsRl0smb48TWsE","IndianOil","Sy No 10/4S, B Pally, Siddapur - Porandla Road, Kothur","17.062221","78.352736","true"
"ChIJg6ikIADHyzsRNUFGidQgCQA","RK_CNG_PUMP_H02","47QG+PCF, Anthireddyguda","17.1387527","78.2759068",""
"ChIJy5zrMve5yzsR4yvSs1ltWk0","Bharat petroleum","58Q5+8W4, Venkannaguda","17.188772","78.3087377",""
"ChIJETSkZgCxyzsRvTBsQCdbTSk","Hindustan Petroleum Corporation Limited","No 381, 382 & 383, Maheshwaram","17.1327889","78.4218099","true"
"ChIJm67ynKexyzsRYBZZghUdoWA","Sri Manikanta Service Station | BPCL","SY.NO 342NEAR MALLANNA TEMPLE","17.13212979999999","78.4273777","true"
"ChIJiZkpQ1mxyzsRDC3hSHQfZvs","Hindustan Petroleum Corporation Limited","Survey No 334, Pulimamidi, Maheshwaram","17.1322247","78.4334524","true"
"ChIJXeo6p3uwyzsRBdXioX630fA","IndianOil","Survey No 4, Maheshwaram","17.1373735","78.4371967","true"
"ChIJc4Hfu3GxyzsR0DW5iZHxx8E","IndianOil","Sy No 234, E Maheshwaram, Thummaloor","17.1281527","78.4769018","true"
"ChIJX9_Zc3CvyzsRdUBsLfDGcws","KMR FUELS","Sy No 240, Srisailam Highway, Thummaloor","17.1212706","78.47705169999999","true"
"ChIJ3cyFqiyvyzsRaKi7VjXeiac","Hindustan Petroleum Corporation Limited","Survey No 240, Maheshwaram, Thummaloor","17.121205","78.477091","true"
"ChIJT5trlR2xyzsRaCDwduU3_us","IndianOil","Sy No 38, Kandukur,Inmulnarva, E & 38/A/1/38/A/2","17.1030228","78.4739249","true"
"ChIJEWvXyE-7yzsRuoMKXTxk8pk","Hindustan Petroleum Corporation Limited","H No 6, Survey No 624/a/1/2, 4/1, Maheshwaram, Mankhal","17.190824","78.450661","true"
"ChIJJZZvnTOxyzsR0B_yXGS_GL4","Hindustan Petroleum Corporation Limited","Survey No 880, E/2 NH 765, Srisailam Highway, Hyderabad","17.085592","78.474701","true"
"ChIJGwEbM6mxyzsRZgJ4zRrzTqU","Sri Venkata Sai Filling station","3FPF+3V2, Gudoor","17.0851323","78.47464339999999","true"
"ChIJlZ5QI9O6yzsRlT5FBuHvoH0","IndianOil","No 7/128 Maheshwaram, Hyderabad","17.186301","78.47410099999999","true"
"ChIJwQm2hQOvyzsR2o7Krr3r48I","IndianOil","Survey No 344/A Gudur, Kandurkur, Chippalpalle","17.095587","78.496903","true"
"ChIJxZpmZ92vyzsR6IN1yZqBSWc","SRI BALAJI FILLING STATION","Kandukur Mandal, Rachloor","17.1172277","78.52207179999999","true"
"ChIJRzyxL72xyzsR0CGCoAKO_mY","Hindustan Petroleum Corporation Limited","Survey No 580/AA1, 581, AA1 & 581/EE, Kandukur","17.064889","78.473327","true"
"ChIJ69OMJK65yzsRWEIqLlv0Cyg","Hindustan Petroleum Corporation Limited","Survey No 222, NH 44, Hyderabad - Bangalore Highway, Peddashapur","17.211658","78.335371","true"
"ChIJQQNskhK5yzsRJSoyO43aWOc","Hindustan Petroleum Corporation Limited","S No 26, 27 & 28, Shamshabad, Gandiguda","17.22778109999999","78.3500086","true"
"ChIJ9chKGdK_yzsRqGPWMcpKBc0","Hindustan Petroleum Corporation Limited","S No 4 Shamshabad, Thondapalli, Hyderabad","17.2479539","78.37426130000001","true"
