place_id,name,address,latitude,longitude,open_now
"ChIJRzKz516WyzsRCXz5jbNluhU","Bharat Petroleum Corporation ltd","No 9/1/364/A/1/3, Survey No 243 to, 247, Gandipet Main Road, Langar Houz, Hyderabad","17.3733105","78.4111495","true"
"ChIJpWJdCMKXyzsREBEMHoWwnls","Hindustan Petroleum Corporation Limited","opposite Zoo Park, H No 19/2/212, Bahadurpura, Hyderabad","17.3502303","78.4524804","true"
"ChIJocuqZ02WyzsRtANuRo1JB_4","Bharat Petroleum Corporation ltd","Survey No 400, opposite Pillar Number 137, Attapur, Hyderabad","17.3657827","78.42819229999999","true"
"ChIJ1SkAnEyWyzsRTjs42ak0kZE","IndianOil","Ground Floor, Upperpally","17.3570049","78.4231226","true"
"ChIJyUDcTvuWyzsRxi_cSRPnefs","Essar - P.S Rathore & company","Toli Chowki, Hyderabad","17.3886349","78.4230226","true"
"ChIJE3o7UgaXyzsRkeax-9rg4ds","Hindustan Petroleum Corporation Limited","No 13/6/457/5, 13/6/457/6 & 13/6/457/7 Karwan, Gudimalkapur, Hyderabad","17.3819327","78.4388613","true"
"ChIJFUEWOrGXyzsRP1WV3ntwQ0w","SUPERGAS Auto LPG Station","No: 19-5-128/1, NM Guda, Hyderabad","17.3617501","78.43731009999999","true"
"ChIJ9amV1LuWyzsRO0UFzGOV3i8","Hindustan Petroleum Corporation Limited","House, No 8/1/299/C/1, Shaikpet, Hyderabad","17.4081206","78.4012055","true"
"ChIJza8ysDWWyzsRLmNROtJ4rfM","SUPERGAS Auto LPG Station - Go Green Enterprises","4-11-93/1/A, Chintalmet, Beside Patel Dairy Farm, Hyderabad","17.3521889","78.4261238","true"
"ChIJdTbbNrqWyzsRVeuqr-rC3Jk","Bharat Petroleum Corporation ltd","Survey No 75, opposite DMart Shaikpet, A/76, Shaikpet Road, Shaikpet, Hyderabad","17.4089419","78.4001152","true"
"ChIJh-IBjnaWyzsRs9VUvVUP7G8","Hindustan Petroleum Corporation Limited","Survey No 19, Bandlaguda Jagir Road, Rajendranagar, Gandamguda","17.3592266","78.3875321","true"
"ChIJu4y7BbmXyzsRBIKK43uVpUY","IndianOil","No 19, 5/28/12/2/A, Kishan Bagh, Hyderabad","17.3594019","78.4444055","true"
"ChIJudgOjySXyzsRRPtgcrYEZw8","IndianOil","No 8/2/682/L/4, Road Number 12, Banjara Hills, Hyderabad","17.4085278","78.43889399999999","true"
"ChIJW8ZCriuWyzsRe8Q1XEBX_f4","IOC Petrol Pump","8CMG+VC9, Inner Ring Road, Vivekananda Nagar, Shivarampally Jagir","17.3346614","78.42612059999999","true"
"ChIJ618GsDq8yzsR_TaPRAfObxk","IndianOil","Sy.No: 148, 713, Shamsabad, Pashambanda, Hyderabad","17.3365137","78.38447219999999","true"
"ChIJLfT6JWiXyzsR1aX1dM6MNuY","Hindustan Petroleum Corporation Limited","Door No 6/2, 29/1, AC Guards, Masab Tank, Hyderabad","17.40288","78.46173","true"
"ChIJufNi_0KXyzsROWkMV3YtvX0","IndianOil","Ground Floor, Wooden Bridge, adjacent Nirankari Bhawan, Saifabad, Hyderabad","17.405803","78.4609469","true"
"ChIJi_xvH2iXyzsRDbdtGjM1B6w","Hindustan Petroleum Corporation Limited","Lakdi-Ka-Pul Railway Station, Lakdikapul, Hyderabad","17.4032419","78.46249660000001","true"
"ChIJg-FrMdiXyzsRELWxphFRJvo","IndianOil","Bahadurpura - Aramghar Road, Meersagar, Tad Bun, Hyderabad","17.3405954","78.4503019","true"
"ChIJF7u4O3uXyzsRRDPu5Wm36KI","Hindustan Petroleum Corporation Limited","Mosque, opposite Ek Minar, 11/6/314, Nampally Station Road, Hyderabad","17.3909657","78.4676743","true"
"ChIJxes_MdiXyzsRovT5HcYEkC8","Hindustan Petroleum Corporation Limited","Ground Floor, Bangalore Road, Hasan Nagar, Hyderabad","17.3346545","78.4421272","true"
"ChIJBdeh8tKQyzsR6F96p6l7t38","IndianOil","D No 8, D Sy, 2/268/A/1/2, Banjara Hills Road Number 3, Banjara Hills, Hyderabad","17.4275036","78.4394762","true"
"ChIJA-kyeYaXyzsReWLV7F3_ET8","BPCL - Ramkishen & Co.","Afzal Gunj, Hyderabad","17.37135809999999","78.469741",""
"ChIJ____P4KXyzsRH6cjD92G5n4","IndianOil","Ground Floor, Goshamahal, Hyderabad","17.37779919999999","78.47131399999999","true"
"ChIJG4vNiWeXyzsRmb4VtbXTr3E","Hindustan Petroleum Corporation Limited","No 6, opposite IGP Office, 1/69/1, Saifabad, Khairtabad, Hyderabad","17.40341","78.46567999999999","true"
"ChIJt6QcmHyXyzsRBm9QeeXhep4","BPCL - Nampally Petrol & Auto Service Station","5-4-418, Srinagar - Kanyakumari Highway, Abids South, Nampally, Hyderabad","17.3906151","78.47029119999999","true"
"ChIJlzO5V9WZyzsRCFPB_gynFyQ","IndianOil","Ground Floor, Goshamahal, Hyderabad","17.3817514","78.4722742","true"
"ChIJHZQN6IuXyzsRgVGkYRI6Yzk","Essar Oil Filling","21-3-858/8, Laad Bazaar Road, Char Kaman, Ghansi Bazaar, Hyderabad","17.3622842","78.47085849999999","true"
"ChIJe8xescqQyzsRLITXus0uR-E","IndianOil","D No 6, 3/654/B, Road Number 1, Banjara Hills, Hyderabad","17.4263641","78.4514373","true"
"ChIJjUcWSUSRyzsR9AHrYXc0_2Q","IndianOil","Plot No 730, Road Number 36, Jubilee Hills, Hyderabad","17.4380503","78.3996014","true"
"ChIJE9TeXfqTyzsRlbUbGnruuuk","IndianOil","S No 52, 58, Serilingampalli, Gachibowli, Hyderabad","17.42967999999999","78.374451","true"
"ChIJKw5KCtaZyzsRuWG8Nmg436Y","Bharat Petroleum, Petrol Pump -Auto Lines,","Jawaharlal Nehru Road, Hyderabad","17.3866511","78.4764885",""
"ChIJgVxjcNaZyzsRmHireNEvi5Y","IndianOil","409, GTK, D No 4/1, 13011, Street Number 5, Hyderabad","17.387311","78.4772964","true"
"ChIJUax_8WGXyzsRFh8loijfgPU","Hindustan Petroleum Corporation Limited","No 59, Basheer Bagh, Hyderabad","17.3995659","78.47459549999999","true"
"ChIJawQ0NfWXyzsReQK7BP_uwYY","IndianOil","MCHD No 20/4/62/G & 62/H & 62, near Charminar, 1, Falaknuma Road, Punchmohalla, Khilwat, Hyderabad","17.3575001","78.473602","true"
"ChIJd8XCqPWXyzsRmtI4XXwb6yQ","Hindustan Petroleum Corporation Limited","No 20, 4/199, Shah Ali Banda, Hyderabad","17.3541631","78.472938","true"
"ChIJFeMkfvaXyzsRJwVx-Oc0LoY","IndianOil","Ground Floor, opposite Bajaj Electronics, Shah Ali Banda, Hyderabad","17.3511438","78.4720811","true"
"ChIJAQAArCyYyzsRy5doyY1OCOs","IndianOil","8/28/5, No 4, RM Road, Putlibowli, Hyderabad","17.3812699","78.482693","true"
"ChIJc7EYlSGYyzsR1dlVQAy9Gk4","IndianOil","23/1, 496, Kotla Alijah, Hyderabad","17.3592822","78.4796669","true"
"ChIJh06dPSOYyzsRYiwHhV4nxAE","Gleam Total Gas","Yakutpura Station Road, Etebar Chowk, Bibi Bazaar, Yakhutpura, Hyderabad","17.3622307","78.4821365","true"
"ChIJ9azGy_2XyzsRVXfIZuTAX_s","IndianOil","MCH No 18/2/578/2, Falaknuma, Hyderabad","17.3364998","78.4683045","true"
"ChIJf4hSTEWUyzsR0NPqYa58d5Q","Y V Krishna Rao & Sons","Plot no 4, beside HP petrol pump, Gandipet Main Road, Narsingi, Hyderabad","17.3875282","78.3415143","true"
"ChIJUzmXR7mWyzsRk7UR2eF236s","IndianOil","Survey No 403, Plot No 1 & 2, Shaikpet, Hyderabad","17.416005","78.434967","true"
"ChIJoZKjUsuWyzsR8T9GTT4Nxmk","IndianOil","Plot No 1354, Road Number 68, Jubilee Hills, Hyderabad","17.4234283","78.4118599","true"
"ChIJ7xcJdO6XyzsRiYpRs9kONFE","Sangshaptak Adhikari","Sang Adhikari, Langar House Flyover, Kalidas Pura, Prashanth Nagar, Langar Houz, Hyderabad","17.3780803","78.4186855",""
"ChIJEYTXBV6XyzsRyonswoKLVXM","Hindustan Petroleum Corporation Limited","D No 9/1/45/3, Langar Houz, Hyderabad","17.378038","78.4204464","true"
"ChIJj0r4RvaXyzsRMSI65CiwLjc","Auti Srikanth","opp. langer house, 12-7-788, Hyderabad","17.3780267","78.42057670000001",""
"ChIJ1yQfnuWXyzsR3o75je5p5qY","Hindustan Petroleum Corporation Limited","Survey No 80, H No 13/6/822/3, Langar Houz, Hyderabad","17.373633","78.416962","true"
"ChIJ6eV8bISXyzsRt6RsbVG5i-M","IndianOil","Sy No 144, Langar House Flyover, Bapu Nagar, Langar Houz, Hyderabad","17.378159","78.42081100000001","true"
"ChIJR6Uhh_iWyzsR4Qla0_Z-9Eo","Shaheen Oil Shop","9CHC+6GQ, Fort Road, Bapu Nagar, Langar Houz, Hyderabad","17.3780825","78.4213532",""
"ChIJ72skT_uWyzsR9AFPSTJBLrc","NAYARA","India","17.3888033","78.42302889999999",""
"ChIJa-OtLwCXyzsR9Rsb41MWMOI","MM Enterprises Indian Gas Agency","9CGG+RJG, Fort Road, Bapu Nagar, Langar Houz, Hyderabad","17.3770669","78.426592",""
"ChIJs6EWAy2XyzsRkApgLncLxd8","IndianOil","Sy, 284/3284/4/1 & 284/4/2284/5, Berbun, Nanal Nagar, Hyderabad","17.3906195","78.4230182","true"
"ChIJGybrIQCXyzsRP7VfB2jbTXI","Bharathi Fuels","9CRF+975, Hyderabad","17.3908931","78.4232231","true"
"ChIJc7Wn_i2XyzsRO2me7BX8YnQ","Extra Gas Auto Lpg","9-3-234/2, opp. Ali Pan Shop, MD Lines Road, Toli Chowki, Hyderabad","17.3941337","78.4175486",""
"ChIJ-_C4meSWyzsRM1Q830WFWoE","TotalEnergies","India","17.3910979","78.4234186",""
"ChIJj_iuKrmXyzsR78OorVAfyvw","ExtraGas Attapur","13-6-431/14 and 13-6-431/15, MOGHAL KA NAKA, Attapur","17.3769932","78.428535","true"
"ChIJKVa7huSWyzsRYEaNL9ez8LY","IndianOil","near Olive Hospitals, Plot No 9/4/80 80/1 to 8, Nanal Nagar, Hyderabad","17.3919","78.42320000000001","true"
"ChIJz6AJBLiXyzsRiXuFBIh9hzQ","IndianOil","near Olive Hospitals, Plot No 9/4/80 80/1 to 8, Nanal Nagar, Hyderabad","17.3919","78.42320000000001","true"
"ChIJ_6yb3ZCXyzsR-4il_OfT6Jg","Patel Enterprise","Olive Hospital, Patel Enterprise 19-3-263/B/1 Yatru Colony Jahanuma Circle, 1, Circle 1, Hyderabad","17.3917202","78.42378839999999","true"
"ChIJj1b6aEGYyzsRKhISkS0TlJk","Hindustan Petroleum Corporation Limited","H No 17/9/70 to 78, Saidabad Road, Kurmaguda, Hyderabad","17.3631618","78.5027539","true"
"ChIJxw4mNcSZyzsRU2_7AAatWdg","IndianOil","No 3/5/1089, 16, Narayanguda Road, Narayanguda, Hyderabad","17.3962932","78.49100589999999","true"
"ChIJees8jK-ZyzsRSR6Pv06qwas","IndianOil","No 2/2/1075/25G, Shivam Road, Tilak Nagar, New Nallakunta, Hyderabad","17.3937283","78.5108964","true"
"ChIJoZWbNLiZyzsRks_dtBUW-4Q","IndianOil","MCH No 3/4/897/2, Barkatpura, Narayanguda, Hyderabad","17.3949391","78.500588","true"
"ChIJI5H3cqKZyzsRhNsKVUGPoD4","IndianOil","1/9, 698/A, Vidyanagar, Hyderabad","17.4057032","78.51330109999999","true"
"ChIJR8YOtjOYyzsR2RhmIC6Cml0","SUPERGAS Auto LPG Station - Crown Metro Enterprises","16-6-33/1 & 2, Chaderghat road, Hyderabad","17.3776259","78.489419","true"
"ChIJn5b_2kaYyzsR88oY6J2hjyI","IndianOil","Sy No 249, Ward No 175, Block A, Saidabad, Chanchalguda, Hyderabad","17.3662599","78.49797720000001","true"
"ChIJU_8kYEeYyzsRcmqiihwmd0E","My Nation Petrol pump","Chanchalguda, Hyderabad","17.3662051","78.4979582","true"
"ChIJC7TO0EiYyzsR7oyBwlMwlW0","Nayara Petrol Bunk","16-2-706, National Highway 65, Dayanand Nagar, New Malakpet, Hyderabad","17.3731688","78.5029465",""
"ChIJF6uhG7iZyzsRsNvsEIWgNI8","Hindustan Petroleum Corporation Limited","No 3/4/877, Barkatpura, Hyderabad","17.3941911","78.4984463","true"
"ChIJB202IGmYyzsRcR37gIv1Xlc","IndianOil","Ground Floor, Saidabad, Hyderabad","17.3548034","78.5061959","true"
"ChIJEUFWMq6ZyzsRhXDzh_FHAq8","IndianOil","No 2/2, 1075, Amberpet, Hyderabad","17.3912788","78.51027359999999","true"
"ChIJ_7A4aVSYyzsR39DsyLPUyZ0","IndianOil","H No 16/11/16/T/6 Prashanth Nagar, Malakpet Extension, Hyderabad","17.379257","78.516167","true"
"ChIJsbRlAFSYyzsRHGrvZaAdu04","Bharat Petroleum Corporation ltd","House No 16/11/16/5/1 & 2 Saidabad, Moosarambagh Main Road","17.3774599","78.5150506","true"
"ChIJK99eouOZyzsRZvKjUaz0acg","Hindustan Petroleum Corporation Limited","No 1/2/597/30, opposite P VKT Reddy, Indira Park Road, Hyderabad","17.4112","78.482933","true"
"ChIJs_1LJ1WYyzsRmtd-pQ9HK_g","IndianOil","H No 2, S No 7 & 8, 3/692/K/3, Moorsaram Bagh, Amberpet, Hyderabad","17.3818005","78.5178998","true"
"ChIJdT08sQ2YyzsRzziKHnA3_uM","PrimeFuel Auto LPG Station","Survey No. 12, Moin Bagh - Idi Bazaar Road, Opp. Asian Foundation Plaza, Beside HPCL Petrol Pump, Hyderabad","17.3445811","78.49397019999999","true"
"ChIJAdt2GAaZyzsRF6ti_ImwQu0","IndianOil","No 2/2/63, 1 & 22018, Amberpet, Hyderabad","17.3947459","78.52475419999999","true"
"ChIJkQEKumSYyzsRg9WiUSNR22A","IndianOil","Sy No 1 to, 9, Champapet","17.348831","78.513992","true"
"ChIJ03-3m_aZyzsRuw7vwiOWOfU","IndianOil","No 6, Prithvi darpan apartment, behind Marriot Hotel, 6/114/1, Kavadiguda Road, Bhagyalaxmi Nagar, Kavadiguda, Hyderabad","17.4244168","78.4917897","true"
"ChIJz_7x-nuYyzsRBj2PJ3N1B6E","Hindustan Petroleum Corporation Limited","No 9, 4/112 Karmanghat Ring Road, Champapet","17.342896","78.514326","true"
