place_id,name,address,latitude,longitude,open_now
"ChIJIYTbRqdRMzoRcZut0YX4Vss","IndianOil","D1, G/6/4, Lock No 209/T3/451, Fatimanagar","17.906548","79.49953599999999","true"
"ChIJ9xCnd6lQMzoR1osujfHl_1o","IndianOil","Survey No 27/D, Lock No 422/4/D1, G/3, Inolu, Rollakal","17.86833799999999","79.557361","true"
"ChIJJ4JS9_paMzoROqzSCwohpDA","HP Petrol Pump","WH9W+VC7, Police Training Center Quarters, Warangal","17.9196541","79.59605119999999",""
"ChIJF8a_V5tRMzoRhSaacjQIVEk","BHARATH PETROL PUMP( RISHANK FILLING STATION)","Kunur to Kazipet Road, Vanamala Kanaparti","17.8992948","79.4968742","true"
"ChIJT0AkKQBRMzoRgBMqlP8pdtc","Rajesh","VH93+CVJ, Inavolu","17.8685901","79.55465459999999",""
"ChIJVbtXxJJaMzoRsTCeiFP2a-4","Bharat Petroleum","India","17.9234332","79.58190420000001",""
"ChIJS9z-1vlPMzoRsAKhuRXygwc","IndianOil","Ground Floor, Bhattupally","17.961488","79.5462068","true"
"ChIJe-IRbzJOMzoRvc_nODUyWAg","Hindustan Petroleum Corporation Limited","Survey No 224 Kazipet, Road, Kadipikonda, Bhattupally","17.9646989","79.5153689","true"
"ChIJHRT69ORPMzoRmZ7a90SmkCE","Bharat Petroleum","India","17.9621244","79.5465231",""
"ChIJAz__gPJJMzoR5Z85MFA-jUQ","IndianOil","Lock No, 33-4, D2 G, Yellapur Town, Warangal","17.9279758","79.5884748","true"
"ChIJe0eZUwNSMzoRlC0xZgAIriI","Indian Oil","India","17.9387211","79.46518619999999",""
"ChIJP_-q8SxTMzoRRR2w1QrObgM","Bpcl petrol pump","WFQ8+R7W, Hyderabad - Warangal Highway","17.9396163","79.4656955","true"
"ChIJE0hHDQJOMzoR-OD-K6OZLus","Adithya BPCL Filling Station","beside Eenadu Office, 1-207, National Highway 163, Madikonda, Kazipet","17.9515208","79.4773561","true"
"ChIJQTdbeQBPMzoRAfkrJUPPCPo","Megha Gas CNG","beside Eenadu Office, 1-207, NH163, Madikonda, Kazipet","17.9516432","79.47748519999999",""
"ChIJU3EDVANSMzoRqnEOeiy8USc","dianOil","India","17.9388529","79.46508050000001",""
"ChIJ4cwQZgBTMzoRjXkgaJked-E","Surya Chandra Fuels","Rampur industrial, Kazipet","17.9389825","79.4649247","true"
"ChIJrTwWC_1TMzoR34IoLOCuZcs","Hindustan Petroleum Corporation Limited","No 333, ABY1/4AA, 333, ABY1/4E, Rampur, Warangal","17.939324","79.46446399999999","true"
"ChIJN0rfKABbMzoRZ2NCnKNiBHA","Mamunuru police petrol bunk","5-9, Khammam - Warangal Highway, Mamnoor","17.9163562","79.5965138",""
"ChIJnaXWcmFPMzoR6gkX047NSqE","IndianOil","Sy No 110, A 125/A1, Bhattupally","17.961981","79.558799","true"
"ChIJNxub0vpaMzoReDGMqHlhXKw","Bharat Petrol Pump","WHCW+RFG, Khammam - Warangal Highway, Warangal","17.9220702","79.596192",""
"ChIJjXSDsOVaMzoRS4cWApVtZeU","IndianOil","Lock No 130/D1/276, G5/2 Khammam Highway Road, Mamanur, Warangal","17.926077","79.596245","true"
"ChIJgxLiGkhFMzoRnq1hJLD0ujI","IndianOil","Lock No 23016/93, Lock No 99/D1E Ursu, Hunter Road, Warangal","17.967457","79.582397","true"
"ChIJMU-nqTZaMzoRmVnnbXY1e9Q","IndianOil","Sy No 459/A1, Lock No 92/D2, Sangem","17.881939","79.599457","true"
"ChIJwa-VnX1bMzoR5Jpyxd2U4gw","Hindustan Petroleum Corporation Limited","Survey No 88, Police Camp, near TSSP, NH 563, Nemmikal - Warangal Road, Mamnoor","17.9202693","79.5964619","true"
"ChIJ01hdeeZaMzoRcPwPOMWUD9I","Reliance Petroleum","Survey No 314, Thimmapur Road, Hanamakonda","17.9283165","79.59632049999999","true"
"ChIJtce9ozBbMzoRqzsPxYlHMic","Manjunatha Filling Station","VJ92+QC9, Warangal","17.8694199","79.6011025",""
"ChIJNSRL-BpbMzoRi3M8OZK5hrE","Yamini Filling Station","Nakkalapally, Warangal","17.9258975","79.6144157","true"
"ChIJJyYMDlRbMzoR3fV3qjipd7Q","Sony Sweet House","Naidu petrol pump, Khammam - Warangal Highway, Warangal","17.9340349","79.5972713",""
"ChIJh20xb4BZMzoRHV0g0agrS0g","IndianOil","Survey No 37, Lock No 85, Panthani,Gopanpalli, 6/D2, Lohitha","17.863079","79.60324899999999","true"
"ChIJxaf3o91aMzoRlvMWQoc8aAw","Hindustan Petroleum Corporation Limited","Ground Floor, near Warangal, NH 563, Khammam Bypass Road, Rangashaipet, Warangal","17.9358792","79.59706709999999","true"
"ChIJ0Y4kwp9bMzoRWWHytw2mVbw","Hindustan Petroleum Corporation Limited","Survey No 166/1, Nekkonda Road, Warangal","17.9056834","79.6340235","true"
"ChIJLTFifhtZMzoRzpBY75gVYS0","Sri venkateswara Nayara petrol pump","VJ63+4FG, Warangal","17.8603138","79.603709","true"
"ChIJw4cqscRaMzoRlH1FiaBS6h0","Hindustan Petroleum Corporation Limited","Survey 31, Hunter Road, 32 & 37, Khammam Bypass Road, Rangashaipet, Hanamkonda","17.9409345","79.5935511","true"
"ChIJMXcqNVNbMzoRGqAxHrsgRo0","Lokesh Enterprise","19-10-38/4, Sri Sai Nagar, Warangal","17.942807","79.6011",""
"ChIJq8LHb_9ZMzoRbcZgfwegDAk","HP Petrol bunk","VJ23+3FW, Khammam - Warangal Highway, Panthini","17.8502469","79.6036915",""
"ChIJ6XEu551ZMzoRdBe28lOlAAY","Hindustan Petroleum Corporation Limited","4-134/1, Survey, Panthini","17.8501949","79.6038386","true"
"ChIJyf6LZdRaMzoRAogGN9rCiBc","IndianOil","Lock, No 3/D1 & H2, 2, Shambunipet, Warangal","17.953921","79.600571","true"
"ChIJX4zBZpRFMzoR2Br7fmgDP68","IndianOil","Lock No 220, Lock No 1740 /11024/93547, T3/E, Khammam Road, Warangal","17.9601569","79.6010684","true"
"ChIJ9cTsOgBZMzoRzHpMz1g_e7Y","Adblue (यूरीया) Pump","NH563, Warangal","17.8366573","79.604396","true"
"ChIJz7A5HElFMzoR3KZ97jb_320","Hindustan Petroleum Corporation Limited","Ground Floor, Khammam - Warangal Highway, Ursugutta, Urus Bodrai, Khila","17.9649257","79.5789913","true"
"ChIJk_u-3E5FMzoRfwq-6bkZPB8","Bharat Petroleum","India","17.9643514","79.57607209999999",""
"ChIJgYoSmEFFMzoR7IqNWoLWGxQ","Spoorthhy Filling Station","Warangal","17.9643872","79.5760356","true"
"ChIJpy1OuF5FMzoR6N4oPZgTmzs","Bharat Petroleum ,Sai Krupa Filling Station","XH9X+6F, Warangal","17.96815759999999","79.5987773","true"
"ChIJEV61kbZFMzoRCagGFSMX75A","Hindustan Petroleum Corporation Limited","Survey No 4 Ursu, Kareemabad Road, Warangal","17.9689665","79.5927853","true"
"ChIJK_89dShdMzoRyx92A-FYb3I","Hindustan Petroleum Corporation Limited","Survey No 618, A/1/1, Konaimakula, Geesugonda","17.9511574","79.6966803","true"
"ChIJf1xQna1EMzoRqbF59jk45HE","Hindustan Petroleum Corporation Limited","Survey No 419/A Geesugonda, Sthambampally","17.9626134","79.6397212","true"
"ChIJA7XX7qBeMzoRDXJmdG6ZzJ0","Hindustan Petroleum Corporation Limited","Survey No 417, G & 417/D, Nekkonda Road, Sangem","17.856392","79.67419199999999","true"
"ChIJdcAtbFpdMzoRhVoXi1vCsBQ","Bharat Petroleum Petrol Pump , SHRI SHIV SHANKAR FILLING STATION","SANGEM, Warangal","17.889464","79.712396","true"
"ChIJf5ew6eldMzoR0J8QSKSraDg","Hindustan Petroleum Corporation Limited","Ground Floor, Geesugonda","17.9342686","79.7097397","true"
"ChIJU9wUqo9dMzoR5W85-AAjLDI","Jio-bp","317/D/5, Sy No 317, beside Sai Baba Temple, D/4, Narsampet Road, Geesugonda","17.9547278","79.6732854","true"
"ChIJXYTYvddcMzoRvYvS29vSbsk","IndianOil","Sy No 733, Lock No 386/7/D1, G2, Geesugonda","17.9524951","79.6929912","true"
"ChIJ_58dcDVdMzoR69J8vcmuRyg","Yelishala Filling Station BPCL","Tfghhjjjgggh Tg, Chinthala Pally","17.9519466","79.6948792","true"
"ChIJiY950tBcMzoRgeNzqBaF8lA","HP Petrol Pump","Survey NO 618/A/1/1 Konai Makula Villge Gesukonda Mandal, Warangal","17.9512398","79.6963196","true"
"ChIJEzYK2nRdMzoR-0LJ9zzyWok","Petrol pump","near gangadevipally, Geeeugonga mandal, near gangadevipally, Warangal","17.9515256","79.70365989999999","true"
"ChIJBaJJVUFdMzoRxEf7pLArH5Q","Bharat petroleum / Mahalakshmi filling station","Warangal-Narsampet Road, Gangadevi Pally","17.9516754","79.708427",""
"ChIJ2zglNihfMzoROMSxR0Z24yE","Hindustan Petroleum Corporation Limited","Ground Floor, Warangal Nekkonda Road, Theegarajupally","17.839824","79.69914100000001","true"
"ChIJf8uQDK9PMzoRIr5iChmAh-I","IndianOil","Lock No, 183/D1/E Sy No 753, Bypass, Kazipet, Wadepally, Warangal","17.991816","79.525131","true"
"ChIJ5bHCSKNPMzoRMSDHJupB5UI","IndianOil","Lock No 96, D1/G2, Kazipet","17.989651","79.533394","true"
"ChIJC1R8lz5OMzoROBZegMWVEpY","IndianOil","Lock No 2, opposite Diesel Colony, D1 D/7/6, Bapuji Nagar, Kazipet","17.9702843","79.496927","true"
"ChIJpbKyXAlPMzoRG6hmOly0tuM","HP PETROL PUMP - SARAYU FUEL POINT HANAMKONDA","Sy.no.880 Village Church Road, Waddepally, Phase 1, Teachers Colony, Hanamkonda","18.0051327","79.5317268","true"
