place_id,name,address,latitude,longitude,open_now
"ChIJySfV3mJvUzcR_7YwBDBjlVg","MANOWARA ENTERPRISE","5C4M+93J, Uttar Sreepur","23.1556876","91.4318772","true"
"ChIJXzR1hmRuUzcR_FQ90hlS0cQ","M/S Alam Traders Filling Station & Autogas","Fulgazi, Rd","23.14419609999999","91.43170710000001","true"
"ChIJGdqIL9N7UzcR8orwU5vtbi8","Mim LPG Autogas Filling Station","58W8+MJW","23.1967383","91.3165751","true"
"ChIJr1Hxav17UzcR2U4qiQV-Auw","A K RIFAT AND SON,S CNG STATION","58X8+WMX, Dhaka - Chittagong Highway","23.1998616","91.31674869999999","true"
"ChIJ9VrhjIdvUzcRUqTo-r6C6M4","King's Of Boraiya Love Road","4CVR+2JF","23.1425585","91.4415566",""
"ChIJ3eGdxaxlUzcRZnLbR_hl9h8","M/s Chowdhury & Sons","Dhaka - Chittagong Highway","23.1305248","91.3281927","true"
"ChIJb80VObttUzcRNWGCi6MPEYM","বক্স মাহমুদ রোজ গার্ডেন","5F3C+9MJ, Z1035","23.1534511","91.4716315","true"
"ChIJH7LbEKVtUzcRGngBOWuCaCc","বক্সমাহমুদ টু ছাগলনাইয়া/ফেনী সিএনজি স্টেশান","5F2F+HHH, Z1035","23.1514411","91.47399449999999","true"
"ChIJ8dODfE9tUzcRx9Q7J_pZAZ8","Rahul fule","Matai","23.1709369","91.5182906",""
"ChIJnbTr-kdvUzcRsY--doPBdN0","Khorshed alam Chowdhury","4C6J+C57, Uttar Sreepur","23.1110475","91.4304063",""
"ChIJM8Blp5cTUzcRdZMDEzgMc7Y","Hindustan Petroleum Corporation Limited","Ground Floor, near LPG Godown, Rural Road, Krishnanagar","23.1326729","91.5229808","true"
"ChIJx3ZS_T5tUzcR_dxlTiN8j2g","তারাকুচা বিজিবি ক্যাম্প","4G93+VGW","23.1197375","91.50382809999999","true"
"ChIJe_NvbnN3UzcRMRu4-9VtyGo","M/s Maa Kamakhya Petroleum Agency","79RW+6Q, Joychandrapur","23.2901944","91.3964713",""
"ChIJCS9QDXlzUzcRSpGYnc4_rbw","IndianOil","Ground Floor, Barpathari, Laxmipur","23.2902017","91.3964791","true"
"ChIJu7nD21T3UzcR47BbYuGuFus","IndianOil","Ground Floor, Ishan Chandranagar, Jogendra Nagar, Belonia","23.2679658","91.4404414","true"
"ChIJ276mW4xzUzcRHqCeF5Xsakw","IndianOil","Ground Floor, Ishan Chandra Nagar, Belonia","23.26825","91.4412845","true"
"ChIJ2UU01KZ7UzcRP2ljDifZ1Ng","M A Khaleque Filling Station","68P7+R8F, N1, Chauddagram","23.2370625","91.3133125",""
"ChIJ-TjxgWt7UzcRJuiyPo44piM","K.R Filling Station","Harisorder bazar","23.2564682","91.3072904","true"
"ChIJ3eaiZ2N7UzcRnWqj2_2lLc4","M/S Chowdhury Filling Station","Chauddagram Upazila","23.2202475","91.3144403","true"
"ChIJR0w3X51zUzcRVv-N9BZMNQ4","Petrol Station","Dakshin Bharatchandranagar","23.2670587","91.4820546","true"
"ChIJpyq9j6ZzUzcRsn7mpv8UqNk","IndianOil","Ground Floor, Bharatchandra Naga,Bharat Chndra Nagar, Laxmipur","23.260577","91.465785","true"
"ChIJF-xoWABzUzcRU_OvAoQqgZ4","M/S Tulsi Petroleum Agency","near HDFC BANK, H219, Belonia","23.2505447","91.4711248",""
"ChIJLwXeHE5zUzcR2Rxvz5n675o","Hindustan Petroleum Corporation Limited","Ground Floor, Boraj Colony, Belonia","23.257931","91.478791","true"
"ChIJp4RoyLR1UzcRay48-dHfsoQ","Soni mondir joynagar","7FJJ+G6Q, Dakshin Bharatchandranagar","23.2813367","91.4806206",""
"ChIJ5evXnJgLUzcRVcMbX4X72cs","IndianOil","Ground Floor, Santirbazar","23.3028039","91.56617589999999","true"
"ChIJf_N9U4ULUzcRW9QzrBY4HVk","IndianOil","Ground Floor, NH-44, Belonia","23.3082326","91.564567","true"
"ChIJg7LOUAB5UzcR7CusrqpnIxE","IndianOil","987G+7GF, Kathalia","23.3628995","91.3258357","true"
