place_id,name,address,latitude,longitude,open_now
"ChIJ73Y7RADdUzcRTcY9kB5pWRI","MS SANSUGFILLING STATION","2G4P+MH, Dakshin Padmabil","24.0067375","91.53647989999999",""
"ChIJ0YYvxETdUzcROHsc285E9QA","IndianOil","Ground Floor, Padmabil, Purba Bachaibari","24.0239462","91.5600575","true"
"ChIJl9tFWTHZUzcR6-lMrkFzuFI","IndianOil","Ground Floor, near Motor Stand, Kamalpur - Khowai Road","24.0653346","91.6066834","true"
"ChIJfSrZupfbUzcRUANFXf-iAYw","IndianOil","Ground Floor, Rajnagar, Purba Ramchandraghat","24.0067001","91.615968","true"
"ChIJRS68RwDZUzcR8gP0wRUP-NE","M/S Renubala & Sons Petroleum Agency.","NH-208, Agartala - Khowai Road, Jambura, Khowai","24.0538325","91.6155644","true"
"ChIJWRShFgDFUzcRYWPVA7G4cuI","MAJUMDER PETROL PUMP","WJG6+X7J, Kalyanpur, Madhya Kalyanpur","23.9274565","91.6106461",""
"ChIJGQDBterbUzcRruhcgl5AsQ0","IndianOil","Ground Floor, Rajnagar, Laxminarayanpur","24.012947","91.67452399999999","true"
"ChIJKWzG9FHfUzcR_jO57BaJ5nU","মেসার্স নিয়াজ ট্রেডার্স","3GXR+444","24.0977565","91.5403132",""
"ChIJXVM_vRbZUzcR57qP3qrBkSk","IndianOil","Ground Floor, Khowai","24.071243","91.60337600000001","true"
"ChIJQxTsn4nfUzcRtHJ_snCWD5k","m/s sotota anterprice.","Bazar, Road, Amuroad","24.1332505","91.5462348","true"
"ChIJg7j2lVhfUTcRMWMW6VV-0ek","রাজা মিয়া এন্ড সন্স","5GWC+723, N204, Chunarughat","24.1956469","91.5200333","false"
"ChIJ94UjhvRfUTcRB_9SYv1AbKc","Nasir Enterprise","5FMJ+PVJ","24.1843292","91.4821482",""
"ChIJAQAAAABfUTcR1HTZvHTRfEA","মেসার্স এ. আর ট্রেডার্স","5FMJ+PVJ","24.1843292","91.4821482","true"
