place_id,name,address,latitude,longitude,open_now
"ChIJU4Hn5QOKczkR2c-ocvfoUv0","IndianOil","Ground Floor, Tantpur Road, Agra","27.11411910000001","77.9223465","true"
"ChIJwyE8WVl0dDkRrfKUiin_PVY","Bharat Petrol Pump and CNG","Agra","27.0823412","77.9890921","true"
"ChIJv_ax4uR2dDkR0NxOQ4fheJI","Modern Service Station","5X7P+6XQ, Saraikhwaja, Arjun Nagar, Agra","27.1630784","77.987471","true"
"ChIJlxvjsjx1dDkRBHFICgcWuvc","Indian ges service","4X32+57F, Unnamed Road, Jarua Katra","27.102934","77.950679",""
"ChIJ44UA_8Z1dDkR9ifOMBMVJ4Q","IndianOil","Ground Floor Siroli, Patholi, Ring Road, Bamrauli, Rohta","27.1144784","77.9498124","true"
"ChIJubz38Ep1dDkRK0j2BCKJxqw","Hindustan Petroleum Corporation Limited","Ground Floor Malpura, Bypass Road, Siroli","27.118596","77.944626","true"
"ChIJbXQvUxGKczkR70A-dwSnZ3E","Bharat Petroleum","4W26+QC4, State Highway 39, Lalau","27.1018994","77.9110721",""
"ChIJIb2d3x11dDkRO_A738X66Ok","Hindustan Petroleum Corporation Limited","Ground Floor Sadar, Malpura, Bypass Road, Bain Khera","27.109038","77.968341","true"
"ChIJY87vuMh1dDkRf6kzYAPjyh4","Shri Ram","Mundhera","27.0798955","77.946725","true"
"ChIJLS_1SAB1dDkRjlcG7LqBPRQ","IndianOil","Ground Floor Jakhoda, 509 Command, Kakua","27.105752","77.98064","true"
"ChIJW6uLoFx0dDkRn0sF8CIkE58","सोनी ऑटो गैस","India","27.0896782","77.99107169999999",""
"ChIJO5BNfEF0dDkRIJ-_adMZJq0","IndianOil","Ground Floor, NH 3, Gwalior Road, Rohta","27.0969371","77.993532","true"
"ChIJb9GEtFx0dDkRM0ylNkrz6s0","IndianOil","Ground Floor Agra Gwalior Rd, NH 3, 509 Command, Rohta","27.091125","77.992081","true"
"ChIJwRnZMAB1dDkRSQ3rMBQi8yA","Pushpendra Singh jaat","3XFJ+FFW, Kakua","27.0737348","77.9811971",""
"ChIJwcX23813dDkRS3B8jGnsyhI","Bharat Petroleum Petrol Pump , T.R. FILLING STATION","NARIPURA - JAGNER ROAD NEAR GYAN INTER COLLEGE","27.14771399999999","77.977206","true"
"ChIJoyRKhC52dDkRLa-GbTjJNwY","IndianOil","Ground Floor, NH 11, Fatehpur Sikri Road, Arhera, Pathauli Village, Agra","27.161015","77.936302","true"
"ChIJy-sp0Qd1dDkRr5DlHfFrALw","Bharat Petroleum, Petrol Pump -Hukamchand Fakirchand(Kakua)","KAKUA, Agra","27.0723474","77.985421","true"
"ChIJj_0BEuZ3dDkRdcJrL59o9V0","Khandari","5XRC+5C3, near Petrol Pump, Bodla Road, Kishorpura, Bodla, Lohamandi, Agra","27.1578518","77.914648",""
"ChIJTw_YzPp0dDkRey8ZNS2nE6s","IndianOil","Ground Floor Gwalior Road, 509, Command, Kakua","27.067078","77.98322999999999","true"
"ChIJJe5QNQB1dDkRbJ-UPmo5v5s","Pradushan janch Kendra","Rampura","27.0871484","77.9981155",""
"ChIJZxQ-Yo2JczkRNRDeS4tsh9s","Bharat petroleum","5W44+96W, Unnamed Road","27.155984","77.9055655",""
"ChIJRfwTPkiJczkRRxd0WfwP940","IndianOil","Khasra No 169 Agra Jaipur Highway, NH11, Sahara Gaon, Agra","27.1550819","77.89622039999999","true"
"ChIJpdDsnh10dDkRQBfKG0v6bY4","Deep Automobiles","Sewla Jat Gwalior Road, NH 44 (Old NH 3, National Highway 3, Agra","27.1258723","78.00505489999999","true"
"ChIJlzIJ86N1dDkRlCXSUZSsv5c","IndianOil","NH 3 Sewla, Gwalior Road, Agra","27.126715","78.005363","true"
"ChIJJanPBs2LczkRPcSJDvudN0Q","NRO NAGLA SIKARWAR","3VW9+G2, Jitora","27.0963","77.8676",""
"ChIJb2Ig-r6LczkRi5BYRgfzd2M","Hindustan Petroleum Corporation Limited","Ground Floor, NH AB, Kiraoli, Jitora","27.097397","77.867277","true"
"ChIJ-y8PFqZ2dDkR0g1WxH_CAYo","Hindustan Petroleum Corporation Limited","Ground Floor, NH 3, Agra - Mumbai Highway, Sewla Jat, Agra","27.131501","78.00710099999999","true"
"ChIJ-8C4rhWJczkRyxdRBVGRFrI","Essar MG filling Station","Nehar Road Bichpuri, Agra","27.168077","77.90944999999999","true"
"ChIJIw1uPuh3dDkRa-P6a3RdEJE","IndianOil","Tata Gate Kheria, opposite Air Force Station, Agra","27.169511","77.965103","true"
"ChIJPzGQX5qLczkRiE6S7wwf3M4","Mohan Adtiya Filling Station","Nagla Sikarwar, NH AB, Byepass, New Dakshini","27.1003962","77.8623587","true"
"ChIJKxCkX2KLczkRTgeubRJzGK8","Hindustan Petroleum Corporation Limited","Ground Floor, NH AB Bypass, Nagla Sikarwar","27.100563","77.86223799999999","true"
"ChIJCR8nsQOLczkROvu3i1CO92Q","IndianOil","Ground Floor Tantpur Road, Barara, Akola","27.062087","77.879367","true"
"ChIJo_NHKNB3dDkRbJCTmZN-kSk","Hindustan Petroleum Corporation Limited","Ground Floor, Vayu Vihar Road, Kalwari, Agra","27.1768459","77.93950679999999","true"
"ChIJBWD9fEFxdDkRHNIxVLt6cek","IndianOil","Rajpur, Chungi, Agra Shamshabad Raja Kherah Marg, Agra","27.147229","78.0386697","true"
"ChIJq9NwfdB2dDkRebD8KcNEjS0","IndianOil","Mahatma Gandhi Road, Awantibai Crossing, Agra","27.1647817","78.0088576","true"
"ChIJQYtortB2dDkRMFJ7M85NgL4","Hindustan Petroleum Corporation Limited","Ground Floor, opposite Lauries Hotel, Mahatma Gandhi Road, Pratap Pura, Agra","27.168364","78.00919200000001","true"
"ChIJa9zcqz1xdDkRP9EPXLU5OI4","IndianOil","Ground Floor, beside Taj View Hotel, Fatehabad Road, Agra","27.161686","78.039811","true"
"ChIJiRO3k9d2dDkR6RZA5DG1xeQ","Bharat Petroleum","46, Mahatma Gandhi Road, Pratap Pura, Rakabganj, Agra","27.17179639999999","78.0092232","true"
"ChIJSe_c5wtxdDkR10umtX798wM","Petrol Pump","5356+X8V, Taj East Gate Road, Basai Khurd, Tajganj, Agra","27.15997699999999","78.0608104","true"
"ChIJ_9zA-IxzdDkRyJ9cXuB8qxI","Petrol Pump Gas Station","423H+533, Devri Road, Pachgain Khera","27.1028767","78.027672",""
"ChIJD258q41zdDkRtcjZEjPZmbg","Nayara Shree Ram Energy Center","422H+X7X, Pachgain Khera","27.1024841","78.02824939999999","true"
"ChIJ-VZAfzhzdDkRDRpv64MOI54","IndianOil","Ground Floor Agra Rd, Barauli Ahir, Devri, Iradat Nagar, Agra","27.078601","78.034601","true"
"ChIJBWCH_09xdDkRPBiLSqy9X9w","Hindustan petroleum petrol pump","Partap Pura, MG Road, Near Lawrise, Agra","27.14087","78.030954","true"
"ChIJR7ZDJ7h2dDkRD1BApNj42TE","Saiyan Filling Station","3, Gwalior Road, Idgah Colony, Agra","27.1484431","78.00806120000001",""
"ChIJJd9lUMFxdDkRzqeuKbNgtys","NAYARA SHREE JI FILLING STATION","Shree Ji Filling Station, Road, Maruti City Road, Shamsabad, Agra","27.1338789","78.0460013","true"
"ChIJOTW4fhoTdDkRwlYqOY3a0fI","IndianOil","Ground Floor, Agra Shamsabad, Road, Baroli Ahir, Agra","27.1435626","78.04300429999999","true"
"ChIJQamtxD1xdDkRxMgnqcslSjQ","Hindustan Petroleum Corporation Limited","Ground Floor, Agra Shamshabad Raja Kherah Marg, Rajpur Chungi, Agra","27.147301","78.038401","true"
"ChIJsS_yit1zdDkRvW8GEEnbAlY","Ramnager Petrol Pump","4368+C86, Ram Nagar","27.1110499","78.06577349999999",""
"ChIJARv1OjVydDkR3UctXkwkwvs","Hindustan Petroleum Corporation Limited","Ground Floor, MDR 113W, Gutila","27.1108437","78.0661224","true"
"ChIJOdbnztxxdDkRzZxAUWZbiwk","Jai shree raam","Parsvnath Panchvati, Kaveri Vihar Phase II, Tajganj, Basai","27.1479533","78.0510572",""
"ChIJ8a8QNiF3dDkRBf2rN1eS1Qw","Kumar Services","D1, Lekha Nagar, Agra","27.1623532","77.997742",""
"ChIJnWtPggFzdDkRsd2npDGhakA","Ramnager Petrol Pump","33WC+9FF, MDR 113W, Siktara","27.0959434","78.0711584",""
"ChIJpyfhztN2dDkR3WAd7LnoFOA","Hindustan Petroleum Corporation Limited","4/52, Baluganj, Agra","27.166201","78.01520099999999","true"
"ChIJ3eyns9B2dDkRgNXbT7JNyrI","Hindustan Petroleum Corporation Limited","Property No 33, 99, Mahatma Gandhi Road, Pratap Pura, Rakabganj, Agra","27.1670347","78.00856139999999","true"
"ChIJ28WIZ1BydDkR6Ymm9cVYjo8","IndianOil","Ground Floor Agra Shamsabad Rd, Lodhai, 509 Command, Agra","27.0958821","78.0752078","true"
"ChIJs8gxyCBxdDkRvMMyIcS19sg","Jai Bhole Baba Auto Repairing Centre","526R+4X4, Fatehabad Road, Nawamil, Agra","27.16025469999999","78.0424634",""
"ChIJ_QcfmLlxdDkR5EY1AnNIL9s","Rajkumar Sweet Shop","Billochpura, Tajganj, Agra","27.1620848","78.0396213",""
"ChIJDVQRTG1xdDkRWKNzlWZ7w-A","Agra Cng","5333+M6H, Unnamed Road, Tajganj, Basai","27.15418249999999","78.0531071",""
"ChIJY77s4zxxdDkRaR0VeB20orw","Ashok Haus","527Q+3MQ, Fatehabad Road, Nai basti, Rakabganj, Agra","27.1627041","78.0392207","true"
"ChIJR4zAHd13dDkRSQF0HCh5ZSM","Vinod Filling Station","52F4+7RF, Agra","27.17318969999999","78.0070321",""
"ChIJCbPm_KNxdDkRySeeA-YY01Q","IndianOil","near TDI Mall, Fatehabad Road, Basai","27.1583435","78.0562167","true"
"ChIJKRJ5NgB3dDkRsK8bBhT0jhY","Mahi trader's","Bramon chipitola, muradnagor, cumilla, ramchandrapur","27.175984","78.01169",""
"ChIJ83o_EgB3dDkRu1hX3Klb5aE","Mahalxmi petrol pump","52G5+M68, Bikaner - Agra Road, dayarampura","27.1766701","78.00807449999999",""
"ChIJQ406agB3dDkRjbEcY0n6YhU","BPCL- GAYATRI FILLING STATION","NH 19, agra delhi road, ajijpur kosikalan, mathura","27.1766701","78.00807449999999",""
"ChIJ7R74AgBxdDkRKhQ69P8H7fU","MADHU HIGHWAYS","147, Tora","27.1539204","78.0666195",""
"ChIJwbrANEpzdDkRPlRZGRX0hPw","Hindustan Petroleum Corporation Limited","No 219, Devri Road, Hari Nagar, Karaudhna","27.0417732","78.0395855","true"
"ChIJUXbj0UR1dDkR0NuVKcoLi6Y","Maa Pitambara filling Station ( Bharat Petroleum Corporation Ltd)","2XPR+XC, Garhi Usara","27.03744589999999","77.9910616","true"
"ChIJ9QmDSZlxdDkRAd2aZ_H2V98","Madhu Highways Petrol Pump","147, Fatehabad Road, Tora","27.1512589","78.07128879999999","true"
