place_id,name,address,latitude,longitude,open_now
"ChIJE-BeCy6idDkROdIHSPaTixA","Bharat Petroleum","Saharanpur, SH-80, Mathura Aligrah Road, Aligarh","27.8169479","78.02944959999999","true"
"ChIJC4kOw7yjdDkRuKInDa96M4I","M/s Raj Kiran Indane","R3V3+P3J, State Highway 80","27.8443385","78.05264700000001","true"
"ChIJZ6_tYRqkdDkRNCBShnsejnM","Essar Petrol Pump","V2MH+FWW, Bajna - Aligarh Road, Megh Vihar, Jalalpur, Aligarh","27.8837272","78.0298309",""
"ChIJhTpbdm2jdDkRtOgFTYsw-hI","IndianOil","Hathras Road, Mandir Ka Nagla","27.852905","78.077675","true"
"ChIJHwSQUmykdDkR1JFXCTDeLdU","Bharat Petroleum, Petrol Pump - Baba Hargovind Fuel Point","KOIL,ALIGARH CITY, Kanwari Ganj Road, Jalalpur, Aligarh","27.8852074","78.04596409999999","true"
"ChIJWx6qr3yfdDkR6FQK4OZzFrg","Essar Oil","QX9M+3VH, State Highway 80, Nagla Mibhiya","27.7676835","77.9847497","true"
"ChIJAc2bBRehdDkRgNpkiBXXTyQ","Hindustan Petroleum Corporation Limited","Ground Floor Aligarh, Mathura Road, Iglas","27.80367390000001","78.0166414","true"
"ChIJ58pWf7yjdDkRaC_r4k72J9w","IndianOil","Ground Floor, Agra Road, Khedia Khwaza, Bannadevi, Aligarh","27.8421734","78.05041310000001","true"
"ChIJi4Vd8JijdDkRJaBDXuiB820","IndianOil","Daulra Nirpal, SH-80, Mathura - Aligarh Road, Aligarh","27.8506","78.0572","true"
"ChIJhZQDPS-hdDkRINNqkIQ9dcg","IndianOil","Ground Floor Aisi, Kol, Akbarpur, Lodha","27.8555899","77.98081300000001","true"
"ChIJW13D15ijdDkRrl8tofPF5GU","Hindustan Petroleum Corporation Limited","Ground Floor, near Sanskar City, Daultabad","27.8515106","78.0588832","true"
"ChIJHZrk-wCjdDkRC5nLO-QNTUo","Hindustan Petroleum Corporation Limited","Ground Floor, Blk Lodha, NH 34, GT Rd, Kutubpur, Shahpur, Aligarh","27.86878","78.03506","true"
"ChIJcfy7GeSjdDkRE9QorBG3eNM","Madan dharam kanta (madan)","V328+74W, Hajipur Chauhatta, Aligarh","27.8507476","78.0653263",""
"ChIJ32_Lc5yjdDkRHD0Q6Z9drxo","Hindustan Petroleum Corporation Limited","Ground Floor Koil, Gonda Road, Makhdum Nagar, Aligarh","27.869601","78.044001","true"
"ChIJQ0ow5g2ldDkRyVEf3tEHHgQ","Essar Petrol - M S Filling Station","V2GH+86H, Essar patrol tanki ke brabar gali Mama ki dukan","27.8758001","78.028114",""
"ChIJZeX3ywWkdDkRqa0QP68M9KM","NAYARA","India","27.8759533","78.02840929999999",""
"ChIJmzsmQ52jdDkR_1tJ2b-0Hlc","Kamlesh Oil Company-ESSAR Petrol Pump","V357+QQM, Laxmi Nagar, Sasni Gate, Daultabad","27.8594566","78.0644317","true"
"ChIJgR203GKjdDkR6BApvxPmygw","Riddi 24×7 Yuria [Add Blue]PAMP Station","cut haiway, Ali Nagar, Aligarh","27.8677547","78.05841749999999",""
"ChIJ8-GvRwCjdDkRhC1WtMQhkho","Vashistha HP filling station","R3XG+J67, Mandir Ka Nagla","27.8490453","78.0755339",""
"ChIJ4XFiWnijdDkRpOBAXVc-kEY","RS POWER","India","27.8633","78.0672731",""
"ChIJcZV8qtWjdDkR2C_do4wp2A8","PARASHAR FILLING STATION ( INDIAN OIL)","Agra Road, Brahampuri, Mukundpur","27.83017499999999","78.08207999999999","true"
"ChIJLcythG2jdDkRJcBrTaE2oEk","Hindustan Petroleum Corporation Limited","Ground Floor, Infront of Rusa Medical Centre, Pala Sahibabad, Agra Road, RK Puram, Aligarh","27.853608","78.077375","true"
"ChIJv3fie4qjdDkR_BK9Gf9ATn4","Nayara Petrol Pump - Hindustan Filling Station","Bhujpura, Turkman Gate, Aligarh","27.8725776","78.0607055","true"
"ChIJFRG_EwCldDkRxUtH2okBU0g","Indian Gas agency","V2QH+MRF, Khair - Aligarh Road, Wajidpur Nada, Aligarh","27.8885919","78.0298332",""
"ChIJOWU6QROkdDkRsQoaU33eCS4","Yash fuel centre","V2PR+GGJ, Prem Vihar, Jalalpur, Aligarh","27.8863324","78.04125069999999","true"
"ChIJ-6te3j6kdDkRFNKzGtehXDw","Hindustan Petroleum Corporation Limited","Ground Floor, near Tata Dharam Kanta, Khair - Aligarh Road, Aligarh","27.8884193","78.03404929999999","true"
"ChIJnaPquU6ldDkR7-19AARk5YI","IndianOil","2/2, Khair - Aligarh Road, Bannadevi, Aligarh","27.89130609999999","78.0270646","true"
"ChIJq8m-kBikdDkR08aOpGJc_LU","IndianOil","2/2, Khair - Aligarh Road, Bannadevi, Aligarh","27.89130609999999","78.0270646","true"
"ChIJA8Ki2O6ldDkRde3YwgAuLaI","Hindustan Petroleum Corporation Limited","Ground Floor, Chauraha, Nadda, Ashrafpur Jalal","27.8914176","78.0321194","true"
"ChIJCe8v_5WfdDkRCrECH512bWY","GAYATRI AUTOMOBILES,NAYARA ENERGY,PETROL PUMP","near Mohraini, Village, Nagla Mishria, turning, Hastpur Chandfari","27.7676785","77.98475049999999","true"
"ChIJLYJzZACldDkRmUhZQYrVS4E","Indian cng pumb","V2VM+4HV, near cng pump, Khair Bypass, Ram Nagar, Jalalpur, Aligarh","27.892918","78.0342795",""
"ChIJC4JjnjKldDkRe2CFXuicIXA","Indian Oil CNG Station","V2RP+RPV, Chauraha, Khair Bypass, Nadda, Aligarh","27.8931076","78.034198","true"
"ChIJka_gGWOkdDkRLVU4RaWjwtU","Bharat Petroleum","India","27.8852781","78.0616694",""
"ChIJ48TPUqandDkRw3HnX8mdwMg","Radha Raman filling point","V2W4+XR5, Aligarh","27.8965847","78.0071414",""
"ChIJ6_opa--ndDkR3ys8rofScjk","M/s Shri Ramchandra Singh Filling Station","Luosara visawan, Aligarh","27.8968189","78.00516689999999",""
"ChIJX7QFEG6ndDkRf-22H-p1DKk","IndianOil","Ground Floor, Aligarh Palwal Road Kol, Lohsara Bisawan, Akravat","27.8971925","78.00574639999999","true"
"ChIJjZ2CJoOkdDkRNryhp5DmN_Q","IndianOil","Hathras Adda, Mahendra Nagar, Aligarh","27.87655659999999","78.0756644","true"
"ChIJ2_oNE4ikdDkRrXFKjwjMHtg","Nayara Petrol Pump Radha Madhav Filling Station","V3M8+XH2, Uday Singh Jain Road, Barahdwari, Aligarh","27.8848968","78.066391","true"
"ChIJfWwvZwCldDkReX9OYOWfQgQ","Gular Road","5/351, Gular Road, New Ashok Nagar, Aligarh","27.887255","78.0625883",""
"ChIJ0ftlvmGkdDkRH2aOa0ZiatE","Hindustan Petroleum Corporation Limited","Plot No 5/689, Gular Road, Aligarh","27.887929","78.061754","true"
"ChIJfTxYbIikdDkRs-Nc9Yr_St0","ESSAR","V3M8+XPM, Uday Singh Jain Road, Gudiya Bagh, Aligarh","27.8849501","78.0668046",""
"ChIJ0_Y2fKekdDkRTETUB_CCkVE","Hindustan Petroleum Corporation Limited","Ground Floor, NH 91, Etah Chungi, Aligarh","27.8753193","78.0962168","true"
"ChIJSRZn76CkdDkR2x-y4B8Ecz0","IndianOil","Ground Floor, Road, Aligarh","27.876811","78.09190100000001","true"
"ChIJRZ_7_I6kdDkRi3zWsDldjBI","Hindustan Petroleum Corporation Limited","Ground Floor, Kavar Kutta, GT Road, Aligarh","27.887601","78.073201","true"
