place_id,name,address,latitude,longitude,open_now
"ChIJi0N3839FnDkRLF_v7qwOlP8","Hindustan Petroleum Corporation Limited","Ground Floor, NH 86, Ghatampur Road, Bidhnu","26.3245609","80.2782045","true"
"ChIJY4wh9cRHnDkRUzLgVa2P0l8","Hindustan Petroleum Corporation Limited","Ground Floor, Kanpur - Jhansi Highway, Barra, Kanpur","26.4348568","80.29054479999999","true"
"ChIJVVVRabFHnDkRA4N4-9qey8g","Petrol Pump","30, Karrahi Road, Juhi Kalan, Barra, Kanpur","26.4272073","80.306327","true"
"ChIJ_9CuBrJHnDkRrevs3zn9fxQ","Gaurav Filling Centre- Indian Oil Petrol, Diesel & CNG Pump","Plot No-1358-B, W-2, Juhi, Damodar Nagar, Barra By Pass, NH-2, Kanpur","26.4253565","80.3099067","true"
"ChIJCY5nBLFHnDkRSf2oJD7llG0","IndianOil","near Juhi, Lock No LG/3608 Juhi Kalan, Barra Bypass Road, near Juhi, Parag Dairy Road, Saket Nagar, Kanpur","26.4282779","80.3068953","true"
"ChIJDS3ElK1HnDkRjQbZvdJ0L3E","PMEW SERVICE CENTRE - IOC PUMP","1358-A, W-2, Juhi Kala, Damodar Nagar, Kanpur","26.4283168","80.30780320000001",""
"ChIJKZudd7BHnDkR6dupGkowL-Y","Sachan Filling Station","Barra World Bank, Kanpur","26.4314468","80.30819020000001",""
"ChIJd8zmiqpHnDkRFwH1oNISPtg","IndianOil","Lock No 21043, Plot No 1, 11001, Y Block, Kidwai Nagar, Kanpur","26.4236515","80.3202147","true"
"ChIJccEDKOZHnDkRhE2UhYb2F18","IndianOil","No 1/2, Commercial Complex, LN Ig/3718, Ratan Lal Nagar, Kanpur","26.4456588","80.28773199999999","true"
"ChIJs-tKlttJnDkRJ8FC_5zsebQ","Hindustan Petroleum Corporation Limited","Khasra No 202, near Kaindha, Sachendi Ramaipur Road, Tiraha, Patehuri","26.395298","80.249359","true"
"ChIJldwKuPtFnDkRjkRKumgrsa8","Hindustan Petroleum Corporation Limited","Gata No 279, Kurauna Bahadur Nagar","26.3653885","80.2815407","true"
"ChIJbf63Hi1HnDkROOG3SYnz_sI","Indian Oil Petrol Pump","Bingawan, Pipauri","26.4026082","80.2961062","true"
"ChIJV7Dk6dtFnDkRz1B0UBL4whM","BPRN KANPUR Petrol Pump","9884+XF2, Neori","26.3667328","80.3058013","true"
"ChIJVX-F8nJHnDkRBjNVpYWYGqY","IndianOil","Maurang Mandi, Plot No 1&2, Bingaon, Bingawan, Kanpur","26.378622","80.30860899999999","true"
"ChIJo7C5jnBGnDkRpnwgIbvpDZk","Shukla Petrol Pump","shree nagar pahadpur, Galla Mandi, Naubasta, Kanpur","26.383691","80.3093315","true"
"ChIJQfMKs2hFnDkRXiMVIZyCZXg","Bharat Petroleum Petrol Pump , MADHAV FUEL STATION","MADHAVBAGH MARKETKANPUR, Hamirpur Road, Ramaipur","26.3578299","80.3026744","true"
"ChIJKQslDXBGnDkRXt-GAUoZBPo","IndianOil","Beena Filling Station, near Galla Mandi, Paharpur, Naubasta, Kanpur","26.3836685","80.3096214","true"
"ChIJvabjjmFPnDkRzpk-x3Br63w","Hindustan Petroleum Corporation Limited","Gata No 1429, Road, Bidhnu","26.3390776","80.2419208","true"
"ChIJFYFrSwBHnDkR2hKvvHTgKCs","Pal filling station","Pal chauraha, near Anand South City, Kanpur","26.4178824","80.28807090000001",""
"ChIJ6f0XPABFnDkRx7umBsUlyIc","Roop kala auto mobiles","87WX+H5G, Hamirpur Road, Ramaipur","26.3464307","80.2979467",""
"ChIJS4PSNwBHnDkRJy7SDN_kfvY","Hindustan Petroleum Corporation Limited","Ghata No 357, Mi Kanpur, Mi to 359, Hamirpur Road, Hanspuram, Kanpur","26.395134","80.312263","true"
"ChIJ6wF6SABFnDkRS7mAKK4TiBM","SHRI RAM DEF FILING STATION","Ramaipur","26.3440471","80.29749029999999",""
"ChIJG0QypYhFnDkRr_taVu9pdh8","Hindustan Petroleum Corporation Limited","Ground Floor, NH 86, Hamirpur Road, Kanpur","26.3400884","80.2938861","true"
"ChIJlyjJJQBFnDkRgamFwyxOquk","Roop kala auto mobiles","Ramaipur","26.3399507","80.29371119999999",""
"ChIJlXYaxGBHnDkRM6Wx3H1dJKI","Chaudhary Ramgopal Singh Filling Station","Meharwan Singh Purva Road, Barra, Kanpur","26.42693419999999","80.2815349","true"
"ChIJIdV0AgBFnDkRfNGuD_BPB4Q","SHRI RAM DEF FILING STATION","Indian Oil Petrol Pump, Afjalpur","26.3339978","80.2871972",""
