place_id,name,address,latitude,longitude,open_now
"ChIJj8wmfCznDDkRwolyPG5mDPA","IndianOil","Road, Lakkarpur, Surajkund, Faridabad","28.4864747","77.2897022","true"
"ChIJW7mgTzfdDDkRuiQJ86oCGGA","Bharat Petroleum, Petrol Pump -Nahar Fuels","SURAJKUND , BADKAL RD,FARI, Faridabad","28.4838233","77.28938099999999","true"
"ChIJuw3xNZfdDDkRPzf570js2E4","IndianOil","Ground Floor, Sector 29, Faridabad","28.4318694","77.3197467","true"
"ChIJQenfM7DdDDkRUUw2SPfEWy8","HP Petrol Pump","C879+2W2, Pandit Krishan Dutt Marg, HUDA Staff Colony, Sector 16, Faridabad","28.4125038","77.31977289999999",""
"ChIJM0sCqAfdDDkRMTnZwv__KyU","Bharat Petroleum Petrol Pump And Adani CNG Station","TIGAON ROAD, Sector 87, Old Faridabad","28.4146398","77.3344615",""
"ChIJ47Qo4rXdDDkROPo-3i2paOM","CNG Pump","6 Mathura Road, National Highway 2, Sector 16A, Faridabad","28.4084331","77.3107947",""
"ChIJbWXh0LbmDDkRbTxkyHFyxsw","Hindustan Petroleum Corporation Limited","Ground Floor, Mathura Road, Madanpur Khadar, New Delhi","28.5209442","77.2947593","true"
"ChIJC4Y1D__cDDkRTQ9HigH0tKM","Bharat Petroleum","Sector 14, Faridabad","28.4016971","77.33440399999999",""
"ChIJFelYnHneDDkRk4K3uCHQF6o","Petrol Pump","Badkhal Village, Faridabad","28.4087876","77.281927",""
"ChIJ83qbOUrcDDkRIi9ZoFemgZs","IndianOil","opposite Crown Plaza, 18/1, NH-19, Faridabad","28.3981091","77.3114682","true"
"ChIJa0ixUHznDDkRPnWKhkWHNYQ","Ramkumar Gas Agency","F83F+9M4, Dheeraj Nagar, Aitmadpur, Faridabad","28.453392","77.324214",""
"ChIJl6nHPwznDDkRxStuaHItshQ","IndianOil","Kalindi Kunj Road, Sehatpur, Kheri","28.4775069","77.3252149","true"
"ChIJtUo3cQDnDDkRHXNLNtCiOVU","Nitai das","Geetha die 8HG+74P, Chetan Market, Saraswati Colony, Sehatpur, Faridabad","28.4781717","77.32532669999999",""
"ChIJYzr8eafnDDkRwDqnCIQtIWs","Nayara Petrol Pump","Sector 37, Faridabad","28.4797477","77.31537089999999","true"
"ChIJR8XA3rrnDDkRs9KYTmgkwxI","Md Islam","JIVA DESIGNS PVT LTD, Mathura Road, Faridabad","28.4787015","77.30688169999999",""
"ChIJURHD6KLnDDkRG-xyyHbVjWM","Jkm Bharat Gas","Phase 3, Shop No, near Kushi Public School, 1, Main Surya Vihar Road, Sector 91, Faridabad","28.4765554","77.3422081","true"
