place_id,name,address,latitude,longitude,open_now
"ChIJyUU8uQGdoDkRadfA_J2NSIM","IndianOil","Ground Floor Naripur, Kamalwaganja Lamachaur, Haldwani","29.225735","79.424123","true"
"ChIJHxT96ACdoDkRYMvMpFOZn-c","Hindustan Petroleum Corporation Limited","Ground Floor, opposite Amrapali Institute, Haldwani Kaladhungi Road, Lamachaur Khas","29.227531","79.421371","true"
"ChIJ1TL6eQCdoDkRGZ-TJ5ZrbLI","Off. Narayan Petrol pump","6CMQ+CP4, Isainagar No1","29.2335131","79.4393291",""
"ChIJ0zx1OYCdoDkR8HDsoz0OpKA","Jio Petrol Pump","6F75+3R6, Anandpur Road, Bhagwanpur Vichla, Haldwani","29.2124804","79.4589088",""
"ChIJ29ePTwCDoDkRfqAFn_IdOyc","Kalika kisan seva kendra indian oil petrol pump","5FG8+FJ, Gais godam rood, Haripur Kunwarsingh","29.1753416","79.46618889999999",""
"ChIJG6h_11WboDkR7XQ6l8patQs","Deewan Filling Station- C.N.G. and Petrol-Deisel Pump.","Pandey Newar","29.1931679","79.47250869999999","true"
"ChIJHcKoF-ODoDkR18oXp3fiRU4","IndianOil","Anandpur Road","29.17495749999999","79.46990319999999","true"
"ChIJr26WV_mboDkRCUbog7sDR5w","Hindustan Petroleum Corporation Limited","Ground Floor, near Panchayat Ghar, RTO Chowk Road, Prempur Loshyani","29.2006479","79.4787125","true"
"ChIJ4wZ8PtqFoDkR8TSmJRcoesk","Nayara Petrol Pump - ABS Filling Station","Dhanpuri choraya RTO OFFICE ROAD, Panchayat Ghar, Haldwani","29.1736724","79.47445580000002","true"
"ChIJd4w-oSiboDkRmpgYvLuHkhM","Hindustan Petroleum Corporation Limited","Ground Floor Haldwani, Road, Lamachaur Khas","29.2143767","79.4790459","true"
"ChIJuynF5yyboDkR70XEXU4dITY","Indian Oil Petrol Pump","Ground Floor, near Transport Nagar, Rampur Road, Fathepur, Haldwani","29.192137","79.507935","true"
"ChIJ4zLjSMaEoDkRV9ijnFIDB2o","Bharat Petrol Pump shree bihari ji filling station","5FGW+GGW, Bera Pokhara, Haldwani","29.1763513","79.49633","true"
"ChIJOUpYmSqboDkR-FlEpKpuJFg","Hindustan Petroleum Corporation Limited","near Transport Nagar, Ground Floor, Rampur BLY Road Haldwani, near Transport Nagar, Bypass, Haldwani Talli","29.1927245","79.5149016","true"
"ChIJLyKvxeWaoDkRqCX4YpvwLWk","Essar Petrol Pump","Vishakha butiq, near essar petrol pump, Nawabi Road, Malla Gorakhpur, Heera Nagar, Haldwani","29.221552","79.5245308","true"
"ChIJp3RtvfGaoDkRnTul1d_1r14","BPCL Fuel Station","National Highway 87, Subhash Nagar, Haldwani","29.2287294","79.5307974",""
"ChIJK-wo9GSboDkRL_L-IMHnqcE","IndianOil","near Maharishi Vidhya Mandir, Ground Floor Karyalpur Chatursingh, near Maharishi Vidhya Mandir, Dewalchaur Road, Nainital","29.1944801","79.4984326","true"
"ChIJiXp8nHyFoDkRq8Q-CV0hJWw","IndianOil","Bachipur, Motahaldu, Fatehpur Near Bottling Plant, Ground Floor NH 87, Haldwani","29.1987793","79.5033634","true"
"ChIJEXsRjCyboDkRELTg54eJTnI","CSC Manpur Utter","Rampur Road, Dewalchour Chouraha, Dahariya, Haldwani","29.1929193","79.5086366","true"
"ChIJA8bSBniboDkRNvTlBHeELRw","IndianOil","Ground Floor Kaladungi Road, Loharia, State Highway 41, Fatehpur","29.233831","79.481261","true"
"ChIJQ-Vk7qCboDkR5Md__OcOCqE","Janki Energy Filling Station, Bharat Petroleum","6FPG+6XX, Kathghariya, Haldwani","29.23535279999999","79.4774925","true"
"ChIJ2b-OPsSboDkR7JDa3X5906g","Bharat Petroleum, Petrol Pump -Kant Brothers.","MAHAVIRGUNJ,HALDWANI,NAINI, NAINITAL","29.19555429999999","79.51111999999999","true"
"ChIJG7PW3XOboDkRPtdItpz90r4","Bharat Petroleum, Petrol Pump -Royal Fuel Station","Harinagar","29.2241386","79.5011013","true"
"ChIJpU1KRgCboDkRpWQo5MRg5Eg","Mahadev Filling Station","5GV7+945, Mandi Bypass Road, Transport Nagar, Haldwani","29.1933793","79.5128709",""
"ChIJt9ZxvRuboDkRe7V3EM2Qzb0","IndianOil","Ground Floor, Kaladhungi Road, Haldwani","29.2212024","79.5082923","true"
"ChIJ77VOxMKboDkRLQLYf39LKw8","Bharat Petrol Pump Goyal Filling Station","Vill, Transport Nagar Road, Manpur Uttar","29.1935476","79.5148081","true"
"ChIJ6ys4fACFoDkRKGi8sZKyn4w","Ganna center","5F5J+65W, Haripur Motia","29.1578301","79.4807553",""
"ChIJI6RrTqiboDkR8cC6OR-gec8","Bharat Petroleum, Petrol Pump -Jagannath Service Station","TALLI BAMORI,HALDWANI,NAIN, NAINITAL","29.218076","79.51705799999999","true"
"ChIJq6qq6oSEoDkRW9aMBB__VqY","IndianOil","Ground Floor Haripur Ratansingh, Haldwani","29.1540489","79.47911359999999","true"
"ChIJiXNvTSmFoDkRolO_DczNc1Q","Bharat Petroleum - Janta Petrol Pump","5GPC+29J NH-87, Transport Nagar, Haldwani","29.1850916","79.5208925","true"
"ChIJ-cXJd9yaoDkRGLW3HNgb3jk","Hindustan Petroleum Corporation Limited","Ground Floor, Rampur Road, Nainital","29.2089032","79.522781","true"
"ChIJJX64WOGaoDkR-xPl7_pPleg","IndianOil","Ground Floor, Bareilly - Nainital Road, Fathepur, Haldwani","29.198732","79.525323","true"
"ChIJzQwcqoaFoDkRJ2U9tvya1vs","Jio-bp","Khasra No 49/1, 51, Khatauni, 00010 Sh 05, Rampur Road, Haripur Ratansingh","29.151363","79.47685899999999","true"
