place_id,name,address,latitude,longitude,open_now
"ChIJSaHy0Bh1CjkRHopt_J9ahVg","Ganga Filling Station","78PX+45W, Kaladhungi","29.2853743","79.3479638",""
"ChIJW5obm_Z1CjkRMFTU3YE9dVU","Bharat Petroleum Petrol Pump , NAVDURGA SERVICE STATION","Kaladhungi","29.288436","79.34405199999999","true"
"ChIJy3AXELV1CjkRDiHllm6DbFk","IndianOil","Ground Floor Haldwani, Bazpur Rd, Kaladungi, Bail Pokhra","29.29373299999999","79.33739","true"
"ChIJbduF0md3CjkRNhAzN3VL4FY","IndianOil","Ground Floor Gulzarpur, Banki, Kaladhungi","29.2669025","79.3523","true"
"ChIJkYvJRfF3CjkR9af8TNM_BIw","Jahoor filling station","7983+H2R, Guljarpur, Kaladhungi","29.2664826","79.3525105",""
"ChIJT0O1W_qhoDkRYtYpykooY5s","IndianOil","Ground Floor, near High Court, Thandi Sadak, Tallital, Nainital","29.38001","79.46209999999999","true"
"ChIJWRo5LkaZoDkR96IKTx_ZpsQ","Jeolikote Petrol Pump","Unnamed Road, Smanora Range","29.3396203","79.4842381",""
"ChIJf2VfvLuZoDkRMiLe6D_1Pgs","Nainital filling Station","Jeolikote","29.3396692","79.4841695","true"
"ChIJ7R3lA7-ZoDkRlAlG0YMunqY","Almora Filling Station","08, Bareilly - Nainital Road, Nainital","29.34296789999999","79.4827383","true"
"ChIJmyyibxOaoDkRp7nsCFfPFOg","IndianOil","Harishtal, Ground Floor, Kathgodam Kathgodam Haldwani Road, Near, Bareilly - Nainital Road, Nainital","29.2645056","79.54421260000001","true"
"ChIJRYSaOnqboDkRyxfdFw5GUoE","IndianOil","opposite Maa Sheetla Mandir, Ground Floor Ranibagh, Haldwani Nainital Rd,Harishtal, opposite Maa Sheetla Mandir, Nainital","29.2818034","79.5449927","true"
"ChIJH21HCnqboDkRA1xPXBc4gSM","Maasheetla Filling Station","7GJW+P24, Smanora Range","29.281729","79.545001","true"
"ChIJ1902d4qZoDkRwd0clETh-1Q","Jio-bp pulse","June Estate Road, Bhimtal","29.3493501","79.54679809999999","true"
"ChIJrTLmCSKYoDkRyssJZD5oi0I","IndianOil","Ground Floor, Bhimtal","29.3548476","79.5538523","true"
"ChIJK_jSWxOaoDkRaGPgcpSj_eg","Bharat Petroleum Petrol Pump R. A. Narmain And company","87, National Highway, Kathgodam, Haldwani","29.2632252","79.5437894","true"
"ChIJc-6hqWyaoDkR_bhxtUNrAig","Hindustan Petroleum Corporation Limited","Ground Floor, Kathgodam, Nainital","29.26176199999999","79.543658","true"
"ChIJ-zNAUlWZoDkRWyHfeEDkjrQ","IndianOil","Ground Floor, SH 10, Bhimtal Road, Aanu","29.3632718","79.5542201","true"
"ChIJB9MxzRGYoDkRwvo2uA0PpQ0","Bhimtal Petrol Pump","Bhimtal Bhowali Road, Bhimtal, Bhimtal","29.3649066","79.5463601",""
"ChIJO93gMpiboDkR2EYcQP4myDA","Bharat Petroleum, Petrol Pump -R.A.Nariman & Co.","NAINITAL RD,KATHGODAM,NAIN","29.2503339","79.5408027","true"
"ChIJBTmk-26boDkRwJ6YwHDCJC0","IndianOil","Ground Floor, Damuwadunga Bandobasti, Haldwani","29.2495862","79.537081","true"
"ChIJkxyeVn6joDkRBA_EwJbUeLQ","Roadways workshop","9GHG+CV3, Bhowali-Bhimtal-Haldwani Rd, Bhowali - Bhimtal Road, Nagri Gaon","29.3785001","79.52717779999999",""
"ChIJRTw4ib-hoDkRrwNpSowMmds","IndianOil","Ground Floor Sukhatall, Khurpatal","29.3927001","79.4459","true"
"ChIJqYvjlCILCjkRfJd_IvHABcU","Petrol Pump","98JG+G72, Nathunager","29.3812548","79.3256285","true"
"ChIJl72EZmKioDkR13js-3nCjEA","T J Petrol Pump","9GQ7+RP7, Sukha","29.38952959999999","79.5142975","true"
"ChIJNf0Be2KioDkR3u1GFu4eqV8","Hindustan Petroleum Corporation Limited","Ground Floor, Almora Road, Bhowali, Nainital","29.3896117","79.51483189999999","true"
"ChIJU9OlcyOkoDkRDGYM6K1A1q8","Hindustan Petroleum Corporation Limited","Ground Floor, SH 37, Haldwani Almora Road, Khairna, Nainital","29.4910927","79.47924569999999","true"
"ChIJ18VsAVS7oDkR65rBIaMLY_Q","Nayara Petrol Pump - Ashirvad Filling Station Nathuwakhan","Nathuakhan","29.4748199","79.6067552","true"
