place_id,name,address,latitude,longitude,open_now
"ChIJR1_wTtF9-TkRjCl-J7wb7QU","P L Mukherjee (Bharat Petroleum)","37V2+8HJ, Gora Bazar, Berhampore","24.0933453","88.2514039","true"
"ChIJsZM4u9p9-TkRjbEkRoCKLfI","M/S RAM KANAI DHAR","H.P. Petrol Pump 22, K.N. Road West Bengal, Durgapur","24.0986815","88.2562773","true"
"ChIJH-LtM0p8-TkR0dCCV5v3oA8","Chuanpur Mayarani Petrol Pump (Bharat Petroleum)","37J9+M4R, Talbagan, Chuapur, Berhampore","24.081731","88.26777039999999","true"
"ChIJ9VNooUl8-TkRfLZWusOEBOo","IndianOil","Lock No 22016/93040, Berhampore","24.0788545","88.2680068","true"
"ChIJcR3-0P59-TkRidW97WwohFk","IndianOil","Ground Floor, Daihatta Road, Saidabad, Berhampore","24.130335","88.250427","true"
"ChIJm9maiqt_-TkRlGX12xJT3uM","HP PETROL PUMP - AGAMANANDA SINHA","H.P. Petrol Pump 25, K.N. Road DT, Berhampore","24.091783","88.203617","true"
"ChIJkXTESIF_-TkRlSNizeVw3m4","City Fillling Station (Bharat Petroleum)","SH11, Khagraghat Station Road, Khagraghat, Berhampore","24.1001014","88.21504589999999","true"
"ChIJAQDAkZ5_-TkRcv71L2YUJaA","Tirupati Service Station","near Bagdogra Airport, Nh31, Rupsing, near Bagdogra Airport, Siliguri","24.089448","88.1836309","true"
"ChIJtQ5VQm5--TkR__cNAcw-Ddg","Indian Oil","Lock No 11004, 93692, NH 34, Radarghat B, Sahazadpur, Berhampore","24.1023383","88.23478879999999","true"
"ChIJ532oOWx--TkRt6NTPB5MRsw","IndianOil","Lock 11014/93692, National Highway 12, Radarghat, Murshidabad","24.1054126","88.23322499999999","true"
"ChIJX6iJ5mx--TkRxj7takTXVKE","Hindustan Petroleum Corporation Limited","Ground Floor, near 202 KM Stone, NH 34, Radharghat, Murshidabad","24.1080472","88.2333949","true"
"ChIJtRWDHUjN-zkRZwn2TgaH9Rk","IndianOil","Ground Floor, Bairgachhi, Murshidabad","24.0489802","88.2396636","true"
"ChIJkZ8zQOF9-TkRHjwZ-pvcX-A","Hindustan Petroleum Corporation Limited","beside Bllro, 22, KN Road, Berhampore","24.099161","88.255021","true"
"ChIJM6iMltx9-TkRlFcvSYx0jgg","Hindustan Petroleum Corporation Limited","25, KN Road, Berhampore","24.0986533","88.2562166","true"
"ChIJfXpAa4GB-TkRGr_I-UJYlZQ","Petrol Pump","35J7+8XG, Jibanti","24.0808125","88.1649375",""
"ChIJe-QzQAB_-TkRDVHSgJX5Dvs","Reliance Jio BP Petrol Pump","46H7+47R, Mehendipur, Berhampore","24.127869","88.2131328",""
"ChIJtwhhkSF--TkRgXiPPwbjZTM","সাহল বালয়","India","24.1287377","88.225111",""
"ChIJKeDt1TR9-TkRn5wTfXSxZxU","Hindustan Petroleum Corporation Limited","Ground Floor, Bishnupur, Berhampore","24.1011031","88.2647341","true"
"ChIJXQy5zv97-TkRNE22RRxXZkE","IndianOil","Lock No 13015/93429 NH 34, Mankara, Balarampur","24.0361521","88.24715479999999","true"
"ChIJdTB_z-x5-TkRZ4bP0_a6OgI","Shivdurga service station Karnasubarna Bharat petrol pump","Jadupur, Rangamati Chandpara","24.0289207","88.1940644",""
"ChIJB0_5RH19-TkRFiigSptePsg","IndianOil","Ground Floor, Panchanantala, Banjetia, Berhampore","24.097044","88.2724056","true"
"ChIJ5T0O6sx5-TkR_GjXc7dgzKo","NIFAJULSK","Rangamati","24.0233674","88.1895354",""
"ChIJ73YCNf17-TkR4iLjeRgi2J8","Jio-bp","Dag No Rs49/179, Jl No 64 Touzi 16, Mankara, Berhampore, Sargachi, Berhampore","24.0271201","88.247599","true"
"ChIJQe5vBJB9-TkRuXnt9jXB330","Hindustan Petroleum Corporation Limited","No 64/4A, Karbala Road, Berhampore","24.110175","88.2722501","true"
"ChIJZdJWyet9-TkReR6wuMoVy38","কেদার মাহাতো লেন।","34/8/J, Mohon Roy Para, Berhampore","24.1261288","88.258211",""
"ChIJs6zAfHp9-TkRaGvhFfftqe4","Reliance Petroleum","DAG NO RS-49/179, JL NO 64, TOUZI 16, SARGACHI, MURSHIDABAD DURGAPUR West Bengal 742101 IN, Baharampur, Mankara","24.1031886","88.27702680000002",""
"ChIJ60tw8F58-TkRinLuZRNz8jY","IndianOil","Ground Floor Tarakpur, Berhampore - Amtala Road, Gaznipur","24.0666126","88.28191799999999","true"
"ChIJD809pDp5-TkR3zm2k3uQSOI","petrol pumps","Rangamati Chandpara","24.01842839999999","88.18944770000002",""
"ChIJ1fUEqAh5-TkRDIlcg2sZk8g","SAHABUL SK","12, Rangamati Chandpara","24.0179592","88.1893668",""
"ChIJE8pyi915-TkRnY5lEtoaxrI","Ismail Sk","Ranga Mati, Chand Para, CHANDPARA","24.0176596","88.18985459999999",""
"ChIJ39Z6Oe_V-zkRO6QI46cnw0Y","⛽ (HP)GHOSH REFILLING STATION .⛽ HP PUMP⛽","Ground Floor, Chainage 206KM, NH 34, Nabagram, Mukundapur","24.1461833","88.19142400000001","true"
"ChIJg5CGfgB5-TkRXZcZ8TFxhlk","BPCL Shiv Durga service station","258M+6F7, Karnasubarna, Rangamati Chandpara","24.015549","88.18368679999999",""
"ChIJx0jHcbJ9-TkRhM_SoCs1bKk","Hindustan Petroleum Corporation Limited","Plot No 4148, Berhampore - Amtala Road, Kharsadanga","24.064346","88.28955599999999","true"
"ChIJqZMPNPd9-TkRK4cBmO1NylI","MANDOL FILLING STATION 2","Between kumardaha, ghat and katabagan, Berhampore","24.0631524","88.30890079999999","true"
"ChIJH6Pq_OJ9-TkRvOI7KxRf7j8","HP Petrol Pump Maa filing station","48G6+CPG, State Highway 11, Janmahammadpur","24.1260597","88.3115327",""
"ChIJubndJ7t9-TkRDjWLLscUB98","IndianOil","Plot No 1905, Banjetia, Janmahammadpur","24.125263","88.31727900000001","true"
"ChIJtxmLXQBj-TkRok6jh3jBeQM","IndianOil","Primary Hospital, Ground Floor Baharan, Baruipara, Hariharpara near, Near, Baruipara","24.0509305","88.3573025","true"
"ChIJgQ9g5oRh-TkRsMMxHTFM5_g","Inline Filling Station","Murshidabad, Indian Oil Retail Outlet Kismat Imadpur,Baharan, Hariharpara","24.0509246","88.3573119","true"
"ChIJ0VOcmW5j-TkRpWyLqtgrSAM","Bharat Petroleum Filling Station - Hariharpara","2CX2+V27, Berhampore - Amtala Road, Miyarbagan","24.0496697","88.40004990000001",""
"ChIJtyoG8IDY-zkR0v6vgcvnzuQ","IndianOil","Ground Floor, B, Durlavpur, Kuluberia, Daulatabad","24.1389254","88.3645958","true"
"ChIJp_3JHABh-TkR_giPHKc8vko","Indian Oil Fuel Station - Hariharpara","2CW8+62C, Hariharpara","24.045641","88.41530259999999","true"
"ChIJpQ4Sc0xh-TkRebgGLWKHxg0","Hindustan Petroleum Corporation Limited","Ground Floor, Hariharpara","24.044851","88.41568099999999","true"
"ChIJ-9zoFZnY-zkRmHVKyQiXEsY","IndianOil","Ground Floor Daultabad, B, Durlavpur","24.142799","88.378783","true"
"ChIJrQOLNEHW-zkRCmh3H3i6Azo","IndianOil","Ground Floor Sahamatganj, Murshidabad","24.162277","88.27053099999999","true"
"ChIJRciLnMOB-TkR-2OIbNph018","IndianOil","Lock No 21004, 93429, Gopgram","24.1513688","88.1845145","true"
"ChIJZ0sTCGXV-zkR6jWZA0E3UK4","Hindustan Petroleum Corporation Limited","Ground Floor, Lalbagh - Palsanda Road, Nabagram, Murshidabad","24.1815877","88.203625","true"
"ChIJgTLrQMLV-zkRzMdSA5kZgI4","Farhana Petrol Pump","Farhana Petrol Pump, Azimganj Road","24.1990629","88.2426193",""
"ChIJYRh8kJXX-zkRD4rC9vA0R-M","Ajit Store","Murshidabad Station Road, 57Hf, Lalbagh, Murshidabad","24.1662857","88.275183",""
"ChIJA468AADX-zkRFDl3KV2IoX0","Khadija Filling station","57GJ+937","24.17590390000001","88.2801785",""
"ChIJ83g19fbX-zkRAr4IviwatGg","IndianOil","Indian Oil Petrol/Diesel R.O, SH - 11, Hamdampur, Pilkhana, Murshidabad","24.1565625","88.2929375","true"
"ChIJjRnXFQDX-zkRiQb9DVIsqb8","Salam Mahajan Filling Station সালাম মহাজন ফিলিং স্টেশন","579Q+MQP, Murshidabad","24.16921250000001","88.2894531","true"
"ChIJ1ddtZRHX-zkR7s9WHnzue3E","BPCL Petrol Pump","57WM+4WF, Ransagar","24.19531199999999","88.28478799999999",""
"ChIJU6eFAwDf-zkRixa54jqnm0w","Chhaighari filling station nayara energy petrol pump","5C2C+84M, Chhayghari","24.1504149","88.4206967",""
"ChIJ1VuzKADT-zkRLDMdwVmljrw","Khadija Filling station","66HW+JC5","24.2290007","88.24611829999999",""
"ChIJyXCB38_X-zkRr07i6aQUgNU","IndianOil","Ground Floor, Azimganj","24.219981","88.2517278","true"
"ChIJBY6SHQDX-zkRNVsFtYVJO3I","S K SUPER FUELS Indian Oil Petrol Pump","Welcome Gate, near Jiaganj, Jiaganj Azimganj","24.2221305","88.2686672","true"
"ChIJZ0fERwDT-zkRvRQOjsn1_-I","INDANE GAS SERVIE CENTER","76M3+7VQ, Unnamed Road, Patkeldanga","24.2832258","88.2047047",""
"ChIJAwFGKADX-zkRkxlTL5XD1SQ","Mohima Service Station BPCL","67GP+53, Noada","24.2254146","88.2851628","true"
"ChIJBzN8D9bQ-zkRy1awH0X0w_8","Hindustan Petroleum Corporation Limited","Ground Floor, Amaipara, Jiaganj","24.235201","88.285501","true"
"ChIJFxxw6CfR-zkRpurzDE3BntU","IndianOil","Ground Floor Baghdahar, Amuipara, Dalelpara, Jiaganj","24.242211","88.284166","true"
