place_id,name,address,latitude,longitude,open_now
"ChIJHf8lxlAD4zkRvTerUWozO1o","Bharat Petroleum","Chandamari","26.2392861","89.32723659999999","true"
"ChIJSXfGRmIC4zkR5De-nMPssd4","Rai Mustard Oil","79HP+878, Chilkirhat Road, Ekmukha","26.2782999","89.3857093",""
"ChIJTywiQCD94jkR2USbGeoemSU","IndianOil","Rasidanga 1 & 2, No 819 & 222 No 1677 & 1697, Cooch Behar","26.2376361","89.4076171","true"
"ChIJHRzrUQD94jkRengTW9Mwec0","Pakurtola Petrol Pump","6CM4+XH, Rasidanga Pratham Khanda","26.2349895","89.4063896",""
"ChIJZetmeI0D4zkRRjwWpzbf2no","Hindustan Petroleum Corporation Limited","Ground Floor, SH 16, 7th Mile, Ghughumari, Elejanerkuthi","26.2845655","89.3535636","true"
"ChIJJUDkJt8D4zkRpNRry5FiQE0","IndianOil","Ground Floor, Chandamari,Akrarhat Bandar, Chandamari","26.237165","89.327431","true"
"ChIJUTlzwMEb4zkRf-h6X8rIYtw","Bharat Petroleum, Petrol Pump -Mahakal Service Station","AKRAHAT, NISHIGANJ, COOCHBEHAR","26.2946741","89.3360076","true"
"ChIJFRqPTwAD4zkRn3-Jpy-CGSY","Kanibil Kankanguri, Akrarhat","78XQ+86Q, Kanibil Kankanguri","26.298332","89.3381105",""
"ChIJ7VIbzLID4zkRyGX2PG7DGHM","Hindustan Petroleum Corporation Limited","Ground Floor, Akrarhat Hat, Phalimari","26.2964758","89.32713","true"
"ChIJsRyyHVMD4zkR8DFyW1-N0Bw","Akrahat","78WG+JV7, Falimari","26.2965372","89.3271615","true"
"ChIJhc7rI1f84jkRU4kwliULZ08","IndianOil","Ground Floor, Ghugumari, Kotwali,Akrarhat Bandar, Sutkabari Road, Cooch Behar","26.281237","89.443703","true"
"ChIJ64duI1f84jkRuazbsz6R2DQ","Jamtala Petrol Pump","7CJV+GHX, Cooch Behar","26.28136739999999","89.4439761","true"
"ChIJCzjSggsE4zkRsuwLiiMZx-o","IndianOil","Ground Floor, Akrarhat, Bandar, Phalimari","26.302787","89.318787","true"
"ChIJPWsvp9394jkRg0PFI4ANclY","Residual Islam","11, Fasirghat Rode Tapurhate Chupptti, Cooch Behar","26.3030662","89.4338152","true"
