place_id,name,address,latitude,longitude,open_now
"ChIJ1XCYAf4KAjoRLeyLHmspH6E","IndianOil","Ground Floor, near Action Area 3, New Town Road, Action Area III, Newtown, Kolkata","22.5642351","88.5130065","true"
"ChIJ85sBb3ig-DkRTYNQizAz62Q","Hindustan Petroleum Corporation Limited","Ground Floor, Kath Gola, Bishnupur, Lauhati","22.613811","88.50979099999999","true"
"ChIJi0ugJQoMAjoRWNfehDh9_qI","IndianOil","Ground Floor Akandakeshari, Chariswar, Kolkata","22.521864","88.54037199999999","true"
"ChIJ1y5EJi11AjoRRyJjGDL0F4g","BP Rajarhat","DJ/15, Street Number 326, Newtown, Kolkata","22.574246","88.47839359999999","true"
"ChIJkWLWVucIAjoRf5IO2sxopHE","IndianOil","Lock No, 11019, Chinapukur, Uttar Kasipur, Akandakeshari, Shonepur","22.5426591","88.60044359999999","true"
"ChIJw8cH4RgLAjoRhPSHIgr5RV0","Hindustan Petroleum Corporation Limited","Ground Floor, Lauhati, Sikharpur","22.599109","88.53223299999999","true"
"ChIJX4gRwSoJAjoR0e4kyRGEpBo","IndianOil","Ground Floor, Lauhati Road Polerhat Bhangar, Kaipur, Akandakeshari","22.5793601","88.5725056","true"
"ChIJGc91UQAJAjoRW7VfLELu2XA","Sahidul home 🏠","HHHF+H66, Polerhat","22.5789191","88.57302320000001",""
"ChIJdxBFbesLAjoRfEPHl4AvWy8","IndianOil","Plot No, JL49, Rajarhat, Sikharpur","22.5994635","88.5302088","true"
"ChIJRbckZgAJAjoRc1EB_QQj6G0","Indian Oil Petrol Pump","HHRJ+M3C, Polerhat - Shyamnagar Road, Shyamnagar","22.5916224","88.57974949999999",""
"ChIJd5d2SQALAjoRvDqJSIAapc4","Bhagowanpur","HG4F+64M, Newtown, Kolkata","22.5555902","88.5227955",""
"ChIJHQMZNwALAjoRNZ-eIcwtAmY","Krisnamati Petrol Pump","GHW2+M54, Bamunia","22.5466264","88.5504608","true"
"ChIJE1WrjMIJAjoRN1N59dMQhEA","Nayara Petrol Pump","HHXG+JRP, Shyamnagar","22.5990916","88.5770646","true"
"ChIJG7vd1iULAjoRMN_lvtvtL-4","Jio-bp pulse","Ground Floor, Action Area III, Newtown, Kolkata","22.5641201","88.5140101","true"
"ChIJgxbYCNkJAjoRcdFoA088lhA","S.B. BHARATGAS LPG STORE","HH9R+QH6, Uttar Kasipur","22.5694089","88.5914051",""
"ChIJj5La3YwLAjoRot9bOhpgr6Y","IndianOil","Ground Floor, Lauhati - Bhangar Road, Kolkata","22.6100993","88.51390830000001","true"
"ChIJz1FFD8ELAjoRyDavkXWkznA","IndianOil","Ground Floor Dps Megacity Rd, Kalikapaur, Kasinathpur","22.588697","88.498367","true"
"ChIJST3Ui_kLAjoRKBeiox7SffA","Auto Emission Testing Centre","WBSEDCL Electricity Employees Training Institute, New Town, Kolkata, Action Area III, Newtown, Kulberia","22.555322","88.5030575","true"
"ChIJuzypjhkLAjoRjyazmbCQt-Y","IndianOil","Plot No Aa, 3C/1, Newtown, Kolkata","22.555556","88.502889","true"
"ChIJE74IN2Wg-DkRaGzxVi_jAY8","IndianOil","Ground Floor Podra, Rajarhat, Bishnupur, Kolkata","22.6259054","88.5113858","true"
"ChIJ-eg5jkqh-DkRGTj2KRIR-P4","Aminur Golder","Aminur Apartment, 10, 211 Road, Kolkata","22.6364211","88.5447209",""
"ChIJJWHudjoIAjoRvMpP0kgUAfo","Bharat Petroleum","India","22.5979445","88.6050276",""
"ChIJbQttAbGh-DkR-oiDR38NOR4","Joy Santoshi Ma Service Station","Rajarhat Bishnupur 1no. Gram Panchayet, Village Podra Langalpota, Kolkata","22.6255126","88.5095442","true"
"ChIJ9Qv983Gg-DkRl-HKSmUBxdc","Hindustan Petroleum Corporation Limited","Ground Floor, Rajarhat, Khamar","22.6237201","88.5036701","true"
"ChIJ2dPUr-YIAjoR04jIud-dyVI","IndianOil","Ground Floor Akandakeshari, Uttar Kasipur, Sonpur, Kolkata","22.547465","88.600481","true"
"ChIJO7S6MtgJAjoRt88RVDhNM_4","Monalisa Fuel Station","Haroa","22.6015412","88.6106405","true"
"ChIJS8d6L7Gh-DkRK09tWnJVLaQ","IndianOil","Ground Floor Kharibari, Mudiahat, Badu","22.643642","88.5497436","true"
"ChIJ1ajkbjcLAjoR_4a-MgB5WO0","বুষালি ফিল্ম ফিড","India","22.545243","88.48804299999999",""
"ChIJl5KvVyWh-DkR1ZhICANSctI","IndianOil","Ground Floor, Rajarhat Main Road Rajarhat, Kalaberia, Akandakeshari, Kolkata","22.623507","88.492477","true"
"ChIJj0v71A-g-DkRLt3SV3LrrME","INDIANOIL PETRONAS (PROPEL)","JFFR+RF2, Rajarhat Main Road, Newtown, Kolkata","22.6245201","88.49112699999999",""
"ChIJ2ax-0s2g-DkRNuR3mrnC4zc","Hindustan Petroleum Corporation Limited","Ground Floor, Barasat, Mudia","22.64827099999999","88.553471","true"
"ChIJhXR6wtKh-DkRxy91_eRdMfk","Amal Kumar Roy Auto LPG Filling Centre","JFFR+X6J, Chotto Chandpur, Bishnupur, Kolkata","22.6249742","88.49051270000001",""
"ChIJ5TYegM2g-DkRmAq1OI8-5JQ","Bharat Petroleum Fill Good Point","Mudia","22.6490568","88.5541106","true"
"ChIJ78pEE2EHAjoR74NfN3SJRsU","IndianOil","Ground Floor, Haroa Road, Salipur","22.604358","88.63936009999999","true"
"ChIJpT5ZonwHAjoR5w8oE2HIrGU","Hindustan Petroleum Corporation Limited","No 91, Haroa Road, Lauhati, Shankarpur","22.60567099999999","88.66295099999999","true"
"ChIJreqYBXgHAjoR49jqpau-9Pk","কুতুব উদ্দিন ােটিন এন্ড রেসটারনa","India","22.6031483","88.672786",""
"ChIJxcClYfOp-DkR6WBBjmz-9CY","IndianOil","Piyara","22.61882289999999","88.6813778","true"
"ChIJRXWNPacGAjoR4HoD0MTefH4","Petrol Pump","GMCX+F2W, Bamanpukuria","22.5212265","88.6975776",""
"ChIJ_5bDZAIEAjoRqPruLQsAppA","Nayara Petrol Pump","GP93+CJ4, Kolkata-Malancha Road, Kushangra","22.5185036","88.70407460000001",""
"ChIJK9sbdACp-DkRDGDidCsAVzg","MAHAN FUEL SERVICE STATION","JMHJ+975, Mallickpur","22.6294354","88.6826146","true"
"ChIJX61aRisBAjoRJ3yfzCVTKJs","Gour Telecom","Chooyani Bazar, Chooyani","22.5771394","88.74686050000001",""
"ChIJSa2dSQAHAjoR9_KeCnrfOoQ","Bamunpukuria","GMCW+M4W, Basanti Highway, Bamanpukuria","22.5217365","88.6953312",""
"ChIJ8T0WWgAHAjoR9srSJJHZhyA","Bamunpukuria Mouza","GMCW+HRC, Basanti Highway, Bamanpukuria","22.5214322","88.6970211",""
"ChIJKTxtK6Gr-DkR527TANVcgqg","Hindustan Petroleum Corporation Limited","Ground Floor Paschim, Sadarpur, Behala, Madar Tala","22.626741","88.73813100000001","true"
"ChIJc8m_68yr-DkRIHRShq8wJzY","MADINA SERVICE STATION","JPGQ+J92, State Highway 3, Madar Tala","22.6265048","88.73839249999999","true"
"ChIJ4af2WP8DAjoRtLSsJ-cC_eg","IndianOil","Ground Floor Bamanpukur, Minakhan, Adampur","22.5143424","88.71121749999999","true"
"ChIJwWPnpZqh-DkR5QMo54dkThg","IndianOil","Ground Floor, Thakurpukur Rd, Barasat, Badu","22.695503","88.508667","true"
"ChIJLYOGQh6g-DkRBwD9O4DuLh8","Hindustan Petroleum Corporation Limited","Ground Floor, Rajarhat, Reckjoani, Kolkata","22.6321101","88.4808201","true"
"ChIJn0oH75ah-DkRD4ukyV4IV5g","Riyaclothestore","Riyaclothestore 6, Kolkata","22.6818632","88.5306904","false"
"ChIJ82lU_1yh-DkRT9t8iQL7Fno","Barun","Kadambagachi-Koyra Road, Koyra","22.7011632","88.5410734",""
"ChIJbZn6mqim-DkRoulLSHqwfDs","IndianOil","Lock No I 459, T/T, Taki Road, Golabari","22.7046545","88.5657614","true"
"ChIJDcaXhHKn-DkRM7quODWcc1Y","Hindustan Petroleum Corporation Limited","Ground Floor, Taki Road, Barasat, Kadambagachi","22.70562529999999","88.562429","true"
"ChIJZTXEbACn-DkRCSuNhl2c-4k","Goakhali (Mehadi hasan)","PH47+2RV, Golabari","22.7051042","88.56454850000001",""
"ChIJJROUIACh-DkRdEQuRgPDDHY","Subhashis","MGW5+8GJ, Madhyamgram, Badu","22.6957226","88.5087551",""
"ChIJnyiiuYWm-DkRMImstVF7xSc","HP PETROL PUMP - BABU RAM SHANKER SERVICE STATION","Ground Floor, Bonkanda","22.700001","88.5846601","true"
"ChIJgRPHGe2j-DkRTflJk3gqngM","Hindustan Petroleum Corporation Limited","Ground Floor Barasat, No 6, near Rail Gate, Sodepur, Sarberia","22.7105849","88.5285923","true"
"ChIJ0xRFQzKf-DkRaBj3-ZP1jV8","IndianOil","Ground Floor, Akandakeari Rekjuani, Indiranagar, Rajarhat, Kolkata","22.632845","88.477525","true"
"ChIJR3D6lmaf-DkRvEhG2khibDk","Uncle Fuel Center (Aegis Autogas)","Badu Road, Madhyamgram, Kolkata","22.6942541","88.4888015","true"
"ChIJPSuie-Wn-DkRRRMmPw7Qmdo","Bharat Petroleum, Petrol Pump -Jasimuddin Ahmed Service Station","TONA,BAIDYAPUR,N24PARGANAS, NORTH 24 PARGANAS","22.6981494","88.60179079999999","true"
"ChIJG_gT1HKh-DkR3Vyw4YHOFF8","Bharat Petroleum Petrol Pump , AUTO ENERGY","Badu Road","22.6937324","88.4871704","true"
"ChIJ4UNLUwCf-DkRxYY553OnM_I","Bijan shil","MFFF+9GM, Madhyamgram, Dariala","22.6724844","88.47363229999999",""
"ChIJaRslEySp-DkRooiJb8mK-3c","Santi Service Station Petrol Pump","State Highway 2, Deulia","22.6928782","88.6783361","true"
"ChIJC5wXgXKm-DkRyBo0efTF_UU","IndianOil","Ground Floor, near Beliaghata Bridge, Taki Road, Baidyapur","22.697543","88.612366","true"
"ChIJiYqP4g2m-DkR70bC-dlf0k8","kaliyani petrol pump","MJX9+8P2, Kolkata - Basirhat Road, Basna Benapur","22.6982619","88.6192719",""
"ChIJcSbFa6mn-DkR6e55XkmfKmg","IndianOil","Ground Floor, Ramnathpur, Biswanathpur,Baidyapur, Deganga","22.69777999999999","88.6247001","true"
"ChIJY_I2Hg2n-DkRsDIjt_kqkDg","Aleya Highway Filling Station (IOCL)","Beliaghata Kaliyani Bill, Kolkata - Basirhat Road, Biswanathpur","22.6987303","88.6238247",""
"ChIJbeaBkg-m-DkR26DAYQolOj4","ESSAR OIL PUMP","MJXF+JCC, Biswanathpur","22.6990645","88.6235299","true"
"ChIJhyUm9Smp-DkRLLkD-JR4ovA","Bharat Petroleum, Petrol Pump - P. G. Service Station Petrol pump","Haroa Road, Birampur Kamaruli","22.6578388","88.6840476","true"
"ChIJDXGbrouq-DkRgfJaf7ztryU","IndianOil","Ground Floor Kendua, Chaita, Basirhat, Amta","22.635341","88.75212200000001","true"
"ChIJF79LNR2p-DkRC5Zk_C47d60","Jhikra Gas Oven Service Centre","near Netaji Sangha Club, Ajijnagar Road, PS Deganga, Jhikra","22.6642824","88.7012666",""
"ChIJPyuK_D6p-DkR2nEZnkiJI3Y","Hindustan Petroleum Corporation Limited","Ground Floor, Deganga","22.687051","88.68766099999999","true"
"ChIJ5ebrW8JX_zkRDNn6mbzsSRQ","IndianOil","Ground Floor, Basirhat","22.6798032","88.727493","true"
"ChIJSwpeIYSp-DkRa66f__r6Ezo","IndianOil","Prithiba Road, MIRZANAGAR GODARMOR BAZAR, Berachampa","22.7085963","88.6893624","true"
"ChIJe7SUMX-r-DkRupbnxfneJgg","IndianOil","Ground Floor Paschim Bibipur, Basirhat, Matia","22.693049","88.744349","true"
"ChIJAZWke9mr-DkRhPbirs_eEP8","Petrol Service Station","Bibipur, Taki Road","22.6930728","88.7455047",""
"ChIJMVm1tEii-DkRhI4kU8B6DPo","Hindustan Petroleum Corporation Limited","Ground Floor, NH 35, Jessore Road, Murali, Bamangachi","22.738171","88.50912100000001","true"
