place_id,name,address,latitude,longitude,open_now
"ChIJSbIyDSuO-DkR3kG-JwDI8Es","MAA MANGALCHANDI FILLING STATION","Old, Delhi Road, Nowapara, Bagdanga","22.8517735","88.3202874","true"
"ChIJbwIQC9uP-DkRMjYre7PDjEs","IndianOil","Delhi Road, Bhadreswar","22.8332783","88.3166705","true"
"ChIJSTl3GxKR-DkRnt--jqXx6bI","IndianOil","Ground Floor, Kundughat Road, Chandannagar","22.86833","88.373289","true"
"ChIJqcHX9BKR-DkRE4KmSECw2p4","Hindustan Petroleum Corporation Limited","Ground Floor, Grand Trunk Road, Chandannagar","22.8705601","88.3739501","true"
"ChIJy1s6_pCQ-DkRrnZjnsKGo0Q","IndianOil","Ground Floor, Barrackpore, Pinkal","22.8171048","88.3752075","true"
"ChIJg8_hB2eR-DkR8VJ9K52i25k","Bharat Petroleum Fuel Station (Bansi Service Station)","Grand Trunk Road, Chinsurah R S, Chinsurah","22.8888218","88.38037609999999","true"
"ChIJf46cOR2S-DkRKZZok2Qil28","BABA PANCHANAN SERVICE STATION","Kamdebpur","22.8989471","88.3343354","true"
"ChIJIa6IBUqX-DkRDCzuocV-fQs","Hindustan Petroleum Corporation Limited","Ground Floor, Jagatdal, Shyamnagar, Rahuta P","22.8258745","88.4060805","true"
"ChIJG0_WuqyQ-DkR80fjMlRuctY","IndianOil","Ground Floor, Jagaddal, Gurdah, Shyamnagar, Hansia","22.809161","88.401085","true"
"ChIJccts21KR-DkR2BR8owWcFyU","Hindustan Petroleum Corporation Limited","Ground Floor, Chinsurah R S, Chinsurah","22.8883401","88.4007401","true"
"ChIJ6ysyY3mP-DkRyvmhrshcuk4","IndianOil","Ground Floor Deshapara, Singur, Antisara","22.809595","88.280304","true"
"ChIJWy804VWQ-DkRyOoCCOyF1oI","Hindustan Petroleum Corporation Limited","Ground Floor, Grand Trunk Road, Mankundu, Chandannagar","22.8441001","88.3618901","true"
"ChIJv1KJYlWQ-DkRrBcQBLRwaaA","পাঞ্জাব ন্যাশনাল ব্যাংক","India","22.8459812","88.362179",""
"ChIJJzYmPACR-DkRIxhUOoA7r_4","Chandannagar Auto house","V968+9PM, Bagbazar, Sukhsanatantala, Chandannagar","22.8610133","88.3669273",""
"ChIJR2NAqwiR-DkRNffr9vQvXCg","Hindustan Petroleum Corporation Limited","Ground Floor, Grand Trunk Road, Chandannagar","22.86204009999999","88.36774009999999","true"
"ChIJBfgXCmmP-DkREnpR13vDSXc","Hindustan Petroleum Corporation Limited","Ground Floor, Old, Delhi Road, Garji More, Mankundu, Chandannagar","22.8430765","88.3193614","true"
"ChIJ4Rbo3WiP-DkRY2VXoXEy66I","Hindustan Petroleum Corporation Limited","Ground Floor, SH 13, Old, Delhi Road, Hooghly","22.861717","88.32346799999999","true"
"ChIJPYdIXOeQ-DkRQ9GDfah3QpA","Authpur Petrol Pump","West Ghosh Para Rd, State Highway 1, Authpur, Shyamnagar, Bhatpara","22.8428244","88.3817819","true"
"ChIJBXhI-eqQ-DkRiDg4UxoWJpk","Lala Service Station","20, Ghosh Para Road, Noapara, Shyamnagar, Kolkata","22.828738","88.3800181",""
"ChIJfxhHepCQ-DkROA6vvt0SOhY","Bharat Petroleum, Petrol Pump -Balaji Energy Station","NOAPARA,GARULIA,N24PARGANA, NORTH 24 PARGANAS","22.8148219","88.374517","true"
