place_id,name,address,latitude,longitude,open_now
"ChIJcdnLLKfR-jkR2tuTKL1GUiI","A K AzAD Service Sentar","Shop No 2 Ward 6, Balukhada Balukhada, Mathurapur Road, Katihar","25.53355","88.03838999999999","true"
"ChIJHRpeXoHM-jkRgSVsYGMANEw","IndianOil","Ground Floor, Chhoghara Harnaroi, Abadpur, Barsoi","25.5332974","88.0382621","true"
"ChIJ5x8gD8PW-jkR_YDsZN9jHME","Bharat Petroleum","India","25.52290709999999","88.10641179999999",""
"ChIJr5fMWF_P-jkRtYo3yvtbiSY","Quazi Firoaz","Kapde Ka Dukaan Plot Number 19","25.5429088","87.98234579999999",""
"ChIJ6-UeTtXV-jkRejpknF1Yq80","IndianOil","Ground Floor, South Debinagar, Debinagar, Berail","25.58604","88.1172251","true"
"ChIJq7XDvnLW-jkRK7AJWsT-GN4","IndianOil","Ground Floor Raiganj, NH 34, Bhupalpur, Raiganj","25.546001","88.1474001","true"
"ChIJqRsMkTjV-jkRqUo6RHiKYtk","Bajla Fuels-BPCL","H44R+RPX, Pachim Mahadebpur","25.5579957","88.14137900000001",""
"ChIJhUxNNhvV-jkRCp5HL163_NE","s b","Piplan","25.56099379999999","88.14901119999999",""
"ChIJpTEDarPV-jkRAQLJoI05W-w","IndianOil","Lock No 21047, 93040, Raiganj","25.5870163","88.1305021","true"
"ChIJz-7Bc5zX-jkRV6wQlImHATs","M/S ASHAPUR FUEL CENTRE","ASAPUR 086, Asapur Bot Tola, North Dinajpur","25.4950348","88.13158659999999","true"
"ChIJGx3knk7X-jkR3NwiDNfgAqM","Hindustan Petroleum Corporation Limited","Ground Floor, Bekidanga, itahar","25.5095202","88.1655627","true"
"ChIJ7wD5aeYr-zkRwTATgC2fOPI","Birghai petrol pump","H57G+Q3F, Birghai","25.5644321","88.17574049999999","true"
"ChIJtWMpQokf-zkRaqB-ugyFueY","SB Dev Fuel Services","Araddha Mess, College Para, Raiganj","25.6045142","88.1291959",""
"ChIJLZ0JdgDV-jkRrQFO3Wl6sc4","Sarada Petrol Pump","J44P+XMW, College Para, Raiganj","25.60749089999999","88.1367033",""
"ChIJ_4AaWgbV-jkRkc3aRZqNhE4","IndianOil","Lock No 21014, Rt KM 147, 93429, College Road, Baharail, Raiganj","25.6074642","88.1369445","true"
"ChIJuWJTN0vV-jkReThxt0mkAMg","PATIRAJ FILLING STATION","Rashbihari Market, Raiganj","25.609575","88.12330159999999",""
"ChIJK1ivqJ3X-jkRfOzzXj2kZuA","Petrol Pump Pvt Ltd","Kumar Pur, Kumedpur","25.4723552","88.1244104",""
"ChIJc4w7M-sp-zkRJsFGxzMP3vk","IndianOil","Ground Floor, Sahebghata, Kaliyaganj","25.5472898","88.205924","true"
"ChIJBfig5cQr-zkRL3j_Nuqw2GE","JS-Full","H65M QQC, Jingaon","25.5592782","88.2344751",""
"ChIJYd4lud8r-zkRK_MV2BlRLRY","S & R Filling Station ( BPCL ) ️","H68V+VQ, Mukundapur","25.567145","88.244456","true"
