place_id,name,address,latitude,longitude
"ChIJv_ax4uR2dDkR0NxOQ4fheJI","Modern Service Station","5X7P+6XQ, Saraikhwaja, Arjun Nagar, Agra","27.1630784","77.987471"
"ChIJq9NwfdB2dDkRebD8KcNEjS0","IndianOil","Mahatma Gandhi Road, Awantibai Crossing, Agra","27.1647817","78.0088576"
"ChIJiRO3k9d2dDkR6RZA5DG1xeQ","Bharat Petroleum","46, Mahatma Gandhi Road, Pratap Pura, Rakabganj, Agra","27.17179639999999","78.0092232"
"ChIJQYtortB2dDkRMFJ7M85NgL4","Hindustan Petroleum Corporation Limited","Ground Floor, opposite Lauries Hotel, Mahatma Gandhi Road, Pratap Pura, Agra","27.168364","78.00919200000001"
"ChIJgawtiEB3dDkRICJ0AnwqjTA","Bharat Petrol Pump","Delhi Gate, Professors Colony, Civil Lines, Agra","27.1968255","77.99959299999999"
"ChIJ2eqnj3hxdDkRGx0Jhia_vLc","Bharat Petroleum, Petrol Pump -Jainab Filling Station","Jeoni Mandi Post Office Street, Civil Lines, Agra","27.1983262","78.0255213"
"ChIJa9zcqz1xdDkRP9EPXLU5OI4","IndianOil","Ground Floor, beside Taj View Hotel, Fatehabad Road, Agra","27.161686","78.039811"
"ChIJN3hpNaZ3dDkRng88__lYGN4","Nayara Oil Shri Bankey Bihari Filling Station","5XMC+7C6, Maruti Estate Road, Manas Nagar, Badla Ki Sarai, Shahganj, Agra","27.1831602","77.9710243"
"ChIJS8Wr_6B3dDkRhTDSMxavN24","IndianOil","Bodla Road, Sulahkul Nagar, Lohamandi, Agra","27.1904183","77.97117399999999"
"ChIJP4EcRb5wdDkRFkeZaIUUMLg","IndianOil","Ground Floor, Rambagh Crossing, Agra","27.2029048","78.0410157"
"ChIJeUS8xnl3dDkRj8bOeNJLptk","CNG Filling Station","6X4H+H4W, Transport Colony, Agra","27.2064772","77.97782149999999"
"ChIJBWD9fEFxdDkRHNIxVLt6cek","IndianOil","Rajpur, Chungi, Agra Shamshabad Raja Kherah Marg, Agra","27.147229","78.0386697"
"ChIJ5WBQDjOEczkRGCCJtiTIGGU","Pratap Filling Station Bharat Petroleum","Keetham, Agra, NH-19, Delhi, Road, Kitham","27.2098228","77.980892"
"ChIJE5EWDL13dDkR7uSu3ETN3hs","Bharat Petroleum","5XR6+727, Sikandra-Bodla Road, Sector 1, Bodla, Lohamandi, Agra","27.1906539","77.9600432"
"ChIJ83o_EgB3dDkRu1hX3Klb5aE","Mahalxmi petrol pump","52G5+M68, Bikaner - Agra Road, dayarampura","27.1766701","78.00807449999999"
"ChIJQ406agB3dDkRjbEcY0n6YhU","BPCL- GAYATRI FILLING STATION","NH 19, agra delhi road, ajijpur kosikalan, mathura","27.1766701","78.00807449999999"
