place_id,name,address,latitude,longitude
"ChIJo9rdmNhmoDkRd9cjLLwlFSA","Hindustan Petroleum Corporation Limited","Ground Floor, NH 74, Kichha - Sitarganj Road, Gautha","28.913161","79.694681"
"ChIJrSOCHTJnoDkRgt1Jjsky1Dw","Rajkumar Saraff","Kichha - Sitarganj Road, Sitarganj","28.923755","79.7022586"
"ChIJiyMmFa5noDkRB794HeHOIfY","Bharat Petroleum, Petrol Pump -Sai Service Station","GOTHA,KICHHA RD, SITARGANJ, UDHAM SINGH NAGAR","28.9266909","79.701685"
"ChIJp6iGcmJnoDkR3Xh8rLjXVyc","Hindustan Petroleum Corporation Limited","Ground Floor, Sidcul Road, Bamanpuri, Kushmoth","28.9286553","79.7019911"
"ChIJzwInRjBnoDkRdVoxi9rKlOI","Hindustan Petroleum Corporation Limited","Ground Floor, Bye Pass Road, Sitarganj","28.92042099999999","79.70821099999999"
"ChIJo-_zLBFhoDkRchXAgjbmrLE","Bharat Petroleum, Petrol Pump -Amba Filling Station","SIDCUL, Sitarganj","28.93208030000001","79.7023147"
"ChIJHxiFWgBnoDkRwyg85ixNqJs","Hindustan Petroleum Corporation Limited","Ground Floor, SH 41, Bijti Road, Rampura, Sitarganj","28.924331","79.711349"
"ChIJD7t0XwBnoDkRhJEiIpKTo3s","Sai Service Station","WM7W+PJP, Gautha","28.9143265","79.6965757"
"ChIJfxf5KDNnoDkRYAZqk_VLST8","IndianOil","Ground Floor, Tanakpur Road, Sitarganj","28.929477","79.70951199999999"
"ChIJAQoXrTRnoDkRkGatuWJlDGY","Jio-bp","Khasra No 198/3, 199/1 & 199/2 Rampur, Khatima Bypass Road, Sitarganj","28.9290452","79.7113493"
"ChIJm3L8JE5noDkRqrMqxFqTleE","IndianOil","Ground Floor, Sitarganj,Baruabagh, Sitarganj","28.90457810000001","79.70232229999999"
"ChIJMe0DgIFhoDkRHwxA2czc3Ug","Bansal filling station","near krishna tiles and sanityware, Bawanpuri","28.94613919999999","79.6976504"
"ChIJJdp000xnoDkRoWTZkrlJgpY","IndianOil","Ground Floor Cheekaghat, NH 125, Sitarganj","28.931214","79.7258027"
"ChIJWzJJarBhoDkRlFd69D0DhNI","Hindustan Petroleum","Bawanpuri","28.951963","79.6964071"
"ChIJU2EvuCxnoDkR2AY6bsBfs1I","HP Petrol Pump - Shree Shyam Ratan Filling Station","Sidcul Road Village Bamanpuri, Dehradun","28.95590769999999","79.69698939999999"
"ChIJrzk9BgBhoDkR7i0QM_PZ3pU","Nanak Energy Point Bharat Petroleum corporation ltd.","Shukla farm, Tharu, Tisor, Tharu Tisor","28.9597381","79.7134458"
"ChIJq8F55lFhoDkRIvQkS8tYepQ","Dhruv Filling Station","Dhruv Filling Station, Sidcul Road, Bamanpuri Road, Sitarganj","28.9626552","79.69839669999999"
"ChIJdT3VIQBhoDkRYfGXHBpVTBE","MAA SHARDA SERVICE STATION","XM7W+WX, Sisona","28.9646795","79.69701529999999"
"ChIJQ2B7AVBhoDkRbs2QQFysOPk","Patrol pump","XM7W+WX, Sisona","28.964762","79.6974645"
"ChIJjxewR6hnoDkRkoNdIPRogTk","IndianOil","Malpuri, Pilibhit Road, National Highway 734, Sitarganj","28.8818353","79.7045935"
"ChIJ2S1y7kd7oDkRGYxT0IWT9zc","BHARAT PETROLPUMP","Kichha - Sitarganj Road, TEHSIL, Pipalia","28.89512979999999","79.54737480000001"
"ChIJ6QQVs5h7oDkRJACceXvLxnI","BHARAT PETROLEUM - PRAKASH PETROLEUM","Bareilly Road, Kichha","28.8923516","79.50963569999999"
"ChIJ8_5yQ4V7oDkRKXX61TpyL9I","IndianOil","Bareilly Road, Kichha","28.9037682","79.5046577"
"ChIJxwco-pp7oDkRB6mJGQHV7mU","Tarai Mandal Agency Hindustan Petroleum","Udham Singh Nagar, NH-74, Kichha","28.9002275","79.5062375"
"ChIJu9RkD4Z7oDkRL6HLYHhYxgk","Gurunanak Motors(Nayara Petrol Pump)","Khasra No. 284, 286, 287, Kichha - Sitarganj Road, NH - 74, Mangalam Vatika, Kichha","28.90850919999999","79.5048686"
"ChIJIwrzZBR7oDkREObC1uglbDQ","IndianOil","Ground Floor, Kichha Sitarganj Road Bhanga NH 74, Bagwara","28.890155","79.53325000000001"
"ChIJFYQO-KJloDkRj0qS9MD5_Ow","Guru Nanak Highway Fuels","NH 74 , 4KM From, To, Kichha - Sitarganj Road, Pulbhatta","28.8951869","79.5473663"
"ChIJ1TlnlC57oDkRU2cVZy12EBc","Hindustan Petroleum Corporation Limited","Khasra No 126, Sahiya, Kichha","28.8801534","79.5193863"
"ChIJ893kdQh7oDkRrRqCh3T3ImA","Hindustan Petroleum Corporation Limited","Ground Floor, Sathuia, Kichha","28.8805601","79.5171201"
"ChIJ020yG_N7oDkRM8SbajD-Se0","IndianOil","Ground Floor Sutuiya, Kichha","28.8778181","79.518123"
"ChIJo7mKVFl7oDkRgQ5QhiG9eSw","RajSheela Filling Station","Sutuiya","28.8766875","79.51781249999999"
"ChIJS3IhDaF7oDkRmlPP6a7hXl8","भारत पेट्रोलियम","India","28.8881293","79.5112353"
"ChIJE-wwmRR7oDkRYHE9uMbj4z8","BPCL COCO Petrol Pump - BP HATHMANA CNG","VHQ5+JM, Hathmana","28.8890373","79.55919329999999"
"ChIJtZP04oN7oDkRZ3vuB_hzHPE","HP PETROL PUMP - TARAI MODEL AGENCIES","Kichha Dist U.s.nagar, Dehradun","28.8917755","79.5097857"
"ChIJ0SWwEwB7oDkRvV8ZtT4k7p0","Bharat Petroleum - Yash Filling Station","SATUIA,UP BORDER, KICCHA,U, UDHAM SINGH NAGAR","28.8703097","79.5162328"
"ChIJL4vZ4n17oDkR80Ft3s-PrII","Hindustan Petroleum Corporation Limited","Ground Floor, Kichha","28.9005281","79.5061898"
"ChIJQciV9uF7oDkRm8YHizVH-3Q","Hindustan Petroleum Corporation Limited","Khasra No 995, Khet No 681 & 682 MIN, 13, Nanak Nagar, Bandia","28.914242","79.519165"
"ChIJV2ubt5p7oDkRJhCyrKgsgD8","Jio-bp","328 Kha Khatauni No, Khasra No 328 KA, 169 & 185, Sirauli, Kichha","28.9026711","79.5056171"
"ChIJkx21yKt7oDkRFem_AW5d5bk","Reliance Petroleum","M/S MADAAN MOTORS, NH-74, POST_OFFICE, :, VILLAGE:SIROALI KALAN, Kichha","28.9087212","79.50975489999999"
"ChIJSSseHKiGCjkRGTignpgEXqI","Puri Filling Station BPCL","Bareilly - Nainital Road, Bilaspur","28.8616461","79.51577429999999"
"ChIJdYZIBN5woDkR2NEL9TMBmDY","Bharat Petroleum, Petrol Pump -Baheri Service Station","BAHERI,BAHERI BYPASS,BAREI","28.780153","79.4925004"
"ChIJBdE28uNxoDkRaou12AMTZvY","Chandni Truck Workshop","1 By Pass Road, Nainital Road, Baheri","28.7917999","79.5027787"
"ChIJ3cCmawBxoDkRiH6IEVK01Ck","BHARAT PETROLEUM CORPORATION LIMITED","RG85+3MH, Bareilly - Nainital Road, Bhauna","28.8151989","79.5092428"
"ChIJV8z3COVwoDkRwicHPNRJHvY","IndianOil","Ground Floor, near Punjab and Sindh Bank, Nainital Road, Baheri","28.7851299","79.5015146"
"ChIJw2uqgU1xoDkRj3YrAsOwnSk","Hindustan Petroleum Corporation Limited","Ground Floor, Nadeli Road, Baheri","28.785825","79.520163"
"ChIJsSrZ6uNwoDkRRWH_oy1onHw","Hp Petrol pump Bhagwat saran Agarwal Filling station.","Ground Floor, Nainital Road, Baheri","28.780001","79.49980099999999"
"ChIJa0r1eABxoDkR7XxMer-opso","IndianOil","Ground Floor, Baheri","28.7809104","79.4957064"
"ChIJw-vIQgBxoDkRqXq-Nb8Lw6Q","J and A Energy Point","Baheri Bypass Road, Baheri","28.778269","79.48959970000001"
"ChIJBa3hdABxoDkRjbOf0CNRvio","Petrol pump","QFHQ+5P7, Baheri Bypass Road, Baheri","28.7777116","79.4891078"
"ChIJPSBW595woDkR_wRLwPI9p9E","Reliance","QFHQ+5F3, Baheri Bypass Road, Baheri","28.7778784","79.48866819999999"
"ChIJWf6hT61zoDkRQ-hpCNbwxJ4","Reliance Petroleum","near 47 Km Milestone, Sh 37 Bareilly, near 47 Km Milestone, Baheri Bypass Road, Shekhpur","28.7720708","79.4976688"
"ChIJ52qODsRxoDkRFHLbh-K2xB0","IndianOil","Ground Floor, Mohammadpur,Baheri, Baheri","28.773812","79.48624300000002"
"ChIJCRa5EXVxoDkRqzordY57F6g","SAJID KHAN","near Main Market, Kichha Road, Baheri","28.7835071","79.4738766"
"ChIJS3i3moJ3oDkRgOU65pCKopc","Bharat Filling Station","near by Harerpur Darau, Nanakpuri Tanda Road, Bareilly","28.8152752","79.4699277"
"ChIJL49TWvZxoDkRRtGEIjGfsy0","IndianOil","Ground Floor, Baheri","28.7673233","79.5119004"
"ChIJ5bpKCxlxoDkRVre2DUIzFQY","IndianOil","Ground Floor, Baheri","28.7669057","79.4971561"
"ChIJady7ZmRxoDkRMQUJ5oeVjhg","IndianOil","Ground Floor, Baheri, Narayan Nagla","28.777401","79.473901"
"ChIJR0SEbJtxoDkR1Ad64B_obQE","IndianOil","Ground Floor, Garibpura","28.797348","79.551147"
"ChIJC1LBRNRwoDkREWLNewYeG9o","Uddesh Kishan Sewa Kendra","Near mandi samiti Narayan nagla, Baheri","28.780268","79.468982"
"ChIJgQs4UgBxoDkR5kKcCOkgqLs","Hindustan Petroleum Corporation Limited","Khasra No 252, Baheri Bypass Road, Bareilly","28.763468","79.49169499999999"
"ChIJIYgGa5IJoDkRYFE2rH2QiV4","Reliance jio bp","Manda","28.5355226","79.4567052"
"ChIJQWAbs_0JoDkRC5wq-JkrBpA","Amit Auto Fuels BPCL","GFM4+22M, Dabhora Khanjanpur","28.5325885","79.4550398"
"ChIJ49nafMkLoDkRQoGTW-pv04I","IndianOil","Ground Floor, Atapatti Janubi","28.557501","79.456701"
"ChIJm2VBS1kLoDkRzwMS1uTh8dQ","IndianOil","Mohammadpur Jatan, Baheri","28.5615586","79.4609785"
"ChIJXdgfHQALoDkRZfGNRA_JwwM","AZAD FILLING STATION","HF66+MXQ, Mohammedpur Jatan","28.5617494","79.4624121"
"ChIJR5LIqUYJoDkRBp1hoZsPguU","IndianOil","Bhojipura, State Highway 37, Bareilly - Nainital Road, Bareilly","28.5239","79.454"
"ChIJ9Z37OD8JoDkRf9XI6OIoIpE","Hindustan Petroleum Corporation Limited","Ground Floor, near Bhojipura, SH 37, Thana, Bhoji Pura","28.5165601","79.452591"
"ChIJXW_264sLoDkRiigt3fuBLwY","BPCL Petrol Pump","HC7M+R56, Shahi-Atamanda road","28.56452549999999","79.43290209999999"
"ChIJxxgWgdkLoDkREYmQ9Ii4h_w","WASEEM PETROL STATION","SHOP NO 0786, ATAMANDA ROAD, Bareilly","28.5648689","79.4327818"
"ChIJ4-NY88cLoDkRrdGUBKYqXBE","IndianOil","Ground Floor, Dhaura Tanda","28.572601","79.423901"
"ChIJUaqWdzoLoDkR4OxMjJVFSJU","JEESHAN PETROL PUMP","SHOP NO, 111, MIYAPUR ROAD, Bareilly","28.5721475","79.4198153"
"ChIJ_8pLVVMGoDkR4D61yoUZLNw","AJ Sons Bharat Petroleum Corp Ltd.","92, State Highway 37, Krishna Nagar, Izatnagar, Bareilly","28.4052055","79.4247378"
"ChIJ8dVhTqsHoDkRDAUcH2b9P4E","IndianOil","Ground Floor, 25, Nainital Road, Krishna Nagar, Izatnagar, Bareilly","28.404791","79.424538"
