place_id,name,address,latitude,longitude
"ChIJYzHwDRyQ4TgRdptkkdl_dLo","United Service Station ( BHARAT PETROLEUM CORPORATION LTD.","National Highway 1A, Srinagar","34.06733000000001","74.77535639999999"
"ChIJp55zpneP4TgRj3MDnGEbOL8","Bharat Petroleum","3RGH+MX3, Gupkar Road, Srinagar","34.076647","74.8299165"
"ChIJUTQzMHKP4TgRXscaU8NxR0Y","Bharat Petroleum Petrol Filling Station","3RFP+7MR, National Highway 1A, Srinagar","34.0732485","74.836641"
"ChIJufBKwRmF4TgRiBpPqYF5fV8","Hindustan Petroleum Corporation Limited","No 11 Noushera, Srinagar","34.1204917","74.8078927"
"ChIJZYmee_SP4TgRp-nqjyktjLM","IndianOil","Ground Floor, Srinagar","34.080849","74.800507"
"ChIJnUltxGiP4TgR9TaKuPgbilM","BP Petrol Pump","3QJQ+P7Q, Srinagar","34.0818294","74.7882224"
"ChIJEUrM7_GP4TgRpt7lUsor0XU","Blitz Filling Station","3QGW+4WC, Srinagar","34.0753012","74.79728089999999"
"ChIJMXmb5fGP4TgRKWZ4rLqo5J0","Hindustan Petroleum Corporation Limited","Ground Floor, Amira Kadal Bridge, Karan Nagar Road, Srinagar","34.07493339999999","74.7971429"
"ChIJgyaUoUCP4TgRDddpxy1m5UI","IndianOil","Ground Floor, Srinagar","34.0738699","74.80062989999999"
"ChIJtTS944aP4TgRTg3c1J6T_Cw","IndianOil","Bab E Dam, Srinagar","34.0852957","74.81950669999999"
"ChIJRU68cz2b4TgRyo9A53suHW4","IndianOil","Chathabal, Baramulla Road, Srinagar","34.091798","74.77677369999999"
"ChIJ-_lKNIiP4TgR164g85SUxN0","HUSSAINI PETROL PUMP","245, Arigam","34.0624341","74.80278179999999"
"ChIJ9WQCtueR4TgR2EsFFLuXgxQ","Issar Service Station","Police Line, Srinagar","34.0686766","74.7783252"
"ChIJX8y38mmP4TgRP1mGUeNJG9A","IndianOil","Bypass, Srinagar","34.063843","74.783441"
"ChIJz_5VYHmF4TgRZC6piF5IKeE","Rainawari Petrol Pump","3RWC+5FQ, near petrol pump, Shiraz road, Srinagar","34.0954562","74.82122129999999"
"ChIJA3Yfbv6b4TgRAGpSAMuCK24","Bharat Petroleum Petrol Pump , SHYAM LALL & CO.","CHATTABAL, Srinagar","34.095996","74.773698"
