place_id,name,address,latitude,longitude
"ChIJJRLGnRPO5zsRZSpJgPEs-aE","HP Petrol Pump","3, Maulana Shaukat Ali Road, Grant Road East, Khetwadi, Girgaon, Mumbai","18.9610079","72.8200425"
"ChIJ1wXm72zO5zsRi2yflxtatfY","Bharat Petroleum Corporation ltd","Police Station, near Agripada, 14A, Doctor Anandrao Nair Marg, Mumbai","18.9751859","72.8234232"
"ChIJbU3taB7O5zsRETQqIptpdMI","IndianOil Petrol Pump (Marine Lines)","A & B, Plot No 100, Netaji Subhash Chandra Road, Mumbai","18.9440219","72.8231823"
"ChIJ____v3XO5zsRevUGR3BJNss","New Kampala Service Station","Anand Arshan, next to Jaslok Hospital, opposite Doctor Houses, Doctor Gopalrao Deshmukh Marg, Mumbai","18.9724894","72.8095664"
"ChIJRSsboCbO5zsRgi2fslIRmnE","Bharat Petroleum Corporation ltd","Mohammed Ali Road, Carnac Road, Mumbai","18.9487978","72.83521"
"ChIJa-FQg_rO5zsR89yGG2x-VFs","Bharat Petroleum Corporation ltd","No 142, Lamington Road, Girgaon, Mumbai","18.96465","72.81980999999999"
"ChIJlbaelTzO5zsRvntYKJD0TLg","IndianOil Petrol Pump (Bhuleshwar)","Telephone Exchange, near Madvi, 26, Mohammed Ali Road, BP Lane, Mumbai","18.9558839","72.8325487"
"ChIJ1_WjVyTO5zsRwUbMpy_bwM0","Exxon","Shop no. 34/4, Devkaran Nivas, 7th Floor, Samuel Street, Issaji Street, Masjid Bandar West, Masjid Bandar, Mumbai","18.9517982","72.8360967"
"ChIJw6YqpC_O5zsRmEksGEY2_5Q","BPCL Petrol Pump - Varma Automobiles","85, P D'Mello Road, East, Masjid Bandar, Mumbai","18.9529047","72.8417857"
"ChIJdWKoEy_O5zsR4sM83fnVWWA","Hindustan Petroleum Corporation Limited","opposite vyapar bhawan, 95, P D'Mello Road, Carnac Bunder, East, Masjid Bandar, Mumbai","18.9513763","72.84150749999999"
"ChIJl62lu0HO5zsRBZkWg4PM7Wc","Hindustan Petroleum Corporation Limited","next to Piccadilly Flats, Ground Floor Clare Road, next to Piccadilly Flats, Chamber Lane, Byculla, Mumbai","18.9692758","72.8298389"
"ChIJjT9vlkjO5zsRhqp8NbYABng","Universal Motors Bharat Petroleum Pump","Jindal Mansion, Rambhau Bhogle Marg, Thakkar Estate, Byculla, Mumbai","18.9708189","72.8407756"
