place_id,name,address,latitude,longitude
"ChIJd9vbxprAvzsReKpdik33wiQ","BPCL Petrol Pump","GR2G+957, Altinho, Panaji","15.5009118","73.8254371"
"ChIJTXQTr47AvzsRBOchqhLwDzs","Vernekar Marketing","Suyash Complex, near Old Passport Office, Swami Vivekanand Road, Ozari, Panaji","15.4957373","73.82536019999999"
"ChIJa-RhcobAvzsR5wjX4UJW-L0","Hindustan Petroleum Corporation Limited","Chalta No 40, PTS 35, near Panaji Residency Hotel, Dayanand Bandodkar Marg, Panaji","15.5004299","73.8310961"
"ChIJRQuNcobAvzsRXA40JRrh-bM","Agências Bharat Petroleum","GR2J+2PG, Mahatma Gandhi Road, Campal, Patto Colony, Panaji","15.5000658","73.8318211"
"ChIJAQAAAJTAvzsR0Gb7YooTNVA","Bharat Petroleum Corporation Limited","Plot No 32, E D C Complex, Patto, Post Baug No 228, Panaji","15.4969111","73.83466419999999"
"ChIJvyaUPmLAvzsRwRWIdQBM940","Bharat Petroleum","GR4G+G53, Alto- Betim Porvorim, Bardez","15.506267","73.825435"
"ChIJmUTP_YzAvzsRIc7i-X0Wcvc","Bharat Petroleum Petrol Pump","FRWC+8C9, near Don Bosco High School, Mahatma Gandhi Road, Santa Inez, Panaji","15.49578109999999","73.82110569999999"
"ChIJATHHJ4PAvzsRtVgHTKawgE4","IndianOil","opposite Kadamba Bus Terminus, Neugi Nagar","15.4951585","73.8391086"
"ChIJW4uDPJrAvzsRA-3fJSb1-uk","Hindustan Petroleum Corporation Limited","No PB 138, Rua de Ourém, Tiswadi, Panaji","15.488901","73.83196099999999"
"ChIJMwYeF4bAvzsR-KQPfhahvZ0","HP PETROL PUMP - MANGUIRISH S CENT. PANJIM","Road Panaji GOA, Avenida Dom João de Castro, Vasco Da Gama","15.5005081","73.8308253"
"ChIJz_fibYnAvzsR_KNfAZpd2Gc","G M S Contoco & Bros","GR2G+94X, opposite Ferry Point, Dayanand Bandodkar Marg, Ozari, Panaji","15.500985","73.825373"
"ChIJsXScgYbAvzsR9SsSPD6o_a8","Hindustan Petroleum Corporation Limited","Survey No 2850 & 2851, No, PB/138, Dayanand Bandodkar Marg, Near Head Post Office, Tiswadi Nearr, Panaji","15.4996653","73.83339"
"ChIJudjExprAvzsRUHGghChQouU","Bharat Petrol Pump","FRVJ+4P9, Rua de Ourém, Altinho, Panaji","15.4927803","73.8318438"
"ChIJXRxDMx_BvzsRqsJ44fDCXtA","Goa Natural Gas Pvt Ltd CNG Station","Neugi Nagar","15.4953416","73.8391015"
"ChIJVVVVVWTAvzsROxEuyK4kRms","Bharat Petroleum Petrol Pump.","NH-17, Alto near Teen Building Alto- Betim Porvorim, Porvorim","15.5193846","73.8291097"
"ChIJwz2ctVbAvzsRRxunJ7ReAwo","Hindustan Petroleum Corporation Limited","near Shantadurga Temple, Survey No 84/6, Nerul Coco Beach Road Reis Magos, near Shantadurga Temple, Bardez, Nerul","15.5082991","73.8021022"
"ChIJ29cl2NHAvzsREW6y0VCw5w0","Indian Oil Petrol Pump","Miramar, Panaji","15.4655658","73.8066056"
